cluster_a	cluster_b	name_a	name_b	type_a	type_b	settlements_a	settlements_b	db_a	db_b	db_name_a	db_name_b	decision_a	decision_b	shared_hosts	jaccard	idf_score	shared_host_headings	pair_review_decision	flag
ORG-C00340_Q01	ORG-C00682	נעשאָנאַל-טעאַטער	סעקאָנד עוועניו טעאַטער	Theatre	Theatre	ניו יאָרק | ניו יאָרקער | ניו יאָָרק | ניו-יאָרק | ניו-יאָרקער | ניו-יאָרק	New York | ניו יאָרק | ניו יארק | ניו יאָָרק | ניו-יאָרק | ניו-יאָרקער	118	128	National Theatre	סעקאָנד עוועניו טעאַטער	ALIGN	ALIGN	37	0.211	11.653	אַדלער, דזשוליוס [יואל] | אָשעראָוויטש, מ. | אויערבאַך, בּאָריס [בן-ציון] | באַרזעל, וואָלף [אייזענבערג] | גילראָד לואי | גרינפעלד, ראַזאַ [טרייטלער] | ווייזענפֿריינד מוני [משולם-מאיר] | וויינטרויב, רכקה [פוספעלד]		
ORG-C00340_Q01	ORG-C00633_Q01	נעשאָנאַל-טעאַטער	פּיפּלס-טעאַטער	Theatre	Theatre	ניו יאָרק | ניו יאָרקער | ניו יאָָרק | ניו-יאָרק | ניו-יאָרקער | ניו-יאָרק	ניו יאָרק | ניו יארק | ניו יאָרק | ניו-יאָרק | ניו-יאָרקער | ניוּ-יאָרק	118	120	National Theatre	People's Theatre NY	ALIGN	ALIGN	25	0.142	7.077	גאָלדבערג, לואי | דזשייקאָבסאָן, הענריעטאָ | האַרט, סידני [יוסף הערש] | ווייזענפֿריינד מוני [משולם-מאיר] | ווילנער, מאַקס, ר | טאָמאַשעווסקי, בעסי [ברכה באומפעלד-קויפמאַן] | טאָמאַשעווסקי, עני | טעפּליצקי, מענדעל		
ORG-C00340_Q01	ORG-C00384	נעשאָנאַל-טעאַטער	יידישער אַקטיאָרן-יוניע	Theatre	Theatre-related Society/ Union	ניו יאָרק | ניו יאָרקער | ניו יאָָרק | ניו-יאָרק | ניו-יאָרקער | ניו-יאָרק	ניו יאָרק | ניו יאָרק | ניו-יאָרק | ניו-יאָָרק | פֿילאָדעלפיע	118	442	National Theatre	Yiddish artists union	ALIGN	ALIGN	21	0.098	6.193	אַדלער, דזשוליוס [יואל] | גרינפעלד, דזשין [יעקב] | גרינפעלד, ראַזאַ [טרייטלער] | ווילנער מאַקס | טאַבאַק, אַננאַ | טייטעלבוים, אַברהם (=שלום, סעם) | טעפּליצקי, מענדעל | טראָסבערג, משה		
ORG-C00340_Q01	ORG-C00390	נעשאָנאַל-טעאַטער	לענאָקס-טעאַטער	Theatre	Theatre	ניו יאָרק | ניו יאָרקער | ניו יאָָרק | ניו-יאָרק | ניו-יאָרקער | ניו-יאָרק	בראַנקס | בראנקס | האַדלעם | האַרלעם | האָבלעם | האָרלעם | ניו יאָרק | ניו-יאָרק | ניויאָרק	118	140	National Theatre	Lenox Theater	ALIGN	ALIGN	19	0.136	6.157	אָלשאַנעצקי, אַלעקסאַנדער [יהושע] | אייזמאַן, גאָלדע | באַדין, מאַקס [מוני באַדיאַן] | גאָלדבערג, לואי | גאָלדבערג, נייטאָן | גראס אייבי | דזשייקאָבס, בעטי [טרייטלער] | דזשייקאָבס, דזשייקאָב [יעקב יאָקובאָוויטש]		
ORG-C00384	ORG-C00682	יידישער אַקטיאָרן-יוניע	סעקאָנד עוועניו טעאַטער	Theatre-related Society/ Union	Theatre	ניו יאָרק | ניו יאָרק | ניו-יאָרק | ניו-יאָָרק | פֿילאָדעלפיע	New York | ניו יאָרק | ניו יארק | ניו יאָָרק | ניו-יאָרק | ניו-יאָרקער	442	128	Yiddish artists union	סעקאָנד עוועניו טעאַטער	ALIGN	ALIGN	20	0.109	6.014	אַדלער, דזשוליוס [יואל] | בלייך, יהודה | גרינפעלד, ראַזאַ [טרייטלער] | וואולף, סיימאַן [שמחה] | ווילנער מאַקס | טאַבאַק, אַננאַ | טראָסבערג, משה | יחסן, מרדכי		
ORG-C00740	ORG-C00741_Q01	פּאָבליק-סקול	האָי-סקול	Education	Education	אָמעריקע | אמעריקע | לאָנדאָן | ניו יאָרק | ניו-יאָרק | סינסינעטי | פילאַדעלפיע | פילאדעלפיע | קליוולאַנד | שיקאָגאָ | פֿילאָדעלפיע	שיקאָגאָ					DESCRIPTIVE	DESCRIPTIVE	17	0.224	6.003	אייזמאַן, גאָלדע | באַראַט, מאַרטי [משה-מאָרטין באַראַץ] | בודאַנאָוו, בעסי [בודניק] | גאָלדבערג, דינה | גאָלדבערג, ראָזאַ [פינקענטאל] | גאָלדקנאָפּ, אַברהם דר. | דאָרף, עטל [עפּעלבלאַט] | וואָלערשטיין, ראָזאַ		
ORG-C00103	ORG-C00180_Q01	ווילנער טרופּע	יידישן קונסט-טעאַטער	Company on Tour	Theatre	אַמעריקע | בוקאַרעסט | ביאַליסטאָק | בערלין | בראַנקס | בראַנקס, ניו-יאָרק | וואַרשע | ווילנע | ווין | יאָס' | לאָס אַנדזשעלעס | לעמבערג | לאָדזש | ניו יאָרק | ניו-יאָרק | ניו-יאָָרק | ניויאָרק | פּאַריז | פאַריז | קליוולאַנד | קעשענעוו | קראָקע | קראקע | שיקאַגאָ | שיקאַגע | שיקאָגאָ	ניו יאָרק | ניו יארק | ניו יאָָרק | ניו-יאָרק | ניו-יאָָרק	551	1459	ווילנער טרופּע	יידישן קונסט-טעאַטער (ניו יאָרק)	ALIGN	ALIGN	19	0.075	5.622	אַנ-סקי ש. [שלמה-זאַנוול ראַפּאָפּאָרט] | אַרנשטיין, מאַרק | אַש, שלום | אָרזשעווסקאַיאָ, אַסתר [סניעגאָוו] | בלומענטאָל, פֿרידאַ | גאָטעספעלד חנאַ | גרינבערג, יוסף | הערשעלע אַסטראָפאָלער		
ORG-C00089	ORG-C00515_Q01	ווינדזאָר-טעאַטער	טאַליאַ-טעאַטער	Theatre	Theatre	ניו יאָרק | ניו יארק | ניו יאָָרק | ניו יאָרק | ניו-יאָרק | ניו-יאָרקער	ניו יאָרק | ניו-יאָרק | ניוּ-יאָרק | ניו־יאָרק	134	130	Windsor Theatre	Thalia Theatre|Bowery Theatre	ALIGN	ALIGN	20	0.19	5.502	גאָטליב, לעאָן [לייבוש אהרן] | גאָלדשטיין, דזשאָן ס. [יעקב] | גילראָד לואי | גערשאָי, מ. [משה גערשויג] | היינע-חיימאָוויטש, משה | ווייסמאַן, ראובן | זאָלאַטאַרעפסקי, איזידאָר [יצחק] | טאָמאַשעווסקי, בעסי [ברכה באומפעלד-קויפמאַן]		
ORG-C00340_Q01	ORG-C00635_Q01	נעשאָנאַל-טעאַטער	פּאָבליק-טעאַטער	Theatre	Theatre	ניו יאָרק | ניו יאָרקער | ניו יאָָרק | ניו-יאָרק | ניו-יאָרקער | ניו-יאָרק	ניו יאָרק | ניו יאָָרק | ניו-יאָרק | ניו-יאָרקער	118	365	National Theatre	Public Theatre (Folks Theatre)	ALIGN	ALIGN	18	0.122	5.393	אונדזערע בויער | בלאַנק לעאָן | בלום סעם [אַלעקסאַנדער] | גאָלדבערג, לואי | גילראָד לואי | האַרט, סידני [יוסף הערש] | טשערנאַווסקי, יוסף | לובּריצקי, פעני		
ORG-C00515_Q01	ORG-C00633_Q01	טאַליאַ-טעאַטער	פּיפּלס-טעאַטער	Theatre	Theatre	ניו יאָרק | ניו-יאָרק | ניוּ-יאָרק | ניו־יאָרק	ניו יאָרק | ניו יארק | ניו יאָרק | ניו-יאָרק | ניו-יאָרקער | ניוּ-יאָרק	130	120	Thalia Theatre|Bowery Theatre	People's Theatre NY	ALIGN	ALIGN	19	0.146	5.336	אַדלער, יעקב פּ. [יעקב בן פּנחס] | ברוידי יוסף | וואַקסמאַן, מאָריס [משה דוד] | ווייסמאַן, ראובן | ווילנער, מאַקס, ר | טאָמאַשעווסקי, בעסי [ברכה באומפעלד-קויפמאַן] | יאָנג, בערנאַרד [בועז יונגוויץ] | יאָנג, קלאַראַ [חיה-ריסיע שפּיקאָליצער]		
