n	play	page	line_id	offset	span	line	url
1305	MS_YaakovEsav	0052_20296783.xml	r1l2	0	עס קומען ארויס יעקב לבן און בשמת	עס קומען ארויס יעקב לבן און בשמת B.B.B.	https://app.transkribus.org/collection/2372172/doc/494907/detail/52
1306	MS_YaakovEsav	0052_20296783.xml	r1l4	0	פֿאלט צום פֿאטער	פֿאלט צום פֿאטער פֿאטער געטרייער מיט מיין רחלען איז שלעכט.	https://app.transkribus.org/collection/2372172/doc/494907/detail/52
1307	MS_YaakovEsav	0052_20296783.xml	r1l14	0	קריצט מיט די ציין	קריצט מיט די ציין דער אלטער תרח! אויך איהם האט ער איבער=	https://app.transkribus.org/collection/2372172/doc/494907/detail/52
1308	MS_YaakovEsav	0055_20296786.xml	r2l3	0	קריצט אוף איהר מיט די ציין	קריצט אוף איהר מיט די ציין שווייג ישמעלית. פרא אדם!	https://app.transkribus.org/collection/2372172/doc/494907/detail/55
1309	MS_YaakovEsav	0055_20296786.xml	r2l7	0	נעמט איהר מיט כעס ביי דער האנד	נעמט איהר מיט כעס ביי דער האנד שווייג געה!	https://app.transkribus.org/collection/2372172/doc/494907/detail/55
1310	MS_YaakovEsav	0055_20296786.xml	r2l9	0	פֿערוויינט און אַ זייט	פֿערוויינט און אַ זייט אז מען גיעט נישט יעקבען גיעט מען עשוען.	https://app.transkribus.org/collection/2372172/doc/494907/detail/55
1311	MS_YaakovEsav	0055_20296786.xml	r2l11	0	לויפֿט אריין מיט אַ קינד	לויפֿט אריין מיט אַ קינד דאָס צוועלפֿטער שבט. קינד איז	https://app.transkribus.org/collection/2372172/doc/494907/detail/55
1312	MS_YaakovEsav	0055_20296786.xml	r1l6	0	קומט צוריק פֿערזארגט	קומט צוריק פֿערזארגט געשטארבען אונזער מוטער רחל. אָ איך	https://app.transkribus.org/collection/2372172/doc/494907/detail/55
1313	MS_YaakovEsav	0055_20296786.xml	r1l8	28	וויינט אלע מיט איהם	פֿיין האט זי עס געבוירען... וויינט אלע מיט איהם עשו קאנסט מיך	https://app.transkribus.org/collection/2372172/doc/494907/detail/55
1314	MS_YaakovEsav	0055_20296786.xml	r1l13	0	פֿאלט צו יצחקען	פֿאלט צו יצחקען אָ פֿאטער!	https://app.transkribus.org/collection/2372172/doc/494907/detail/55
1315	MS_YaakovEsav	0055_20296786.xml	line_1635075173684_104	0	(רבקה האלט דאס קינד קניהענד נעבען יצחקען. יעקב פֿון דער צווייטער זייט	(רבקה האלט דאס קינד קניהענד נעבען יצחקען. יעקב פֿון דער צווייטער זייט	https://app.transkribus.org/collection/2372172/doc/494907/detail/55
1316	MS_YaakovEsav	0055_20296786.xml	r1l19	0	און יצחק בענשט איהם מיט די ברכות. מלא כעס שטעהט עשו)	און יצחק בענשט איהם מיט די ברכות. מלא כעס שטעהט עשו)	https://app.transkribus.org/collection/2372172/doc/494907/detail/55
1317	MS_YaakovEsav	0055_20296786.xml	r1l21	19	די קניהענדע שטעהן אוף	איך דאנק דיר טאטע. די קניהענדע שטעהן אוף|	https://app.transkribus.org/collection/2372172/doc/494907/detail/55
1318	MS_YaakovEsav	0056_20296787.xml	r1l5	0	זינגט דאס תורהלע מיט דעם כאר	זינגט דאס תורהלע מיט דעם כאר	https://app.transkribus.org/collection/2372172/doc/494907/detail/56
1319	MS_YaakovEsav	0056_20296787.xml	r1l6	0	(עס ווייזט זיך אַ גרופפע מלאכים. רחל אין דער מיט. און פֿון ביידע זייטען	(עס ווייזט זיך אַ גרופפע מלאכים. רחל אין דער מיט. און פֿון ביידע זייטען	https://app.transkribus.org/collection/2372172/doc/494907/detail/56
1320	MS_YaakovEsav	0056_20296787.xml	r1l7	0	אדומל און ישראל אזוי ווי זיי האבען צו ערשט ערשיענען	אדומל און ישראל אזוי ווי זיי האבען צו ערשט ערשיענען).	https://app.transkribus.org/collection/2372172/doc/494907/detail/56
1321	MS_YoysefInEgipten	0005_30778046.xml	r2l3	0	% איין וואלד, דיא ברידער שטייען פארענט אונטער זייא פאסטיכער	% איין וואלד, דיא ברידער שטייען פארענט אונטער זייא פאסטיכער%	https://app.transkribus.org/collection/2372172/doc/826832/detail/5
1322	MS_YoysefInEgipten	0006_30778048.xml	r1l3	0	ביידע אפ))	ביידע אפ))	https://app.transkribus.org/collection/2372172/doc/826832/detail/6
1323	MS_YoysefInEgipten	0008_30778051.xml	r1l13	38	עס ווערט אַ געשרייע	ראובן גאט גיב מיר קרעפט אים צו רעטען %עס ווערט אַ געשרייע	https://app.transkribus.org/collection/2372172/doc/826832/detail/8
1324	MS_YoysefInEgipten	0008_30778051.xml	r1l14	0	יהודה אין יאחצעל מיטין טיגער	יהודה אין יאחצעל מיטין טיגער%	https://app.transkribus.org/collection/2372172/doc/826832/detail/8
1325	MS_YoysefInEgipten	0009_30778053.xml	line_1636294900566_7349	30	א. ז. וו.	קאהר זעהט נאר זיין העלדענטהאט. א. ז. וו.	https://app.transkribus.org/collection/2372172/doc/826832/detail/9
1326	MS_YoysefInEgipten	0010_30778055.xml	r3l18	39	% דיא מוזיק שפילט	מעיגסט זיך דער מאנען אין מיר אליין אויך% דיא מוזיק שפילט	https://app.transkribus.org/collection/2372172/doc/826832/detail/10
1327	MS_YoysefInEgipten	0010_30778055.xml	r1l16	0	געפאר %זינגט%	געפאר %זינגט%	https://app.transkribus.org/collection/2372172/doc/826832/detail/10
1328	MS_YoysefInEgipten	0011_30778057.xml	r2l6	42	ביס	אל רחום אל רחום אל רחום איזט מיין נאמען } ביס	https://app.transkribus.org/collection/2372172/doc/826832/detail/11
1329	MS_YoysefInEgipten	0012_30778059.xml	r2l5	0	% עס ווערט פינסטער דיא ברידער קומען%	% עס ווערט פינסטער דיא ברידער קומען%	https://app.transkribus.org/collection/2372172/doc/826832/detail/12
1330	MS_YoysefInEgipten	0015_30778065.xml	line_1636727182936_109	0	לעצטער שעה האט שוין געשלאגען.%	לעצטער שעה האט שוין געשלאגען.%	https://app.transkribus.org/collection/2372172/doc/826832/detail/15
1331	MS_YoysefInEgipten	0015_30778065.xml	r2l13	0	יוסף %זינגט%	יוסף %זינגט% אָ ברודער מיינע אָ ברודער מיינע	https://app.transkribus.org/collection/2372172/doc/826832/detail/15
1332	MS_YoysefInEgipten	0015_30778065.xml	r1l9	1	מען טוט אים אויס דאס זיינ זיידינע העמדיל מען ווַארפט אים אריין	%מען טוט אים אויס דאס זיינ זיידינע העמדיל מען ווַארפט אים אריין	https://app.transkribus.org/collection/2372172/doc/826832/detail/15
1333	MS_YoysefInEgipten	0015_30778065.xml	r1l10	0	אין גריב אלע גייען אב. עס הערשיינען דיא מדיָנים זינגענדיג אַ ליעד	אין גריב אלע גייען אב. עס הערשיינען דיא מדיָנים זינגענדיג אַ ליעד	https://app.transkribus.org/collection/2372172/doc/826832/detail/15
1334	MS_YoysefInEgipten	0015_30778065.xml	r1l14	4	%זינגט אין גריב%	יוסף %זינגט אין גריב% אדיע לעבע וואהל	https://app.transkribus.org/collection/2372172/doc/826832/detail/15
1335	MS_YoysefInEgipten	0016_30778066.xml	r1l16	6	%לויפט אריין%	שמעון %לויפט אריין% וואס זעה איך? שנעלער ברידער!	https://app.transkribus.org/collection/2372172/doc/826832/detail/16
1336	MS_YoysefInEgipten	0017_30778068.xml	r1l8	18	%גיט אים אווארף נעמט צו יוסיפען%	געגען דעם בעראבאקא%גיט אים אווארף נעמט צו יוסיפען%	https://app.transkribus.org/collection/2372172/doc/826832/detail/17
1337	MS_YoysefInEgipten	0017_30778068.xml	r1l17	16	% גיט זייא דיא 20 זילבער און נעמט יוסיפען.%	איינער איך האָב % גיט זייא דיא 20 זילבער און נעמט יוסיפען.%	https://app.transkribus.org/collection/2372172/doc/826832/detail/17
1338	MS_YoysefInEgipten	0017_30778068.xml	r2l9	0	%אופטריט ראובן שטילערייד צום גריב%	%אופטריט ראובן שטילערייד צום גריב%	https://app.transkribus.org/collection/2372172/doc/826832/detail/17
1339	MS_YoysefInEgipten	0017_30778068.xml	r2l15	6	%ער שפרינגט אריין אין גריב שרייענדיק. דיא ברידער קומען	רעטען %ער שפרינגט אריין אין גריב שרייענדיק. דיא ברידער קומען	https://app.transkribus.org/collection/2372172/doc/826832/detail/17
1340	MS_YoysefInEgipten	0017_30778068.xml	r2l18	29	%זייא נעמען אים ארויס%	האט דיך אַער אריינגעווארפען? %זייא נעמען אים ארויס%	https://app.transkribus.org/collection/2372172/doc/826832/detail/17
1341	MS_YoysefInEgipten	0019_30778072.xml	r2l9	0	%ענדע ערשטער אקט%	%ענדע ערשטער אקט%	https://app.transkribus.org/collection/2372172/doc/826832/detail/19
1342	MS_YoysefInEgipten	0019_30778072.xml	r2l11	0	%בא יעקיבען אין צימער מעדכען חאהר זינגען.%	%בא יעקיבען אין צימער מעדכען חאהר זינגען.% II	https://app.transkribus.org/collection/2372172/doc/826832/detail/19
1343	MS_YoysefInEgipten	0020_30778074.xml	r3l9	5	%זינגט%	יעקב %זינגט% געה בעפעלט גאט דער זעעלע	https://app.transkribus.org/collection/2372172/doc/826832/detail/20
1344	MS_YoysefInEgipten	0020_30778074.xml	r1l2	6	%קאמט%	בנימן %קאמט% פאטער מיינע ברידער קאמען.	https://app.transkribus.org/collection/2372172/doc/826832/detail/20
1345	MS_YoysefInEgipten	0020_30778074.xml	r1l5	0	%ברידער הערשיינען%	%ברידער הערשיינען%	https://app.transkribus.org/collection/2372172/doc/826832/detail/20
1346	MS_YoysefInEgipten	0020_30778074.xml	r1l21	0	%צייגט אים דאס העמדיל%	%צייגט אים דאס העמדיל%	https://app.transkribus.org/collection/2372172/doc/826832/detail/20
1347	MS_YoysefInEgipten	0021_30778076.xml	r1l14	0	%ער פאלט אין אָונמאכט אלע אַרום אים פָאזִיצִיאן ביז.%	%ער פאלט אין אָונמאכט אלע אַרום אים פָאזִיצִיאן ביז.%	https://app.transkribus.org/collection/2372172/doc/826832/detail/21
1348	MS_YoysefInEgipten	0022_30778078.xml	r1l1	0	%אַ שעהן צימער בא זליכען./	%אַ שעהן צימער בא זליכען./	https://app.transkribus.org/collection/2372172/doc/826832/detail/22
1349	MS_YoysefInEgipten	0022_30778078.xml	r2l5	0	%געשיעט%	%געשיעט% יעצט ליעבער יוסף געה אונד בריינג מיר דעם	https://app.transkribus.org/collection/2372172/doc/826832/detail/22
1350	MS_YoysefInEgipten	0022_30778078.xml	r2l7	16	%וויל געהן.%	יוסף זעהר שעהן! %וויל געהן.%	https://app.transkribus.org/collection/2372172/doc/826832/detail/22
1351	MS_YoysefInEgipten	0022_30778078.xml	r2l12	17	וויל געהן.	יוסף זעהר שעהן! %וויל געהן.%	https://app.transkribus.org/collection/2372172/doc/826832/detail/22
1352	MS_YoysefInEgipten	0023_30778080.xml	r2l18	23	%וויל געהן%	יוסף פֿערצייעט הערשערען %וויל געהן%	https://app.transkribus.org/collection/2372172/doc/826832/detail/23
1353	MS_YoysefInEgipten	0023_30778080.xml	r1l12	30	זיא חאפט אים אַרוב ער רייסט זיך	עס שוין מעהר ניט אויס האלטין %זיא חאפט אים אַרוב ער רייסט זיך	https://app.transkribus.org/collection/2372172/doc/826832/detail/23
1354	MS_YoysefInEgipten	0025_30778083.xml	r2l1	0	אין קעטען געשלאסען %מען בריינגט יוסיפען אין קייטין	אין קעטען געשלאסען %מען בריינגט יוסיפען אין קייטין No. 9%	https://app.transkribus.org/collection/2372172/doc/826832/detail/25
1355	MS_YoysefInEgipten	0025_30778083.xml	r1l6	0	פֿאראהנג פאלט	פֿאראהנג פאלט	https://app.transkribus.org/collection/2372172/doc/826832/detail/25
1356	MS_YoysefInEgipten	0025_30778083.xml	r1l7	0	ענדע 2 אקט	ענדע 2 אקט	https://app.transkribus.org/collection/2372172/doc/826832/detail/25
1357	MS_YoysefInEgipten	0025_30778083.xml	r1l11	5	%זינגט%	יוסף %זינגט% פון אלע געשעפער Mebelramen	https://app.transkribus.org/collection/2372172/doc/826832/detail/25
1358	MS_YoysefInEgipten	0026_30778085.xml	line_1636728958802_1276	0	/פראזע/	/פראזע/ פאר וואס? ווייל אזוי וויל ער דער בעשעפער פאן	https://app.transkribus.org/collection/2372172/doc/826832/detail/26
1359	MS_YoysefInEgipten	0027_30778087.xml	r2l3	0	לעבע וואהל %ער לייגט זיך אין ווערט ענטשלאפען עס הייבט זיך	לעבע וואהל %ער לייגט זיך אין ווערט ענטשלאפען עס הייבט זיך	https://app.transkribus.org/collection/2372172/doc/826832/detail/27
1360	MS_YoysefInEgipten	0027_30778087.xml	r2l4	0	אויף אַ בילד רחל מיט מלאכים%	אויף אַ בילד רחל מיט מלאכים%	https://app.transkribus.org/collection/2372172/doc/826832/detail/27
1361	MS_YoysefInEgipten	0027_30778087.xml	r1l5	0	%דיא ענגלין זינגין איבער דאס זעלבע נאכער פראזע%	%דיא ענגלין זינגין איבער דאס זעלבע נאכער פראזע%	https://app.transkribus.org/collection/2372172/doc/826832/detail/27
1362	MS_YoysefInEgipten	0028_30778088.xml	r3l9	0	%זינגט% געה בעפעהלט גאט דער נשמה. א. א. ז.וו.	%זינגט% געה בעפעהלט גאט דער נשמה. א. א. ז.וו.	https://app.transkribus.org/collection/2372172/doc/826832/detail/28
1363	MS_YoysefInEgipten	0028_30778088.xml	r3l10	0	%טאבלא פערשווינדען און יוסף חאפט זיך אויף%	%טאבלא פערשווינדען און יוסף חאפט זיך אויף%	https://app.transkribus.org/collection/2372172/doc/826832/detail/28
1364	MS_YoysefInEgipten	0028_30778088.xml	r3l16	3	%קאמט%	מרד%קאמט% יוסף הערקענסטו ניט דיין פריינד מָרד	https://app.transkribus.org/collection/2372172/doc/826832/detail/28
1365	MS_YoysefInEgipten	0029_30778090.xml	r2l9	0	פאראנג	פאראנג פאלט	https://app.transkribus.org/collection/2372172/doc/826832/detail/29
1366	MS_YoysefInEgipten	0029_30778090.xml	r2l11	0	%באם קעניג פרעהן אין זאהל פרעה זיצט אויף זיין טראהן%	%באם קעניג פרעהן אין זאהל פרעה זיצט אויף זיין טראהן%	https://app.transkribus.org/collection/2372172/doc/826832/detail/29
1367	MS_YoysefInEgipten	0029_30778090.xml	r2l19	4	% מעלדעט%	מרד % מעלדעט% דער העברייער יוסף	https://app.transkribus.org/collection/2372172/doc/826832/detail/29
1368	MS_YoysefInEgipten	0029_30778090.xml	r2l21	0	%יוסף קומט אריין אָנגעקליידעט שענער וויא פארער פערנאגט זיך%	%יוסף קומט אריין אָנגעקליידעט שענער וויא פארער פערנאגט זיך%	https://app.transkribus.org/collection/2372172/doc/826832/detail/29
1369	MS_YoysefInEgipten	0031_30778094.xml	r1l12	30	%מען טוט יוסיפיען אן קעניגליכע	II קעניג געקריינט ווארדען בין %מען טוט יוסיפיען אן קעניגליכע	https://app.transkribus.org/collection/2372172/doc/826832/detail/31
1370	MS_YoysefInEgipten	0031_30778094.xml	r1l13	0	קליידער דאס קאהר קומט אָן מארשירענדיג דיא בינע%	קליידער דאס קאהר קומט אָן מארשירענדיג דיא בינע%	https://app.transkribus.org/collection/2372172/doc/826832/detail/31
1371	MS_YoysefInEgipten	0031_30778094.xml	line_1636730049606_1895	5	%געזאנג%	פרעה %געזאנג% צום וויצע קעניג ביזטו ערנַאנט	https://app.transkribus.org/collection/2372172/doc/826832/detail/31
1372	MS_YoysefInEgipten	0032_30778096.xml	r2l10	0	%דאס חאהר זינגט ביז פינַאל פרעה פירט יוסיפען	%דאס חאהר זינגט ביז פינַאל פרעה פירט יוסיפען	https://app.transkribus.org/collection/2372172/doc/826832/detail/32
1373	MS_YoysefInEgipten	0032_30778096.xml	r2l11	0	ארוב דיא בינע!	ארוב דיא בינע!	https://app.transkribus.org/collection/2372172/doc/826832/detail/32
1374	MS_YoysefInEgipten	0032_30778096.xml	r2l13	0	ענדע פון 3טען אַקט	ענדע פון 3טען אַקט	https://app.transkribus.org/collection/2372172/doc/826832/detail/32
1375	MS_YoysefInEgipten	0033_30778098.xml	r1l19	0	פערקופט %יאחסעל הערשיינט %קינדער לייפין אים נאך	פערקופט %יאחסעל הערשיינט %קינדער לייפין אים נאך	https://app.transkribus.org/collection/2372172/doc/826832/detail/33
