n	play	page	line_id	offset	span	line	url
401	MS_DiTsveyTnoim	0011_31094209.xml	r1l17	0	ביס	ביס	https://app.transkribus.org/collection/2372172/doc/838430/detail/11
402	MS_DiTsveyTnoim	0011_31094209.xml	line_1639323923028_1521	19	(ווייבער)	אלע. יאַ. די מעננער (ווייבער) זענען זעהר שלעכט	https://app.transkribus.org/collection/2372172/doc/838430/detail/11
403	MS_DiTsveyTnoim	0011_31094209.xml	r1l18	16	(מעננער)	יאַ, די ווייבער (מעננער) זענען זעהר גוט און ליעבליך	https://app.transkribus.org/collection/2372172/doc/838430/detail/11
404	MS_DiTsveyTnoim	0011_31094209.xml	r1l20	1	אַלע מאָהל לויפֿט איינער אַוועק אין מיטין רעפֿריין. הילנאַ בלייבט די לעצטע זינגענד	(אַלע מאָהל לויפֿט איינער אַוועק אין מיטין רעפֿריין. הילנאַ בלייבט די לעצטע זינגענד	https://app.transkribus.org/collection/2372172/doc/838430/detail/11
405	MS_DiTsveyTnoim	0012_31094212.xml	r1l2	0	Verwandlung.	Verwandlung.	https://app.transkribus.org/collection/2372172/doc/838430/detail/12
406	MS_DiTsveyTnoim	0012_31094212.xml	r1l3	0	(צימער ביי ר' יוחנן און 2 טישעל 2 טשערס)	(צימער ביי ר' יוחנן און 2 טישעל 2 טשערס)	https://app.transkribus.org/collection/2372172/doc/838430/detail/12
407	MS_DiTsveyTnoim	0013_31094216.xml	r1l19	31	(צעוויינט זיך)	מַחְרִים מיט כל הַחרמות שבתורה (צעוויינט זיך) בַר לקיש. בַר לקיש ווי ווייט	https://app.transkribus.org/collection/2372172/doc/838430/detail/13
408	MS_DiTsveyTnoim	0013_31094216.xml	r2l11	17	(זינגט)	אלדינג אין לעבען. (זינגט)	https://app.transkribus.org/collection/2372172/doc/838430/detail/13
409	MS_DiTsveyTnoim	0014_31094219.xml	r1l4	0	2. (II)	2. (II)	https://app.transkribus.org/collection/2372172/doc/838430/detail/14
410	MS_DiTsveyTnoim	0014_31094219.xml	r1l14	0	3. (III)	3. (III)	https://app.transkribus.org/collection/2372172/doc/838430/detail/14
411	MS_DiTsveyTnoim	0015_31094223.xml	r1l11	34	(צייגט איהר רינג)	פּדות. קענסט דען רינג, יזראַעלית? (צייגט איהר רינג)	https://app.transkribus.org/collection/2372172/doc/838430/detail/15
412	MS_DiTsveyTnoim	0015_31094223.xml	r1l12	11	(ציטטערט)	יזראַעלית. (ציטטערט) יאַ עס איז מיין טבעת קדושין. וואָס טהוט ער ביי	https://app.transkribus.org/collection/2372172/doc/838430/detail/15
413	MS_DiTsveyTnoim	0016_31094226.xml	r1l12	10	(גוט איהם אַ שפיי אין פּנים)	יזראעלית. (גוט איהם אַ שפיי אין פּנים) און מיט אַ שפּיי אין דיין פָּנים רייס	https://app.transkribus.org/collection/2372172/doc/838430/detail/16
414	MS_DiTsveyTnoim	0016_31094226.xml	r1l18	15	(נעהמט ארויס אַ פּאַפּיער)	לעצטעס וואָרט! (נעהמט ארויס אַ פּאַפּיער). דאָס איז איין	https://app.transkribus.org/collection/2372172/doc/838430/detail/16
415	MS_DiTsveyTnoim	0016_31094226.xml	r1l21	40	(צערייסט דעם	מגורשת מומני לכל אָדָם, כדת משה וישראל. (צערייסט דעם	https://app.transkribus.org/collection/2372172/doc/838430/detail/16
416	MS_DiTsveyTnoim	0016_31094226.xml	r1l22	0	גֶט און וואַרפֿט עס וועק)	גֶט און וואַרפֿט עס וועק)	https://app.transkribus.org/collection/2372172/doc/838430/detail/16
417	MS_DiTsveyTnoim	0016_31094226.xml	r2l8	59	(טהוט	דער ערד, עס איז אַ עבירה חלעבען, מען מוז זיי אויפֿקלויבען. (טהוט	https://app.transkribus.org/collection/2372172/doc/838430/detail/16
418	MS_DiTsveyTnoim	0016_31094226.xml	r2l9	0	עס)	עס) און פֿערברענען, אַלאָ ניט קענן מען נאָך אַז עס איז קיין גֶט	https://app.transkribus.org/collection/2372172/doc/838430/detail/16
419	MS_DiTsveyTnoim	0017_31094228.xml	r1l2	0	(די העהלע אינווענדיג)	(די העהלע אינווענדיג)	https://app.transkribus.org/collection/2372172/doc/838430/detail/17
420	MS_DiTsveyTnoim	0017_31094228.xml	r1l3	0	(פֿייער אויבען),	(פֿייער אויבען), שלייפֿמאַשינען. האמער און אמבאָס. בערגעל גאָלד	https://app.transkribus.org/collection/2372172/doc/838430/detail/17
421	MS_DiTsveyTnoim	0017_31094228.xml	r1l3	17	שלייפֿמאַשינען. האמער און אמבאָס. בערגעל גאָלד	(פֿייער אויבען), שלייפֿמאַשינען. האמער און אמבאָס. בערגעל גאָלד	https://app.transkribus.org/collection/2372172/doc/838430/detail/17
422	MS_DiTsveyTnoim	0017_31094228.xml	r1l4	0	בערגען בריליאַנטען. אויף אַ געשטעל אַ קרוין עטץ, עטץ)	בערגען בריליאַנטען. אויף אַ געשטעל אַ קרוין עטץ, עטץ)	https://app.transkribus.org/collection/2372172/doc/838430/detail/17
423	MS_DiTsveyTnoim	0017_31094228.xml	r1l5	0	כאָהר אַלס רויבער, פּלדש, אַרבייטען)	כאָהר אַלס רויבער, פּלדש, אַרבייטען)	https://app.transkribus.org/collection/2372172/doc/838430/detail/17
424	MS_DiTsveyTnoim	0017_31094228.xml	r2l7	11	(איז עוואַס פֿריהער געקומען)	Auft הילנא (איז עוואַס פֿריהער געקומען)	https://app.transkribus.org/collection/2372172/doc/838430/detail/17
425	MS_DiTsveyTnoim	0017_31094228.xml	r2l11	52	(ציהט	שיקט ער זאָל צוריקקומען פֿאַראַ רויבער הויפּטמאַנן? (ציהט	https://app.transkribus.org/collection/2372172/doc/838430/detail/17
426	MS_DiTsveyTnoim	0017_31094228.xml	r2l12	0	דען דאָלך	דען דאָלך)	https://app.transkribus.org/collection/2372172/doc/838430/detail/17
427	MS_DiTsveyTnoim	0017_31094228.xml	r2l13	7	(ציהט אויך דען דאָלך)	הילנא. (ציהט אויך דען דאָלך) פֿייגלינג, קוק ווער צו דאָ ציהעט אַ מעססער? מיר	https://app.transkribus.org/collection/2372172/doc/838430/detail/17
428	MS_DiTsveyTnoim	0017_31094228.xml	r2l15	7	(לויפֿט נאָך אַרום און ארום)	שְמַע. (לויפֿט נאָך אַרום און ארום) והִי נועַם, ווִִהִי נועַם, ווער	https://app.transkribus.org/collection/2372172/doc/838430/detail/17
429	MS_DiTsveyTnoim	0018_31094232.xml	r1l15	4	נאָכן באַלעט)	I. (נאָכן באַלעט) Auftr	https://app.transkribus.org/collection/2372172/doc/838430/detail/18
430	MS_DiTsveyTnoim	0018_31094232.xml	r1l20	0	Vorang	Vorang	https://app.transkribus.org/collection/2372172/doc/838430/detail/18
431	MS_DiTsveyTnoim	0018_31094232.xml	r2l13	6	(סאָללאָ)	חגלה. (סאָללאָ) דאָס וועה גישריי פֿון קינדער און מוטטער	https://app.transkribus.org/collection/2372172/doc/838430/detail/18
432	MS_DiTsveyTnoim	0018_31094232.xml	r2l18	0	כאהר מיט	כאהר מיט	https://app.transkribus.org/collection/2372172/doc/838430/detail/18
433	MS_DiTsveyTnoim	0018_31094232.xml	r2l20	0	אלע ביס	אלע ביס	https://app.transkribus.org/collection/2372172/doc/838430/detail/18
434	MS_DiTsveyTnoim	0019_31094234.xml	r1l9	31	(אלעס טאַנצט אַרויס, עס קומט צוריק)	איין לוסטיג לעבען... א. ז. וו. (אלעס טאַנצט אַרויס, עס קומט צוריק)	https://app.transkribus.org/collection/2372172/doc/838430/detail/19
435	MS_DiTsveyTnoim	0019_31094234.xml	r2l3	0	(הילנאַ)	(הילנאַ) מיין טייערער הילל, אַיך מיין הערץ. מיינע געפֿיהלע, מיין	https://app.transkribus.org/collection/2372172/doc/838430/detail/19
436	MS_DiTsveyTnoim	0019_31094234.xml	r2l10	6	(צווויינט זיך ווי אַ קאָקעטקע.)	נחמן. (צווויינט זיך ווי אַ קאָקעטקע.) יאַ, אַזוי זענט איהר אַלע מעננער, ווען	https://app.transkribus.org/collection/2372172/doc/838430/detail/19
437	MS_DiTsveyTnoim	0020_31094237.xml	r1l15	67	(געשיהט)	הילנא. דערפֿאַר מיין ליעבעס פֿרייליין גיב איך דיר אַ הערצלעכען קוש (געשיהט)	https://app.transkribus.org/collection/2372172/doc/838430/detail/20
438	MS_DiTsveyTnoim	0021_31094240.xml	r1l15	17	מיט אַ ראַללע פּאַפּיער)	Auftr צענאַביא. (מיט אַ ראַללע פּאַפּיער)	https://app.transkribus.org/collection/2372172/doc/838430/detail/21
439	MS_DiTsveyTnoim	0021_31094240.xml	r1l19	38	(קוקט און צעלט)	און איהם אַליין דעם בריעף אָבגעגעבען. (קוקט און צעלט) ער שלאָפֿט?	https://app.transkribus.org/collection/2372172/doc/838430/detail/21
440	MS_DiTsveyTnoim	0021_31094240.xml	r1l21	57	(געהט	לעגען און ווען ער וועט ער וואַכען זאָל, ער איהם פֿינדען. (געהט	https://app.transkribus.org/collection/2372172/doc/838430/detail/21
441	MS_DiTsveyTnoim	0021_31094240.xml	r2l9	7	רויבער)	כאָהר (רויבער) נחמן, פלדש, הילנא, חגלה	https://app.transkribus.org/collection/2372172/doc/838430/detail/21
442	MS_DiTsveyTnoim	0021_31094240.xml	r2l9	16	חמן, פלדש, הילנא, חגלה	כאָהר (רויבער) נחמן, פלדש, הילנא, חגלה	https://app.transkribus.org/collection/2372172/doc/838430/detail/21
443	MS_DiTsveyTnoim	0021_31094240.xml	r2l9	0	כאָהר	כאָהר (רויבער) נחמן, פלדש, הילנא, חגלה	https://app.transkribus.org/collection/2372172/doc/838430/detail/21
444	MS_DiTsveyTnoim	0021_31094240.xml	r2l14	14	(אויפגערעגט מיטין בריעף	Auftr (שמעון. (אויפגערעגט מיטין בריעף	https://app.transkribus.org/collection/2372172/doc/838430/detail/21
445	MS_DiTsveyTnoim	0022_31094244.xml	r2l1	0	hintergrund chor on	hintergrund chor on	https://app.transkribus.org/collection/2372172/doc/838430/detail/22
446	MS_DiTsveyTnoim	0022_31094244.xml	r2l3	0	Verwandlung	Verwandlung	https://app.transkribus.org/collection/2372172/doc/838430/detail/22
447	MS_DiTsveyTnoim	0022_31094244.xml	r2l4	0	בן פדות	בן פדות	https://app.transkribus.org/collection/2372172/doc/838430/detail/22
448	MS_DiTsveyTnoim	0022_31094244.xml	r2l19	0	(פֿויזע)	(פֿויזע) שאַ, דער געדאַנק איז גוט....... איך מוז יעמאַנ=	https://app.transkribus.org/collection/2372172/doc/838430/detail/22
449	MS_DiTsveyTnoim	0024_31094251.xml	r2l11	6	יוחנן - איזראעלית	Auftr יוחנן - איזראעלית	https://app.transkribus.org/collection/2372172/doc/838430/detail/24
450	MS_DiTsveyTnoim	0024_31094251.xml	r2l15	19	(:שלאָפֿט איין:	לוקיש. וואו ביזטו. (:שלאָפֿט איין:)	https://app.transkribus.org/collection/2372172/doc/838430/detail/24
451	MS_DiTsveyTnoim	0024_31094251.xml	r2l20	7	(פֿון חָלום)	יוחנן. (פֿון חָלום) וואו ביזטו בר לוקיש מיין תלמיד מיין חבר	https://app.transkribus.org/collection/2372172/doc/838430/detail/24
452	MS_DiTsveyTnoim	0024_31094251.xml	r2l21	10	(ערגרייפֿט זיין האַנד)	יזראעלית. (ערגרייפֿט זיין האַנד) ער חָלומט פֿון מיין מאַנן זיין תלמיד.	https://app.transkribus.org/collection/2372172/doc/838430/detail/24
453	MS_DiTsveyTnoim	0025_31094259.xml	r1l8	7	(ערוואַכט)	יוחנן. (ערוואַכט) וואָס? איז דאָ שמעון ניט געווען? האָב איך ניט זיין	https://app.transkribus.org/collection/2372172/doc/838430/detail/25
454	MS_DiTsveyTnoim	0025_31094259.xml	r1l19	48	(קושט זיין האַנד)	יזראַעלית. איך קען ניט און וויל דיך ניט שעלטען. (קושט זיין האַנד)	https://app.transkribus.org/collection/2372172/doc/838430/detail/25
455	MS_DiTsveyTnoim	0025_31094259.xml	r2l8	37	(וויל געהן)	פּדות. אויבאַזוי ווייס איך גאָר ניט. (וויל געהן)	https://app.transkribus.org/collection/2372172/doc/838430/detail/25
456	MS_DiTsveyTnoim	0025_31094259.xml	r2l10	7	(צו יזראעלית)	פּדות. (צו יזראעלית) איך מוז טהון. וואָס מיין רבי הייסט מיר: מען	https://app.transkribus.org/collection/2372172/doc/838430/detail/25
457	MS_DiTsveyTnoim	0026_31094262.xml	r1l7	7	(קניענד נעבען רבי יוחנן ווישט זיך די אויגען)	פּדות. (קניענד נעבען רבי יוחנן ווישט זיך די אויגען) זעה רבי די	https://app.transkribus.org/collection/2372172/doc/838430/detail/26
458	MS_DiTsveyTnoim	0026_31094262.xml	r1l11	7	(קוקט איהם אָן מיט צווייפֿעל)	יוחנן. (קוקט איהם אָן מיט צווייפֿעל) איך זעה ניט זיין בילד אין דיינע	https://app.transkribus.org/collection/2372172/doc/838430/detail/26
459	MS_DiTsveyTnoim	0026_31094262.xml	r1l16	0	(ערגרייפֿט זיין קאָפּ)	(ערגרייפֿט זיין קאָפּ) אונגעהייער הייכלער! בן פּדות מיט דיין	https://app.transkribus.org/collection/2372172/doc/838430/detail/26
460	MS_DiTsveyTnoim	0026_31094262.xml	r2l9	7	(פֿאַנטאַזירט. קריכט אריין אין וואַהנזינן)	יוחנן. (פֿאַנטאַזירט. קריכט אריין אין וואַהנזינן) די מלאכים פֿערלאָזען מיך עס	https://app.transkribus.org/collection/2372172/doc/838430/detail/26
