n	play	page	line_id	offset	span	line	url
1	Lateiner_Meshumed	0004_22571164.xml	line_1605180387181_45	1	איין שענק	(איין שענק. קאצאפעס זינגען)	https://app.transkribus.org/collection/2372172/doc/534187/detail/4
2	Lateiner_Meshumed	0004_22571164.xml	line_1605180387181_45	12	קאצאפעס זינגען)	(איין שענק. קאצאפעס זינגען)	https://app.transkribus.org/collection/2372172/doc/534187/detail/4
3	Lateiner_Meshumed	0005_22571165.xml	line_1605284818708_517	1	קאהר דוס זעלבע פֿריהר. מעכיל טאנצט.	(קאהר דוס זעלבע פֿריהר. מעכיל טאנצט. אלע אב)	https://app.transkribus.org/collection/2372172/doc/534187/detail/5
4	Lateiner_Meshumed	0005_22571165.xml	r2l8	0	(מעכיל בלייבט)	(מעכיל בלייבט)	https://app.transkribus.org/collection/2372172/doc/534187/detail/5
5	Lateiner_Meshumed	0006_22571166.xml	line_1605285188709_630	7	(אין פֿענסטער)	שרה. | (אין פֿענסטער) מיר דאכט זיך אלעקסענדער געהט.	https://app.transkribus.org/collection/2372172/doc/534187/detail/6
6	Lateiner_Meshumed	0006_22571166.xml	line_1605285208181_635	35	(חאפט ארום דוס היטעל)	מעכעלע. | וועה איז מיר אלעקסאנדיר? (חאפט ארום דוס היטעל)	https://app.transkribus.org/collection/2372172/doc/534187/detail/6
7	Lateiner_Meshumed	0006_22571166.xml	line_1605285365738_702	45	קישט הענד	סענדער. | דראסטווי פאפאשא! דראסטווי מאמאשא! (קישט הענד) וואס	https://app.transkribus.org/collection/2372172/doc/534187/detail/6
8	Lateiner_Meshumed	0008_22571168.xml	line_1605453982443_954	49	(געשיהט)	טאטע געלערנט. סענדערל ווארף אראן א קוש דעם טאטען (געשיהט)	https://app.transkribus.org/collection/2372172/doc/534187/detail/8
9	Lateiner_Meshumed	0008_22571168.xml	line_1605453986941_959	27	געשיהט	שרה. | און דער מאמען אויך (געשיהט) (מע קלאפט)	https://app.transkribus.org/collection/2372172/doc/534187/detail/8
10	Lateiner_Meshumed	0008_22571168.xml	line_1605453986941_959	36	מע קלאפט	שרה. | און דער מאמען אויך (געשיהט) (מע קלאפט)	https://app.transkribus.org/collection/2372172/doc/534187/detail/8
11	Lateiner_Meshumed	0008_22571168.xml	line_1605454010844_977	7	(עפֿענט דיע טיהר)	שרה. | (עפֿענט דיע טיהר) אוי וועה איז מיר. דאס איז יוסעלע אונזער פלימעניק.	https://app.transkribus.org/collection/2372172/doc/534187/detail/8
12	Lateiner_Meshumed	0008_22571168.xml	line_1605454069483_1020	25	(שליסט זיא מיט סענדיר ארויס)	האט שוין גיהערט. געה געה. (שליסט זיא מיט סענדיר ארויס) נו	https://app.transkribus.org/collection/2372172/doc/534187/detail/8
13	Lateiner_Meshumed	0010_22571170.xml	line_1605455867103_1633	45	(אומארמונג)	יודע ווערדע איך אויך ווייטיר בלייבען. פֿאטיר (אומארמונג)	https://app.transkribus.org/collection/2372172/doc/534187/detail/10
