title,author,year_written,year_printed,publication_place,publisher,publisher_place,printer,printer_place,transkribus_doc_id,transkribus_collection_id,transkribus_url,transkribus_ready,folder,rafe,vocalization_position,speakers_stage_vocalized,notes
Mishke Mashke,Joseph Lateiner,1892,1911,Warsaw,"Farlag ""Kultur"" (Dzika 13)",Warsaw,,,828537,18874,https://app.transkribus.org/collection/18874/doc/828537,done?,MishkeMashke-Kultur1910,,,,"Hebrew date תרע״א (5671) = 1910/1911; title page also bears Russian imprint ""Книжный магазинъ Культура, Варшава, Дзикая № 13""; price 20 kop."
Der Mann untern Tisch,Joseph Lateiner,,1911,Warsaw,,,Druk ha-Tsfira (Panska 40),Warsaw,817462,18874,https://app.transkribus.org/collection/18874/doc/817462,done,DerManUnterTiff,yes,syllables,no,"already in DraCor; Hebrew date תרעא (5671) = 1910/1911; no publisher named on title page, only printer"
Yudale der Blinder,Joseph Lateiner,,1908,,,,,,828539,18874,https://app.transkribus.org/collection/18874/doc/828539,not_yet,"Yudale_der_blinder,_Emkroyt1908",no,consonants,no,RA-corrected pp.5-9
Di Seder Nakht,Joseph Lateiner,,1908,Przemyśl,Amkroyt et Freund Buchhandlung,Przemyśl,,,828503,18874,https://app.transkribus.org/collection/18874/doc/828503,not_yet,Di_seyder_nakht_Emkroyt_1908,no,mixed,no,"RA-corrected pp.1-4; speakers+stage-dirs neither vocalized nor tagged; music by Frissel"
Ezra,Joseph Lateiner,,1908,,,,,,828481,18874,https://app.transkribus.org/collection/18874/doc/828481,not_yet,Ezra-Emkroyt1908,,,,
Blimele (di Perle von Warsha),Joseph Lateiner,,1903,,,,,,828455,18874,https://app.transkribus.org/collection/18874/doc/828455,not_yet,Blimele-AhronFaust1903,,,,
Bas Sheva,Joseph Lateiner,,,,,,,,828443,18874,https://app.transkribus.org/collection/18874/doc/828443,not_yet,BasSheva,,,,
Das Yudishe Kind,Joseph Lateiner,,1911,Warsaw,"Farlag ""Kultur"" (Dzika 13)",Warsaw,,,828424,18874,https://app.transkribus.org/collection/18874/doc/828424,not_yet,דאס_יידישע_קינד_Dos_yudishe_kind_a_komishe_operete,yes,syllables,vocalized_untagged,"RA-corrected pp.1-2; speakers+stage-dirs vocalized but not tagged; Hebrew date תרע״א = 1910/1911 (title page bears ""תרעא — 1911"")"
Isha Raa,Joseph Lateiner,,1904,Podgórze,Verlag von Benjamin Munk Buchhandlung,Lemberg,Druck von S.L. Deitscher,Podgórze,820937,18874,https://app.transkribus.org/collection/18874/doc/820937,not_yet,IshahRaah,,,,Hebrew date תרס״ד (5664) = 1903/1904; catalogue title: Ishe roeh / אישה רע
Al Naharot Bavel,Joseph Lateiner,,1909,Przemyśl,Amkraut & Freund Buchhandlung,Przemyśl,,,820975,18874,https://app.transkribus.org/collection/18874/doc/820975,not_yet,AlNaharotBavel-Amkreut&Freund1909,,,,
Hinke Pinke,Joseph Lateiner,,,,,,,,820969,18874,https://app.transkribus.org/collection/18874/doc/820969,not_yet,HinkePinke,,,,
Sore Sheyndel,Joseph Lateiner,,,,,,,,820964,18874,https://app.transkribus.org/collection/18874/doc/820964,not_yet,SoreSheyndel,,,,
Kidush Hashem,Joseph Lateiner,,,Lemberg,Verlag von D. Roth Buchhandlung,Lemberg,Druck von E. Salat,Lemberg,820939,18874,https://app.transkribus.org/collection/18874/doc/820939,not_yet,KidushHashem,,,,"title page Yiddish year unclear (reads ""תרפש"" — possibly OCR of תרס״ט = 1908/09); price 30 kop."
Dovid's Fidele,Joseph Lateiner,,1904,,,,,,820845,18874,https://app.transkribus.org/collection/18874/doc/820845,not_yet,DovidsFidele-1904,,,,
Dos Yudishe Herts,Joseph Lateiner,,1910,,,,,,820841,18874,https://app.transkribus.org/collection/18874/doc/820841,not_yet,DosYudisheHerts-1910,,,,
Meshumed,Joseph Lateiner,,,,,,,,534187,18874,https://app.transkribus.org/collection/18874/doc/534187,partial,Lateiner_Meshumed,,,,images+intermediate XML already present locally
