db_a	name_a	name_yid_a	aligns_a	db_b	name_b	name_yid_b	aligns_b	token_set_sim
567	רומענישן יידישן מלוכהטעאַטער		1	682	רומענישן יידישן טעאַטער	רומענישן יידישן טעאַטער	1	0.667
592	אוקראַאינישן יידישן מלוכה-טעאַטער		0	598	יידישן מלוכה-טעאַטער א'פ פֿון אַזראַ		1	0.667
593	ווייסרוסישן יידישן מלוכה-טעאַטער		1	598	יידישן מלוכה-טעאַטער א'פ פֿון אַזראַ		1	0.667
598	יידישן מלוכה-טעאַטער א'פ פֿון אַזראַ		1	704		ניי-געגרינדעטן יידישן מלוכה-טעאַטער	1	0.667
656	לאָנדאָנער יידישן טעאַטער		1	671	לאָנדאָנער יידישן פּאַוויליאָן-טעאַטער	לאָנדאָנער יידישן פּאַוויליאָן-טעאַטער	1	0.667
30	United Jewish Actors Company		0	35	Independent Jewish Actors Company		0	0.600
31	The Russian-Jewish Opera Company		0	33	The Roumanian Opera Company		0	0.600
329	Meerson and Sam Adler Troupe		0	374	Sam Adler and Kaminski Troupe		0	0.600
329	Meerson and Sam Adler Troupe		0	375	Sam Adler and Spivakovski Troupe		2	0.600
374	Sam Adler and Kaminski Troupe		0	375	Sam Adler and Spivakovski Troupe		2	0.600
471	יידישן מלוכה-טעאַטער אין באָקו		0	499	יידישן מלוכה-טעאַטער אין יאָס		0	0.600
471	יידישן מלוכה-טעאַטער אין באָקו		0	601	סטודיע פֿון יידישן מלוכה-טעאַטער אין ווייס-רוסלאַנד		1	0.600
499	יידישן מלוכה-טעאַטער אין יאָס		0	601	סטודיע פֿון יידישן מלוכה-טעאַטער אין ווייס-רוסלאַנד		1	0.600
562	כאַרקאָווער ערשטן יידישן מלוכה-טעאַטער		0	574	ערשטן קיעווער יידישן מלוכה-טעאַטער		0	0.600
