db_a	name_a	name_yid_a	aligns_a	db_b	name_b	name_yid_b	aligns_b	token_set_sim
500	ריגער יידישן מלוכה-טעאַטער	ריגער יידישן טעאַטער	1	671	לאָנדאָנער יידישן פּאַוויליאָן-טעאַטער	לאָנדאָנער יידישן פּאַוויליאָן-טעאַטער	1	1.000
500	ריגער יידישן מלוכה-טעאַטער	ריגער יידישן טעאַטער	1	726		דאַנציגער יידישן טעאַטער	1	1.000
500	ריגער יידישן מלוכה-טעאַטער	ריגער יידישן טעאַטער	1	733		קולטור-בונד-טעאַטער	1	1.000
500	ריגער יידישן מלוכה-טעאַטער	ריגער יידישן טעאַטער	1	745		מינסקער מעלוכעשער יידישער טעאַטער	1	1.000
509	ווערדי-טעאַטער	טשעלסי-טעאַטער	2	520	לאָנדייל-טעאַטער		1	1.000
509	ווערדי-טעאַטער	טשעלסי-טעאַטער	2	526	אָדאָן-טעאַטער		1	1.000
509	ווערדי-טעאַטער	טשעלסי-טעאַטער	2	535	וויניצער יידישן מלוכה-טעאַטער	וויניצער יידישן מלוכהשן טעאַטער	0	1.000
509	ווערדי-טעאַטער	טשעלסי-טעאַטער	2	541	ווילנער יידישן פֿאָלקס-טעאַטער		1	1.000
509	ווערדי-טעאַטער	טשעלסי-טעאַטער	2	548	קעשענעווער יידישן מלוכה-טעאַטער		1	1.000
509	ווערדי-טעאַטער	טשעלסי-טעאַטער	2	555	קעמי-טעאַטער		1	1.000
509	ווערדי-טעאַטער	טשעלסי-טעאַטער	2	562	כאַרקאָווער ערשטן יידישן מלוכה-טעאַטער		0	1.000
509	ווערדי-טעאַטער	טשעלסי-טעאַטער	2	570	ווייסרוסישן פֿאָלקס-טעאַטער		1	1.000
509	ווערדי-טעאַטער	טשעלסי-טעאַטער	2	571	ווילנער יידישן אָפּערע-טעאַטער		2	1.000
509	ווערדי-טעאַטער	טשעלסי-טעאַטער	2	573	ריגער מלוכה-טעאַטער		1	1.000
509	ווערדי-טעאַטער	טשעלסי-טעאַטער	2	575	כאַרקאָווער יידישן טעאַטער	כאַרקאָווער יידישער טעאַטער	2	1.000
509	ווערדי-טעאַטער	טשעלסי-טעאַטער	2	591	מאָלדאָוואַנישן מלוכה-טעאַטער		0	1.000
509	ווערדי-טעאַטער	טשעלסי-טעאַטער	2	592	אוקראַאינישן יידישן מלוכה-טעאַטער		0	1.000
509	ווערדי-טעאַטער	טשעלסי-טעאַטער	2	593	ווייסרוסישן יידישן מלוכה-טעאַטער		1	1.000
509	ווערדי-טעאַטער	טשעלסי-טעאַטער	2	615	ניו יאָרקער יידישן פֿאָלקס-טעאַטער		1	1.000
509	ווערדי-טעאַטער	טשעלסי-טעאַטער	2	623	פּאַריזער יידישע קונסט-טעאַטער		1	1.000
509	ווערדי-טעאַטער	טשעלסי-טעאַטער	2	638	קאַמעראַל-טעאַטער		1	1.000
509	ווערדי-טעאַטער	טשעלסי-טעאַטער	2	655	שיקאַגער יידישן טעאַטער		1	1.000
509	ווערדי-טעאַטער	טשעלסי-טעאַטער	2	658	באַסטאָנער יידישן טעאַטער		1	1.000
509	ווערדי-טעאַטער	טשעלסי-טעאַטער	2	664	לאָדזשער יידישן טעאַטער	לאָדזשער יידישן טעאַטער	1	1.000
509	ווערדי-טעאַטער	טשעלסי-טעאַטער	2	665	קיעווער יידישן טעאַטער	קיעווער יידישן טעאַטער	1	1.000
509	ווערדי-טעאַטער	טשעלסי-טעאַטער	2	671	לאָנדאָנער יידישן פּאַוויליאָן-טעאַטער	לאָנדאָנער יידישן פּאַוויליאָן-טעאַטער	1	1.000
509	ווערדי-טעאַטער	טשעלסי-טעאַטער	2	726		דאַנציגער יידישן טעאַטער	1	1.000
509	ווערדי-טעאַטער	טשעלסי-טעאַטער	2	733		קולטור-בונד-טעאַטער	1	1.000
509	ווערדי-טעאַטער	טשעלסי-טעאַטער	2	745		מינסקער מעלוכעשער יידישער טעאַטער	1	1.000
520	לאָנדייל-טעאַטער		1	526	אָדאָן-טעאַטער		1	1.000
520	לאָנדייל-טעאַטער		1	535	וויניצער יידישן מלוכה-טעאַטער	וויניצער יידישן מלוכהשן טעאַטער	0	1.000
520	לאָנדייל-טעאַטער		1	541	ווילנער יידישן פֿאָלקס-טעאַטער		1	1.000
520	לאָנדייל-טעאַטער		1	548	קעשענעווער יידישן מלוכה-טעאַטער		1	1.000
520	לאָנדייל-טעאַטער		1	555	קעמי-טעאַטער		1	1.000
520	לאָנדייל-טעאַטער		1	562	כאַרקאָווער ערשטן יידישן מלוכה-טעאַטער		0	1.000
520	לאָנדייל-טעאַטער		1	570	ווייסרוסישן פֿאָלקס-טעאַטער		1	1.000
520	לאָנדייל-טעאַטער		1	571	ווילנער יידישן אָפּערע-טעאַטער		2	1.000
520	לאָנדייל-טעאַטער		1	573	ריגער מלוכה-טעאַטער		1	1.000
520	לאָנדייל-טעאַטער		1	575	כאַרקאָווער יידישן טעאַטער	כאַרקאָווער יידישער טעאַטער	2	1.000
520	לאָנדייל-טעאַטער		1	591	מאָלדאָוואַנישן מלוכה-טעאַטער		0	1.000
520	לאָנדייל-טעאַטער		1	592	אוקראַאינישן יידישן מלוכה-טעאַטער		0	1.000
520	לאָנדייל-טעאַטער		1	593	ווייסרוסישן יידישן מלוכה-טעאַטער		1	1.000
520	לאָנדייל-טעאַטער		1	615	ניו יאָרקער יידישן פֿאָלקס-טעאַטער		1	1.000
520	לאָנדייל-טעאַטער		1	623	פּאַריזער יידישע קונסט-טעאַטער		1	1.000
520	לאָנדייל-טעאַטער		1	638	קאַמעראַל-טעאַטער		1	1.000
520	לאָנדייל-טעאַטער		1	655	שיקאַגער יידישן טעאַטער		1	1.000
520	לאָנדייל-טעאַטער		1	658	באַסטאָנער יידישן טעאַטער		1	1.000
520	לאָנדייל-טעאַטער		1	664	לאָדזשער יידישן טעאַטער	לאָדזשער יידישן טעאַטער	1	1.000
520	לאָנדייל-טעאַטער		1	665	קיעווער יידישן טעאַטער	קיעווער יידישן טעאַטער	1	1.000
520	לאָנדייל-טעאַטער		1	671	לאָנדאָנער יידישן פּאַוויליאָן-טעאַטער	לאָנדאָנער יידישן פּאַוויליאָן-טעאַטער	1	1.000
520	לאָנדייל-טעאַטער		1	726		דאַנציגער יידישן טעאַטער	1	1.000
520	לאָנדייל-טעאַטער		1	733		קולטור-בונד-טעאַטער	1	1.000
520	לאָנדייל-טעאַטער		1	745		מינסקער מעלוכעשער יידישער טעאַטער	1	1.000
526	אָדאָן-טעאַטער		1	535	וויניצער יידישן מלוכה-טעאַטער	וויניצער יידישן מלוכהשן טעאַטער	0	1.000
526	אָדאָן-טעאַטער		1	541	ווילנער יידישן פֿאָלקס-טעאַטער		1	1.000
526	אָדאָן-טעאַטער		1	548	קעשענעווער יידישן מלוכה-טעאַטער		1	1.000
526	אָדאָן-טעאַטער		1	555	קעמי-טעאַטער		1	1.000
526	אָדאָן-טעאַטער		1	562	כאַרקאָווער ערשטן יידישן מלוכה-טעאַטער		0	1.000
526	אָדאָן-טעאַטער		1	570	ווייסרוסישן פֿאָלקס-טעאַטער		1	1.000
526	אָדאָן-טעאַטער		1	571	ווילנער יידישן אָפּערע-טעאַטער		2	1.000
526	אָדאָן-טעאַטער		1	573	ריגער מלוכה-טעאַטער		1	1.000
526	אָדאָן-טעאַטער		1	575	כאַרקאָווער יידישן טעאַטער	כאַרקאָווער יידישער טעאַטער	2	1.000
526	אָדאָן-טעאַטער		1	591	מאָלדאָוואַנישן מלוכה-טעאַטער		0	1.000
526	אָדאָן-טעאַטער		1	592	אוקראַאינישן יידישן מלוכה-טעאַטער		0	1.000
526	אָדאָן-טעאַטער		1	593	ווייסרוסישן יידישן מלוכה-טעאַטער		1	1.000
526	אָדאָן-טעאַטער		1	615	ניו יאָרקער יידישן פֿאָלקס-טעאַטער		1	1.000
526	אָדאָן-טעאַטער		1	623	פּאַריזער יידישע קונסט-טעאַטער		1	1.000
526	אָדאָן-טעאַטער		1	638	קאַמעראַל-טעאַטער		1	1.000
526	אָדאָן-טעאַטער		1	655	שיקאַגער יידישן טעאַטער		1	1.000
526	אָדאָן-טעאַטער		1	658	באַסטאָנער יידישן טעאַטער		1	1.000
526	אָדאָן-טעאַטער		1	664	לאָדזשער יידישן טעאַטער	לאָדזשער יידישן טעאַטער	1	1.000
526	אָדאָן-טעאַטער		1	665	קיעווער יידישן טעאַטער	קיעווער יידישן טעאַטער	1	1.000
526	אָדאָן-טעאַטער		1	671	לאָנדאָנער יידישן פּאַוויליאָן-טעאַטער	לאָנדאָנער יידישן פּאַוויליאָן-טעאַטער	1	1.000
526	אָדאָן-טעאַטער		1	726		דאַנציגער יידישן טעאַטער	1	1.000
526	אָדאָן-טעאַטער		1	733		קולטור-בונד-טעאַטער	1	1.000
526	אָדאָן-טעאַטער		1	745		מינסקער מעלוכעשער יידישער טעאַטער	1	1.000
535	וויניצער יידישן מלוכה-טעאַטער	וויניצער יידישן מלוכהשן טעאַטער	0	541	ווילנער יידישן פֿאָלקס-טעאַטער		1	1.000
535	וויניצער יידישן מלוכה-טעאַטער	וויניצער יידישן מלוכהשן טעאַטער	0	548	קעשענעווער יידישן מלוכה-טעאַטער		1	1.000
535	וויניצער יידישן מלוכה-טעאַטער	וויניצער יידישן מלוכהשן טעאַטער	0	555	קעמי-טעאַטער		1	1.000
535	וויניצער יידישן מלוכה-טעאַטער	וויניצער יידישן מלוכהשן טעאַטער	0	562	כאַרקאָווער ערשטן יידישן מלוכה-טעאַטער		0	1.000
535	וויניצער יידישן מלוכה-טעאַטער	וויניצער יידישן מלוכהשן טעאַטער	0	570	ווייסרוסישן פֿאָלקס-טעאַטער		1	1.000
535	וויניצער יידישן מלוכה-טעאַטער	וויניצער יידישן מלוכהשן טעאַטער	0	571	ווילנער יידישן אָפּערע-טעאַטער		2	1.000
535	וויניצער יידישן מלוכה-טעאַטער	וויניצער יידישן מלוכהשן טעאַטער	0	573	ריגער מלוכה-טעאַטער		1	1.000
535	וויניצער יידישן מלוכה-טעאַטער	וויניצער יידישן מלוכהשן טעאַטער	0	575	כאַרקאָווער יידישן טעאַטער	כאַרקאָווער יידישער טעאַטער	2	1.000
535	וויניצער יידישן מלוכה-טעאַטער	וויניצער יידישן מלוכהשן טעאַטער	0	591	מאָלדאָוואַנישן מלוכה-טעאַטער		0	1.000
535	וויניצער יידישן מלוכה-טעאַטער	וויניצער יידישן מלוכהשן טעאַטער	0	592	אוקראַאינישן יידישן מלוכה-טעאַטער		0	1.000
535	וויניצער יידישן מלוכה-טעאַטער	וויניצער יידישן מלוכהשן טעאַטער	0	593	ווייסרוסישן יידישן מלוכה-טעאַטער		1	1.000
535	וויניצער יידישן מלוכה-טעאַטער	וויניצער יידישן מלוכהשן טעאַטער	0	615	ניו יאָרקער יידישן פֿאָלקס-טעאַטער		1	1.000
535	וויניצער יידישן מלוכה-טעאַטער	וויניצער יידישן מלוכהשן טעאַטער	0	623	פּאַריזער יידישע קונסט-טעאַטער		1	1.000
535	וויניצער יידישן מלוכה-טעאַטער	וויניצער יידישן מלוכהשן טעאַטער	0	638	קאַמעראַל-טעאַטער		1	1.000
535	וויניצער יידישן מלוכה-טעאַטער	וויניצער יידישן מלוכהשן טעאַטער	0	655	שיקאַגער יידישן טעאַטער		1	1.000
535	וויניצער יידישן מלוכה-טעאַטער	וויניצער יידישן מלוכהשן טעאַטער	0	658	באַסטאָנער יידישן טעאַטער		1	1.000
535	וויניצער יידישן מלוכה-טעאַטער	וויניצער יידישן מלוכהשן טעאַטער	0	664	לאָדזשער יידישן טעאַטער	לאָדזשער יידישן טעאַטער	1	1.000
535	וויניצער יידישן מלוכה-טעאַטער	וויניצער יידישן מלוכהשן טעאַטער	0	665	קיעווער יידישן טעאַטער	קיעווער יידישן טעאַטער	1	1.000
535	וויניצער יידישן מלוכה-טעאַטער	וויניצער יידישן מלוכהשן טעאַטער	0	671	לאָנדאָנער יידישן פּאַוויליאָן-טעאַטער	לאָנדאָנער יידישן פּאַוויליאָן-טעאַטער	1	1.000
535	וויניצער יידישן מלוכה-טעאַטער	וויניצער יידישן מלוכהשן טעאַטער	0	726		דאַנציגער יידישן טעאַטער	1	1.000
535	וויניצער יידישן מלוכה-טעאַטער	וויניצער יידישן מלוכהשן טעאַטער	0	733		קולטור-בונד-טעאַטער	1	1.000
535	וויניצער יידישן מלוכה-טעאַטער	וויניצער יידישן מלוכהשן טעאַטער	0	745		מינסקער מעלוכעשער יידישער טעאַטער	1	1.000
541	ווילנער יידישן פֿאָלקס-טעאַטער		1	548	קעשענעווער יידישן מלוכה-טעאַטער		1	1.000
541	ווילנער יידישן פֿאָלקס-טעאַטער		1	555	קעמי-טעאַטער		1	1.000
541	ווילנער יידישן פֿאָלקס-טעאַטער		1	562	כאַרקאָווער ערשטן יידישן מלוכה-טעאַטער		0	1.000
541	ווילנער יידישן פֿאָלקס-טעאַטער		1	570	ווייסרוסישן פֿאָלקס-טעאַטער		1	1.000
541	ווילנער יידישן פֿאָלקס-טעאַטער		1	571	ווילנער יידישן אָפּערע-טעאַטער		2	1.000
541	ווילנער יידישן פֿאָלקס-טעאַטער		1	573	ריגער מלוכה-טעאַטער		1	1.000
541	ווילנער יידישן פֿאָלקס-טעאַטער		1	575	כאַרקאָווער יידישן טעאַטער	כאַרקאָווער יידישער טעאַטער	2	1.000
541	ווילנער יידישן פֿאָלקס-טעאַטער		1	591	מאָלדאָוואַנישן מלוכה-טעאַטער		0	1.000
541	ווילנער יידישן פֿאָלקס-טעאַטער		1	592	אוקראַאינישן יידישן מלוכה-טעאַטער		0	1.000
541	ווילנער יידישן פֿאָלקס-טעאַטער		1	593	ווייסרוסישן יידישן מלוכה-טעאַטער		1	1.000
541	ווילנער יידישן פֿאָלקס-טעאַטער		1	615	ניו יאָרקער יידישן פֿאָלקס-טעאַטער		1	1.000
541	ווילנער יידישן פֿאָלקס-טעאַטער		1	623	פּאַריזער יידישע קונסט-טעאַטער		1	1.000
541	ווילנער יידישן פֿאָלקס-טעאַטער		1	638	קאַמעראַל-טעאַטער		1	1.000
541	ווילנער יידישן פֿאָלקס-טעאַטער		1	655	שיקאַגער יידישן טעאַטער		1	1.000
541	ווילנער יידישן פֿאָלקס-טעאַטער		1	658	באַסטאָנער יידישן טעאַטער		1	1.000
541	ווילנער יידישן פֿאָלקס-טעאַטער		1	664	לאָדזשער יידישן טעאַטער	לאָדזשער יידישן טעאַטער	1	1.000
541	ווילנער יידישן פֿאָלקס-טעאַטער		1	665	קיעווער יידישן טעאַטער	קיעווער יידישן טעאַטער	1	1.000
541	ווילנער יידישן פֿאָלקס-טעאַטער		1	671	לאָנדאָנער יידישן פּאַוויליאָן-טעאַטער	לאָנדאָנער יידישן פּאַוויליאָן-טעאַטער	1	1.000
541	ווילנער יידישן פֿאָלקס-טעאַטער		1	726		דאַנציגער יידישן טעאַטער	1	1.000
541	ווילנער יידישן פֿאָלקס-טעאַטער		1	733		קולטור-בונד-טעאַטער	1	1.000
541	ווילנער יידישן פֿאָלקס-טעאַטער		1	745		מינסקער מעלוכעשער יידישער טעאַטער	1	1.000
546	יידישן מלוכה-טעאַטער פֿון פּוילן		0	598	יידישן מלוכה-טעאַטער א'פ פֿון אַזראַ		1	1.000
548	קעשענעווער יידישן מלוכה-טעאַטער		1	555	קעמי-טעאַטער		1	1.000
548	קעשענעווער יידישן מלוכה-טעאַטער		1	562	כאַרקאָווער ערשטן יידישן מלוכה-טעאַטער		0	1.000
548	קעשענעווער יידישן מלוכה-טעאַטער		1	570	ווייסרוסישן פֿאָלקס-טעאַטער		1	1.000
548	קעשענעווער יידישן מלוכה-טעאַטער		1	571	ווילנער יידישן אָפּערע-טעאַטער		2	1.000
548	קעשענעווער יידישן מלוכה-טעאַטער		1	573	ריגער מלוכה-טעאַטער		1	1.000
548	קעשענעווער יידישן מלוכה-טעאַטער		1	575	כאַרקאָווער יידישן טעאַטער	כאַרקאָווער יידישער טעאַטער	2	1.000
548	קעשענעווער יידישן מלוכה-טעאַטער		1	591	מאָלדאָוואַנישן מלוכה-טעאַטער		0	1.000
548	קעשענעווער יידישן מלוכה-טעאַטער		1	592	אוקראַאינישן יידישן מלוכה-טעאַטער		0	1.000
548	קעשענעווער יידישן מלוכה-טעאַטער		1	593	ווייסרוסישן יידישן מלוכה-טעאַטער		1	1.000
548	קעשענעווער יידישן מלוכה-טעאַטער		1	615	ניו יאָרקער יידישן פֿאָלקס-טעאַטער		1	1.000
548	קעשענעווער יידישן מלוכה-טעאַטער		1	623	פּאַריזער יידישע קונסט-טעאַטער		1	1.000
548	קעשענעווער יידישן מלוכה-טעאַטער		1	638	קאַמעראַל-טעאַטער		1	1.000
548	קעשענעווער יידישן מלוכה-טעאַטער		1	655	שיקאַגער יידישן טעאַטער		1	1.000
548	קעשענעווער יידישן מלוכה-טעאַטער		1	658	באַסטאָנער יידישן טעאַטער		1	1.000
548	קעשענעווער יידישן מלוכה-טעאַטער		1	664	לאָדזשער יידישן טעאַטער	לאָדזשער יידישן טעאַטער	1	1.000
548	קעשענעווער יידישן מלוכה-טעאַטער		1	665	קיעווער יידישן טעאַטער	קיעווער יידישן טעאַטער	1	1.000
548	קעשענעווער יידישן מלוכה-טעאַטער		1	671	לאָנדאָנער יידישן פּאַוויליאָן-טעאַטער	לאָנדאָנער יידישן פּאַוויליאָן-טעאַטער	1	1.000
548	קעשענעווער יידישן מלוכה-טעאַטער		1	726		דאַנציגער יידישן טעאַטער	1	1.000
548	קעשענעווער יידישן מלוכה-טעאַטער		1	733		קולטור-בונד-טעאַטער	1	1.000
548	קעשענעווער יידישן מלוכה-טעאַטער		1	745		מינסקער מעלוכעשער יידישער טעאַטער	1	1.000
551	ווילנער טרופּע		1	667	ווילנער פֿאָלקס-טעאַטער	ווילנער פֿאָלקס-טעאַטער	1	1.000
555	קעמי-טעאַטער		1	562	כאַרקאָווער ערשטן יידישן מלוכה-טעאַטער		0	1.000
555	קעמי-טעאַטער		1	570	ווייסרוסישן פֿאָלקס-טעאַטער		1	1.000
555	קעמי-טעאַטער		1	571	ווילנער יידישן אָפּערע-טעאַטער		2	1.000
555	קעמי-טעאַטער		1	573	ריגער מלוכה-טעאַטער		1	1.000
555	קעמי-טעאַטער		1	575	כאַרקאָווער יידישן טעאַטער	כאַרקאָווער יידישער טעאַטער	2	1.000
555	קעמי-טעאַטער		1	591	מאָלדאָוואַנישן מלוכה-טעאַטער		0	1.000
555	קעמי-טעאַטער		1	592	אוקראַאינישן יידישן מלוכה-טעאַטער		0	1.000
555	קעמי-טעאַטער		1	593	ווייסרוסישן יידישן מלוכה-טעאַטער		1	1.000
555	קעמי-טעאַטער		1	615	ניו יאָרקער יידישן פֿאָלקס-טעאַטער		1	1.000
555	קעמי-טעאַטער		1	623	פּאַריזער יידישע קונסט-טעאַטער		1	1.000
555	קעמי-טעאַטער		1	638	קאַמעראַל-טעאַטער		1	1.000
555	קעמי-טעאַטער		1	655	שיקאַגער יידישן טעאַטער		1	1.000
555	קעמי-טעאַטער		1	658	באַסטאָנער יידישן טעאַטער		1	1.000
555	קעמי-טעאַטער		1	664	לאָדזשער יידישן טעאַטער	לאָדזשער יידישן טעאַטער	1	1.000
555	קעמי-טעאַטער		1	665	קיעווער יידישן טעאַטער	קיעווער יידישן טעאַטער	1	1.000
555	קעמי-טעאַטער		1	671	לאָנדאָנער יידישן פּאַוויליאָן-טעאַטער	לאָנדאָנער יידישן פּאַוויליאָן-טעאַטער	1	1.000
555	קעמי-טעאַטער		1	726		דאַנציגער יידישן טעאַטער	1	1.000
555	קעמי-טעאַטער		1	733		קולטור-בונד-טעאַטער	1	1.000
555	קעמי-טעאַטער		1	745		מינסקער מעלוכעשער יידישער טעאַטער	1	1.000
562	כאַרקאָווער ערשטן יידישן מלוכה-טעאַטער		0	570	ווייסרוסישן פֿאָלקס-טעאַטער		1	1.000
562	כאַרקאָווער ערשטן יידישן מלוכה-טעאַטער		0	571	ווילנער יידישן אָפּערע-טעאַטער		2	1.000
562	כאַרקאָווער ערשטן יידישן מלוכה-טעאַטער		0	573	ריגער מלוכה-טעאַטער		1	1.000
562	כאַרקאָווער ערשטן יידישן מלוכה-טעאַטער		0	575	כאַרקאָווער יידישן טעאַטער	כאַרקאָווער יידישער טעאַטער	2	1.000
562	כאַרקאָווער ערשטן יידישן מלוכה-טעאַטער		0	591	מאָלדאָוואַנישן מלוכה-טעאַטער		0	1.000
562	כאַרקאָווער ערשטן יידישן מלוכה-טעאַטער		0	592	אוקראַאינישן יידישן מלוכה-טעאַטער		0	1.000
562	כאַרקאָווער ערשטן יידישן מלוכה-טעאַטער		0	593	ווייסרוסישן יידישן מלוכה-טעאַטער		1	1.000
562	כאַרקאָווער ערשטן יידישן מלוכה-טעאַטער		0	615	ניו יאָרקער יידישן פֿאָלקס-טעאַטער		1	1.000
562	כאַרקאָווער ערשטן יידישן מלוכה-טעאַטער		0	623	פּאַריזער יידישע קונסט-טעאַטער		1	1.000
562	כאַרקאָווער ערשטן יידישן מלוכה-טעאַטער		0	638	קאַמעראַל-טעאַטער		1	1.000
562	כאַרקאָווער ערשטן יידישן מלוכה-טעאַטער		0	655	שיקאַגער יידישן טעאַטער		1	1.000
562	כאַרקאָווער ערשטן יידישן מלוכה-טעאַטער		0	658	באַסטאָנער יידישן טעאַטער		1	1.000
562	כאַרקאָווער ערשטן יידישן מלוכה-טעאַטער		0	664	לאָדזשער יידישן טעאַטער	לאָדזשער יידישן טעאַטער	1	1.000
562	כאַרקאָווער ערשטן יידישן מלוכה-טעאַטער		0	665	קיעווער יידישן טעאַטער	קיעווער יידישן טעאַטער	1	1.000
562	כאַרקאָווער ערשטן יידישן מלוכה-טעאַטער		0	671	לאָנדאָנער יידישן פּאַוויליאָן-טעאַטער	לאָנדאָנער יידישן פּאַוויליאָן-טעאַטער	1	1.000
562	כאַרקאָווער ערשטן יידישן מלוכה-טעאַטער		0	726		דאַנציגער יידישן טעאַטער	1	1.000
562	כאַרקאָווער ערשטן יידישן מלוכה-טעאַטער		0	733		קולטור-בונד-טעאַטער	1	1.000
562	כאַרקאָווער ערשטן יידישן מלוכה-טעאַטער		0	745		מינסקער מעלוכעשער יידישער טעאַטער	1	1.000
565	לאָנדאָנער יידישן פֿאָלקס-טעאַטער		1	656	לאָנדאָנער יידישן טעאַטער		1	1.000
565	לאָנדאָנער יידישן פֿאָלקס-טעאַטער		1	667	ווילנער פֿאָלקס-טעאַטער	ווילנער פֿאָלקס-טעאַטער	1	1.000
566	יאָוועלירס טרופּע		1	578	טרופּע פֿון יאָוועליר		2	1.000
570	ווייסרוסישן פֿאָלקס-טעאַטער		1	571	ווילנער יידישן אָפּערע-טעאַטער		2	1.000
570	ווייסרוסישן פֿאָלקס-טעאַטער		1	573	ריגער מלוכה-טעאַטער		1	1.000
570	ווייסרוסישן פֿאָלקס-טעאַטער		1	575	כאַרקאָווער יידישן טעאַטער	כאַרקאָווער יידישער טעאַטער	2	1.000
570	ווייסרוסישן פֿאָלקס-טעאַטער		1	591	מאָלדאָוואַנישן מלוכה-טעאַטער		0	1.000
570	ווייסרוסישן פֿאָלקס-טעאַטער		1	592	אוקראַאינישן יידישן מלוכה-טעאַטער		0	1.000
570	ווייסרוסישן פֿאָלקס-טעאַטער		1	593	ווייסרוסישן יידישן מלוכה-טעאַטער		1	1.000
570	ווייסרוסישן פֿאָלקס-טעאַטער		1	615	ניו יאָרקער יידישן פֿאָלקס-טעאַטער		1	1.000
570	ווייסרוסישן פֿאָלקס-טעאַטער		1	623	פּאַריזער יידישע קונסט-טעאַטער		1	1.000
570	ווייסרוסישן פֿאָלקס-טעאַטער		1	638	קאַמעראַל-טעאַטער		1	1.000
570	ווייסרוסישן פֿאָלקס-טעאַטער		1	655	שיקאַגער יידישן טעאַטער		1	1.000
570	ווייסרוסישן פֿאָלקס-טעאַטער		1	658	באַסטאָנער יידישן טעאַטער		1	1.000
570	ווייסרוסישן פֿאָלקס-טעאַטער		1	664	לאָדזשער יידישן טעאַטער	לאָדזשער יידישן טעאַטער	1	1.000
570	ווייסרוסישן פֿאָלקס-טעאַטער		1	665	קיעווער יידישן טעאַטער	קיעווער יידישן טעאַטער	1	1.000
570	ווייסרוסישן פֿאָלקס-טעאַטער		1	671	לאָנדאָנער יידישן פּאַוויליאָן-טעאַטער	לאָנדאָנער יידישן פּאַוויליאָן-טעאַטער	1	1.000
570	ווייסרוסישן פֿאָלקס-טעאַטער		1	726		דאַנציגער יידישן טעאַטער	1	1.000
570	ווייסרוסישן פֿאָלקס-טעאַטער		1	733		קולטור-בונד-טעאַטער	1	1.000
570	ווייסרוסישן פֿאָלקס-טעאַטער		1	745		מינסקער מעלוכעשער יידישער טעאַטער	1	1.000
571	ווילנער יידישן אָפּערע-טעאַטער		2	573	ריגער מלוכה-טעאַטער		1	1.000
571	ווילנער יידישן אָפּערע-טעאַטער		2	575	כאַרקאָווער יידישן טעאַטער	כאַרקאָווער יידישער טעאַטער	2	1.000
571	ווילנער יידישן אָפּערע-טעאַטער		2	591	מאָלדאָוואַנישן מלוכה-טעאַטער		0	1.000
571	ווילנער יידישן אָפּערע-טעאַטער		2	592	אוקראַאינישן יידישן מלוכה-טעאַטער		0	1.000
571	ווילנער יידישן אָפּערע-טעאַטער		2	593	ווייסרוסישן יידישן מלוכה-טעאַטער		1	1.000
571	ווילנער יידישן אָפּערע-טעאַטער		2	615	ניו יאָרקער יידישן פֿאָלקס-טעאַטער		1	1.000
571	ווילנער יידישן אָפּערע-טעאַטער		2	623	פּאַריזער יידישע קונסט-טעאַטער		1	1.000
571	ווילנער יידישן אָפּערע-טעאַטער		2	638	קאַמעראַל-טעאַטער		1	1.000
571	ווילנער יידישן אָפּערע-טעאַטער		2	655	שיקאַגער יידישן טעאַטער		1	1.000
571	ווילנער יידישן אָפּערע-טעאַטער		2	658	באַסטאָנער יידישן טעאַטער		1	1.000
571	ווילנער יידישן אָפּערע-טעאַטער		2	664	לאָדזשער יידישן טעאַטער	לאָדזשער יידישן טעאַטער	1	1.000
571	ווילנער יידישן אָפּערע-טעאַטער		2	665	קיעווער יידישן טעאַטער	קיעווער יידישן טעאַטער	1	1.000
571	ווילנער יידישן אָפּערע-טעאַטער		2	671	לאָנדאָנער יידישן פּאַוויליאָן-טעאַטער	לאָנדאָנער יידישן פּאַוויליאָן-טעאַטער	1	1.000
571	ווילנער יידישן אָפּערע-טעאַטער		2	726		דאַנציגער יידישן טעאַטער	1	1.000
571	ווילנער יידישן אָפּערע-טעאַטער		2	733		קולטור-בונד-טעאַטער	1	1.000
571	ווילנער יידישן אָפּערע-טעאַטער		2	745		מינסקער מעלוכעשער יידישער טעאַטער	1	1.000
573	ריגער מלוכה-טעאַטער		1	575	כאַרקאָווער יידישן טעאַטער	כאַרקאָווער יידישער טעאַטער	2	1.000
573	ריגער מלוכה-טעאַטער		1	591	מאָלדאָוואַנישן מלוכה-טעאַטער		0	1.000
573	ריגער מלוכה-טעאַטער		1	592	אוקראַאינישן יידישן מלוכה-טעאַטער		0	1.000
573	ריגער מלוכה-טעאַטער		1	593	ווייסרוסישן יידישן מלוכה-טעאַטער		1	1.000
573	ריגער מלוכה-טעאַטער		1	615	ניו יאָרקער יידישן פֿאָלקס-טעאַטער		1	1.000
573	ריגער מלוכה-טעאַטער		1	623	פּאַריזער יידישע קונסט-טעאַטער		1	1.000
573	ריגער מלוכה-טעאַטער		1	638	קאַמעראַל-טעאַטער		1	1.000
573	ריגער מלוכה-טעאַטער		1	655	שיקאַגער יידישן טעאַטער		1	1.000
573	ריגער מלוכה-טעאַטער		1	658	באַסטאָנער יידישן טעאַטער		1	1.000
573	ריגער מלוכה-טעאַטער		1	664	לאָדזשער יידישן טעאַטער	לאָדזשער יידישן טעאַטער	1	1.000
