db_id	canonical_yiddish	org_type	linked_cluster_ids	mentions	n_settlements	extracted_settlements	extracted_addresses	extracted_venues	extracted_countries	is_generic	is_exploded	parent_db_id	confirmed_settlement	confirmed_settlement_yiddish	confirmed_address	confirmed_address_romanized	lat	lon	reviewer_notes	confirmed_locations	reviewer	reviewed_at
507	נאָוואָשטשי	Theatre	ORG-C00212	1	1	וואַרשע		נאָוואָשטשי	פּוילן				Warsaw	ביעלאַנסקאַ 5, וואַרשע	רחוב בילנסקה 5, וורשה	 5 Bielańska , Warsaw	52.244296	21.005578		"[{""settlement"": ""Warsaw"", ""settlement_yiddish"": ""ביעלאַנסקאַ 5, וואַרשע"", ""address"": ""רחוב בילנסקה 5, וורשה"", ""address_romanized"": "" 5 Bielańska , Warsaw"", ""lat"": ""52.244296"", ""lon"": ""21.005578""}]"	Maaty	2026-04-11T18:48:04Z
473	קיעווער יידישן מלוכה-טעאַטער א'נ פון שלום-עליכם	theatre	ORG-C00013	1	1	קיעוו							Kyiv				50.450034	30.524136		"[{""settlement"": ""Kyiv"", ""settlement_yiddish"": """", ""address"": """", ""address_romanized"": """", ""lat"": ""50.450034"", ""lon"": ""30.524136""}]"	Sinai	2026-04-06T05:17:41Z
178	3rd Street Theatre	Theatre		0	0								New York 		East 3rd Street		40.725082	-73.988685		"[{""settlement"": ""New York "", ""settlement_yiddish"": """", ""address"": ""East 3rd Street"", ""address_romanized"": """", ""lat"": ""40.725082"", ""lon"": ""-73.988685""}]"	Bella	2026-04-09T09:55:27Z
155	Academy of Music	Theatre		0	0																	
109	Adler Theatre	Theatre		0	0		255 Grand Street, at Chrystie Street, Manhattan, NY									 Grand & Chrystie, Manhattan, NY	42.319409	-77.663679		"[{""settlement"": """", ""settlement_yiddish"": """", ""address"": """", ""address_romanized"": "" Grand & Chrystie, Manhattan, NY"", ""lat"": ""42.319409"", ""lon"": ""-77.663679""}]"	Sinai	2026-04-06T05:20:13Z
186	Amphion Theatre	Theatre		0	0								New York		Bedford Avenue, Williamsburg, Brooklyn		40.717405	-73.957		"[{""settlement"": ""New York"", ""settlement_yiddish"": """", ""address"": ""Bedford Avenue, Williamsburg, Brooklyn"", ""address_romanized"": """", ""lat"": ""40.717405"", ""lon"": ""-73.957""}]"	Bella	2026-04-11T17:17:42Z
188	Aquarium Theatre	Theatre		0	0																	
190	Arch Street Theatre	Theatre		0	0											819 Arch Street, philadelphia	39.953283	-75.153515				
110	Artef Theatre	Theatre		0	0		247 West 48 St., Manhattan, NY									247 West 48 St., Manhattan, NY	40.760609	-73.985778				
191	Arthur Hopkins' Theatre	Theatre		0	0																	
193	Bagatela Theatre	Theatre		0	0								Warsaw		Karmelicka 6, 31-128		52.24372	20.995563		"[{""settlement"": ""Warsaw"", ""settlement_yiddish"": """", ""address"": ""Karmelicka 6, 31-128"", ""address_romanized"": """", ""lat"": ""52.24372"", ""lon"": ""20.995563""}]"	Bella	2026-04-11T17:23:18Z
200	Boston theatre	Theatre		0	0								Boston				42.358834	-71.05783		"[{""settlement"": ""Boston"", ""settlement_yiddish"": """", ""address"": """", ""address_romanized"": """", ""lat"": ""42.358834"", ""lon"": ""-71.05783""}]"	Sinai	2026-04-06T05:11:03Z
111	Bowery Garden Theatre	Theatre		0	0		113 1/2 Bowery, Manhattan, NY						NEW YORK 	113½ באַווערי, מאַנהעטן, ניו־יאָרק	113 1/2 Bowery,	113 1/2 Bowery, Manhattan, NY	40.726183	-73.991933		"[{""settlement"": ""NEW YORK "", ""settlement_yiddish"": ""113½ באַווערי, מאַנהעטן, ניו־יאָרק"", ""address"": ""113 1/2 Bowery,"", ""address_romanized"": ""113 1/2 Bowery, Manhattan, NY"", ""lat"": ""40.726183"", ""lon"": ""-73.991933""}]"	Maaty	2026-04-12T07:49:42Z
332	Brownsville Metropolitan Singer Hall	Theatre		0	0								New York	פּיטקין עוועניו, בראַונסוויל, ברוקלין, ניו־יאָרק	Pitkin Avenue, Brownsville, 	Pitkin Avenue, Brownsville, Brooklyn, New York	40.921376	-72.6633		"[{""settlement"": ""New York"", ""settlement_yiddish"": ""פּיטקין עוועניו, בראַונסוויל, ברוקלין, ניו־יאָרק"", ""address"": ""Pitkin Avenue, Brownsville, "", ""address_romanized"": ""Pitkin Avenue, Brownsville, Brooklyn, New York"", ""lat"": ""40.921376"", ""lon"": ""-72.6633""}]"	Maaty	2026-04-12T07:47:45Z
204	Bulgarov Theatre	Theatre		0	0																	
168	Casino Teater (previously Gilmore's)	Theatre		0	0		8th and Walnut Street, Philadelphia						Philadelphia	809 וואָלנאַט סטריט, פֿילאַדעלפֿיע, פּענסילוועניע	809 Walnut Street	809 Walnut Street, Philadelphia, PA	39.951368	-75.180291		"[{""settlement"": ""Philadelphia"", ""settlement_yiddish"": ""809 וואָלנאַט סטריט, פֿילאַדעלפֿיע, פּענסילוועניע"", ""address"": ""809 Walnut Street"", ""address_romanized"": ""809 Walnut Street, Philadelphia, PA"", ""lat"": ""39.951368"", ""lon"": ""-75.180291""}]"	Maaty	2026-04-12T07:34:30Z
210	Cidal Circ	Theatre		0	0																	
139	City Theater	Theatre		0	0		114 east 14th street, Manhattan, NY						New York	114 איסט 14טע גאַס, מאַנהעטן, ניו־יאָרק	14 East 14th Street, Manhattan	114 east 14th street, Manhattan, NY	40.733812	-73.988639		"[{""settlement"": ""New York"", ""settlement_yiddish"": ""114 איסט 14טע גאַס, מאַנהעטן, ניו־יאָרק"", ""address"": ""14 East 14th Street, Manhattan"", ""address_romanized"": ""114 east 14th street, Manhattan, NY"", ""lat"": ""40.733812"", ""lon"": ""-73.988639""}]"	Maaty	2026-04-12T07:32:12Z
212	Colisseum Theatre	Theatre		0	0																	
154	Columbia Theatre	Theatre		0	0																	
213	Dagmar Theatre	Theatre		0	0																	
112	Deutsch Jüdisches Theater	Theatre		0	0		Siebenbürger Str. 20, ( Holowna 74), Tchernovici															
221	Di Fraye Yidishe Folks-Bine	Theatre		0	0																	
169	Die Feymos Teatre	Theatre		0	0		1307 Franklin Ave. St. Louis, MO															
34	Dramatic Folk Theatre	Theatre		0	0																	
236	Elvings Metropolitan Theatre	Theatre		0	0								Newark	117 מאָנטגאָמערי סטריט, ווינקל טשאַרלטאָן סטריט, נואַרק, ניו־דזשערזי	117 Montgomery 	117 Montgomery Street, corner of Charlton Street, Newark, New Jersey	40.729832	-74.179179		"[{""settlement"": ""Newark"", ""settlement_yiddish"": ""117 מאָנטגאָמערי סטריט, ווינקל טשאַרלטאָן סטריט, נואַרק, ניו־דזשערזי"", ""address"": ""117 Montgomery "", ""address_romanized"": ""117 Montgomery Street, corner of Charlton Street, Newark, New Jersey"", ""lat"": ""40.729832"", ""lon"": ""-74.179179""}]"	Maaty	2026-04-12T07:30:42Z
237	Elysium Theater	Theatre		0	0																	
143	Empire Theatre	Theatre		0	0																	
164	Feynman's Folks Theatre	Theatre		0	0																	
248	Folks un Jungt Theatre	Theatre		0	0																	
252	Garden Theatre	Theatre		0	0																	
165	Gilmore's Auditorium	Theatre		0	0		8th and Walnut Street, Philadelphia						Philadelphia	8טע גאַס און וואָלנאַט סטריט, פֿילאַדעלפֿיע	807 Walnut Street	8th and Walnut Street, Philadelphia	39.951368	-75.180291		"[{""settlement"": ""Philadelphia"", ""settlement_yiddish"": ""8טע גאַס און וואָלנאַט סטריט, פֿילאַדעלפֿיע"", ""address"": ""807 Walnut Street"", ""address_romanized"": ""8th and Walnut Street, Philadelphia"", ""lat"": ""39.951368"", ""lon"": ""-75.180291""}]"	Maaty	2026-04-12T07:27:31Z
257	Gimpel Theatre	Theatre		0	0								lviv	11 הנאַטיוקא, לעמבערג, אוקראַיִנע	11 Hnatiuka 	11 Hnatiuka  Lviv, Ukraine	49.845391	24.021414		"[{""settlement"": ""lviv"", ""settlement_yiddish"": ""11 הנאַטיוקא, לעמבערג, אוקראַיִנע"", ""address"": ""11 Hnatiuka "", ""address_romanized"": ""11 Hnatiuka  Lviv, Ukraine"", ""lat"": ""49.845391"", ""lon"": ""24.021414""}]"	Maaty	2026-04-12T07:26:18Z
260	Globe Theatre	Theatre		0	0								london	1 ניו גלאָוב וואַלק, בענקסייד, לאָנדאָן	21 New Globe Walk, Bankside, London, SE1 9DT	1 New Globe Walk, Bankside, London,	51.508121	-0.097186		"[{""settlement"": ""london"", ""settlement_yiddish"": ""1 ניו גלאָוב וואַלק, בענקסייד, לאָנדאָן"", ""address"": ""21 New Globe Walk, Bankside, London, SE1 9DT"", ""address_romanized"": ""1 New Globe Walk, Bankside, London,"", ""lat"": ""51.508121"", ""lon"": ""-0.097186""}]"	Maaty	2026-04-12T07:19:03Z
113	Gradina Lieblich Jigniza	Theatre		0	0		10 Calea Văcăreşti, Bucharest;10 Negru Vodă, Bucharest															
145	Grand Opera House	Theatre		0	0																	
115	Grand Theatre	Theatre		0	0		255 Grand Street, at Chrystie Street, Manhattan, NY						New York	255 גראַנד סטריט (ווינקל קריסטי סטריט), מאַנהעטען, ניו יאָרק	רחוב גראנד 255 (פינת רחוב כריסטי), מנהטן, ניו יורק	255 Grand Street, a Manhattan, NY	40.722158	-74.003666		"[{""settlement"": ""New York"", ""settlement_yiddish"": ""255 גראַנד סטריט (ווינקל קריסטי סטריט), מאַנהעטען, ניו יאָרק"", ""address"": ""רחוב גראנד 255 (פינת רחוב כריסטי), מנהטן, ניו יורק"", ""address_romanized"": ""255 Grand Street, a Manhattan, NY"", ""lat"": ""40.722158"", ""lon"": ""-74.003666""}]"	Maaty	2026-04-11T20:10:26Z
263	Groyse Teater	Theatre		0	0					TRUE											Bella	2026-04-11T18:00:06Z
278	Hengens Theatre	Theatre		0	0																	
281	Hope Theatre	Theatre		0	0																	
282	Hopkinson Theatre	Theatre		0	0								New York	482 האָפּקינסאָן עוועניו, ברוקלין, ניו־יאָרק	482 Hopkinson Ave	482 Hopkinson Ave, Brooklyn, NY	40.68467	-73.914754		"[{""settlement"": ""New York"", ""settlement_yiddish"": ""482 האָפּקינסאָן עוועניו, ברוקלין, ניו־יאָרק"", ""address"": ""482 Hopkinson Ave"", ""address_romanized"": ""482 Hopkinson Ave, Brooklyn, NY"", ""lat"": ""40.68467"", ""lon"": ""-73.914754""}]"	Maaty	2026-04-12T07:15:23Z
150	Hub Theatre	Theatre		0	0																	
116	Irwing Place (Deutsches) Theatre	Theatre		0	0		Irwing Place and 15th St., Manhattan, NY						New York	אירווינג פּלייס און 15טע גאַס, מאַנהעטן, ניו־יאָרק	East 15th Street	15th St., Manhattan, NY	40.601159	-73.956846		"[{""settlement"": ""New York"", ""settlement_yiddish"": ""אירווינג פּלייס און 15טע גאַס, מאַנהעטן, ניו־יאָרק"", ""address"": ""East 15th Street"", ""address_romanized"": ""15th St., Manhattan, NY"", ""lat"": ""40.601159"", ""lon"": ""-73.956846""}]"	Maaty	2026-04-12T07:12:15Z
166	Jardin d'Hiver	Theatre		0	0		Chmielna 9, Warsaw						Warsaw	חמיעלנע 9, וואַרשע	Chmielna 9	Chmielna 9, Warsaw	52.232803	21.017561		"[{""settlement"": ""Warsaw"", ""settlement_yiddish"": ""חמיעלנע 9, וואַרשע"", ""address"": ""Chmielna 9"", ""address_romanized"": ""Chmielna 9, Warsaw"", ""lat"": ""52.232803"", ""lon"": ""21.017561""}]"	Maaty	2026-04-11T20:12:04Z
160	Kalich Theatre	Theatre		0	0		Bowery 45-47, NYC															
147	Kaminski's Theatre	Theatre		0	0		Ulica Obozna 1-3, Warsaw															
144	Kessler's Lyric Theatre	Theatre		0	0		Siegel Street and Broadway, Brooklyn, NY															
307	Kunst vinkl	Theatre		0	0																	
308	Lawndale Theatre	Theatre		0	0								chicago	4015 וועסט רוזוועלט ראָד, שיקאַגע	W Roosevelt Rd	4015 W Roosevelt Rd, Chicago	41.858242	-87.705741		"[{""settlement"": ""chicago"", ""settlement_yiddish"": ""4015 וועסט רוזוועלט ראָד, שיקאַגע"", ""address"": ""W Roosevelt Rd"", ""address_romanized"": ""4015 W Roosevelt Rd, Chicago"", ""lat"": ""41.858242"", ""lon"": ""-87.705741""}]"	Maaty	2026-04-12T07:06:26Z
140	Lenox Theater	Theatre		0	0		Lenox Ave and 111 street, Manhattan, NY															
316	Liberty Theatre	Theatre		0	0																	
318	Lieberman Theatre	Theatre		0	0																	
321	Lit. Dram. Gesellschaft	Theatre		0	0																	
326	Lublin Municipal Theatre	Theatre		0	0																	
176	Lyric Theatre	Theatre		0	0		Seigel Street 16-18-20, Brooklyn, NY															
170	Madison Street Theater	Theatre		0	0		Madison Street, Chicago, IL															
117	Mariinski	Theatre		0	0		1 Tchaikovsky Street, Odessa															
146	Metropolitan Theatre	Theatre		0	0																	
344	Mount Morris Theatre	Theatre		0	0																	
161	Muranover Yiddish Teater	Theatre		0	0		Bonifraterska street 14, Muranow, Warsaw															
346	National Opera Warsaw	Theatre		0	0																	
118	National Theatre	Theatre		0	0		104-106 Bowery, Manhattan, NY															
141	New Orpheum Theater	Theatre		0	0		125 Battery Park and Lexington, Manhattan, NY															
167	New Star Theatre	Theatre		0	0		Lexington Ave. and 107 Street, NY															
348	New York's Public Theatre	Theatre		0	0																	
350	Nord Star Theatre	Theatre		0	0																	
353	Nowy Teatr	Theatre		0	0																	
354	Odessa Municipal Theatre	Theatre		0	0																	
171	Olimpic Theatre	Theatre		0	0		3rd Ave. between 129-130th streets, NY															
162	Olimpic Theatre (St. Louis, MO)	Theatre		0	0		S Broadway & Walnut St, St. Louis, MO															
177	Oriental Theater (Philadelphia)	Theatre		0	0		3טע און גרין סטס., פילאַדעלפיע															
119	Oriental Theatre	Theatre		0	0		113 1/2 Bowery, Manhattan, NY															
172	Park Theatre	Theatre		0	0		3rd Ave. between 129-130th streets, NY															
356	Pavilion Theatre	Theatre		0	0																	
357	People's Theater London	Theatre		0	0																	
121	People's Theater Ohio	Theatre		0	0		3718 Woodland Av., Cleveland, Ohio															
120	People's Theatre NY	Theatre		0	0		199 Bowery, Manhattan, NY															
359	Peretz Theatre	Theatre		0	0																	
122	Perry Theatre	Theatre		0	0		East 22nd St., Cleveland, Ohio															
