ts	kind	result_db	qid	org_type	target_cluster	target_yiddish	n_partners	partners	partner_yiddish
2026-06-20T09:07:58Z	NEW_DB	1091	Q1899	Education	ORG-C03907	קיעווער קאָנסערוואַטאָריע	1	ORG-C00094_Q03	אָרטיקער קאָנסערוואַטאָריע
2026-06-20T09:08:35Z	NEW_DB	1092	Q1899	Theatre	ORG-C00247	קיעווער „קונסט-ווינקל“	2	ORG-C00332,ORG-C04016	"קיעווער יידישן טעאַטער „קונסט- | טעאַטער „קוּנסט-ווינקל"""
2026-06-20T09:09:01Z	NEW_DB	1093	Q1899	Theatre	ORG-C03431	קיעווער יידישן מלוכה-טעאַטער פ	1	ORG-C03525	יידישן מלוכה-טעאַטער פֿאַרן יונ
2026-06-20T09:09:34Z	NEW_DB	1094	Q1899	Theatre	ORG-C00331	"קיעווער טעאַטער-סטודיע ""אָנהיי"	2	ORG-C00454,ORG-C05559	"טעאַטער אָנהייב | סטודיע „אָנהויב"""
2026-06-20T09:10:03Z	NEW_DB	1095	Q1899	Theatre	ORG-C01333_Q02	יידישן קינדער-טעאַטער (קיעוו)	1	ORG-C03604	קיעווער יידישן קינדער-טעאַטער
2026-06-20T09:10:51Z	NEW_DB	1096	Q1899	Theatre-related Society/ Union	ORG-C01845	צוזאַמענפֿאָר פֿון די יידישע אַק	2	ORG-C00204,ORG-C01485	ערשטן צוזאַמענפֿאָר פֿון די יידי | צוואַמענפאָר פֿון יידישע אַקטי
2026-06-20T09:11:26Z	NEW_DB	1097	Q1899	Theatre-related Society/ Union	ORG-C04750	קיעווער „פאַראיין פֿון קונסט-טו	1	ORG-C07317	קיעווער קונסט-טוער פֿאַראיין
2026-06-20T09:23:08Z	NEW_DB	1098	Q649	Theatre	ORG-C00714	באָלשאָי טעאַטר	1	ORG-C00696	מאָסקווער גרויסן אָפּערע-הויז
2026-06-20T09:23:31Z	NEW_DB	1099	Q649	Theatre	ORG-C02709	זימין אָפּערע	1	ORG-C01156	זימינס אָפּערעטעאַטער
2026-06-20T09:23:57Z	NEW_DB	1100	Q649	Publisher	ORG-C01538	פֿאַרלאַג עמעס	1	ORG-C00309	מאָסקווער פאַרלאָג „דער עמעס“
2026-06-20T09:24:24Z	NEW_DB	1101	Q649	Education	ORG-C04620	מאָסקווער אוניווערזיטעט	1	ORG-C03694_Q09	אוניווערזיטעט
2026-06-20T09:25:14Z	NEW_DB	1102	Q649	Education	ORG-C03400	מאָסקווער יידישע טעאַטראַלע שו	3	ORG-C00412,ORG-C02289,ORG-C03618	מאָסקווער טעאַטראַלע שול ביים  | מאָסקווער מלוכישן יידישן טעאַט | מאָסקווער מלוכהשער יידישער טעא
2026-06-20T09:59:36Z	NEW_DB	1103	Q656	Education	ORG-C00695	פּעטערבורגער קאָנסערוואַטאָריע	4	ORG-C00001_Q05,ORG-C00094_Q06,ORG-C01551,ORG-C01553_Q02	קאָנסערוואַטאָריע | דער דאָרטיקער קאָנסערוואַטאָרי | פּעטערבורגער מוזיק-קאָנסערוואַ | מלוכה-קאָנסערוואַטאָריע
2026-06-20T10:00:05Z	NEW_DB	1104	Q656	Education	ORG-C00906	פּעטערבורגער אוניווערזיטעט	1	ORG-C03694_Q04	אוניווערזיטעט אין פּעטערבורג
