kind	id	city	miscls_theatre	duplicate	name_latin	QID	historic_address	current_address	comments
cluster	ORG-C06259	Berlin							tr.: Municipal Theatre
cluster	ORG-C06265	Berlin		yes	Yiddish Art Theatre	Q20769532		189 Second Avenue, New York, NY 10003	Maybe the Yiddish Art Theatre NYC/ in Berlin: Vilner Trupe?
cluster	ORG-C06421	Berlin		yes	Lessingtheater	Q261757		Kapelle-Ufer 1, 10117 Berlin	
cluster	ORG-C06549	Berlin		yes	Alexander-Theater	Q47304549		Alexanderstraße 1–3, 10178 Berlin	
cluster	ORG-C06602	Berlin							Max Reinhardt
cluster	ORG-C06967	Berlin							The Theatre and Art Studio of Herman, Koyfman, Reynman and Hugo Baruch
cluster	ORG-C06969	Berlin							Perhaps General Jewish Workers' Union?
cluster	ORG-C07105	Berlin							Berliner Neue Bühne
db	174	Berlin		yes	Alexander-Theater	Q47304549		Alexanderstraße 1–3, 10178 Berlin	
db	237	Berlin			Elysium Theater			ul. Karowa 14/16, 00-324 Warszawa, Poland	Poland
cluster	ORG-C00186	Vienna			Jiddischer dramatischer Kreis Ferdinand Lassalle	Q75784			
cluster	ORG-C00190_Q03	Vienna		yes	Volkstheater Wien	Q688555		Neustiftgasse 1, 1070 Wien	
cluster	ORG-C00243	Vienna			Probably Orfeum-Theater/ Budapester Orpheum(-sgesellschaft)	Q1000661	different addresses from 1891-1939		
cluster	ORG-C00555	Vienna		yes	Wiener Freie Jiddische Volksbühne	Q125212717	different addresses from 1919-1930		
cluster	ORG-C00596_Q02	Vienna							Jiddisches Dramatisches Theater in Wien/ Yiddish Drama Theatre in Vienna
cluster	ORG-C00616	Vienna		yes	Hotel Stefanie	Q1399214		Taborstraße 12, 1020 Wien	
cluster	ORG-C00745	Vienna			Rolandbühne	Q22667147		Praterstraße 25, 1020 Wien	
cluster	ORG-C00747	Vienna		yes	Bürgertheater	Q1713589		Vordere Zollamtsstraße 13, 1030 Wien	
cluster	ORG-C00806	Vienna		yes	Teater Reklam				
cluster	ORG-C00871	Vienna							ein jiddisches Theater/ a Yiddish theatre
