original_type	auto_canonical	ra_canonical	n_rows	status	tag_total_rows	tag_disagree_rows
institution	Religious institutions/organizations	OTHER - elaborate!	1	disagree	36	1
קולטור-געזעלשאַפט	OTHER - elaborate!	Society/ Union	1	disagree	1	1
			202	ra_blank	202	0
Amateur	Amateur		18	ra_blank	18	0
Circus	Circus		2	ra_blank	2	0
Company on Tour	Company on Tour		32	ra_blank	32	0
Education	Education		18	ra_blank	18	0
Gmina	Political bodies		2	ra_blank	2	0
Heritage Institution	Heritage Institution		4	ra_blank	4	0
Journals/ Newspapers	Journals/ Newspapers		2	ra_blank	2	0
Kleinkunst	Kleinkunst		12	ra_blank	12	0
Library	Library		4	ra_blank	4	0
Media (Radio/ Film)	Media (Radio/ Film/TV)		4	ra_blank	4	0
Musical organization	Musical organization		12	ra_blank	12	0
Organization	Society/ Union		2	ra_blank	2	0
Printer	Printer		26	ra_blank	26	0
Printer/Publisher	Printer/Publisher		43	ra_blank	43	0
Publisher	Publisher		96	ra_blank	96	0
School	Education		4	ra_blank	4	0
Theatre	Theatre		296	ra_blank	296	0
Traveling Company	Traveling Company		171	ra_blank	171	0
Troupe	Traveling Company		12	ra_blank	12	0
Union	Labour		2	ra_blank	2	0
academy	Education		2	ra_blank	2	0
administration	Political bodies		3	ra_blank	3	0
amateur troupe	Amateur		2	ra_blank	2	0
archive	Heritage Institution	Heritage Institution	8	agree	8	0
band	Musical organization	Musical organization	2	agree	2	0
bank	Business	Business	20	agree	20	0
book	Not an organization		1	ra_blank	1	0
booking_office	Business		2	ra_blank	2	0
brewery	Business		2	ra_blank	2	0
broadcaster	Media (Radio/ Film/TV)	Media (Radio/ Film/TV)	2	agree	2	0
business	Business	Business	22	agree	22	0
cafe	Business	Business	2	agree	2	0
children's home	Not an organization		4	ra_blank	4	0
choir	Musical organization	Musical organization	122	agree	122	0
cinema studio	Media (Radio/ Film/TV)	Media (Radio/ Film/TV)	2	agree	2	0
circus	Circus	Circus	9	agree	9	0
city council	Political bodies		2	ra_blank	2	0
clinic	Health institutions		2	ra_blank	2	0
colony	Not an organization		2	ra_blank	2	0
commission	Political bodies		4	ra_blank	4	0
communal office	Political bodies		2	ra_blank	2	0
community organization	OTHER - elaborate!		2	ra_blank	2	0
community_center	OTHER - elaborate!		2	ra_blank	2	0
community_org	OTHER - elaborate!		4	ra_blank	4	0
conference	Political bodies		2	ra_blank	2	0
congress	Political bodies		2	ra_blank	2	0
court	Political bodies		2	ra_blank	2	0
cultural department	OTHER - elaborate!		2	ra_blank	2	0
cultural society	OTHER - elaborate!		1	ra_blank	1	0
department	Political bodies		2	ra_blank	2	0
division	Political bodies		2	ra_blank	2	0
drama club	Amateur		1	ra_blank	1	0
drama_circle	Amateur	Amateur	8	agree	8	0
embassy	Political bodies		2	ra_blank	2	0
etc	OTHER - elaborate!		1	ra_blank	1	0
executive committee	Political bodies		2	ra_blank	2	0
expedition	OTHER - elaborate!		4	ra_blank	4	0
factory	Labour	Labour	44	agree	44	0
farm	Business		4	ra_blank	4	0
festival	OTHER - elaborate!		2	ra_blank	2	0
film	Media (Radio/ Film/TV)	Media (Radio/ Film/TV)	17	agree	17	0
film publisher	Media (Radio/ Film/TV)	Media (Radio/ Film/TV)	2	agree	2	0
film_company	Media (Radio/ Film/TV)	Media (Radio/ Film/TV)	26	agree	26	0
film_studio	Media (Radio/ Film/TV)	Media (Radio/ Film/TV)	2	agree	2	0
firm	Business	Business	14	agree	14	0
foundation	Religious institutions/organizations		2	ra_blank	2	0
fraternal	OTHER - elaborate!		4	ra_blank	4	0
fund	OTHER - elaborate!		2	ra_blank	2	0
ghetto	Not an organization		4	ra_blank	4	0
government	Political bodies	Political bodies	55	agree	55	0
government body	Political bodies	Political bodies	6	agree	6	0
government building	Political bodies		2	ra_blank	2	0
government_administration	Political bodies		2	ra_blank	2	0
government_agency	Political bodies	Political bodies	4	agree	4	0
government_department	Political bodies	Political bodies	2	agree	2	0
government_office	Political bodies	Political bodies	11	agree	11	0
group	OTHER - elaborate!	OTHER - elaborate!	10	agree	10	0
guild	Labour		2	ra_blank	2	0
historical_location	Heritage Institution		2	ra_blank	2	0
