db_id	name	org_type	address	linked_cluster_ids
76	B. Tursh	Printer	Franciszkańska 22, Warsaw	
77	A. Hellmann	Printer/Publisher		
78	Katzenelenbogen & Rabinowitz	Publisher	66 canal st., Manhattan, NY	
79	Meyer Levin	Printer/Publisher		
80	Theodore Lohr	Printer/Publisher	286 Grand St., Manhattan, NY	
81	Arbeiter Zeitung	Printer/Publisher		
82	Joseph Jaffe	Printer/Publisher		
83	A.B.C. Grand Record (Austria)	Publisher		
84	Garland Pub.	Printer/Publisher		
85	Julius Litwak	Printer/Publisher		
86	אליקום צונזער'ס | Elyoḳum Tsunzers	Printer/Publisher		
87	ל. ראבינאוויטץ	Printer/Publisher		
88	Rapaporṭ's Prinṭing | ראפאפארט'ס פרינטינג	Printer/Publisher		
89	Kruger und Lifshits	Printer/Publisher		
90	יאזעף קרוגער	Printer/Publisher		
91	י. ליפשיטץ [ליפשיץ]| Lipshitz Press	Printer/Publisher		
92	Baron	Printer		
93	Chathan Printing	Printer		
94	Julius Litwak|Litwack	Printer/Publisher	13 delancy - 185 Bowery, Manhattan, NY	
95	Dzsheyḳob Gordon| דזשייקאב גארדאן	Printer		
96	Grayzel & Co. Union Printers	Printer	65-67 Suffolk St., NY	
97	Ḳ. Leṿenshṭeyn ,  ק. לעווענשטיין	Printer/Publisher	60 Whitechappel rd., London	
98	Jüdischen Künstlerspiele	Printer/Publisher		
99	Albert Teres	Printer/Publisher		
100	Empire Music	Printer/Publisher		
101	Hebrew Publishing Company	Publisher		
102	J. Katzenelenbogen	Publisher	Ludlow 35, Manhattan, NY;66 canal st., Manhattan, NY	
103	Kruger Printing	Printer		
108	Folḳsbildung	Printer/Publisher		
109	Adler Theatre	Theatre	255 Grand Street, at Chrystie Street, Manhattan, NY	
110	Artef Theatre	Theatre	247 West 48 St., Manhattan, NY	ORG-C05792
111	Bowery Garden Theatre	Theatre	113 1/2 Bowery, Manhattan, NY	
112	Deutsch Jüdisches Theater	Theatre	Siebenbürger Str. 20, ( Holowna 74), Tchernovici	
113	Gradina Lieblich Jigniza	Theatre	10 Calea Văcăreşti, Bucharest;10 Negru Vodă, Bucharest	
115	Grand Theatre	Theatre	255 Grand Street, at Chrystie Street, Manhattan, NY	
116	Irwing Place (Deutsches) Theatre	Theatre	Irwing Place and 15th St., Manhattan, NY	
117	Mariinski	Theatre	1 Tchaikovsky Street, Odessa	
118	National Theatre	Theatre	104-106 Bowery, Manhattan, NY	
119	Oriental Theatre	Theatre	113 1/2 Bowery, Manhattan, NY	
120	People's Theatre NY	Theatre	199 Bowery, Manhattan, NY	
121	People's Theater Ohio	Theatre	3718 Woodland Av., Cleveland, Ohio	
122	Perry Theatre	Theatre	East 22nd St., Cleveland, Ohio	
123	Poole's Theatre	Theatre	Eighth Street and Third Avenue, Manhattan, NY	
124	Ringtheater	Theatre	Schottenring 7, Vienna	
125	Roumanian Opera House|Central Theatre	Theatre	104-106 Bowery, Manhattan, NY	
126	Salon Garibaldi	Theatre	Sarmiento 2419, Buenos Aires	
127	Schildkraut Theatre	Theatre		
128	Second Avenue Theatre	Theatre	189 Second Avenue, Manhattan, NY	
129	Terrace Garden Theatre	Theatre	58th Street and Lexington, Manhattan, NY	
130	Thalia Theatre|Bowery Theatre	Theatre	46-48 Bowery, Manhattan, NY	
131	Turn Hall	Theatre	66-68 Fourth Street, Manhattan, NY	
132	Union Theatre	Theatre	Eighth Street and Third Avenue, Manhattan, NY	
133	V. Pillings's National Theatre	Theatre	104-106 Bowery, Manhattan, NY	
134	Windsor Theatre	Theatre	37 and 39 Bowery, Manhattan, NY	
136	פאָלקס גאַרדען⸗האָל Folks Garden Hall	Theatre		
137	פּאמול ווערדי - Gradina Pomul verde	Theatre	קאלעא וואקארעשט 1, בוקרשט	
138	רוף גאַרדן - Roof Garden	Theatre		
139	City Theater	Theatre	114 east 14th street, Manhattan, NY	
140	Lenox Theater	Theatre	Lenox Ave and 111 street, Manhattan, NY	
141	New Orpheum Theater	Theatre	125 Battery Park and Lexington, Manhattan, NY	
143	Empire Theatre	Theatre		
144	Kessler's Lyric Theatre	Theatre	Siegel Street and Broadway, Brooklyn, NY	
145	Grand Opera House	Theatre		
146	Metropolitan Theatre	Theatre		
147	Kaminski's Theatre	Theatre	Ulica Obozna 1-3, Warsaw	
148	Salon Erfoon Espanol	Theatre	Piedras 534, Buenos Aires	
149	Turner Hall	Theatre	West 12th street, Chicago	
150	Hub Theatre	Theatre		
151	Tsentral Theater	Theatre	Leshno st. 1, Warsaw	
152	איזראעליטישער נאציאנאל גארטען  Israelitisches Nationalgarten	Theatre	קאלעא וואקארעשט 35, בוקרשט	
153	Glickman's Yiddish Players	Company on Tour		
154	Columbia Theatre	Theatre		
155	Academy of Music	Theatre		
156	Thomashefsky Theatre	Theatre		
157	Baumritter	Printer		
158	פ. קאנטאראוויטש|יודישע טהעאַטער⸗בּיבּליאָטעק|Teater bibliyotek	Publisher		
160	Kalich Theatre	Theatre	Bowery 45-47, NYC	
161	Muranover Yiddish Teater	Theatre	Bonifraterska street 14, Muranow, Warsaw	
162	Olimpic Theatre (St. Louis, MO)	Theatre	S Broadway & Walnut St, St. Louis, MO	
163	Royal Theatre (Harry Bernstein)	Theatre	12222 Madison Avenue, Lakewood, Cleveland	
164	Feynman's Folks Theatre	Theatre		
165	Gilmore's Auditorium	Theatre	8th and Walnut Street, Philadelphia	
166	Jardin d'Hiver	Theatre	Chmielna 9, Warsaw	ORG-C00468
167	New Star Theatre	Theatre	Lexington Ave. and 107 Street, NY	
168	Casino Teater (previously Gilmore's)	Theatre	8th and Walnut Street, Philadelphia	
169	Die Feymos Teatre	Theatre	1307 Franklin Ave. St. Louis, MO	
170	Madison Street Theater	Theatre	Madison Street, Chicago, IL	
171	Olimpic Theatre	Theatre	3rd Ave. between 129-130th streets, NY	
172	Park Theatre	Theatre	3rd Ave. between 129-130th streets, NY	
173	Teater Ermitage	Theatre	Bonifraterska street 14, Muranow, Warsaw	
174	Yiddish theatre on Alexanderplatz	Theatre	Mokotowska 72, Warsaw	
175	Sommertheater im botanischen Garten	Theatre	Botanic Garden, Vilnius	
176	Lyric Theatre	Theatre	Seigel Street 16-18-20, Brooklyn, NY	
177	Oriental Theater (Philadelphia)	Theatre	3טע און גרין סטס., פילאַדעלפיע	
178	3rd Street Theatre	Theatre		
179	Aba Shoengold Troupe	Traveling Company		
180	Abraham Axelrad Troupe	Traveling Company		
181	Abraham Fiszon Troupe	Traveling Company		
182	Adolf Gertner Troupe	Traveling Company		
183	Agid's Vaudeville House	Kleinkunst		
184	Amateur Drama Society	Amateur		
185	Am Olam	Society/ Union		
186	Amphion Theatre	Theatre		
187	Anshel Schorr's Troupe	Traveling Company		
188	Aquarium Theatre	Theatre		
189	Arbeter Ring (Workmen's Circle)	Society/ Union		
190	Arch Street Theatre	Theatre		
191	Arthur Hopkins' Theatre	Theatre		
193	Bagatela Theatre	Theatre		ORG-C01621
194	Baratov Troupe	Traveling Company		
195	Belloy Troupe	Traveling Company		
196	Bennie Shoengold Troupe	Traveling Company		
197	Berger Troupe	Traveling Company		
198	Ber Hart troupe	Traveling Company		
199	Berl Bernstein Troupe	Traveling Company		
200	Boston theatre	Theatre		
201	British Theatre Guild	Society/ Union		
203	Bronstein Troupe	Traveling Company		
204	Bulgarov Theatre	Theatre		
205	Bunes Badkhan (Tshizshik)	Traveling Company		
206	Camp Kinderland	Society/ Union		
207	Charles Nathanson's Troupe	Traveling Company		
208	Chicago's Drama Society	Society/ Union		ORG-C07959
209	Chorus of the Lemberg Polish Opera	Musical organization		
210	Cidal Circ	Theatre		
211	Cohen Brothers Troupe	Traveling Company		
212	Colisseum Theatre	Theatre		
213	Dagmar Theatre	Theatre		
214	David Shvartbard Troupe	Traveling Company		
215	Der Moment⁩ - ⁨דער מאמענט⁩⁩	Journals/ Newspapers		
216	Der Tog⁩ - ⁨דער טאג	Journals/ Newspapers		
217	Der veg	Journals/ Newspapers		
218	Der yidish-rumenysher gezangs-farayn	Musical organization		
219	Der Yud⁩ - ⁨דער יוד⁩⁩	Journals/ Newspapers		
220	Deutsche presse verwaltung	Journals/ Newspapers		
221	Di Fraye Yidishe Folks-Bine	Theatre		
222	di Idishe federatsye far muziḳ un drama	Journals/ Newspapers		
223	Di idishe tsayṭung⁩ - ⁨די אידישע	Journals/ Newspapers		
224	Di Tsayt --די צײט	Journals/ Newspapers		
225	Di tsukunft- די צוקונפט	Journals/ Newspapers		
226	Dos artistishe vinkele	Traveling Company		
227	Dos Yiddishe Vort --דאס יודישע ווארט	Journals/ Newspapers		
228	Dramatic Arts	Amateur		
229	Dramatic Arts Dramatishe Kunst	Amateur		
230	Dramatic Circle	Amateur		
231	Dramatic Club	Amateur		
232	Dramatic union	Society/ Union		
233	E. Relkin Troupe	Traveling Company		
234	Edelhofer Troupe	Traveling Company		
235	Eldorado Theatre	Theatre		
236	Elvings Metropolitan Theatre	Theatre		
237	Elysium Theater	Theatre		
239	Ester Rukhl Kaminska Troupe	Company on Tour		
240	Esther Vaksman Troupe	Traveling Company		
241	Fanny Vaksman Troupe	Traveling Company		
242	Feldman Troupe	Traveling Company		
243	Filipesko Troupe	Traveling Company		
244	Finkel, Feinman and Mogulesko's Troupe	Traveling Company		
245	Fishzon-Spivakovski Troupe	Traveling Company		
247	Folk Singer Troupe	Kleinkunst		
248	Folks un Jungt Theatre	Theatre		
249	Forward	Journals/ Newspapers		
250	Fraye Yidishe Folks-Bine	Society/ Union		
251	Free Dramatic Studio	Education		
252	Garden Theatre	Theatre		
253	Gardetski Quartet	Musical organization		
254	Genfer Troupe	Traveling Company		
255	George Beker Troupe	Traveling Company		
256	German Choral School	Education		
257	Gimpel Theatre	Theatre		
258	Gleichman Troupe	Traveling Company		
259	Glickman and Michalesko Troupe	Company on Tour		
260	Globe Theatre	Theatre		
261	Goldene pave	Kleinkunst		
262	Golubok Troupe	Traveling Company		
263	Groyse Teater	Theatre		
264	Guzik Troupe	Traveling Company		
265	Ha-Asif	Journals/ Newspapers		
266	Habima	Company on Tour		
267	ha-Dor⁩ - ⁨הדור	Journals/ Newspapers		
268	ha-Karmel⁩ - ⁨הכרמל	Journals/ Newspapers		
269	Hart Troupe	Traveling Company		
270	HaTsfira	Journals/ Newspapers		
271	ha-Tsofeh ⁩ - ⁨הצפה	Journals/ Newspapers		
272	Haynṭ⁩ - ⁨היינט⁩⁩	Journals/ Newspapers		
273	Hazamir	Musical organization		
274	Hazman	Journals/ Newspapers		
275	Hazomir (The Nightingale)	Society/ Union		
276	Hebrew Actors' Union (HAU)	Society/ Union		ORG-C00203
277	Hebrew Actors Protective Union	Society/ Union		
278	Hengens Theatre	Theatre		
279	Hirshbein Troupe	Traveling Company		
281	Hope Theatre	Theatre		
282	Hopkinson Theatre	Theatre		
283	Hurwitz Troupe	Traveling Company		
284	Illustrirte Vokh	Journals/ Newspapers		
285	Isidor Hollander Troupe	Traveling Company		
286	Israelita	Journals/ Newspapers		
287	Itzik Mendl Bergman Troupe	Traveling Company		
288	Jacob Gertner Troupe	Traveling Company		
289	Jacob P. Adler troupe	Traveling Company		
290	Jacob Silbert Troupe	Traveling Company		
291	Jacob Spivakovski Troupe	Traveling Company		
292	Joseph Kessler Troupe (star tour)	Company on Tour		
293	Julius Adler and H. Serotsky Troupe	Traveling Company		
294	Julius Nathanson Troupe	Traveling Company		
295	Kalmen Juvelier's Theatre Troupe	Traveling Company		
296	Kamer-teater	Kleinkunst		
297	Kaminska Troupe	Traveling Company		
298	Karl Zilberman, Max Kurtz, Harry Feinberg, Gazovski and Aba Rosenzweig Toupe	Traveling Company		
