cluster_id	canonical_yiddish	org_type	decision	aligned_db_id	distinct_qids	places_english	extracted_settlements	reviewer
ORG-C00320	אַרבעטער-צייטונג	Journals/ Newspapers	DISCUSS		2	Chernivtsi | New York City	טשערנאָוויץ | ניו-יאָרק	
ORG-C00384	יידישער אַקטיאָרן-יוניע	Theatre-related Society/ Union	DEFER		2	New York City | Philadelphia	ניו יאָרק | פֿילאָדעלפיע	Sinai
ORG-C00401	טשעלסי-טעאַטער	Theatre	ALIGN	509	2	Boston | Chelsea	באָסטאָן | טשעלסי	Bella
ORG-C00490	ווייסרוסישן יידישן מלוכה-טעאַטער	Theatre	NEW	593	2	Białystok | Minsk	ביאַליסטאָק | מינסק	Bella
ORG-C00559	אונדער לעבען	Journals/ Newspapers	ALIGN	425	2	Odesa | Warsaw	אָדעס | וואַרשע	Bella
ORG-C00595	פּראָספּעקט-טעאַטער	Theatre	ALIGN	364	2	Bronx | New York City	בראַנקס | ניו יאָרק	Sinai
ORG-C00682	סעקאָנד עוועניו טעאַטער	Theatre	ALIGN	128	2	New York City | Newark	ניו יאָרק | ניואַרק	Sinai
ORG-C00957	גאָרדען טעאַטער	Theatre	ALIGN	252	2	New York City | Philadelphia	ניו יאָרק | פילאָדעלפיע	Bella
ORG-C01124	ווילנער פֿאָלקס-טעאַטער	Theatre	NEW	667	2	Vilnius | Kaunas	ווילנע | קאָוונע	Bella
ORG-C01214	דער אידישער זשורנאַל	Journals/ Newspapers	NEW	614	2	Toronto | London	טאָראַנטאָ | לאָנדאָן	Bella
ORG-C01415	פּראָגרעס	Publisher	ALIGN	57	2	Warsaw | New York City	וואַרשע | נ. י.	Bella
ORG-C01422	אַררט	Theatre	ALIGN	488	2	Vilnius | Łódź	ווילנע | לאָדזש	Sinai
ORG-C01608	די צייט	Journals/ Newspapers	NEW	637	2	Warsaw | London	וואַרשע | לאָנדאָן	Sinai
ORG-C02258	"""עלדאָראַדאָ""-טעאַטער"	Theatre	ALIGN	235	2	Warsaw | Warsaw Ghetto	וואַרשע | וואַרשעווער געטאָ	Sinai
ORG-C02738	געטאָ-טעאַטער	Theatre	NEW	628	2	Vilnius | Vilna Ghetto	ווילנע | ווילנער געטאָ	Bella
ORG-C02939	צירק-טעאַטער	Theatre	NEW	631	2	Vilnius | Łódź	ווילנע | לאָדזש	Bella
ORG-C02957	דער וועקער	Journals/ Newspapers	NEW	687	2	Brest | Rakaŭ	בריסק | ראַקאָוו	Sinai
ORG-C03238	ווינער אוניווערזיטעט	Education	NEW	588	2	Vilnius | Vienna	ווילנע | ווין	Bella
ORG-C03990	דיא וואַרהייט	Journals/ Newspapers	DEFER		2	New York City | Philadelphia	ניו-יאָרק | פֿילאָדעלפֿיע	Sinai
ORG-C04319	ניו יאָרקער יידישן קונסט-טעאַטער	Theatre	NEW	673	2	Vienna | New York City	ווין | ניו יאָרק	Bella
