db_id	status	final_tags	reviewer	reviewed_at
392	reviewed	Ad Hoc Company | Impresario Company	Ruthie	2026-09-15T13:28:56Z
414	reviewed	Ensemble Company | Cooperative Company	Ruthie	2026-09-15T13:28:56Z
415	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
417	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
423	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
424	reviewed	Not a Troupe	Ruthie	2026-09-15T13:28:56Z
428	reviewed	Ad Hoc Company | Impresario Company	Ruthie	2026-08-20T08:16:45Z
431	reviewed	Impresario Company | Ad Hoc Company | Family Company	Ruthie	2026-09-15T13:28:56Z
433	reviewed	Cooperative Company	Ruthie	2026-08-20T07:59:04Z
434	reviewed	Impresario Company | Institutional Company	Ruthie	2026-09-15T13:28:56Z
435	reviewed	Operetta / Opera Company | Impresario Company	Ruthie	2026-08-20T07:59:05Z
438	reviewed	Ad Hoc Company | Impresario Company	Ruthie	2026-08-20T08:17:45Z
440	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
451	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
452	reviewed	Impresario Company | German-Jewish Company | Kleinkunst / Revue / Cabaret Company | Star Company	Ruthie	2026-09-15T13:28:56Z
453	reviewed	Ad Hoc Company | Impresario Company	Ruthie	2026-08-20T08:18:05Z
456	reviewed	Star Company | Ad Hoc Company	Ruthie	2026-08-09T09:07:06Z
457	reviewed	Impresario Company | Operetta / Opera Company	Ruthie	2026-09-15T13:28:56Z
458	reviewed	Impresario Company	Ruthie	2026-07-23T09:05:53Z
467	reviewed	Kleinkunst / Revue / Cabaret Company | Ensemble Company | Impresario Company | Non-Jewish Company	Ruthie	2026-09-15T13:28:56Z
468	reviewed	Children's Company | Cooperative Company	Ruthie	2026-08-20T07:59:05Z
469	reviewed	Impresario Company	Ruthie	2026-07-26T06:15:11Z
470	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
477	reviewed	Ad Hoc Company | Cooperative Company | Family Company	Ruthie	2026-08-20T08:18:29Z
486	reviewed	Family Company | Impresario Company | Operetta / Opera Company | Star Company	Ruthie	2026-07-21T20:06:46Z
490	reviewed	Impresario Company | Operetta / Opera Company | Star Company | Family Company	Ruthie	2026-07-21T20:08:29Z
492	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
503	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
511	reviewed	Impresario Company | Non-Jewish Company	Ruthie	2026-09-15T13:28:56Z
521	reviewed	Operetta / Opera Company | Ensemble Company | Impresario Company	Ruthie	2026-09-15T13:28:56Z
523	reviewed	Cooperative Company | Ensemble Company	Ruthie	2026-09-15T13:28:56Z
524	reviewed	Impresario Company | Star Company	Ruthie	2026-09-15T13:28:56Z
531	reviewed	Operetta / Opera Company | Star Company	Ruthie	2026-07-21T13:28:41Z
533	reviewed	Impresario Company | Star Company	Ruthie	2026-07-26T06:25:04Z
542	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
545	reviewed	Impresario Company	Ruthie	2026-07-21T20:13:04Z
551	reviewed	Cooperative Company	Ruthie	2026-08-20T07:59:04Z
554	reviewed	Ensemble Company	Ruthie	2026-09-15T13:28:56Z
559	reviewed	Star Company | Impresario Company	Ruthie	2026-09-15T13:28:56Z
563	reviewed	Non-Jewish Company | Impresario Company | Ensemble Company	Ruthie	2026-09-15T13:28:56Z
578	reviewed	Impresario Company | Star Company	Ruthie	2026-07-26T06:47:49Z
579	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
582	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
583	reviewed	Impresario Company | Family Company	Ruthie	2026-09-15T13:28:56Z
596	reviewed	Impresario Company	Ruthie	2026-07-26T06:20:17Z
610	reviewed	Cooperative Company	Ruthie	2026-09-15T13:28:56Z
617	reviewed	Impresario Company	Ruthie	2026-08-20T08:00:00Z
625	reviewed	Children's Company | Impresario Company	Ruthie	2026-08-20T07:59:04Z
629	reviewed	Impresario Company | Family Company	Ruthie	2026-09-15T13:28:56Z
641	reviewed	Impresario Company	Ruthie	2026-08-09T09:04:50Z
661	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
678	reviewed	Kleinkunst / Revue / Cabaret Company | Impresario Company	Ruthie	2026-09-15T13:28:56Z
680	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
685	reviewed	Impresario Company | Cooperative Company	Ruthie	2026-09-15T13:28:56Z
756	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
757	reviewed	Star Company | Impresario Company | Family Company | Operetta / Opera Company	Ruthie	2026-09-15T13:28:56Z
758	reviewed	German-Jewish Company | Impresario Company	Ruthie	2026-07-25T13:43:21Z
759	reviewed	Impresario Company	Ruthie	2026-07-26T06:21:37Z
760	reviewed	Ad Hoc Company | Star Company | Impresario Company	Ruthie	2026-08-20T08:18:50Z
761	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
762	reviewed	Star Company | Impresario Company | Family Company | Operetta / Opera Company	Ruthie	2026-09-15T13:28:56Z
764	reviewed	Family Company | Star Company | Impresario Company	Ruthie	2026-08-20T08:20:02Z
765	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
767	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
768	reviewed	Impresario Company | Family Company	Ruthie	2026-09-15T13:28:56Z
769	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
770	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
771	reviewed	Impresario Company	Ruthie	2026-07-25T13:44:30Z
772	reviewed	Impresario Company | Star Company	Ruthie	2026-09-15T13:28:56Z
773	reviewed	Impresario Company | Star Company | Kleinkunst / Revue / Cabaret Company	Ruthie	2026-09-15T13:28:56Z
774	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
775	reviewed	Ad Hoc Company | Star Company | Impresario Company	Ruthie	2026-08-20T08:20:17Z
788	reviewed	Impresario Company | Star Company | Family Company	Ruthie	2026-09-15T13:28:56Z
789	reviewed	Impresario Company | Star Company | Family Company	Impresario Company	2026-09-15T13:28:56Z
790	reviewed	Impresario Company | Star Company	Impresario Company · Family Company	2026-07-26T06:31:06Z
791	reviewed	Not a Troupe	Ruthie	2026-09-15T13:28:56Z
792	reviewed	Operetta / Opera Company | Impresario Company	Ruthie	2026-09-15T13:28:56Z
793	reviewed	Impresario Company | Operetta / Opera Company	Ruthie	2026-09-15T13:28:56Z
794	reviewed	Star Company	Ruthie	2026-09-15T13:28:56Z
802	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
803	reviewed	Impresario Company | Family Company | Star Company	Ruthie	2026-09-15T13:28:56Z
804	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
805	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
806	reviewed	Impresario Company | Non-Jewish Company	Ruthie	2026-09-15T13:28:56Z
807	reviewed	Impresario Company	Ruthie	2026-08-20T08:01:37Z
808	reviewed	Impresario Company | Star Company	Ruthie	2026-09-15T13:28:56Z
809	reviewed	Family Company | Impresario Company	Ruthie	2026-07-25T13:40:39Z
811	reviewed	Star Company | Impresario Company	Ruthie	2026-08-20T08:20:30Z
812	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
813	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
814	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
815	reviewed	Family Company | Impresario Company	Ruthie	2026-07-26T06:32:21Z
816	reviewed	Impresario Company | Star Company | Non-Jewish Company	Ruthie	2026-09-15T13:28:56Z
817	reviewed	Ad Hoc Company | Impresario Company	Ruthie	2026-08-20T08:20:52Z
818	reviewed	Impresario Company | Family Company	Ruthie	2026-09-15T13:28:56Z
819	reviewed	Impresario Company | Kleinkunst / Revue / Cabaret Company	Ruthie	2026-09-15T13:28:56Z
820	reviewed	Impresario Company	Ruthie	2026-08-20T08:01:55Z
822	reviewed	Star Company | Impresario Company	Ruthie	2026-08-20T08:21:02Z
823	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
825	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
826	reviewed	Star Company | Impresario Company	Ruthie	2026-08-20T08:21:26Z
827	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
828	reviewed	Impresario Company | Operetta / Opera Company	Ruthie	2026-09-15T13:28:56Z
829	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
830	reviewed	Impresario Company | Star Company	Ruthie	2026-09-15T13:28:56Z
831	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
832	reviewed	Impresario Company | Family Company	Ruthie	2026-09-15T13:28:56Z
833	reviewed	Cooperative Company	Ruthie	2026-08-19T13:32:53Z
834	reviewed	Family Company | Non-Jewish Company | Impresario Company	Ruthie	2026-09-15T13:28:56Z
836	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
837	reviewed	Star Company	Ruthie	2026-09-15T13:28:56Z
838	reviewed	Operetta / Opera Company | Impresario Company	Ruthie	2026-09-15T13:28:56Z
839	reviewed	Impresario Company | Operetta / Opera Company | Star Company	Ruthie	2026-07-21T20:06:37Z
841	reviewed	Impresario Company	Ruthie	2026-08-20T08:02:12Z
843	reviewed	Impresario Company | Star Company | Family Company	Ruthie	2026-09-15T13:28:56Z
844	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
845	reviewed	Impresario Company	Ruthie	2026-08-20T08:03:34Z
846	reviewed	Impresario Company | Operetta / Opera Company	Ruthie	2026-09-15T13:28:56Z
847	reviewed	Impresario Company | Star Company	Ruthie	2026-09-15T13:28:56Z
848	reviewed	Not a Troupe	Ruthie	2026-09-15T13:28:56Z
849	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
850	reviewed	Impresario Company | Family Company	Ruthie	2026-09-15T13:28:56Z
851	reviewed	Impresario Company | Family Company | Star Company	Ruthie	2026-09-15T13:28:56Z
852	reviewed	Ad Hoc Company | Star Company | Impresario Company	Ruthie	2026-09-15T13:28:56Z
853	reviewed	Ad Hoc Company | Impresario Company	Ruthie	2026-08-20T11:42:22Z
854	reviewed	Ad Hoc Company | Impresario Company	Ruthie	2026-08-20T11:43:26Z
855	reviewed	Cooperative Company	Ruthie	2026-08-20T07:59:05Z
856	reviewed	Star Company	Ruthie	2026-09-15T13:28:56Z
857	reviewed	Impresario Company | Family Company | Kleinkunst / Revue / Cabaret Company | Marionette / Puppet Company	Ruthie	2026-09-15T13:28:56Z
858	reviewed	Ad Hoc Company | Impresario Company	Ruthie	2026-08-20T11:42:57Z
859	reviewed	Ad Hoc Company | Family Company | Impresario Company	Ruthie	2026-08-20T11:44:33Z
860	reviewed	Impresario Company | Star Company	Ruthie	2026-09-15T13:28:56Z
861	reviewed	Star Company	Ruthie	2026-09-15T13:28:56Z
862	reviewed	Star Company | Impresario Company	Ruthie	2026-08-20T11:44:33Z
863	reviewed	Star Company	Ruthie	2026-09-15T13:28:56Z
864	reviewed	Impresario Company | Family Company | Star Company	Ruthie	2026-07-26T06:23:47Z
865	reviewed	Impresario Company | Star Company	Ruthie	2026-09-15T13:28:56Z
866	reviewed	Impresario Company	Ruthie	2026-08-20T08:03:52Z
867	reviewed	Ad Hoc Company | Impresario Company	Ruthie	2026-08-20T11:44:33Z
868	reviewed	Impresario Company | Family Company	Ruthie	2026-09-15T13:28:56Z
869	reviewed	Ad Hoc Company | Impresario Company	Ruthie	2026-08-20T11:47:33Z
870	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
878	reviewed	Ensemble Company | Amateur Company	Ruthie	2026-09-15T13:28:56Z
879	reviewed	Operetta / Opera Company | Non-Jewish Company | Impresario Company	Ruthie	2026-08-20T07:58:57Z
880	reviewed	Ad Hoc Company | Impresario Company	Ruthie	2026-08-20T11:44:33Z
881	reviewed	Impresario Company | Star Company | Family Company	Ruthie	2026-09-15T13:28:56Z
882	reviewed	Ad Hoc Company | Impresario Company	Ruthie	2026-08-20T11:47:46Z
883	reviewed	Star Company	Ruthie	2026-09-15T13:28:56Z
884	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
885	reviewed	Star Company | Impresario Company	Ruthie	2026-08-20T11:49:27Z
886	reviewed	Star Company	Ruthie	2026-09-15T13:28:56Z
887	reviewed	Ensemble Company | Non-Jewish Company	Ruthie	2026-09-15T13:28:56Z
888	reviewed	Cooperative Company | Ensemble Company | Impresario Company	Ruthie	2026-09-15T13:28:56Z
889	reviewed	Ad Hoc Company | Cooperative Company	Ruthie	2026-08-20T11:49:59Z
890	reviewed	Ad Hoc Company | Star Company | Impresario Company	Ruthie	2026-08-20T11:50:23Z
891	reviewed	Amateur Company | Impresario Company | Family Company | Hebrew-Language Company	Ruthie	2026-09-15T13:28:56Z
892	reviewed	Impresario Company | Star Company | Family Company	Ruthie	2026-09-15T13:28:56Z
893	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
894	reviewed	Ad Hoc Company | Impresario Company	Ruthie	2026-08-20T11:51:38Z
895	reviewed	Star Company | Impresario Company	Ruthie	2026-08-20T13:39:20Z
896	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
897	reviewed	Ad Hoc Company | Impresario Company	Ruthie	2026-08-20T13:39:20Z
898	reviewed	Ad Hoc Company | Impresario Company	Ruthie	2026-08-20T13:37:18Z
899	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
900	reviewed	Ad Hoc Company | Star Company | Impresario Company	Ruthie	2026-08-20T13:40:35Z
901	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
902	reviewed	Star Company | Impresario Company	Ruthie	2026-09-15T13:28:56Z
903	reviewed	Impresario Company | Family Company	Ruthie	2026-09-15T13:28:56Z
904	reviewed	Star Company | Impresario Company	Ruthie	2026-08-20T13:40:35Z
907	reviewed	Impresario Company | Star Company	Ruthie	2026-09-15T13:28:56Z
908	reviewed	Impresario Company | Amateur Company	Ruthie	2026-09-15T13:28:56Z
909	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
910	reviewed	Impresario Company | Ad Hoc Company	Ruthie	2026-09-15T13:28:56Z
911	reviewed	Ad Hoc Company | Family Company | Impresario Company	Ruthie	2026-08-20T13:40:58Z
912	reviewed	Star Company | Impresario Company | Family Company	Ruthie	2026-09-15T13:28:56Z
920	reviewed	Ad Hoc Company | Impresario Company	Ruthie	2026-08-23T04:41:32Z
921	reviewed	Operetta / Opera Company | Impresario Company	Ruthie	2026-08-20T16:20:45Z
922	reviewed	Family Company | Impresario Company	Ruthie	2026-08-23T04:43:03Z
923	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
924	reviewed	Ad Hoc Company | Impresario Company	Ruthie	2026-08-23T04:43:14Z
925	reviewed	Impresario Company | Ad Hoc Company | Star Company	Ruthie	2026-09-15T13:28:56Z
926	reviewed	Ad Hoc Company | Impresario Company	Ruthie	2026-08-23T04:43:28Z
927	reviewed	Ad Hoc Company | Impresario Company	Ruthie	2026-08-23T04:44:11Z
928	reviewed	Impresario Company | Ad Hoc Company	Ruthie	2026-09-15T13:28:56Z
929	reviewed	Star Company	Ruthie	2026-09-15T13:28:56Z
930	reviewed	Ad Hoc Company | Impresario Company	Ruthie	2026-08-23T04:44:49Z
931	reviewed	Ad Hoc Company | Impresario Company	Ruthie	2026-08-23T04:45:09Z
932	reviewed	Not a Troupe	Ruthie	2026-09-15T13:28:56Z
937	reviewed	Ad Hoc Company | Star Company | Impresario Company	Ruthie	2026-08-20T13:41:55Z
938	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
956	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
957	reviewed	Star Company	Ruthie	2026-09-15T13:28:56Z
958	reviewed	Impresario Company | Non-Jewish Company	Ruthie	2026-09-15T13:28:56Z
959	reviewed	Impresario Company | Star Company | Family Company	Ruthie	2026-09-15T13:28:56Z
960	reviewed	Star Company | Impresario Company | Kleinkunst / Revue / Cabaret Company	Ruthie	2026-09-15T13:28:56Z
961	reviewed	Impresario Company | Star Company	Ruthie	2026-09-15T13:28:56Z
962	reviewed	Ad Hoc Company | Impresario Company	Ruthie	2026-08-23T04:45:59Z
963	reviewed	Impresario Company | Star Company | Operetta / Opera Company	Ruthie	2026-09-15T13:28:56Z
964	reviewed	Impresario Company | Family Company	Ruthie	2026-09-15T13:28:56Z
965	reviewed	Star Company	Ruthie	2026-09-15T13:28:56Z
966	reviewed	Impresario Company | Star Company	Ruthie	2026-09-15T13:28:56Z
968	reviewed	Ad Hoc Company | Impresario Company	Ruthie	2026-08-23T04:46:44Z
969	reviewed	Family Company | Impresario Company | Star Company	Ruthie	2026-09-15T13:28:56Z
970	reviewed	Ad Hoc Company | Impresario Company	Ruthie	2026-08-23T04:47:31Z
971	reviewed	Impresario Company | Amateur Company	Ruthie	2026-09-15T13:28:56Z
972	reviewed	Amateur Company	Ruthie	2026-09-15T13:28:56Z
973	reviewed	Ad Hoc Company | Impresario Company	Ruthie	2026-08-23T04:49:05Z
974	reviewed	Amateur Company | Hebrew-Language Company	Ruthie	2026-09-15T13:28:56Z
975	reviewed	Ad Hoc Company | Star Company | Impresario Company	Ruthie	2026-08-23T07:34:06Z
976	reviewed	Family Company | Star Company | Impresario Company	Ruthie	2026-08-23T07:07:16Z
977	reviewed	Ad Hoc Company | Impresario Company	Ruthie	2026-09-15T13:28:56Z
978	reviewed	Impresario Company | Star Company	Ruthie	2026-09-15T13:28:56Z
979	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
980	reviewed	Ad Hoc Company | Impresario Company	Ruthie	2026-09-15T13:28:56Z
981	reviewed	Impresario Company | German-Jewish Company	Ruthie	2026-09-15T13:28:56Z
982	reviewed	Impresario Company | Star Company | Family Company	Ruthie	2026-09-15T13:28:56Z
983	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
984	reviewed	Ad Hoc Company | Star Company | Impresario Company	Ruthie	2026-09-15T13:28:56Z
985	reviewed	Not a Troupe	Ruthie	2026-09-15T13:28:56Z
986	reviewed	Ad Hoc Company | Impresario Company	Ruthie	2026-09-15T13:28:56Z
987	reviewed	Impresario Company | Kleinkunst / Revue / Cabaret Company	Ruthie	2026-09-15T13:28:56Z
988	reviewed	Star Company	Ruthie	2026-09-15T13:28:56Z
989	reviewed	Operetta / Opera Company | Impresario Company	Ruthie	2026-09-15T13:28:56Z
990	reviewed	Impresario Company | Star Company	Ruthie	2026-09-15T13:28:56Z
991	reviewed	Ad Hoc Company | Impresario Company	Ruthie	2026-09-15T13:28:56Z
992	reviewed	Impresario Company | Operetta / Opera Company | Ad Hoc Company	Ruthie	2026-09-15T13:28:56Z
993	reviewed	Star Company	Ruthie	2026-09-15T13:28:56Z
994	reviewed	Ad Hoc Company | Impresario Company | Operetta / Opera Company	Ruthie	2026-09-15T13:28:56Z
995	reviewed	Kleinkunst / Revue / Cabaret Company	Ruthie	2026-09-15T13:28:56Z
996	reviewed	Impresario Company | Star Company	Ruthie	2026-09-15T13:28:56Z
998	reviewed	Ad Hoc Company | Impresario Company	Ruthie	2026-09-15T13:28:56Z
999	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
1000	reviewed	Star Company | Impresario Company	Ruthie	2026-09-15T13:28:56Z
1001	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
1002	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
1003	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
1004	reviewed	Star Company	Ruthie	2026-09-15T13:28:56Z
1005	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
1006	reviewed	Operetta / Opera Company | Impresario Company	Ruthie	2026-09-15T13:28:56Z
1007	reviewed	Ad Hoc Company | Impresario Company	Ruthie	2026-09-15T13:28:56Z
1008	reviewed	Impresario Company | Non-Jewish Company	Ruthie	2026-09-15T13:28:56Z
1009	reviewed	Ad Hoc Company | Impresario Company | Star Company | Family Company | Operetta / Opera Company	Ruthie	2026-09-15T13:28:56Z
1010	reviewed	Impresario Company | Family Company	Ruthie	2026-09-15T13:28:56Z
1011	reviewed	Not a Troupe	Ruthie	2026-09-15T13:28:56Z
1012	reviewed	Impresario Company | Star Company | Family Company	Ruthie	2026-09-15T13:28:56Z
1013	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
1014	reviewed	Impresario Company | Ad Hoc Company | Cooperative Company	Ruthie	2026-09-15T13:28:56Z
1015	reviewed	Hebrew-Language Company | Impresario Company	Ruthie	2026-08-20T07:59:04Z
1016	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
1017	reviewed	Ad Hoc Company | Impresario Company	Ruthie	2026-09-15T13:28:56Z
1018	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
1019	reviewed	Impresario Company | Family Company | Ad Hoc Company	Ruthie	2026-09-15T13:28:56Z
1020	reviewed	Impresario Company | Ad Hoc Company	Ruthie	2026-09-15T13:28:56Z
1029	reviewed	Impresario Company | Family Company | Operetta / Opera Company	Ruthie	2026-09-15T13:28:56Z
1030	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
1031	reviewed	Non-Jewish Company | Impresario Company	Ruthie	2026-09-15T13:28:56Z
1033	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
