reason	unique-id	heading	align_with_db
ambiguous_cluster_match	1-facs_322_tr_1741260430	הירשביין-טרופּע	279|Hirshbein Troupe|Traveling Company
ambiguous_cluster_match	1-facs_368_TextRegion_1710163037685_362	'ווילנער טרופּּע,,	414|The Vilna Troupe|Company on Tour
ambiguous_cluster_match	6-facs_141_tr_1747825143	מוראַנאָווער, טעאַטער	161|Muranover Yiddish Teater|Theatre
ambiguous_cluster_match	6-facs_475_r	"""ארטעף"""	110|Artef Theatre|Theatre
ambiguous_cluster_match	6-facs_652_r	"„ליטעראַרישע טרופּע""."	322|Literarishe Trupe (Literary Troupe)|Traveling Company
xml_id_not_found		„די גילדענע פּאַווע	261|Goldene pave|Kleinkunst
