db_id	name	name_yiddish	address	linked_cluster_ids	aligned_cluster_canonicals	suggested_type	suggested_confidence	matched_signals	pi_decision	pi_type	reviewer	reviewed_at
198	Ber Hart troupe	בער האַרטס טרופּע			בער האַרטס טרופּע	Traveling Company	high	Traveling Company(strong)|Traveling Company(strong)				
201	British Theatre Guild					Theatre	high	Theatre(strong)				
203	Bronstein Troupe	בראַנשטייןס טרופּע			בראַנשטייןס טרופּע	Traveling Company	high	Traveling Company(strong)|Traveling Company(strong)				
206	Camp Kinderland	קעמפּ קינדערלאַנד			קעמפּ קינדערלאַנד							
208	Chicago's Drama Society			ORG-C07959		Theatre-related Society/ Union	medium	Theatre-related Society/ Union(medium)				
215	Der Moment⁩ - ⁨דער מאמענט⁩⁩											
217	Der veg	דער וועג			דער וועג							
219	Der Yud⁩ - ⁨דער יוד⁩⁩	דער יוּד			דער יוּד							
220	Deutsche presse verwaltung											
222	di Idishe federatsye far muziḳ un drama											
223	Di idishe tsayṭung⁩ - ⁨די אידישע											
224	Di Tsayt --די צײט											
225	Di tsukunft- די צוקונפט											
226	Dos artistishe vinkele	דאָס אַרטיסטישע ווינקעלע			דאָס אַרטיסטישע ווינקעלע							
227	Dos Yiddishe Vort --דאס יודישע ווארט											
232	Dramatic union					Theatre-related Society/ Union	medium	Theatre-related Society/ Union(medium)				
234	Edelhofer Troupe	עדעלהאָפערס טרופּע			עדעלהאָפערס טרופּע	Traveling Company	high	Traveling Company(strong)|Traveling Company(strong)				
250	Fraye Yidishe Folks-Bine											
254	Genfer Troupe	גענפערס טרופּע			גענפערס טרופּע	Traveling Company	high	Traveling Company(strong)|Traveling Company(strong)				
261	Goldene pave	די גאָלדענע פּאַווע			די גאָלדענע פּאַווע | גילדענע פּאָווע							
264	Guzik Troupe	גוזיקס טרופּע			גוזיקס טרופּע	Traveling Company	high	Traveling Company(strong)|Traveling Company(strong)				
265	Ha-Asif											
267	ha-Dor⁩ - ⁨הדור	הדור			הדור							
268	ha-Karmel⁩ - ⁨הכרמל	הכרמל			הכרמל							
269	Hart Troupe	האַרטס טרופּע			האַרטס טרופּע	Traveling Company	high	Traveling Company(strong)|Traveling Company(strong)				
270	HaTsfira											
271	ha-Tsofeh ⁩ - ⁨הצפה	הצפה			הצפה							
272	Haynṭ⁩ - ⁨היינט⁩⁩	היינט			היינט							
274	Hazman											
275	Hazomir (The Nightingale)											
276	Hebrew Actors' Union (HAU)			ORG-C00203		Theatre-related Society/ Union	medium	Theatre-related Society/ Union(medium)				
277	Hebrew Actors Protective Union					Theatre-related Society/ Union	medium	Theatre-related Society/ Union(medium)				
284	Illustrirte Vokh											
