kind	id	city	current_org_type	name_latin	comment
cluster	ORG-C03517	Berlin	Theatre	Theateratelier von Hugo Baruch	Company for theatre sets, stage design and costumes
cluster	ORG-C05541	Berlin	Theatre	Große Berliner Kunstausstellung	Art Exhibition
cluster	ORG-C06602	Berlin	Theatre		Max Reinhardt
cluster	ORG-C06969	Berlin	Theatre		Perhaps General Jewish Workers' Union?
cluster	ORG-C01573	Vienna	Theatre		Maybe Godl Kurazh (actor)???
cluster	ORG-C05107	Vienna	Theatre	Verein Zion	Zion Association
