db_id_a	db_id_b	name_a	name_b	name_yi_a	name_yi_b	org_type_a	org_type_b	matched_fields	score	signal	type_match	linked_a	linked_b	suggested_action	suggested_keep	suggested_drop	reviewer_decision	reviewer_notes
111	252	Bowery Garden Theatre	Garden Theatre		גאַרדען טעאַטער	Theatre	Theatre	<surname>garden ~ <surname>garden	1.000	surname_trigram	Y			REVIEW	111	252		
1112	1128			רוסישן טעאַטער	אָרקעסטער פון רוסישן טעאַטער	Theatre	Theatre	<surname>רוסישן ~ <surname>רוסישן	1.000	surname_trigram	Y	ORG-C00036_Q05 | ORG-C00422_Q05 | ORG-C05869	ORG-C01005	REVIEW	1112	1128		
1115	1130			כהןס גימנאַזיע	אָרטיקע גימנאַזיע	Education	Education	<surname>גימנאזיע ~ <surname>גימנאזיע	1.000	surname_trigram	Y	ORG-C04291	ORG-C03042_Q01	REVIEW	1115	1130		
1115	1158			כהןס גימנאַזיע	קיעווער גימנאַזיע	Education	Education	<surname>גימנאזיע ~ <surname>גימנאזיע	1.000	surname_trigram	Y	ORG-C04291	ORG-C00059 | ORG-C03694_Q06	REVIEW	1158	1115		
1117	1125			יידיש טעאַטער אין מינסק	סטודיע אין מינסק	Theatre	Theatre	<surname>אין מינסק ~ <surname>אין מינסק	1.000	surname_trigram	Y	ORG-C01387_Q38	ORG-C06725	REVIEW	1117	1125		
1124	1284			גובערנאַטאָרס גאַרטן	טעאַטער פֿון קרעסטאָווסקיס גאָרטן	Theatre	Theatre	<surname>גארטן ~ <surname>גארטן	1.000	surname_trigram	Y	ORG-C05195	ORG-C02265	REVIEW	1124	1284		
1126	1279			יידיש דראַמאַטישן טעאַטער	פּעטערבורגער דראַמאטישן טעאַטער	Theatre	Theatre	<surname>דראמאטישן ~ <surname>דראמאטישן	1.000	surname_trigram	Y	ORG-C00596_Q03	ORG-C00552	REVIEW	1126	1279		
1126	1288			יידיש דראַמאַטישן טעאַטער	גרויסן דראַמאַטישן טעאַטער	Theatre	Theatre	<surname>דראמאטישן ~ <surname>דראמאטישן	1.000	surname_trigram	Y	ORG-C00596_Q03	ORG-C04783	REVIEW	1126	1288		
1130	1158			אָרטיקע גימנאַזיע	קיעווער גימנאַזיע	Education	Education	<surname>גימנאזיע ~ <surname>גימנאזיע	1.000	surname_trigram	Y	ORG-C03042_Q01	ORG-C00059 | ORG-C03694_Q06	REVIEW	1158	1130		
1131	1314			יידישע פֿאָלקס-שולן	רוסישער פֿאָלקס-שול	Education	Education	<surname>פאלק ~ <surname>פאלק	1.000	surname_trigram	Y	ORG-C02254_Q03	ORG-C01910 | ORG-C03583	REVIEW	1314	1131		
1140	1230			פֿאַרלאַג קולטור	קולטור-פאַרלאָג	Publisher	Publisher	<surname>קולטור ~ <surname>קולטור	1.000	surname_trigram	Y	ORG-C02295_Q01	ORG-C04784	REVIEW	1140	1230		
1161	1256			רוסישע דראַמאַטישע שול	דראַמאַטישע שול	Education	Education	<surname>דראמאטישע ~ <surname>דראמאטישע	1.000	surname_trigram	Y	ORG-C04232	ORG-C01439_Q03	REVIEW	1161	1256		
118	407	National Theatre	The Monument-National Theatre				Theatre	<surname>national ~ <surname>national	1.000	surname_trigram	N		ORG-C00655 | ORG-C03871 | ORG-C06842	REVIEW	407	118		
1181	1317			קיעווער מוזיק-שול	מוזיק-שול	Education	Education	<surname>מוזיק ~ <surname>מוזיק	1.000	surname_trigram	Y	ORG-C05021	ORG-C00208_Q05 | ORG-C00311 | ORG-C06697	REVIEW	1317	1181		
1188	1203			יידישע טעאַטער-סטודיע	קיעווער סטוּדיע	Theatre	Theatre	<surname>סטודיע ~ <surname>סטודיע	1.000	surname_trigram	Y	ORG-C02283_Q01	ORG-C03977	REVIEW	1188	1203		
1188	1285			יידישע טעאַטער-סטודיע	יידישע טעאַטער-סטודיע	Theatre	Theatre	יידישע טעאַטער-סטודיע ~ יידישע טעאַטער-סטודיע	1.000	trigram_full	Y	ORG-C02283_Q01	ORG-C02283_Q04	MERGE	1188	1285		
119	177	Oriental Theatre	Oriental Theater (Philadelphia)			Theatre	Theatre	אָרינטאַל טעאַטער ~ אָרינטאַל טעאַטער (פֿילאַדעלפֿיאַ)	1.000	trigram_full	Y			REVIEW	119	177		
1203	1285			קיעווער סטוּדיע	יידישע טעאַטער-סטודיע	Theatre	Theatre	<surname>סטודיע ~ <surname>סטודיע	1.000	surname_trigram	Y	ORG-C03977	ORG-C02283_Q04	REVIEW	1203	1285		
1242	1255			מוזיקשול אין קיעוו	גימנאַזיעס אין קיעוו	Education	Education	<surname>אין קיעוו ~ <surname>אין קיעוו	1.000	surname_trigram	Y	ORG-C06348	ORG-C01534	REVIEW	1242	1255		
1268	1273			טעכנאָלאָגישן אינסטיטוט	וואָלד-אינסטיטוט	Education	Education	<surname>אינסטיטוט ~ <surname>אינסטיטוט	1.000	surname_trigram	Y	ORG-C02238	ORG-C06377	REVIEW	1268	1273		
1279	1288			פּעטערבורגער דראַמאטישן טעאַטער	גרויסן דראַמאַטישן טעאַטער	Theatre	Theatre	<surname>דראמאטישן ~ <surname>דראמאטישן	1.000	surname_trigram	Y	ORG-C00552	ORG-C04783	REVIEW	1279	1288		
129	252	Terrace Garden Theatre	Garden Theatre		גאַרדען טעאַטער	Theatre	Theatre	<surname>garden ~ <surname>garden	1.000	surname_trigram	Y			REVIEW	129	252		
131	149	Turn Hall	Turner Hall			Theatre	Theatre	<surname>hall ~ <surname>hall	1.000	surname_trigram	Y			REVIEW	131	149		
