db_id	name	original_type	canonical_type	changed
133	V. Pillings's National Theatre	Theatre	Theatre	
134	Windsor Theatre	Theatre	Theatre	
136	פאָלקס גאַרדען⸗האָל Folks Garden Hall	Theatre	Theatre	
137	פּאמול ווערדי - Gradina Pomul verde	Theatre	Theatre	
138	רוף גאַרדן - Roof Garden	Theatre	Theatre	
139	City Theater	Theatre	Theatre	
140	Lenox Theater	Theatre	Theatre	
141	New Orpheum Theater	Theatre	Theatre	
143	Empire Theatre	Theatre	Theatre	
144	Kessler's Lyric Theatre	Theatre	Theatre	
145	Grand Opera House	Theatre	Theatre	
146	Metropolitan Theatre	Theatre	Theatre	
147	Kaminski's Theatre	Theatre	Theatre	
148	Salon Erfoon Espanol	Theatre	Theatre	
149	Turner Hall	Theatre	Theatre	
150	Hub Theatre	Theatre	Theatre	
151	Tsentral Theater	Theatre	Theatre	
152	איזראעליטישער נאציאנאל גארטען  Israelitisches Nationalgarten	Theatre	Theatre	
153	Glickman's Yiddish Players	Company on Tour	Company on Tour	
154	Columbia Theatre	Theatre	Theatre	
155	Academy of Music	Theatre	Theatre	
156	Thomashefsky Theatre	Theatre	Theatre	
157	Baumritter	Printer	Printer	
158	פ. קאנטאראוויטש|יודישע טהעאַטער⸗בּיבּליאָטעק|Teater bibliyotek	Publisher	Publisher	
160	Kalich Theatre	Theatre	Theatre	
161	Muranover Yiddish Teater	Theatre	Theatre	
162	Olimpic Theatre (St. Louis, MO)	Theatre	Theatre	
163	Royal Theatre (Harry Bernstein)	Theatre	Theatre	
164	Feynman's Folks Theatre	Theatre	Theatre	
165	Gilmore's Auditorium	Theatre	Theatre	
166	Jardin d'Hiver	Theatre	Theatre	
167	New Star Theatre	Theatre	Theatre	
168	Casino Teater (previously Gilmore's)	Theatre	Theatre	
169	Die Feymos Teatre	Theatre	Theatre	
170	Madison Street Theater	Theatre	Theatre	
171	Olimpic Theatre	Theatre	Theatre	
172	Park Theatre	Theatre	Theatre	
173	Teater Ermitage	Theatre	Theatre	
174	Yiddish theatre on Alexanderplatz	Theatre	Theatre	
175	Sommertheater im botanischen Garten	Theatre	Theatre	
176	Lyric Theatre	Theatre	Theatre	
177	Oriental Theater (Philadelphia)	Theatre	Theatre	
178	3rd Street Theatre	Theatre	Theatre	
179	Aba Shoengold Troupe	Traveling Company	Traveling Company	
180	Abraham Axelrad Troupe	Traveling Company	Traveling Company	
181	Abraham Fiszon Troupe	Traveling Company	Traveling Company	
182	Adolf Gertner Troupe			
183	Agid's Vaudeville House	Kleinkunst	Kleinkunst	
184	Amateur Drama Society	Amateur	Amateur	
185	Am Olam			
186	Amphion Theatre	Theatre	Theatre	
187	Anshel Schorr's Troupe	Traveling Company	Traveling Company	
188	Aquarium Theatre	Theatre	Theatre	
189	Arbeter Ring (Workmen's Circle)			
190	Arch Street Theatre	Theatre	Theatre	
191	Arthur Hopkins' Theatre	Theatre	Theatre	
193	Bagatela Theatre	Theatre	Theatre	
194	Baratov Troupe	Traveling Company	Traveling Company	
195	Belloy Troupe			
196	Bennie Shoengold Troupe	Traveling Company	Traveling Company	
197	Berger Troupe			
198	Ber Hart troupe			
199	Berl Bernstein Troupe	Traveling Company	Traveling Company	
200	Boston theatre	Theatre	Theatre	
201	British Theatre Guild			
203	Bronstein Troupe			
204	Bulgarov Theatre	Theatre	Theatre	
205	Bunes Badkhan (Tshizshik)	Traveling Company	Traveling Company	
206	Camp Kinderland			
207	Charles Nathanson's Troupe	Traveling Company	Traveling Company	
208	Chicago's Drama Society			
209	Chorus of the Lemberg Polish Opera	Musical organization	Musical organization	
210	Cidal Circ	Theatre	Theatre	
211	Cohen Brothers Troupe	Traveling Company	Traveling Company	
212	Colisseum Theatre	Theatre	Theatre	
213	Dagmar Theatre	Theatre	Theatre	
214	David Shvartbard Troupe	Traveling Company	Traveling Company	
215	Der Moment⁩ - ⁨דער מאמענט⁩⁩			
216	Der Tog⁩ - ⁨דער טאג			
217	Der veg			
218	Der yidish-rumenysher gezangs-farayn	Musical organization	Musical organization	
219	Der Yud⁩ - ⁨דער יוד⁩⁩			
220	Deutsche presse verwaltung			
221	Di Fraye Yidishe Folks-Bine	Theatre	Theatre	
222	di Idishe federatsye far muziḳ un drama			
223	Di idishe tsayṭung⁩ - ⁨די אידישע			
224	Di Tsayt --די צײט			
225	Di tsukunft- די צוקונפט			
226	Dos artistishe vinkele			
227	Dos Yiddishe Vort --דאס יודישע ווארט			
228	Dramatic Arts	Amateur	Amateur	
229	Dramatic Arts Dramatishe Kunst	Amateur	Amateur	
230	Dramatic Circle	Amateur	Amateur	
231	Dramatic Club	Amateur	Amateur	
232	Dramatic union			
233	E. Relkin Troupe	Traveling Company	Traveling Company	
234	Edelhofer Troupe			
235	Eldorado Theatre	Theatre	Theatre	
236	Elvings Metropolitan Theatre	Theatre	Theatre	
237	Elysium Theater	Theatre	Theatre	
