db_id	name	original_type	canonical_type	changed
540	אוקראַאינישער יידישער מלוכה-טעאַטער	theatre	Theatre	yes
541	ווילנער יידישן פֿאָלקס-טעאַטער	theatre	Theatre	yes
542	טרופּע פֿון געליס	troupe	Traveling Company	yes
543	מאָסקווער יידישן מלוכה-טעאַטער	theatre	Theatre	yes
544	לעמבערגער יידישן מלוכה-טעאַטער	theatre	Theatre	yes
545	עבעלס טרופּע	troupe	Traveling Company	yes
546	יידישן מלוכה-טעאַטער פֿון פּוילן	theatre	Theatre	yes
547	באַוועגלעכן יידישן מלוכה-טעאַטער	theatre	Theatre	yes
548	קעשענעווער יידישן מלוכה-טעאַטער	theatre	Theatre	yes
549	פֿראָממער פּאָבלישינג קאָמפּאַני	publisher	Publisher	yes
550	סאָוויעטישן יידישן מלוכה-טעאַטער	theatre	Theatre	yes
551	ווילנער טרופּע	troupe	Traveling Company	yes
552	גאָרדן-טעאַטער	theatre	Theatre	yes
553	געיטי-טעאַטער	theatre	Theatre	yes
554	די לאָדזשער טרופּע	troupe	Traveling Company	yes
555	קעמי-טעאַטער	theatre	Theatre	yes
556	רעווי-טעאַטער	theatre	Theatre	yes
557	סעוואָי-טעאַטער	theatre	Theatre	yes
558	מאָסקווער פילהאַרמאָניע	school	Musical organization	yes
559	ראָזענזאַלס טרופּע	troupe	Traveling Company	yes
560	יונג טעאַטער	theatre	Theatre	yes
561	בערלינער אוניווערזיטעט	school	Education	yes
562	כאַרקאָווער ערשטן יידישן מלוכה-טעאַטער	theatre	Theatre	yes
563	טרופּע פֿון קאָרש-טעאַטער	troupe	Traveling Company	yes
564	דער יודישער פּאָק			
565	לאָנדאָנער יידישן פֿאָלקס-טעאַטער	theatre	Theatre	yes
566	יאָוועלירס טרופּע	troupe	Traveling Company	yes
567	רומענישן יידישן מלוכהטעאַטער	theatre	Theatre	yes
568	יאָווילערס טרופּע	troupe	Traveling Company	yes
569	טשערנאָוויצער יידישן מלוכה טעאַטער	theatre	Theatre	yes
570	ווייסרוסישן פֿאָלקס-טעאַטער	theatre	Theatre	yes
571	ווילנער יידישן אָפּערע-טעאַטער	theatre	Theatre	yes
572	דער יודישער טעלעגראף			
573	ריגער מלוכה-טעאַטער	theatre	Theatre	yes
574	ערשטן קיעווער יידישן מלוכה-טעאַטער	theatre	Theatre	yes
575	כאַרקאָווער יידישן טעאַטער	theatre	Theatre	yes
576	בוקאַרעסטער יידישן דראַמאַטישן טעאַטער	theatre	Theatre	yes
577	מוסטער טעאַטער	theatre	Theatre	yes
578	טרופּע פֿון יאָוועליר	troupe	Traveling Company	yes
579	נענקערס טרופּע	troupe	Traveling Company	yes
580	"טעאַטער „מיידים"""			
581	טעאַטער קאָמיקאַ	theatre	Theatre	yes
582	ראָזענבלומס טרופּע	troupe	Traveling Company	yes
583	זינלערס טרופּע	troupe	Traveling Company	yes
584	וויניצער זשיטאָמירער יידישן מלוכה-טעאַטער			
585	וואַרשעווער אוניווערזיטעט	school	Education	yes
586	קעשעניעווער פילהאַרמאָניע	theatre	Theatre	yes
587	קאָוונער אוניווערזיטעט	school	Education	yes
588	ווינער אוניווערזיטעט	school	Education	yes
589	קראָקעווער אוניווערזיטעט	school	Education	yes
590	באָזעלער אוניווערזיטעט	school	Education	yes
591	מאָלדאָוואַנישן מלוכה-טעאַטער	theatre	Theatre	yes
592	אוקראַאינישן יידישן מלוכה-טעאַטער	theatre	Theatre	yes
593	ווייסרוסישן יידישן מלוכה-טעאַטער	theatre	Theatre	yes
594	אַלאוקראַאינישן מלוכה-טעאַטער	theatre	Theatre	yes
595	קיעוור אוניווערזיטעט	school	Education	yes
596	טרופּע פֿון עסקין	troupe	Traveling Company	yes
597	טשערנאָוויצער יידישער מלוכה-טעאַטער	theatre	Theatre	yes
598	יידישן מלוכה-טעאַטער א'פ פֿון אַזראַ	theatre	Theatre	yes
599	יידישער מלוכה-טעאַטער אויפֿן נאָמען פֿון אסתר-רחל קאמינסקאַ	theatre	Theatre	yes
