cluster_id	original_variant	collapsed_to	qid	english	source
ORG-C00001_Q01	וואַרשע	וואַרשע	Q270	Warsaw	kimatch
ORG-C00001_Q01	וואָרשע	וואַרשע	Q270	Warsaw	kimatch
ORG-C00001_Q04	בּוקאַרעסט	בּוקאַרעסט	Q19660	Bucharest	kimatch
ORG-C00001_Q04	בוקאַרעסט	בּוקאַרעסט	Q19660	Bucharest	kimatch
ORG-C00018	כאַרקאָוו	כאַרקאָוו	Q42308	Kharkiv	kimatch
ORG-C00018	כאַרקאָווער	כאַרקאָוו	Q42308	Kharkiv	kimatch
ORG-C00052	לאָדזש	לאָדזש	Q580	Łódź	kimatch
ORG-C00052	לאָדזש	לאָדזש	Q580	Łódź	kimatch
ORG-C00065_Q02	ב. א.	בוענאָס-איירעס	Q1486	Buenos Aires	kimatch
ORG-C00065_Q02	בוענאָס-איירעס	בוענאָס-איירעס	Q1486	Buenos Aires	kimatch
ORG-C00066_Q01	בוענאָס איירעס	בוענאָס איירעס	Q1486	Buenos Aires	kimatch
ORG-C00066_Q01	בוענאָס-איירעס	בוענאָס איירעס	Q1486	Buenos Aires	kimatch
ORG-C00070	בוענאָס איירעס	בוענאָס-אַיירעס	Q1486	Buenos Aires	kimatch
ORG-C00070	בוענאָס-אַיירעס	בוענאָס-אַיירעס	Q1486	Buenos Aires	kimatch
ORG-C00084	בוענאָס איירעס	בוענאָס-אַיירעס	Q1486	Buenos Aires	kimatch
ORG-C00084	בוענאָס-אַיירעס	בוענאָס-אַיירעס	Q1486	Buenos Aires	kimatch
ORG-C00085_Q01	בוענאָס איירעס	בוענאָס-אַיירעס	Q1486	Buenos Aires	kimatch
ORG-C00085_Q01	בוענאָס-אַיירעס	בוענאָס-אַיירעס	Q1486	Buenos Aires	kimatch
ORG-C00085_Q01	בוענאָס-איירעס	בוענאָס-אַיירעס	Q1486	Buenos Aires	kimatch
ORG-C00089	ניו יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00089	ניו יארק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00089	ניו יאָָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00089	ניו יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00089	ניו-יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00089	ניו-יאָרקער	ניו יאָרק	Q60	New York City	kimatch
ORG-C00096_Q01	ניו יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00096_Q01	ניו יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00096_Q01	ניו-יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00101	וולאַצלאָוועק	וולאַצלאָוועק	Q146521	Włocławek	punchlist
ORG-C00101	וולאָצלאַוועק	וולאַצלאָוועק	Q146521	Włocławek	punchlist
ORG-C00103	ניו יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00103	ניו-יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00103	ניו-יאָָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00103	ניויאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00103	פּאַריז	פּאַריז	Q90	Paris	kimatch
ORG-C00103	פאַריז	פּאַריז	Q90	Paris	kimatch
ORG-C00103	קראָקע	קראָקע	Q31487	Kraków	kimatch
ORG-C00103	קראקע	קראָקע	Q31487	Kraków	kimatch
ORG-C00103	שיקאַגאָ	שיקאַגאָ	Q1297	Chicago	kimatch
ORG-C00103	שיקאַגע	שיקאַגאָ	Q1297	Chicago	kimatch
ORG-C00103	שיקאָגאָ	שיקאַגאָ	Q1297	Chicago	kimatch
ORG-C00106	פּאַריז	פּאַריז	Q90	Paris	kimatch
ORG-C00106	פּאָריז	פּאַריז	Q90	Paris	kimatch
ORG-C00111	לעמבערג	לעמבערג	Q36036	Lviv	kimatch
ORG-C00111	לעמבערגער	לעמבערג	Q36036	Lviv	kimatch
ORG-C00114_Q02	לאָדזש	לאָדזש	Q580	Łódź	kimatch
ORG-C00114_Q02	לאָדזש	לאָדזש	Q580	Łódź	kimatch
ORG-C00114_Q03	פּאַריז	פּאַריז	Q90	Paris	kimatch
ORG-C00114_Q03	פאַריז	פּאַריז	Q90	Paris	kimatch
ORG-C00116	וואַרשע	וואַרשע	Q270	Warsaw	kimatch
ORG-C00116	וואָרשע	וואַרשע	Q270	Warsaw	kimatch
ORG-C00130	קייעוו	קיעוו	Q1899	Kyiv	kimatch
ORG-C00130	קיעוו	קיעוו	Q1899	Kyiv	kimatch
ORG-C00131_Q01	בוענאָס איירעס	בוענאָס איירעס	Q1486	Buenos Aires	kimatch
ORG-C00131_Q01	בוענאָס-איירעס	בוענאָס איירעס	Q1486	Buenos Aires	kimatch
ORG-C00144_Q01	וואַרשע	וואַרשע	Q270	Warsaw	kimatch
ORG-C00144_Q01	וואַרשעווער	וואַרשע	Q270	Warsaw	kimatch
ORG-C00155_Q01	ניו יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00155_Q01	ניו-יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00156	ניו יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00156	ניו-יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00157_Q01	ניו יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00157_Q01	ניו-יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00157_Q01	ניויאָָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00157_Q02	ברוקלין	ברוקלין	Q18419	Brooklyn	kimatch
ORG-C00157_Q02	ברוקלינער	ברוקלין	Q18419	Brooklyn	kimatch
ORG-C00157_Q03	בראַנזווייל	בראַנזוויל	Q991279	Brownsville	kimatch
ORG-C00157_Q03	בראַנזוויל	בראַנזוויל	Q991279	Brownsville	kimatch
ORG-C00157_Q03	בראָנזווייל	בראַנזוויל	Q991279	Brownsville	kimatch
ORG-C00157_Q03	בראָנזוויל	בראַנזוויל	Q991279	Brownsville	kimatch
ORG-C00157_Q03	כראַנזוויל	בראַנזוויל	Q991279	Brownsville	kimatch
ORG-C00160_Q01	ניו יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00160_Q01	ניו יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00160_Q01	ניו-יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00160_Q02	ביאָליסטאָק	ביאָליסטאָק	Q761	Białystok	kimatch
ORG-C00160_Q02	ביאליסטאָק	ביאָליסטאָק	Q761	Białystok	kimatch
ORG-C00161_Q01	ברוקלין	ברוקלין	Q18419	Brooklyn	kimatch
ORG-C00161_Q01	ברוקלינער	ברוקלין	Q18419	Brooklyn	kimatch
ORG-C00165	פּאָלטאַווע	פּאָלטאַווע	Q125286	Poltava	punchlist
ORG-C00165	פּאָלטאָווע	פּאָלטאַווע	Q125286	Poltava	punchlist
ORG-C00167	ניו יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00167	ניויאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00174_Q01	נ. י.	ניו יאָרק	Q60	New York City	kimatch
ORG-C00174_Q01	ניו יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00174_Q01	ניו יארק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00174_Q01	ניו יאָרק	ניו יאָרק	Q60	New York City	kimatch
