db_id	name	name_yiddish	intra_token_sim	cross_row_collisions	aligned_cluster_count	blank_reviewer_aligns	suspect_reasons
665	קיעווער יידישן טעאַטער	קיעווער יידישן טעאַטער	1.000	db489.name == this.name_yiddish (טער) | db500.name == this.name_yiddish (טער) | db509.name == this.name_yiddish (טער) | db520.name == this.name_yiddish (טער) | db526.name == this.name_yiddish (טער) | db535.name == this.name_yiddish (טער) | db541.name == this.name_yiddish (טער) | db548.name == this.name_yiddish (טער) | db555.name == this.name_yiddish (טער) | db562.name == this.name_yiddish (טער) | db570.name == this.name_yiddish (טער) | db571.name == this.name_yiddish (טער) | db573.name == this.name_yiddish (טער) | db575.name == this.name_yiddish (טער) | db591.name == this.name_yiddish (טער) | db592.name == this.name_yiddish (טער) | db593.name == this.name_yiddish (טער) | db615.name == this.name_yiddish (טער) | db623.name == this.name_yiddish (טער) | db638.name == this.name_yiddish (טער) | db655.name == this.name_yiddish (טער) | db658.name == this.name_yiddish (טער) | db664.name == this.name_yiddish (טער) | db671.name == this.name_yiddish (טער)	1		cross_row_collision
667	ווילנער פֿאָלקס-טעאַטער	ווילנער פֿאָלקס-טעאַטער	1.000	db565.name == this.name_yiddish (אָלקס-טעאַטער)	1		cross_row_collision
671	לאָנדאָנער יידישן פּאַוויליאָן-טעאַטער	לאָנדאָנער יידישן פּאַוויליאָן-טעאַטער	1.000	db489.name == this.name_yiddish (טער) | db500.name == this.name_yiddish (טער) | db509.name == this.name_yiddish (טער) | db520.name == this.name_yiddish (טער) | db526.name == this.name_yiddish (טער) | db535.name == this.name_yiddish (טער) | db541.name == this.name_yiddish (טער) | db548.name == this.name_yiddish (טער) | db555.name == this.name_yiddish (טער) | db562.name == this.name_yiddish (טער) | db570.name == this.name_yiddish (טער) | db571.name == this.name_yiddish (טער) | db573.name == this.name_yiddish (טער) | db575.name == this.name_yiddish (טער) | db591.name == this.name_yiddish (טער) | db592.name == this.name_yiddish (טער) | db593.name == this.name_yiddish (טער) | db615.name == this.name_yiddish (טער) | db623.name == this.name_yiddish (טער) | db638.name == this.name_yiddish (טער) | db655.name == this.name_yiddish (טער) | db658.name == this.name_yiddish (טער) | db664.name == this.name_yiddish (טער) | db665.name == this.name_yiddish (טער)	1		cross_row_collision
678	טרופּע פֿון אַטלאַס	טרופּע פֿון אַטלאַס	1.000	db483.name == this.name_yiddish (טרופּע) | db486.name == this.name_yiddish (טרופּע) | db523.name == this.name_yiddish (טרופּע) | db531.name == this.name_yiddish (טרופּע) | db563.name == this.name_yiddish (טרופּע) | db596.name == this.name_yiddish (טרופּע) | db626.name == this.name_yiddish (טרופּע) | db757.name == this.name_yiddish (טרופּע) | db767.name == this.name_yiddish (טרופּע) | db769.name == this.name_yiddish (טרופּע) | db775.name == this.name_yiddish (טרופּע) | db789.name == this.name_yiddish (טרופּע) | db809.name == this.name_yiddish (טרופּע) | db814.name == this.name_yiddish (טרופּע) | db818.name == this.name_yiddish (טרופּע) | db819.name == this.name_yiddish (טרופּע) | db820.name == this.name_yiddish (טרופּע) | db821.name == this.name_yiddish (טרופּע) | db828.name == this.name_yiddish (טרופּע) | db830.name == this.name_yiddish (טרופּע) | db831.name == this.name_yiddish (טרופּע) | db834.name == this.name_yiddish (טרופּע) | db836.name == this.name_yiddish (טרופּע) | db841.name == this.name_yiddish (טרופּע) | db847.name == this.name_yiddish (טרופּע)	1		cross_row_collision
726		דאַנציגער יידישן טעאַטער		db489.name == this.name_yiddish (טער) | db500.name == this.name_yiddish (טער) | db509.name == this.name_yiddish (טער) | db520.name == this.name_yiddish (טער) | db526.name == this.name_yiddish (טער) | db535.name == this.name_yiddish (טער) | db541.name == this.name_yiddish (טער) | db548.name == this.name_yiddish (טער) | db555.name == this.name_yiddish (טער) | db562.name == this.name_yiddish (טער) | db570.name == this.name_yiddish (טער) | db571.name == this.name_yiddish (טער) | db573.name == this.name_yiddish (טער) | db575.name == this.name_yiddish (טער) | db591.name == this.name_yiddish (טער) | db592.name == this.name_yiddish (טער) | db593.name == this.name_yiddish (טער) | db615.name == this.name_yiddish (טער) | db623.name == this.name_yiddish (טער) | db638.name == this.name_yiddish (טער) | db655.name == this.name_yiddish (טער) | db658.name == this.name_yiddish (טער) | db664.name == this.name_yiddish (טער) | db665.name == this.name_yiddish (טער) | db671.name == this.name_yiddish (טער)	1	ORG-C03385	cross_row_collision | backfilled_from_blank_reviewer_aligns=1
727		באַלאַגעניידען		db497.name == this.name_yiddish (באַלאַגעניידען)	1	ORG-C02772_Q02	cross_row_collision | backfilled_from_blank_reviewer_aligns=1
728		באַלאַגעניידען		db497.name == this.name_yiddish (באַלאַגעניידען)	1	ORG-C01787	cross_row_collision | backfilled_from_blank_reviewer_aligns=1
729		באַלאַגעניידען		db497.name == this.name_yiddish (באַלאַגעניידען)	1		cross_row_collision
733		קולטור-בונד-טעאַטער		db489.name == this.name_yiddish (טער) | db500.name == this.name_yiddish (טער) | db509.name == this.name_yiddish (טער) | db520.name == this.name_yiddish (טער) | db526.name == this.name_yiddish (טער) | db535.name == this.name_yiddish (טער) | db541.name == this.name_yiddish (טער) | db548.name == this.name_yiddish (טער) | db555.name == this.name_yiddish (טער) | db562.name == this.name_yiddish (טער) | db570.name == this.name_yiddish (טער) | db571.name == this.name_yiddish (טער) | db573.name == this.name_yiddish (טער) | db575.name == this.name_yiddish (טער) | db591.name == this.name_yiddish (טער) | db592.name == this.name_yiddish (טער) | db593.name == this.name_yiddish (טער) | db615.name == this.name_yiddish (טער) | db623.name == this.name_yiddish (טער) | db638.name == this.name_yiddish (טער) | db655.name == this.name_yiddish (טער) | db658.name == this.name_yiddish (טער) | db664.name == this.name_yiddish (טער) | db665.name == this.name_yiddish (טער) | db671.name == this.name_yiddish (טער)	1	ORG-C02902	cross_row_collision | backfilled_from_blank_reviewer_aligns=1
744		טעאַטער עקסעלסיאָר		db747.name == this.name_yiddish (טעאַטער עקסעלסיאָר)	2	ORG-C00131_Q01 | ORG-C02464	cross_row_collision | backfilled_from_blank_reviewer_aligns=2
