db_id	db_hebrew	db_english	name_in_volume	additional_appearance	notes	where_to_fix	correct_form	gender	external_source_id	external_source	name_variants
762	קעני ליפצין (סאַכאַר קריינע סאָניעס)	Keni Lipzin	ליפּצין, קעני [קריינע סאָניעס, סאַכאַר]					Female	yt/lex/L/lipzin-keni.htm	Zylbercweig Leksikon fun Yidishn Teater	
770	בּעסי טאָמאַשעווסקי (בּרכה באָומפעלד-קויפמאָן)	Bessie Thomashefsky	טאָמאַשעווסקי, בעסי [ברכה באומפעלד-קויפמאַן]					Female	yt/lex/T/thomashefsky-bessie.htm	Zylbercweig Leksikon fun Yidishn Teater	
774	ניימאַן	Neiman	לא מצאנו		יש כל מיני ניימאנים, לא כזה			Male			
775	זשופּניק	Zhupnik	זשופּניק, [?]					Male	yt/lex/Z/zhopnik.htm	Zylbercweig Leksikon fun Yidishn Teater	
777	לודוויג ראָט	Ludwig Roth	לא מצאנו		לא מצאנו			Male	Q94800488	Wikidata	
779	ישעיה ראָזענבלום	Isaae Rosenblum	לא מצאנו					Male			
782	לואיס ווייס (לוי)	Louis Weiss (Levy)	ווייס, לואיס [לוי]					Male	yt/lex/W/weiss-louis.htm	Zylbercweig Leksikon fun Yidishn Teater	
783	מאָריס בּראון (מנחם-מענדל בּראָנשטיין)	Morris Braun	בראון, מאָריס [מנחם-מענדל בראַנשטיין]					Male	yt/lex/B/brown-morris.htm	Zylbercweig Leksikon fun Yidishn Teater	
787	מאָריס בערנשטיין	Morris Bernstein	לא מצאנו					Male			
799	מאַרינשטראָס	Marinstross	מאַריענשטראָס, [?]					Male			
826	פֿאַני טאָמאַשעווסקי	Fanny Thomashefsky	לא מצאנו					Female			
834	סעגאַל	Segal	לא מצאנו					Female			
837	מערי עפּשטיין	Mary Epstein	לא מצאנו					Female			
840	סאָניאַ נאַדאָלסקי (שרה קאַץ)	Sonya Nadolsky	נאַדאָלסקי, סאָניאַ [שרה קאַץ]					Female	yt/lex/N/nadolsky-sonia.htm	Zylbercweig Leksikon fun Yidishn Teater	
842	מאָריץ מאָריסאָן (משה קאָהן)	Morris Morrison	מאָריסאָן, מאָריטץ [משה קאָהן]					Male	yt/lex/M/morrison-moritz.htm	Zylbercweig Leksikon fun Yidishn Teater	
850	הענרי רוסאָטאַ (חיים נעסוויזשקי)	Henry Russotto (Chaim Nesvizhski)	רוסאַטאָ, הענרי					Male	yt/lex/R/russotto-henry.htm	Zylbercweig Leksikon fun Yidishn Teater	
853	שלמה סמאָל	Shloyme Shmulevitsh	לא מצאנו					Male	Q3489579	Wikidata	
856	יעקב קאַמענעצקי	Yaakov Kamenetsky	לא מצאנו					Male	Q2920204	Wikidata	
880	יעקב סענדלער	Jacob Koppel Sandler	סענדלער יעקב-קאָפּל					Male	yt/lex/S/sandler-jacob-kopel.htm	Zylbercweig Leksikon fun Yidishn Teater	
883	אב קאַהאַן (אברהם)	Abe Cahan	קאַהאַן, אב [רהם]					Male			
900	ישראל גראַדנער (ראָזענפעלד)	Yisroel Gradner	גראָדנער ישראל [ראָזענפעלד?]					Male	yt/lex/G/gradner-israel.htm	Zylbercweig Leksikon fun Yidishn Teater	
910	וויליאַם סיגעל	William Siegal	סיגעל וויליאָם (וועלוול-יצחק הערצאָג]					Male	yt/lex/S/siegel-william.htm	Zylbercweig Leksikon fun Yidishn Teater	
924	יצחק ליבּרעסקאָ (ליבּער)	Yitzhok Libresko	ליבּרעסקאָ, יצחק [ליבּער]					Male	yt/lex/L/libresko-yitskhok.htm	Zylbercweig Leksikon fun Yidishn Teater	
927	איזעלאַ לאַטיינער (גיטעלע פינקעלשטיין)	Izela Lateiner (Gitele Finkelshteyn)	לאַטיינער איזעלאַ [גיטעלע פינקעלשטיין]					Female	yt/lex/L/latayner-izela.htm	Zylbercweig Leksikon fun Yidishn Teater	
942	מאַקס נאָרדוי	Max Nordau	לא מצאנו					Male	Q472270	Wikidata	
956	מתתיהו-שמחה ראַבּינער	Matityahu Simcha Rabener	לא מצאנו		לא מצאנו			Male	Q12409731	Wikidata	
983	בּן-ציון סיגאַל	Ben-Zion Sigal	סיגאַל בן-ציון	סיגאַל בן-ציון	אפשרויות מרובות			Male	moyt/lex/S/sigal-ben-zion-V5.htm	Zylbercweig Leksikon fun Yidishn Teater	
984	מאיר מעסטעל	Meir Mestel	מעסטעל, מאיר					Male	moyt/lex/M/mestel-meir-V5.htm	Zylbercweig Leksikon fun Yidishn Teater	
985	סאמי אוריך (שמאי, גדליהו)	Sammy Urikh	אוריך סאמי [שמאי, גדליהו]	אוריך, סאמי [שמאי, גדליהו]	אפשרויות מרובות			Male	moyt/lex/U/urich-sammy-V5.htm	Zylbercweig Leksikon fun Yidishn Teater	
986	צילע אוריך	Tsile Urikh	אוריך, צילע [חיה צילע פעדער]	אוריך, צילע [חיה צילע פערער]	אפשרויות מרובות			Female			
987	ישראל אדלער	Isroel Adler	אַדלער, ישראל					Male	Null	Wikidata	
988	סטעלא אדלער	Stela Adler	אַדלער, סטעלאַ					Male	Null	Wikidata	
990	טעאָדאָר הרצל זילבערט	Theodor Herzl Zilbert	זילבּערט, טעאָדאַר-הערצל					Male	Null	Wikidata	
992	יצחק מאיר ווייסענבערג	Yitshok Meir Weissenberg	ווייסענבּערג, יצחק-מאיר					Male	Null	Wikidata	
993	מיני אקסעלראד (בלייכמאן)	Mini Axelrod	אַקסעלראָד, מיני [בלייכמאַן]					Male	Null	Wikidata	
994	רחל אקסעלראד (קאהוט)	Rochl Axelrod	אַקסעלראָד רחל [קאָהוט]					Male	Null	Wikidata	
995	מארק ארנשטיין (אַנדזשעי מאַרק)	Mark Arenstein	אַרנשטיין, מאַרק [אַנדזשעי מאַרעק]					Male	yt/lex/A/arnstein-mark.htm	Zylbercweig Leksikon fun Yidishn Teater	
996	רפאל באיארסקי-באגארג	Refael Boyarski Bogart	באָיארסקי-באָגאָרט, רפֿאל					Male	Null	Wikidata	
997	מאריס ביעלאווסקי	Morris Bielevski	ביעלאָווסקי, מאָריס					Male	Null	Wikidata	
1001	יוסף זינגער	Yosef Singer	זינגער, יוסף					Male	Null	Wikidata	
1002	ישראל יהושוע זינגער	Isroel Yehoshua Singer	זינגער, ישראל-יהושע					Male	Null	Wikidata	
1003	יעטא בלאק	Yete Black	בלאַק יעטאַ					Male	Null	Wikidata	
1004	יעקב בן-עמי (שטשירין)	Yaakov Ben-Ami	בן-עמי יעקב [שטשירין]					Male	Null	Wikidata	
1005	דוד זיידעמאן	Dovid Zeydeman	זיידעמאַן, דוד					Male	Null	Wikidata	
1006	לעאן זיידענבערג	Leon Zeydenberg	זיידענבערג, לעאָן [דוד-לייב זיידענווערג]					Male	Null	Wikidata	
1008	בן ציון בענעדיקט דר.	Benedict Ben Zion	בן-ציון, בענעדיקט דר.					Male	Null	Wikidata	
1009	ערנא זיגלער	Erno Zigler	זיגלער ערנא					Male	Null	Wikidata	
1010	ראזא זיגלער	Rosa Zigler	זיגלער, ראָזאַ [ראָזענשטיין]					Male	Null	Wikidata	
1011	זיגעלנויב ווליאם	William Zigelnoib	זיגענלויב, וויליאם [וואָלף]					Male	Null	Wikidata	
1012	איסר בעזמאן	Isr Bezman	בעזמאַן, איסר					Male	Null	Wikidata	
1014	פעני וואקסמאן	Penny Waxman	וואַקסמאַן, פעני					Male	Null	Wikidata	
1016	הירש גדל' בעללויה (בעלאו- בעללאה)	Hersh Gdli' Belluia	בעללויה, הירש גדלי' [בעלאו — בעללאַה]					Male	Null	Wikidata	
1018	אברהם טייעלבוים (שלום, סעם)	Avrom Teitlboym	טייטעלבוים, אַברהם (=שלום, סעם)		לתקן בדאטהבייס/לבדוק בטרנסקריבוס	בדאטהבייס	טייטעלבוים, אַברהם (=שלום, סעם)	Male	Null	Wikidata	
1021	לאה קאמפאנעעץ (גאטליב)	Leah Kampanietz	קאָמפּאַנעעץ, לאה [גאָטליב]					Male	Null	Wikidata	
1022	ישראל קאמאפאנעעץ	Isroel Kampanietz	קאָמפּאַנעעץ, ישראל					Male	Null	Wikidata	
1023	אסתר נעראסלאווסקא	Ester Neroslovsky	נעראָסלאַווסקאַ, אסתר					Male	Null	Wikidata	
1025	בעריש בעקערמאן	Berish Bekerman	בעקערמאַן, בעריש					Male	Null	Wikidata	
1026	משה שאָר (שור) (שור)	Moshe Schor	שאָר [שור], משה					Male	Null	Wikidata	
1030	אדאלף טימאנאף	Adolf Timanof	טימיאַנאָף, אַדאָלף [טימיאַנקאָ]					Male	Null	Wikidata	
1031	יצחק דוב בערקאוויטש	Itskhok Dov Berkovitch	בערקאָוויטש, יצחק-דוב					Male	Null	Wikidata	
1032	יעקב יוסף ראמאנער-מאסקאביץ	Yaakov-Yosef Romaner Moskovitch	מאָסקאָוויטש ראָמאַנער, יעקב-יוסף					Male	Null	Wikidata	
1034	סעם גאלדבערג	Sam Goldenberg	גאָלדבערג, סעם		לבדוק בטרנסקריבוס		גאָלדבערג, סעם	Male	Null	Wikidata	
1038	אדאלף שראגע	Adolf Shrage	שראַגע, אַדאָלף [נפתלי-יהושע]					Male	Null	Wikidata	
1039	פיעטער גראף	Pieter Graff	גראַף, פּיטער [פתחיה]					Male	Null	Wikidata	
1040	חיים גרינשפאן	Chaim Grinshpan	גרינשפּאַן, חיים					Male	Null	Wikidata	
1042	שאַרלאָטא הורוויץ	Charlotta Hurwitz	הורוויץ שאַרלאָטא [שיפרע]					Male	Null	Wikidata	
1043	אסתר הדסה	Ester Hadasah	הדסה, אסתר וויינרויב-האַלפּערן					Male	Null	Wikidata	
1044	סאול וואלערשטיין	Saul Volerstein	וואָלערשטיין, סאול					Male	Null	Wikidata	
1045	היימי וואלערשטיין	Heiymi Volerstein	וואָלערשטיין, היימי					Male	Null	Wikidata	
1046	עלא וואלערשטיין	Ella Volerstein	וואָלערשטיין, עלאַ [געשפּאָס]					Male	Null	Wikidata	
1047	מאריס וואקסמאן	Morris Waxman	וואַקסמאַן, מאָריס [משה דוד]					Male	Null	Wikidata	
1049	ראָזא וואקסמאן	Rosa Waxman	וואַקסמאַן, ראָזאַ [רחל דינטענפאס]					Male	Null	Wikidata	
1050	לאה גראף ווייטרויב	Leah Graf-Weintroib	וויינטרויב-גראַף, לאה					Male	Null	Wikidata	
1051	שמחה וויינטרויב	Simcha Weintroib	וויינטרויבּ, שמחה					Male	Null	Wikidata	
1052	יוסף וויינשטאק	Yosef Weinstock	וויינשטאָק, יוסף					Male	Null	Wikidata	
1053	סאפיע וויינשטאק (פרידמאן)	Sophia Weinstock	וויינשטאָק, סאָפיע [פֿרידמאַן]					Female	yt/lex/V/vaynshtok-sophia.htm	Zylbercweig Leksikon fun Yidishn Teater	
1054	שואל וויינשטיין	Shoel Weinstein	וויינשטיין, שואל					Male	Null	Wikidata	
1055	משה ווייספעלד	Moshe Weissfeld	ווייספעלד, משה					Male	Null	Wikidata	
1056	עלא זיבעל	Ella Ziebel	זיבּעל, עלאַ					Female	Null	Wikidata	
1058	מאריץ זיגלער (משה בעלצער)	Sigler Moritz	זיגלער, מאָריץ [משה בעלזער]					Male	Null	Wikidata	
1060	משה זייפערט	Moshe Seifert	זייפערט, משה					Male	Null	Wikidata	
1062	עלאַ זילבערמאן	Ella Zylberman	לא מצאנו					Female	Null	Wikidata	
1063	קארל זילבערמאן	Karl Zylberman	לא מצאנו					Male	Null	Wikidata	
1066	קלמן יאוועליר	Kalman Juvilier	יאָוועליר, קלמן					Male	Null	Wikidata	
1067	בערנארד יאנג	Bernhardt Young	יאָנג, בערנאַרד [בועז יונגוויץ]					Male	Null	Wikidata	
1068	אדאלף שליפערשטיין	Adolf Shliperstein	שליפערשטיין, אַדאָלף					Male	Null	Wikidata	
1071	בנימין חיים רייז	Binyamin Chaim Raise	רייז, בנימין חיים					Male	Null	Wikidata	
1072	הערמאן פיינשטיין (צבי חיים)	Herman Feinstein	פֿיינשטיין, הערמאַן (צבי-חיים)					Male	Null	Wikidata	
1074	בערטא קאליש	Berta Kalich	קאַליש, בערטאָ					Female	Null	Wikidata	
1076	לייזער זשעלאזא	Layzer Dzelaza	זשעלאַזא, לייזער [זשעלאַזני]					Male	Null	Wikidata	
1077	יוסף גראפער	Yosef Gropper	גראָפּער יוסף					Male	Null	Wikidata	
1080	יצחק נאזשיק	Itskhok Nozik	נאָזשיק, יצחק					Male	Null	Wikidata	
1083	אייב סינקאף	Abe Sinkof	סינקאָף, אייב					Male	Null	Wikidata	
1085	יואל ענטין	Yoel Entin	ענטין, יואל					Male	Null	Wikidata	
1086	פעני עפשטיין וואדיא	Penny Epstein Vadia	עפּשטיין, פעני וואַדיאַ					Female	Null	Wikidata	
1087	רחל פייגענבערג	Rokhl Feygenberg	פֿייגענבערג, רחל					Female	Null	Wikidata	
1089	סעם דאיען	Sam Dayn	דאיען, סעם					Male	Null	Wikidata	
1094	בנימין וואָלף עהרענקראַנץ	Binyamin Wolf Erenkrantz	זבאָרזשער, וועלוועל [בנימין וואָלף עהרענקראַנץ]					Male	Null	Wikidata	
1095	יצחק רײנגאָלד	Yitshok Reingold	לא מצאנו					Male	Null	Wikidata	
1097	מרדכי אבעלמאַן	Mordechai Abelman	אַבּעלמאַן, מרדכי					Male	yt/lex/A/abelman-mordechai.htm	Zylbercweig Leksikon fun Yidishn Teater	
1133	מאיר אַקסעלראָד	Meir Akselrad	אַקסעלראָד, מאיר					Male	yt/lex/A/akselrad-meir.htm	Zylbercweig Leksikon fun Yidishn Teater	
1140	ס. עלמית (סאָניאַ לובּאָצקי)	Sonia Alomis	עלמית, ס. [סאָניאַ לובאָצקי]					Female	yt/lex/A/alomis-sonia.htm	Zylbercweig Leksikon fun Yidishn Teater	
1141	סעם אלוני (קאָפעלבוים שמואל)	Sam Alony	אלוני, סעם (שמואל קאָפּעלבוים)					Male	yt/lex/A/alony-sam.htm	Zylbercweig Leksikon fun Yidishn Teater	
1145	חיים אַלטמאַן (היימאַן)	Chaim Altman	אלטמאן, חיים [היימאן]					Male	yt/lex/A/altman-chaim.htm	Zylbercweig Leksikon fun Yidishn Teater	
1147	משה אַלטמאן	Moshe Altman	אַלטמאַן, משה,		פסיק מיותר			Male	moyt/lex/A/altman-moshe-V5.htm	Zylbercweig Leksikon fun Yidishn Teater	
1153	סאניא אמאטין (שרה גאלדבערג-לעווין)	Sonya Amatin	אַמאַטין, סאָניאַ [שרה גאָלדבערג-לעווין]					Female	moyt/lex/A/amatin-sonya-V5.htm	Zylbercweig Leksikon fun Yidishn Teater	
