mention_surface	source_sheet	occurrences	as_heading	alternative_heading	notes	match_method	matched_person_ids	n_matched	db_id	db_status
(היימאַן ?] מילער	full	1.0	מילער היימאַן (?)			exact	P-2-facs_269_tr_1744280809	1	2477	ok
Abraham Cahan	full	1.0	קאַהאַן, אב [רהם]			exact	P-4-facs_334_tr_1754998419	1	883	ok
Isaac Goldberg	full	1.0	גאָלדבערג אייזיק			exact	P-6-facs_182_tr_1747825093	1	3800	ok
ZALMEN ZYLBERCWEIG	full	1.0	זילבּערצווייג, זלמן			exact	P-1-facs_408_TextRegion_1710064929131_307	1	3440	ok
[לייב] קוזניעצאָוו	full	1.0	קוזניעצאָוו, לייב			exact	P-5-facs_194_tr_1736588933	1	2178	ok
[סעמואל] קופּערמאַנס	full	1.0	סעמועל קופּערמאַן			exact	P-5-facs_608_r	1	2171	ok
אַ פינקעל	full	1.0	פינקעל, אַליעזר-דוד		פינקעל אנעטא	exact	P-3-facs_279_tr_1755674208	1		no_db_alignment
אַבאַ קאָמפּאַנעעץ	full	9.0	קאָמפּאַנעעץ, אַבא			exact	P-6-facs_291_tr_1747928923	1	1019	ok
אַבאַ שעהנגאָלד	full	8.0	שעהנגאָלד אבא [אַלבערט]			exact	P-4-facs_270_tr_1754998435	1	710	ok
אַברהם אַקסעלראָד	full	28.0	אַקסעלראָד, אַברהם [אַברהם יצחק]			exact	P-1-facs_59_tr_1740521087	1	1204	ok
אַברהם אַש	full	2.0	אַש. אַברהם [אַברהם אווערבוך]			exact	P-5-facs_80_tr_1733059427	1	1185	ok
אַברהם אייזנבערג	full	1.0	אייזענבערג, אַברהם			exact	P-1-facs_42_tr_1740520985	1	1604	ok
אַברהם אייזען	full	1.0	אייסען אַברהם, דר.			exact	P-6-facs_185_tr_1747825159	1	1552	ok
אַברהם אייזענבערג	full	2.0	אייזענבערג, אַברהם		אייזענבערג אַווראָם	exact	P-1-facs_42_tr_1740520985	1	1604	ok
אַברהם בלום	full	5.0	בלום אַברהם			exact	P-1-facs_103_tr_1740521114	1	1339	ok
אַברהם ברען	full	1.0	ברען אַברהם			exact	P-1-facs_141_tr_1740521090	1	1384	ok
אַברהם גאַכאַנסקי	full	2.0	גאַכאַנסקי, אַברהם			exact	P-5-facs_334_tr_1739221282	1	1717	ok
אַברהם גאָלדבערג	full	3.0	גאָלדבערג, אַברהם			exact	P-1-facs_149_tr_1740521047	1	1809	ok
אַברהם גאָלדפֿאַדענס	full	1.0	גאָלדפֿאַדען, אַברהם [גאָלדענפֿאָדים]			exact	P-1-facs_154_tr_1714741532	1	804	ok
אַברהם גאָלדפֿאַדען	full	111.0	גאָלדפֿאַדען, אַברהם [גאָלדענפֿאָדים]			exact	P-1-facs_154_tr_1714741532	1	804	ok
אַברהם גאָלובאַק	full	3.0	גאָלובאַק, אַברהם			exact	P-1-facs_209_tr_1741260252	1	1865	ok
אַברהם גראָדנער	full	1.0	גראָדנער, א. [אַברהם יעקב חאַש-אַבראַמאָוו]			exact	P-1-facs_270_TextRegion_1711971070302_285	1	1907	ok
אַברהם האַלפּערן	full	2.0	האַלפּערן, אַברהם			exact	P-5-facs_86_tr_1733059457	1	3510	ok
אַברהם האָפמאַן	full	1.0	האָפמאַן אַברהם			exact	P-5-facs_602_tr_1739222225	1		no_db_alignment
אַברהם וואָלפשטאַט	full	2.0	וואָלפשטאַט, אַברהם		וואָלפשטאָט, אַברהם	exact	P-5-facs_438_tr_1739221803	1	3279	ok
אַברהם טאַנצמאַן	full	2.0	טאַנצמאַן, אַברהם-יצחק			exact	P-2-facs_34_tr_1744131414	1	729	ok
אַברהם טייטע	full	1.0	טייטעלבוים, אַברהם (=שלום, סעם)			exact	P-2-facs_46_tr_1744131404	1	3061	ok
אַברהם טייטעלבוים	full	14.0	טייטעלבוים, אַברהם (=שלום, סעם)			exact	P-2-facs_46_tr_1744131404	1	3061	ok
אַברהם יצחק פאָך	full	1.0	פּאַך, אַברהם יצחק			exact	P-3-facs_28_r	1		no_db_alignment
אַברהם לאַקס	full	1.0	לאַקס, אַברהם			exact	P-2-facs_111_tr_1744279150	1	2215	ok
אַברהם ליטמאַן	full	10.0	ליטמאַן, אַברהם			exact	P-2-facs_134_tr_1744279148	1	2328	ok
אַברהם לעווין	full	1.0	לעווין, אַברהם			exact	P-2-facs_179_r	1	2256	ok
אַברהם לעוועבראָווסקי	full	3.0	לעוועבראָווסקי, אַברהם			exact	P-2-facs_186_tr_1744279126	1	2248	ok
אַברהם מאָרעווסקי	full	48.0	מאָרעווסקי, אַברהם (מנקר]			exact	P-2-facs_238_tr_1744280834	1	2505	ok
אַברהם נאַאומאַוו	full	2.0	נאַאומאָוו, אַברהם			exact	P-2-facs_300_tr_1744280754	1	2548	ok
אַברהם ניימאַן	full	2.0	ניימאַן, אברהם [בּאַראַקאַן]			exact	P-2-facs_318_tr_1744365808	1	3809	ok
אַברהם סימאָוויטש	full	1.0	סימאָוויטש, אַברהם			exact	P-2-facs_352_r_2	1	715	ok
אַברהם סישזאָן	full	1.0	פישזאָן, אַברהם			exact	P-7-facs_87_r	1	3634	ok
אַברהם עדעלמאַן	full	1.0	אַברהם עדעלמאַן			exact	P-4-facs_664_tr_1755030050	1		no_db_alignment
אַברהם פישזאָן	full	46.0	פישזאָן, אַברהם			exact	P-7-facs_87_r	1	3634	ok
אַברהם פישקינד	full	11.0	פישקינד, אַברהם			exact	P-6-facs_237_tr_1747928923	1	3593	ok
אַברהם קאַגאָן	full	1.0	אַבראַמאָוו, א. [אַברהם קאַגאָן]			exact	P-6-facs_173_tr_1747825113	1	1102	ok
אַברהם קאַהאַן	full	3.0	קאַהאַן, אב [רהם]			exact	P-4-facs_334_tr_1754998419	1	883	ok
אַברהם קאַמינסקי	full	2.0	קאַמינסקי, אַברהם יצחק			exact	P-6-facs_210_tr_1747928994	1	3613	ok
אַברהם קורץ	full	6.0	קורץ, אַברהם			exact	P-5-facs_147_tr_1733832799	1	3552	ok
אַברהם ראַבינאָוויטש	full	1.0	ראַבינאָוויטש, אַברהם			exact	P-6-facs_62_tr_1747746110	1	2720	ok
אַברהם רייזען	full	29.0	רייזען, אַברהם			exact	P-6-facs_408_tr_1747930566	1	3654	ok
אַברהם שאָמער	full	4.0	שאָמער אַברהם			exact	P-3-facs_263_tr_1755674223	1		no_db_alignment
אַברהם שטאָקפעדער	full	2.0	שטאָקפעדער, אַברהם [משה]			exact	P-5-facs_164_tr_1735652626	1	3564	ok
אַברהם פֿורמאַן	full	2.0	פֿורמאַן, אַברהם			exact	P-6-facs_566_tr_1752130132	1	1712	ok
אַברהם-בער גאָטלאָבער	full	2.0	גאָטלאָבער, אַברהם-בער			exact	P-1-facs_142_tr_1740521055	1	1880	ok
אַברהם-יצחק טאַנצמאַן	full	7.0	טאַנצמאַן, אַברהם-יצחק			exact	P-2-facs_34_tr_1744131414	1	729	ok
אַברהם-יצחק קאַמינסקי	full	33.0	קאַמינסקי, אַברהם יצחק			exact	P-6-facs_210_tr_1747928994	1	3613	ok
אַדאַם דאָמב	full	3.0	דאָמב, אַדאם			exact	P-5-facs_248_tr_1739220762	1	3506	ok
אַדאָלף אַבראַמאָוו	full	1.0	אַבראַמאָוו, אַדאָלף [אַברהם פּערקאָף]			exact	P-1-facs_18_r	1		no_db_alignment
אַדאָלף בעל	full	2.0	בעל, אַדאָלף [אַברהם ביעלאָצערקאָווסקי]			exact	P-1-facs_112_tr_1740521163	1	1246	ok
אַדאָלף בערמאַן	full	19.0	בערמאַן, אַדאָלף			exact	P-1-facs_118_tr_1740521141|P-5-facs_33_r	2	1277	ok
אַדאָלף גימפּעל	full	2.0	גימפּעל, אַדאָלף			exact	P-1-facs_256_tr_1741260272|P-5-facs_174_tr_1736589025	2	1766	ok
אַדאָלף גערטנער	full	11.0	גערטנער, אַדאָלף			exact	P-1-facs_266_tr_1741260241	1	1753	ok
אַדאָלף טענפער	full	1.0	טעפנער, אַדאָלף			exact	P-2-facs_53_tr_1744131450	1	3059	ok
אַדאָלף מידע	full	5.0	מידע, אַדאָלף (אַברהם)			exact	P-2-facs_254_tr_1744280774	1	2465	ok
אַדאָלף מעלצער	full	13.0	מעלצער, אַדאָלף			exact	P-2-facs_284_tr_1744280792	1	865	ok
אַדאָלף עלצער	full	1.0	מעלצער, אַדאָלף			exact	P-2-facs_284_tr_1744280792	1	865	ok
אַדאָלף ערבער	full	1.0	ערבער, אַדאָלף			exact	P-2-facs_407_r_6	1	1587	ok
אַדאָלף פעניגשטיין	full	7.0	פעניגשטיין, אַדאָלף			exact	P-6-facs_102_tr_1747825160	1	3594	ok
אַדאָלף ראָזענבלום	full	2.0	ראָזענבלום אַדאָלף [אהרן]			exact	P-6-facs_103_tr_1747825052	1	2777	ok
אַדאָלף שליפערשטיין	full	5.0	שליפערשטיין, אַדאָלף			exact	P-6-facs_65_tr_1747746187	1	2932	ok
אַדאָלף פֿריימאַן	full	3.0	פֿריימאַן, אַדאָלף			exact	P-6-facs_140_tr_1747825131	1	1683	ok
אַדאלף טענער	full	2.0	טעפנער, אַדאָלף		לא בטוחה	exact	P-2-facs_53_tr_1744131450	1	3059	ok
אַדאלף טעפנער	full	1.0	טעפנער, אַדאָלף			exact	P-2-facs_53_tr_1744131450	1	3059	ok
אַדאס דאָמב	full	1.0	דאָמב, אַדאם			exact	P-5-facs_248_tr_1739220762	1	3506	ok
אַדעלאַ פינקעלשטיין	full	1.0	שוואַרץ, אַדעלאַ [פינקעלשטיין]			exact	P-6-facs_58_r	1	2859	ok
אַהרן סאָפיע	full	1.0	סאָפֿפא אהרן			exact	P-2-facs_336_tr_1744365769	1	3004	ok
אַווראָם טשעטשילניצקי	full	1.0	טשעטשילניצקי, אַווראָם			exact	P-5-facs_401_tr_1739221659	1	3103	ok
אַלאַ שליפקאָוויטש-שליף	full	1.0	שליף נייטאָן נתן שליפקאָוויטש]			exact	P-4-facs_330_tr_1754998389	1	2849	ok
אַלבערט סעגאָלעסקאָ	full	10.0	סעגאַלעסקאָ, אַלבערט			exact	P-2-facs_363_tr_1744366851|P-5-facs_356_tr_1739222186	2	2875	ok
אַלבערט פֿרידמאַן	full	1.0	פרידמאַן, אַלבערט [וועלוול-אַלטער]			exact	P-6-facs_98_tr_1747746110	1	1701	ok
אַלחנן צייטלין	full	4.0	צייטלין, אַלחנן			exact	P-5-facs_453_tr_1739221401	1	3541	ok
אַלטמאַן בּאָריס	full	1.0	אַלטמאַן, בּאָריס			exact	P-1-facs_47_r_2	1		no_db_alignment
אַלטער אייזענשלאָס	full	2.0	אייזענשלאָס אַלטער			exact	P-1-facs_43_tr_1740520992	1	1556	ok
אַלטער מעליצער	full	2.0	מעליצער, אַלטער [אַלטער הערץ]			exact	P-2-facs_284_tr_1744280795	1	2433	ok
אַלטער עפּשטיין	full	4.0	עפּשטיין, אַלטער			exact	P-2-facs_401_tr_1744366824	1	3475	ok
אַלטער קאַציזנע	full	4.0	קאַציזנע, אַלטער (שלום)			exact	P-5-facs_460_tr_1739221038	1	3547	ok
אַליאָשאַ שטיין	full	5.0	שטיין, אַליאָשאַ [אליהו]			exact	P-6-facs_231_tr_1747928940	1	3447	ok
אַליהו טענענהאָלץ	full	3.0	טענענהאָלץ, אליהוּ			exact	P-2-facs_51_tr_1744131372	1	813	ok
אַליהו טענענהאָלצס	full	1.0	טענענהאָלץ, אליהוּ			exact	P-2-facs_51_tr_1744131372	1	813	ok
אַליהו יאַריכאָווסקי	full	1.0	יאַריכאָווסקי, אַליהו-זלמן			exact	P-2-facs_74_r_3	1		no_db_alignment
אַליהו-אַלכסנדר פידעלמאַן	full	1.0	סענדער בדחן [אליהו-אַלכסנדר פידעלמאַן]			exact	P-1-facs_87_tr_1740520982	1	2885	ok
אַליהו-זלמן יאַריכאָווסקי	full	2.0	יאַריכאָווסקי, אַליהו-זלמן			exact	P-2-facs_74_r_3	1		no_db_alignment
אַליהן טענענהאָלץ	full	6.0	טענענהאָלץ, אליהוּ			exact	P-2-facs_51_tr_1744131372	1	813	ok
אַלימלך בוים	full	1.0	בוים אַלימלך			exact	P-1-facs_90_tr_1740521107	1	1371	ok
אַליעזר ראַפּעל	full	1.0	ראַפּעל, לייזער			exact	P-6-facs_241_tr_1747928957	1	3785	ok
אַליעזר שטיינבאַרג	full	3.0	שטיינבאַרג אַליעזר			exact	P-6-facs_413_tr_1747930424	1	3797	ok
אַליקום צונזערן	full	1.0	צונזער, אליקום			exact	P-1-facs_88_r_10	1		no_db_alignment
אַלעקס אַמאַסיע	full	1.0	אַמאַסיאַ, אַלעקס [אלעקסאַנדער]			exact	P-1-facs_50_tr_1740521042	1	1150	ok
אַלעקס טשערטאָוו	full	2.0	טשערטאָוו, אַלעקס			exact	P-6-facs_170_tr_1747825074	1	1448	ok
אַלעקס שניידעמאַן	full	1.0	אַלעקס שניידמאַן			exact	P-4-facs_651_tr_1755030222	1		no_db_alignment
אַלעקסאַנדער (סאַשאַ) ראָזענטאל (פישנאוו)	full	1.0	ראָזענטאָל, סאַשאַ (שמעיה פישנאָוו)			exact	P-7-facs_34_r	1		no_db_alignment
אַלעקסאַנדער אַזרא	full	3.0	אַַזראַ, אַלעקסאַנדער [אָרליוק]			exact	P-1-facs_39_tr_1740520983	1	1209	ok
אַלעקסאַנדער אַמאַסיע	full	1.0	אַמאַסיאַ, אַלעקס [אלעקסאַנדער]			exact	P-1-facs_50_tr_1740521042	1	1150	ok
אַלעקסאַנדער אָלשאַנעצקי	full	5.0	אָלשאַנעצקי, אַלעקסאַנדער [יהושע]			exact	P-1-facs_49_tr_1740521087	1	881	ok
אַלעקסאַנדער בידעסקאָ	full	1.0	בידעסקאָ, אַלעקסאַנדער [וואָנדערגאַלד]			exact	P-1-facs_96_tr_1740521111	1	1300	ok
אַלעקסאַנדער בערקמאַן	full	1.0	בעקער, סאַשאַ			exact	P-7-facs_63_r_4	1	1237	ok
אַלעקסאַנדער גראַנאַך	full	9.0	גראַנאַך, אַלעקסאַנדער			exact	P-1-facs_275_tr_1741260245	1	1886	ok
אַלעקסאַנדער גראַנאָווסקי	full	2.0	גראַנאָווסקי, אַלעקסאַנדער [אַברהם אַזאַרך]			exact	P-1-facs_274_tr_1741260201	1	1887	ok
אַלעקסאַנדער מאַגידסאָן	full	1.0	מאָגידזאָהן, אַלעקסאנדער			exact	P-2-facs_213_r_2	1	2371	ok
אַלעקסאַנדער פידעלמאַן	full	1.0	פידלעלמאַן,			exact	P-5-facs_593_r_10	1		no_db_alignment
אַלעקסאנדער מאַגיידזאָן	full	1.0	מאָגידזאָהן, אַלעקסאנדער			exact	P-2-facs_213_r_2	1	2371	ok
אַמאַליע סעגאַלעסקאָ	full	3.0	סעגאַלעסקאָ, אַמאַליע (מלכה)			exact	P-2-facs_363_tr_1744366847	1	2876	ok
אַנאַטאָל ווינאָגראַדאָוו	full	1.0	ווינאָגראָדאָוו, אַנאַטאָל [נפתלי-הערץ גליקמאַן]			exact	P-1-facs_377_r	1	3270	ok
אַנדזשע פֿאָדערמאַן	full	1.0	פֿאָדערמאַן, אַנדזשאַ			exact	P-3-facs_315_tr_1756044900	1		no_db_alignment
אַניע קאָפּוסטין	full	1.0	קאַפּוסטין, אַניע			exact	P-6-facs_19_tr_1747746117	1	2082	ok
אַניעלאַ (קאָמפּאַניעיעץ)	full	1.0	אַניעלאַ [חנה קאמפּאנעיעץ-פּאָליאַקאָוו]			exact	P-1-facs_51_tr_1740521072	1	1156	ok
אַננאַ בריה	full	3.0	בריה אָננאַ			exact	P-1-facs_138_tr_1740521003	1	1396	ok
אַננאַ העלד	full	8.0	העלד, אַננאַ			exact	P-1-facs_331_tr_1741260474	1	1980	ok
אַננאַ יאַקיבאָוויטש	full	2.0	יאָקוּבּאָוויטש, אַננאַ [חנה מייעראָוויטש]			exact	P-2-facs_72_tr_1744131376	1	2048	ok
אַננאַ יאָקובאָוויטש	full	8.0	יאָקוּבּאָוויטש, אַננאַ [חנה מייעראָוויטש]			exact	P-2-facs_72_tr_1744131376	1	2048	ok
אַננאַ נאַטאַנסאָן	full	3.0	נאַטאַנסאָן, אַננאַ (מילשטיין]			exact	P-2-facs_308_tr_1744365763	1	2545	ok
אַנעטא רייזער	full	1.0	רייזער אַנעטאַ			exact	P-5-facs_359_tr_1739221254	1	2754	ok
אַנעטאַ (שערמאַן)	full	1.0	שערמאַן, אַננאַ [פּאָפּערנא]			exact	P-5-facs_186_tr_1736588948	1	2921	ok
אַנעטאַ גראָדנער	full	7.0	גראָדנער אַנעטאָ			exact	P-1-facs_270_r	1	1882	ok
אַנעטאַ פינקעל	full	4.0	פינקעל, אַנעטא [שוואַרץ]			exact	P-4-facs_137_tr_1754224982	1	769	ok
אַנשל שאָר	full	39.0	שאָר [שור], אַנשל			exact	P-4-facs_252_tr_1754998536	1	2854	ok
אַסיאָ שטיין (קאַמיען)	full	2.0	קאַמיען, יוסף [אָסיאַ]		לא בטוחה	exact	P-6-facs_226_tr_1747928999	1	2559	ok
אַסיפּ דימאָוו	full	28.0	דימאָוו, אַסיפּ [יוסף פּערלמאַן]			exact	P-1-facs_295_tr_1741260503	1	1535	ok
אַסיפּ רוניטש	full	4.0	רוניטש, אַסיפּ			exact	P-4-facs_97_tr_1753602022	1	2812	ok
אַראָלף מעלצער	full	1.0	מעלצער, אַדאָלף			exact	P-2-facs_284_tr_1744280792	1	865	ok
אַרי פֿורמאַן	full	3.0	פֿורמאַן, אַרי			exact	P-6-facs_565_tr_1752129112	1	1711	ok
אַרן מערענזאָן	full	1.0	מערענזאָן, אַרן			exact	P-2-facs_297_tr_1744280788	1	2447	ok
אַרנאָלד פּערלמוטער	full	1.0	פּערלמוטער, אַרנאָלד (אַהרל׳ע)			exact	P-3-facs_130_r	1		no_db_alignment
אַשר זעליג שאָר	full	1.0	שור זעליג [יוסף-אהרן אַשר-זעליג]			exact	P-3-facs_281_tr_1755674203	1		no_db_alignment
אַפֿרים אויערבאַך	full	1.0	אויערבאַך, אפֿרים			exact	P-1-facs_37_tr_1740520986	1	1194	ok
אַפֿרים גריידיגער	full	1.0	גריידיקער אפֿרים			exact	P-6-facs_605_tr_1747930539	1	1898	ok
אַפֿרים גריידיקער	full	1.0	גריידיקער אפֿרים			exact	P-6-facs_605_tr_1747930539	1	1898	ok
אַפֿרים לויטער	full	6.0	לויטער, עפראים			exact	P-2-facs_117_tr_1744279199	1	2342	ok
אַפֿרים לויטערס	full	1.0	לויטער, עפראים			exact	P-2-facs_117_tr_1744279199	1	2342	ok
אַפֿרים פּערלמוטער	full	2.0	פּערלמוטער, אַפֿרים			exact	P-3-facs_130_r_2	1		no_db_alignment
אַפֿרימל בראָדער	full	1.0	בראָדער אַפֿרים [שער?]			exact	P-1-facs_127_tr_1740521137	1	1399	ok
אָביש מייזעלס	full	4.0	מייזעלס, אַביש			exact	P-2-facs_257_tr_1744280824	1	2429	ok
אָדעלאַ זינגער	full	3.0	זינגער אַדעלאַ			exact	P-1-facs_411_tr_1739715050	1	3407	ok
אָדעלאַ שוואַרץ	full	1.0	שוואַרץ, אַדעלאַ [פינקעלשטיין]			exact	P-6-facs_58_r	1	2859	ok
אָזעף קעסלער	full	1.0	קעסלער יאָזעף			exact	P-4-facs_261_tr_1754998424	1	761	ok
אָזער קעסלער	full	1.0	קעסלער יאָזעף			exact	P-4-facs_261_tr_1754998424	1	761	ok
אָלאַ ליליט	full	1.0	לילית, אָליאַ [לאָליאַ צעדערבוים]			exact	P-2-facs_152_tr_1744279187	1	2303	ok
אָלאַ לילית	full	4.0	לילית, אָליאַ [לאָליאַ צעדערבוים]		לבדוק איות	exact	P-2-facs_152_tr_1744279187	1	2303	ok
אָלעקסאַנדער עליאַסבערג	full	1.0	עליאסבערג, אַלעקסאַנדער [געב. 22 יולי 1878 — געשט. יולי 1924]			exact	P-6-facs_244_tr_1747929009	1	1564	ok
אָנאַס טורקאָוו	full	1.0	טורקאָוו, יאָנאַס			exact	P-2-facs_44_tr_1744131410	1	3122	ok
אָננאַ בערקאָוויטש	full	1.0	אַפּעל, אַננאַ [בערקאָוויטש]			exact	P-1-facs_58_tr_1740521146	1	1163	ok
אָננאַ גאָלובאָק	full	1.0	גאָלובאַק, אַננאַ [חנה רובינשטיין]			exact	P-1-facs_209_tr_1741260255	1	1864	ok
אָנשעל שאָר	full	32.0	שאָר [שור], אַנשל			exact	P-4-facs_252_tr_1754998536	1	2854	ok
אָסיפּ דימאָווס	full	1.0	דימאָוו, אַסיפּ [יוסף פּערלמאַן]			exact	P-1-facs_295_tr_1741260503	1	1535	ok
אָסקאַר אַסטראָף	full	2.0	אַסטראָף, אָסקאַר [יהושע אָסטריצקי]			exact	P-1-facs_56_tr_1740521000	1	2601	ok
אָסקאַר דזשוליוס	full	1.0	אָסקאַר יוליוס [אייזענבעט]			exact	P-1-facs_56_tr_1740521001	1	2600	ok
אָסקאַר סאָלאָמאָנעסקאָ	full	1.0	סאָלאָמאָנעסקאָ, אָסקאַר			exact	P-2-facs_326_r_2	1	3009	ok
אָסקאַר סאָלאָמאָנעסקן	full	1.0	סאָלאָמאָנעסקאָ, אָסקאַר			exact	P-2-facs_326_r_2	1	3009	ok
אָסקאַר קאַרטאָזשינסקי	full	1.0	קאַרטאָזשינסקי, אָסקאַר [אשר]			normalized	P-7-facs_64_r_4	1	3641	ok
אָסקאָן גרין	full	1.0	גרין, אָסקאַר			exact	P-1-facs_281_r_3	1	1889	ok
אָסקאָר גרין	full	9.0	גרין, אָסקאַר			exact	P-1-facs_281_r_3	1	1889	ok
אָרזשעווסקאַ אסתר	full	1.0	אָרזשעווסקאַיאָ, אַסתר [סניעגאָוו]			exact	P-1-facs_62_tr_1740520958	1	1312	ok
אבאַ קאָמפּאַנעיעץ	full	4.0	קאָמפּאַנעעץ, אַבא		איות	exact	P-6-facs_291_tr_1747928923	1	1019	ok
אבאַ שיינגאָלד	full	22.0	שעהנגאָלד אבא [אַלבערט]			exact	P-4-facs_270_tr_1754998435	1	710	ok
אביגדור פּעקער	full	1.0	פעקער וויקטאָר (אביגדור)			exact	P-3-facs_127_tr_1754820296	1		no_db_alignment
אברהם גאָטלאָבער	full	1.0	גאָטלאָבער, אַברהם-בער			exact	P-1-facs_142_tr_1740521055	1	1880	ok
אברהם זאַק	full	2.0	זאָק, אַברהם			exact	P-1-facs_394_tr_1739715058	1	3337	ok
אברהם מאָרעווסקין	full	1.0	מאָרעווסקי, אַברהם (מנקר]			exact	P-2-facs_238_tr_1744280834	1	2505	ok
אברהם נוסבוים	full	1.0	נוסבוים, אַברהם			exact	P-2-facs_316_tr_1744365729	1	2582	ok
אברהם קאָפּקע	full	1.0	קאָפקע, אַברהם			exact	P-1-facs_133_tr_1740521131	1	2064	ok
אהרן אַלעקסאַנדראָוו	full	6.0	אַלעקסאַנדראָוו, אהרן			exact	P-1-facs_48_tr_1740521136	1	1135	ok
אהרן אייזענבערג	full	1.0	אייזענבערג אהרן			exact	P-1-facs_42_tr_1740520982	1	1603	ok
אהרן באַסטאָמסקי	full	1.0	באַסטאָמסקי, אהרן			exact	P-5-facs_346_tr_1739220500	1	1234	ok
אהרן האַלע וואָלפסזאַהוס	full	1.0	וואָלפסזאָהן האָללע, אהרן			exact	P-1-facs_342_tr_1741260502	1	3277	ok
אהרן האָלע וואָלפסזאָן	full	1.0	וואָלפסזאָהן האָללע, אהרן			exact	P-1-facs_342_tr_1741260502	1	3277	ok
אהרן האלע וואָלפֿזאָן	full	1.0	וואָלפסזאָהן האָללע, אהרן			exact	P-1-facs_342_tr_1741260502	1	3277	ok
אהרן וואָלפזאָן	full	1.0	וואָלפסזאָהן האָללע, אהרן			exact	P-1-facs_342_tr_1741260502	1	3277	ok
אהרן ווייסמן	full	2.0	ווייסמאַן, אהרן			exact	P-1-facs_365_tr_1741260403	1	3246	ok
אהרן טאַנער	full	1.0	טאָגער, אהרן			exact	P-2-facs_10_tr_1743943354	1	3046	ok
אהרן טאָגער	full	6.0	טאָגער, אהרן			exact	P-2-facs_10_tr_1743943354	1	3046	ok
אהרן לאַגער	full	5.0	לאַגער אהרן			exact	P-2-facs_87_r_8	1	2180	ok
אהרן לעבעדיעוו	full	10.0	לעבעדיעוו, אהרן			exact	P-2-facs_175_tr_1744279183	1	882	ok
אהרן לעבעדעוו	full	13.0	לעבעדיעוו, אהרן			exact	P-2-facs_175_tr_1744279183	1	882	ok
אהרן מיטעלמאַן	full	1.0	מיטעלמאַן, אהרן			exact	P-2-facs_255_tr_1744280686	1	2495	ok
אהרן נאַגער	full	3.0	נאַגער אהרן			exact	P-2-facs_300_tr_1744280760	1	2534	ok
אהרן פּאָליאַקאָוו	full	3.0	פאָליאַקאָוו, אַהרן [פּאָליאַטשעק]			exact	P-3-facs_29_tr_1752653003	1		no_db_alignment
אהרן פּסאָכיעס	full	1.0	פּסאַכיס, אהרן			exact	P-3-facs_126_tr_1754820319	1		no_db_alignment
אהרן צייטלין	full	10.0	צייטלין, אהרן [-אליעזר]			exact	P-4-facs_622_tr_1755030211	1	3364	ok
אהרן ראָזענבלום	full	8.0	ראָזענבלום אַדאָלף [אהרן]			exact	P-6-facs_103_tr_1747825052	1	2777	ok
אוּמע אָלקעניצקי	full	2.0	אָלקעניצקי, אומע (פֿרומע)			exact	P-5-facs_170_tr_1735652620	1	2593	ok
אוירווינג גראָסמאַן	full	9.0	גראָסמאַן, אוירווינג [יצחק לייב]			exact	P-1-facs_276_tr_1741260302	1	1919	ok
אוירווינג דזשייקאָבסאָן	full	9.0	דזשייקאָבסאָן, אוירווינג			exact	P-1-facs_291_tr_1741260462	1	2054	ok
אומע אָלקעניצקאַ	full	1.0	אָלקעניצקי, אומע (פֿרומע)			exact	P-5-facs_170_tr_1735652620	1	2593	ok
אוריאל מזיק [אַלטער עפּשטיין)	full	1.0	עפּשטיין, אַלטער			exact	P-2-facs_401_tr_1744366824	1	3475	ok
אורקע נאכאָלניק	full	1.0	אורקע, נאָכאַלניק [יצחק פאַרבעראָוויטש]			exact	P-5-facs_298_r	1	3494	ok
איגנאַץ פעארקויף	full	1.0	פערקויף, איגנאין [יצחק]			exact	P-3-facs_283_tr_1755674206	1		no_db_alignment
איגנאַץ פערקויף	full	1.0	פערקויף, איגנאין [יצחק]			exact	P-3-facs_283_tr_1755674206	1		no_db_alignment
אידא קאַמינסקאַ	full	56.0	קאַמינסקאַ רעגינאַ			exact	P-6-facs_224_tr_1747929007	1	3612	ok
אידאַ שעוואַכאָוויטש	full	1.0	אידינא [איוואַ שעוואָכאָוויטש]			exact	P-5-facs_26_r_861	1	2036	ok
איוואַ וויין	full	1.0	ווין, איוואַ [סיוועלע באַקשטיין]			exact	P-5-facs_422_r_2	1	3513	ok
איוואַ קאַץ	full	1.0	קאַץ,			exact	P-5-facs_593_r_12	1		no_db_alignment
איוואַ ראַפֿאַלאַ	full	1.0	ראַפַֿאלאַ, איוואַ			exact	P-6-facs_48_tr_1747746203	1	2725	ok
איזאַק כץ	full	1.0	כץ, איזאַק			exact	P-7-facs_23_tr_1756894461	1	2095	ok
איזידאָר בוזעט	full	4.0	בוזעט, איזידאָר			exact	P-1-facs_90_tr_1740521114	1	1434	ok
איזידאָר גילטמאַן	full	1.0	גילטמאַן, איזידאָר			exact	P-1-facs_255_tr_1741260319	1	1765	ok
איזידאָר האָלענדער	full	14.0	האָלענדער, איזידאָר			exact	P-1-facs_305_tr_1741260403	1	2022	ok
איזידאָר זאָלאַטאָרעווסקי	full	5.0	זאָלאַטאַרעפסקי, איזידאָר [יצחק]		לבדוק איות	exact	P-1-facs_384_r	1	3010	ok
איזידאָר זאָלאָטאַרעפסקי	full	1.0	זאָלאַטאַרעפסקי, איזידאָר [יצחק]			exact	P-1-facs_384_r	1	3010	ok
