mention_surface	source_sheet	occurrences	as_heading	alternative_heading	notes	match_method	matched_person_ids	n_matched	db_id	db_status
הי קלוג	full	1.0	אַריעל, סאָניאַ [בעזמאַן]			exact	P-1-facs_64_tr_1740520956|P-5-facs_80_tr_1733059422	2	1175	ok
היימאַן אַדלער	full	1.0	אַדלער, היימאַן [באַרטפּעלד]			exact	P-6-facs_21_r_2	1	1120	ok
היימאַן יאָקובאָוויטש	full	3.0	יאָקובאָוויטש, היימאַן (חיים-נתן)			exact	P-2-facs_72_tr_1744131378	1	2049	ok
היימאַן מייזעל	full	4.0	מייזעל, היימאַן (חיים)			exact	P-2-facs_256_tr_1744280806	1	2428	ok
היימי דזשייקאָבסאָן	full	13.0	דזשייקאָבסאָן, היימי [חיים-מענדל]			exact	P-1-facs_292_tr_1741260503	1	2053	ok
היימי וואָלערשטיין	full	2.0	וואָלערשטיין, היימי			exact	P-1-facs_341_r_7	1	3204	ok
היימי יאָקובאָוויטש	full	4.0	יאָקובאָוויטש, היימאַן (חיים-נתן)		לא בטוחה, לוודא	exact	P-2-facs_72_tr_1744131378	1	2049	ok
היימי פּריזאַנט	full	10.0	פריזאַנט, היימי			exact	P-3-facs_149_tr_1754213838	1		no_db_alignment
הירש בּיאַלין	full	1.0	ביאַלין, א. ה. [אהרן הירש]			exact	P-3-facs_318_tr_1756045381	1		no_db_alignment
הירש בלאָשטיין	full	1.0	בלאַשטיין, הירש			exact	P-1-facs_103_tr_1740521102	1	1337	ok
הירש גליק	full	3.0	גליק, הערשעל			exact	P-1-facs_259_tr_1741260221	1	1788	ok
הירש מאַץ	full	1.0	מאַץ, הירש (גרישאַ)			exact	P-5-facs_292_tr_1739222004	1	3525	ok
הירש פאַרודאָמינסקי	full	1.0	פאָרסקי, ה. [הירש פאַרודאָמינסקי]			exact	P-5-facs_207_tr_1739221937	1	2684	ok
הירש רייטמאַן	full	1.0	רייטמאַן, הירש			exact	P-6-facs_268_tr_1747928948	1	3788	ok
הלל ראָגאָף	full	7.0	ראָגאָף, הלל			exact	P-3-facs_281_tr_1755674196	1		no_db_alignment
העלענאַ גאַלצאָוואַ	full	1.0	גאָלצאווא, העלענאַ [הערצבלוט]			exact	P-1-facs_211_tr_1741260275	1	1862	ok
העלענאַ גאָטליב	full	3.0	גאָטליב העלענאַ			exact	P-1-facs_144_tr_1740521018	1	1878	ok
העלענאַ געשפּאַס	full	2.0	געשפּאַס, העלענאַ			exact	P-1-facs_269_tr_1741260221	1	1758	ok
הענעך לינעצקי	full	1.0	לינעצקי, הענעך			exact	P-1-facs_132_r_13	1	2309	ok
הענרי בערמאַן	full	2.0	בערמאַן, הענרי [הענעך ביילי]			exact	P-1-facs_118_tr_1740521135	1	1278	ok
הענרי טאַרלאָ	full	1.0	טאַרלאָ, הענרי			exact	P-2-facs_36_r_4	1	3054	ok
הענרי לאַכטיגער	full	1.0	לאַכטיגער הענרי			exact	P-5-facs_134_tr_1733832740	1	2179	ok
הענריעטאָ דזשייקאָבסאָן	full	4.0	דזשייקאָבסאָן, הענריעטאָ			exact	P-1-facs_292_tr_1741260514	1	2052	ok
הענריק בערלעווי	full	1.0	בערלעווי הענריק			exact	P-6-facs_152_tr_1747825185	1	1276	ok
הענריק שאַראָ	full	3.0	שאַראַ, הענריק [שאַפּיראָ]			exact	P-5-facs_344_r	1	3563	ok
הערי געביל	full	1.0	געביל, הערי			exact	P-1-facs_261_tr_1741260195	1	1715	ok
הערי וויינבערג	full	3.0	וויינבערג, הערי [אהרן]			exact	P-1-facs_356_tr_1741260406|P-6-facs_607_tr_1747930558	2	3214	ok
הערי זאַר	full	1.0	זאַר, הער [גבריאל זאַרשעווסקי]			exact	P-4-facs_333_tr_1754998452	1	3351	ok
הערי טאָמאַשעווסקי	full	4.0	טאָמאַשעווסקי, הער (הערש-יונה)		כתיב (לוודא)	exact	P-2-facs_31_tr_1744131359	1	3072	ok
הערי לאַנדמאַן	full	3.0	לאַנדמאַן, הערי			exact	P-2-facs_108_tr_1744279196	1	2193	ok
הערי סעקלער	full	1.0	סעקלער הער (ביידערש)			exact	P-2-facs_368_tr_1744366867	1	2818	ok
הערי פעלד	full	1.0	פעלד הערי			exact	P-3-facs_401_tr_1755856147	1		no_db_alignment
הערי קאָלמאָנאָוויטש	full	1.0	קאַלמאַנאָוויטש, הערי			exact	P-4-facs_644_tr_1755030005	1	2070	ok
העריס פֿיינבערג	full	1.0	פֿיינבערג, העריס			exact	P-6-facs_134_tr_1747825144	1	1626	ok
הערמאַן (הערשל) בערמאַן	full	1.0	בערמאַן, הערמאַן			exact	P-1-facs_119_tr_1740521143	1	1279	ok
הערמאַן בערמאַן	full	15.0	בערמאַן, הערמאַן			exact	P-1-facs_119_tr_1740521143	1	1279	ok
הערמאַן וואַהל	full	4.0	וואָהל, הערמאַן [צבי]			exact	P-1-facs_336_tr_1741260422	1	906	ok
הערמאַן וויינבערג	full	9.0	וויינבערג, הערמאַן			exact	P-1-facs_357_r_10|P-5-facs_182_tr_1736589054	2	3215	ok
הערמאַן ווילד	full	1.0	ווילד, הערמאַן			exact	P-1-facs_131_tr_1740521160	1	3183	ok
הערמאַן יאַבלאָקאָוו	full	18.0	אונדזערע בויער			exact	P-4-facs_651_tr_1755030219|P-5-facs_595_r_18|P-6-facs_650_tr_1747931534	3		no_db_alignment
הערמאַן לאַסטער	full	1.0	לאָסטער הערמאַן			exact	P-2-facs_109_tr_1744279123	1	2209	ok
הערמאַן סיעראָצקי	full	24.0	סיעראָצקי, הערמאַן			exact	P-2-facs_356_tr_1744365750	1	2891	ok
הערמאַן פידלער	full	4.0	פידלער הערמאַן [אַברהם הערש]			exact	P-3-facs_278_tr_1755674209	1		no_db_alignment
הערמאַן פישער	full	4.0	פֿישער, הערמאַן			exact	P-5-facs_160_tr_1735652649	1	1655	ok
הערמאַן פענינשטיין	full	4.0	פֿיינשטיין, הערמאַן (צבי-חיים)		לא בטוחה- לוודא	exact	P-6-facs_101_tr_1747825157	1		no_db_alignment
הערמאַן קרוק	full	11.0	גאָלדענבערג, יעקב-משה			exact	P-1-facs_153_tr_1740521003|P-5-facs_272_tr_1739221123	2	1828	ok
הערמאַן פֿיינשטיין	full	5.0	פֿיינשטיין, הערמאַן (צבי-חיים)			exact	P-6-facs_101_tr_1747825157	1		no_db_alignment
הערמאַן פֿישער	full	1.0	פֿישער, הערמאַן			exact	P-5-facs_160_tr_1735652649	1	1655	ok
הערש האַרט	full	2.0	האַרט, הערש			exact	P-1-facs_310_tr_1741260420	1	1976	ok
