source_sheet	volume	xml_id	heading	index_unmatched	extras
Volume 5 align	5.0	facs_354_tr_1739222148	פּילניק, אַליהו		פּילניק, אליהו 6734:5
Volume 5 align	5.0	facs_355_tr_1739221112	גרימינגער אשר		
Volume 5 align	5.0	facs_355_tr_1739221117	אַס, ברוך		אַס, בּרוך 7734:5
Volume 5 align	5.0	facs_355_tr_1739221123	אַלפּעראָוויטש, איסאַק		אַלפּעראָוויטש, איסאַק 7734:5
Volume 5 align	5.0	facs_355_r_2	שאַיעוויטש, דינה		
Volume 5 align	5.0	facs_356_tr_1739222186	סעגאַלעסקאָ, אַלבערט		
Volume 5 align	5.0	facs_356_r_2	באָריסאָוו, בערל (העקער)		בּאריסאוו, בּערל 0834:5
Volume 5 align	5.0	facs_356_tr_1739222166	רייכמאַן, [?]		רייכמאַן 0834:5
Volume 5 align	5.0	facs_357_tr_1739221523	שטאָקפעדער עוואַ חוה]		שטאקפעדער, עוואַ )חוה( 1834:5
Volume 5 align	5.0	facs_357_tr_1739221525	גראָסמאַן, פאַוועל		גראסמאַן, פּאַוועל 2834:5
Volume 5 align	5.0	facs_357_tr_1739221522	ראַדין, נאַדיע		ראדין, נאַדיע 2834:5
Volume 5 align	5.0	facs_358_tr_1739221614	שטיין, אַדאָלף (אַברהם)		שטיין, אַדאָלף )אברהם( 3834:5
Volume 5 align	5.0	facs_358_tr_1739221627	אייזען-אַרענשטיין, עוואַ		אייזען-אָרענשטיין, עווא 4834:5
Volume 5 align	5.0	facs_358_tr_1739221613	ציפּקינאַ פאַניאַ		ציפּקינא, פאַניאַ 4834:5
Volume 5 align	5.0	facs_358_tr_1739221631	ניימילער, זעלדע (זיינא)		ניימילער, זעלדע )זינא( 4834:5
Volume 5 align	5.0	facs_359_tr_1739221250	אַבּעלסאָן, בן-ציון		אבּעלסאָן, בּן-ציון 5834:5
Volume 5 align	5.0	facs_359_tr_1739221254	רייזער אַנעטאַ		רייזער, אַנעטאַ 6834:5
Volume 5 align	5.0	facs_359_tr_1739221244	אָפּע, משה (מאַאיסיי)		יאָפע, משה )מאָאיסיי( 6834:5
Volume 5 align	5.0	facs_360_tr_1739221940	אייזענשטאָט, נחמה		אייזענשטאט, נחמה 7834:5
Volume 5 align	5.0	facs_360_tr_1739221934	האַלפּערן, באָריס		האַלפּערן, באָריס 7834:5
Volume 5 align	5.0	facs_360_tr_1739221925	האָלענדער לייב		האָלענדער, לייב 7834:5
Volume 5 align	5.0	facs_360_tr_1739221935	האָפמאַן, [?]		האָפמאַן )?( 7834:5
Volume 5 align	5.0	facs_360_tr_1739221936	לאַמפּע, מאָריס		
Volume 5 align	5.0	facs_367_tr_1739222548	פּאָלאַנסקי, ריטאָ		פּאָלאַנסקי, ריטאַ 1044:5
Volume 5 align	5.0	facs_367_tr_1739222551	ווידרעוויטש, משה דוד		
Volume 5 align	5.0	facs_368_tr_1739221075	האַסין, מישאַ		חאסין, מישא 3044:5
Volume 5 align	5.0	facs_368_tr_1739221068	מאַרמאָ, גרישאַ		מאַרמאָ, גרישא 3044:5
Volume 5 align	5.0	facs_368_r	סאַפּאָזשניקאָוו, איזי (איסאַק)		סאַפּאָזשניקאָוו, איזי )איסאַק( 3044:5
Volume 5 align	5.0	facs_368_r_2	ראַכמאַנאָוו, [?]		ראַכמאַנאָוו )?( 3044:5
Volume 5 align	5.0	facs_368_tr_1739221061	שלאַקמאַן, שלמה		שלאַקמאַן, שלמה 4044:5
Volume 5 align	5.0	facs_369_r	קאָוואַ, שלמה-לייב		
Volume 5 align	5.0	facs_371_tr_1739222500	ראָזען, אַברהם, דר.		"ראזען, אברהם, ד""ר 9044:5"
Volume 5 align	5.0	facs_371_tr_1739222499	נעלקען, משה		נעלקען, משה 0144:5
Volume 5 align	5.0	facs_371_r_6	בלום חנה		בּלום, חנה )חנה-בּלומע צענציפּער( 0144:5
Volume 5 align	5.0	facs_371_tr_1739222498	מוראַק יאָסל		מוראק, יאָסל 0144:5
Volume 5 align	5.0	facs_371_r_2	טעפנער, וואָלף		טעפנער, וואָלף 0144:5
Volume 5 align	5.0	facs_372_tr_1739222357	קאַהאַן ישראל [אַברהם]		קאַהאַן, ישראל )אברהם( 1144:5
Volume 5 align	5.0	facs_372_tr_1739222351	קיימאַן, חיים-יוסף		קיימאַן, חיים-יוסף 2144:5
Volume 5 align	5.0	facs_373_r_2	ערדי סאַפיע		ערדי, סאָפיאַ )גאַרפינקעל( 3144:5
Volume 5 align	5.0	facs_373_r	אַרנשטיין, מאַרק		
Volume 5 align	5.0	facs_386_r_111	"די פּוילישע און 'דישע שוישפּילער אין „דיבוק' און „גולם"""		
Volume 5 align	5.0	facs_394_r	אַ פּשאַ צונגען		
Volume 5 align	5.0	facs_400_tr_1739220489	אייזענבערג, אַווראָם		
Volume 5 align	5.0	facs_400_tr_1739220492	קיגעל, יוסף		קיגעל, יוסף 8644:5
Volume 5 align	5.0	facs_400_tr_1739220482	זאַלוניאַק, איז		זאלוזניאק, איזי 8644:5
Volume 5 align	5.0	facs_401_tr_1739221659	טשעטשילניצקי, אַווראָם		טשעטשעלניצקי, אווראם 9644:5
Volume 5 align	5.0	facs_401_tr_1739221667	וואַסערמאַן, יעקב		
Volume 5 align	5.0	facs_401_tr_1739221644	קאַסיאַקאָוו, וואַדיאַ		קאָסיאקאוו, וואדיא 0744:5
Volume 5 align	5.0	facs_401_tr_1739221658	שעכטער, עמנואל		שעכטער, עמנואל 0747:5
Volume 5 align	5.0	facs_402_tr_1739220478	טראָקיינער, חיה		טראָקינער, חיה 1744:5
Volume 5 align	5.0	facs_402_r_2	געבירטיג, מרדכי		
Volume 5 align	5.0	facs_409_tr_1739221817	אָפּשאַצונגען		
Volume 5 align	5.0	facs_414_tr_1739222253	קרעמער יוסף		קרעמער, יוסף 5944:5
Volume 5 align	5.0	facs_414_tr_1739222259	קרעמער איסאַק		קרעמער, איסאַק 5944:5
Volume 5 align	5.0	facs_414_tr_1739222237	זילבורג, משה		
Volume 5 align	5.0	facs_415_tr_1739221390	האָראָוויץ, בער		
Volume 5 align	5.0	facs_416_tr_1739222225	זאַוואָדזקי, דוב		זאוואדזקי, דוב 9944:5
Volume 5 align	5.0	facs_416_tr_1739222231	גאָלדבערג, לילי		גאָלדבּערג, לילי 0054:5
Volume 5 align	5.0	facs_417_tr_1739222565	שטערן ישראל		שטערן, ישראל 1054:5
Volume 5 align	5.0	facs_418_tr_1739222210	פראַנקענטאַל, מ. (מרדכי נח]		פראַנקענטאַל, מאָטל )מרדכי-נח( 4054:5
Volume 5 align	5.0	facs_421_r_8	גאַזעל, ראָזאַ		גאזעל, ראָזאַ )פאזניאק( 9054:5
Volume 5 align	5.0	facs_421_tr_1739222373	פּאָטלאַך, שייע		פּאַטלאַך, שייע 0154:5
Volume 5 align	5.0	facs_421_tr_1739222376	לאַקערניק, נאָיע		לאקערניק, נאַיע 0154:5
Volume 5 align	5.0	facs_421_tr_1739222380	בעלעגאָלאָווסקאַ, אַננאַ (חנה)		בּעלאגאלאווסקאַ, אַננאַ )חנה( 0154:5
Volume 5 align	5.0	facs_422_r_2	ווין, איוואַ		ווין, איווא )סיוועלע בּאָקשטיין( 1154:5
Volume 5 align	5.0	facs_423_r_6	פּוטאַטע היש		
Volume 5 align	5.0	facs_423_r_3	רייסקי, באָריס,		רייסקי, באָריס 3154:5
Volume 5 align	5.0	facs_423_tr_1739222033	מאָה, (מאַזאָ) מרדכי		
Volume 5 align	5.0	facs_430_r	לערעסקאָ, סאַמועל		
Volume 5 align	5.0	facs_431_r	לערעסקאָ אַדעלאַ		
Volume 5 align	5.0	facs_431_tr_1739220740	גינזבורג, חיים		גינזבּורג, חיים 8104:5
Volume 5 align	5.0	facs_432_r	סאַנדלער חיים		סאַנדלער, חיים )קאַפיטקא( 1354:5
Volume 5 align	5.0	facs_434_tr_1739221694	שעכטמאַן, יאַקאָוו		שעכטמאַן, יאַקאָב 6354:5
Volume 5 align	5.0	facs_434_tr_1739221693	טורעווסקי, דאָוויד		טורעווסקי, דאוויד 6354:5
Volume 5 align	5.0	facs_434_tr_1739221689	דייטש, שייע		דייטש, שייע 6354:5
Volume 5 align	5.0	facs_435_tr_1739222512	ווינדער, מאיר		ווינדער, מאיר 7354:5
Volume 5 align	5.0	facs_436_tr_1739220741	זילבערג, יוכבך		זילבּערג, יוכבד 9354:5
Volume 5 align	5.0	facs_437_tr_1739221511	מילטשין, איסאַק		
Volume 5 align	5.0	facs_438_tr_1739221803	וואָלפשטאַט, אַברהם		
Volume 5 align	5.0	facs_438_tr_1739221804	ראַכמאַנאָוו, לייזער		ראַכמאַנאָוו, לייזער 4454:5
Volume 5 align	5.0	facs_439_tr_1739220587	פּערלע יהושע		פּערלע, יהושע 5454:5
Volume 5 align	5.0	facs_441_tr_1739220583	גלאָטשטיין ישראל		גלאַטשטיין, ישראל 0554:5
Volume 5 align	5.0	facs_442_tr_1739222531	לייבאָוויטש, הערץ		לייבאָוויטש, הערץ 1554:5
Volume 5 align	5.0	facs_442_tr_1739222523	גרינשפּאַן, פֿייוול		גרינשפּאַן, פייוול 2554:5
Volume 5 align	5.0	facs_443_tr_1739220791	לייפּציקער מאַרק		
Volume 5 align	5.0	facs_443_r_3	בערגאָלסקי, יעקב (יאַשאַ)		
Volume 5 align	5.0	facs_444_tr_1739222259	מאַרגאָלין, זכריה		מאַרגאָלין, זכריה 5554:5
Volume 5 align	5.0	facs_444_tr_1739222260	ווייסביין, חיים		ווייסבּיין, חיים 6554:5
Volume 5 align	5.0	facs_445_tr_1739221346	ראַטבלום ישראל		
Volume 5 align	5.0	facs_445_tr_1739221348	מאַרווייל, שמואל		מאַרוויל, שמואל 8554:5
Volume 5 align	5.0	facs_446_tr_1739220512	לאַנדוי דר. לייב		לאַנדוי, לייב, דר. 0654:5
Volume 5 align	5.0	facs_451_tr_1739220683	שאַיעוויטש, ישראל		שאַיעוויטש, ישראל 0754:5
Volume 5 align	5.0	facs_452_tr_1739221807	שעכטער אהרן		שעכטער, אהרן 1754:5
Volume 5 align	5.0	facs_452_tr_1739221802	שערמאַן, דוד		שערמאַן, דוד 2754:5
Volume 5 align	5.0	facs_453_tr_1739221401	צייטלין, אַלחנן		צייטלין, אלחנן 4754:5
Volume 5 align	5.0	facs_460_tr_1739221038	קאַציזנע, אַלטער (שלום)		קאַציזנע, אַלטער )שלום( 7854:5
Volume 5 align	5.0	facs_476_tr_1739221235	אַפּשאַצונגען		
Volume 5 align	5.0	facs_482_tr_1739221607	ראַבין, מנחם-מענדל		ראבין, מנהם-מענדל 2364:5
Volume 5 align	5.0	facs_483_tr_1739222529	גאָכאַנסקי, מרים (מינצע)		גאכאנסקי, מרים )מינדע( 4364:5
Volume 5 align	5.0	facs_484_tr_1739220531	ראַן, משה		ראַן, משה 6364:5
Volume 5 align	5.0	facs_484_r_5	זעווין, לעוו		
Volume 5 align	5.0	facs_485_r	סאַמבערג, א.		
Volume 5 align	5.0	facs_504_tr_1739220878	אָפּשאַצונגען		
Volume 5 align	5.0	facs_508_tr_1739222134	אַבאָזשאַנעק, יעקב		
Volume 5 align	5.0	facs_508_tr_1739222135	צעלמייסטער דוד		
Volume 5 align	5.0	facs_509_tr_1739221079	קאַצענעלסאָן, יצחק[-יחיאָל]		קאַצענעלזאָן, יצחק )יה\חיאל( 6864:5
Volume 5 align	5.0	facs_529_tr_1739221773	שאַפּיראָ, דניאל		שאַפּיראָ, דניאל 6274:5
Volume 5 align	5.0	facs_532_r	יידיש און העברעיש טעאַטער אין די געטאָס.		
Volume 5 align	5.0	facs_534_r	יידיש קינדער-טעאַטער אין לאָדזשער געטאָ		
Volume 5 align	5.0	facs_534_tr_1739222534	רובין, מלך		רובין, מלך 6374:5
Volume 5 align	5.0	facs_535_tr_1739222167	ניקאָלאַיעווסקי, מייער		ניקאָלאַיעווסקי, מייער 7374:5
Volume 5 align	5.0	facs_535_tr_1739222178	ראַבינאָוויטש, ליובאַ		ראַבינאָוויטש, ליובא 8374:5
Volume 5 align	5.0	facs_535_tr_1739222170	שריפטזעצער, לייב		שריפטזעצער, לייבּ 8374:5
Volume 5 align	5.0	facs_538_tr_1739221977	צפּור, י. ב. ד'ר [יצחק שטערקמאַן]		"צפּור, י. ב., ד""ר. )יצחק שטערקמאַן( 4474:5"
Volume 5 align	5.0	facs_546_tr_1739220662	ראָזענבערג, אַברהם		ראָזענבּערג, אברהם 0674:5
Volume 5 align	5.0	facs_546_tr_1739220658	ראַטנער, מאַניע		ראַטנער, מאַניע 0674:5
Volume 5 align	5.0	facs_547_tr_1739222026	שעכטמאַן, מאַנוועל		שעכטמאַן, מאַנועל 1674:5
Volume 5 align	5.0	facs_547_tr_1739222018	כאַסין, לייזער		כאסין, לייזער 1674:5
Volume 5 align	5.0	facs_547_tr_1739222033	וואַסערייך, מישע		וואַסערייך, מישע 1674:5
Volume 5 align	5.0	facs_547_tr_1739222023	קרוין [קרוויינשטאַט], זלמן		קרוין, )קרוינשטאט(, זלמן 1674:5
Volume 5 align	5.0	facs_547_tr_1739222039	עדעלמאַן-קלעבאַנאָוואַ, ניוניאַ (חנה)		
Volume 5 align	5.0	facs_547_tr_1739222037	זאָרין, [?]		זאַרין )?( 2674:5
Volume 5 align	5.0	facs_548_tr_1739220543	דויבער, זכריה-אַברהם		דויבער, זכריה-אברהם 3674:5
Volume 5 align	5.0	facs_548_tr_1739220547	גילבערט, שלמה		
Volume 5 align	5.0	facs_551_tr_1739221725	גערשענזאָן, משה		גערשענסאָן, משה 9674:5
Volume 5 align	5.0	facs_556_tr_1739222579	אַדלער קאָטיאַ [גוראָלניק]		
Volume 5 align	5.0	facs_557_tr_1739222011	אַבּעלמאַן, ציפּע (צפּורה)		אַבּעלמאַן, ציפע )צפּורה( 1874:5
Volume 5 align	5.0	facs_557_tr_1739222018	פֿישער לובאַ		פישער, לובא 1874:5
Volume 5 align	5.0	facs_557_r	גלאַנץ, יואל		
Volume 5 align	5.0	facs_557_tr_1739222013	וואולמאַן, שמואל		
Volume 5 align	5.0	facs_558_r	לודנער, סאָניאַ		לודנער, סאָניאַ )קוריצקאַ( 3874:5
Volume 5 align	5.0	facs_558_tr_1739222068	זעלמאַן, לעאָן		
Volume 5 align	5.0	facs_559_tr_1739222339	סאַנדלער ראָזאַ		סאַנדלער, ראָזאַ 5874:5
Volume 5 align	5.0	facs_559_tr_1739222341	לערמאַן, אַ[ליהו]		לערמאַן, א. )אליהו( 5874:5
Volume 5 align	5.0	facs_560_tr_1739220843	אַריעל, רחל		
Volume 5 align	5.0	facs_560_tr_1739220854	זילבערשטיין, בייניש		זילבּערשטיין, ביינוש 7874:5
Volume 5 align	5.0	facs_560_tr_1739220846	מאַרכעווקאַ, ישראל		מארכעווקא, ישראל 7874:5
Volume 5 align	5.0	facs_561_tr_1739222221	וויינער לייב		וויינער, לייבּ 9404:5
Volume 5 align	5.0	facs_563_tr_1739221890	סאַלמאַן, קלמן		סאַלמאַן, קלמן 4974:5
Volume 5 align	5.0	facs_563_tr_1739221876	גערמאַן, ישראל		גערמאַן, ישראל 4974:5
Volume 5 align	5.0	facs_564_tr_1739222472	קוציק מאָטעלע		קוציק, מאָטעלע 5974:5
Volume 5 align	5.0	facs_564_tr_1739222476	גאַדינער שמואַל-ניסן		גאָדינער, שמואל-ניסן 6974:5
Volume 5 align	5.0	facs_567_r_6	שילינג, ראָזאַ		שילינג, ראָזאַ )ריקל בּריה( 2084:5
Volume 5 align	5.0	facs_568_tr_1739221634	גורעוויטש, משה לייב		גורוויטש, משה 9124:5
Volume 5 align	5.0	facs_568_r_2	אַמאַטין, סאָניאַ		
Volume 5 align	5.0	facs_568_tr_1739221639	מענדעלעוויטש, דוד		
Volume 5 align	5.0	facs_569_r	קייזעראָוויטש, מאַניאַ		
Volume 5 align	5.0	facs_569_r_9	בורדאַ-אַנטאָווילסקאַ ראָזאַ		
Volume 5 align	5.0	facs_569_tr_1739221277	ראָזענבערג, טוביה-גדליהו		ראָזענבּערג, טוביה-גדליה 6084:5
Volume 5 align	5.0	facs_570_tr_1739221417	שיפּער יצחק (איגנאַץ) דר.		"שיפּער, יצחק, ד""ר. )איגנאַץ( 7084:5"
Volume 5 align	5.0	facs_586_tr_1739221917	שטאביב, משה		שטאַבזיב, משה 9384:5
Volume 5 align	5.0	facs_586_tr_1739221921	רייפעדער, יעקב		
Volume 5 align	5.0	facs_586_r	שיין, מאַניאַ		שיין, מאָניאַ )מאָנאַ גאַבּורסקאַ( 0484:5
Volume 5 align	5.0	facs_587_tr_1739221101	ראָזענבוים, יעקב-חיים		ראזענבּוים, יעקב-חיים 1484:5
Volume 5 align	5.0	facs_587_tr_1739221100	ראָזענצווייג, רעגינאַ		
Volume 5 align	5.0	facs_587_tr_1739221109	משה זאַנדבערג		
Volume 5 align	5.0	facs_587_tr_1739221108	דוד צעלמייסטער		
Volume 5 align	5.0	facs_588_tr_1739222289	נאַאומאָוו, שלמה		
Volume 5 align	5.0	facs_588_r_2	צעלזאַר רינאַ (זעלינסאָן)		צעלזאַר, רינאַ )זעליגסאָן( 4484:5
Volume 5 align	5.0	facs_589_tr_1739220590	באַרקאָווסקאַ, מאָליאַ		בּארקאווסקא, מאַליאַ 5484:5
Volume 5 align	5.0	facs_589_tr_1739220603	כאַטשעוואַצקי, משה		כאטשעוואַצקי, משה 5484:5
Volume 5 align	5.0	facs_589_tr_1739220595	וואַקסמאַן, בערל		וואַקסמאַן, בערל 6484:5
Volume 5 align	5.0	facs_589_tr_1739220611	עפּשטיין, מ. ב.		עפּשטיין, מ.ב. 6484:5
Volume 5 align	5.0	facs_589_r_6	דרייזין, זשעניע		דרייזין, זשעניע 6484:5
Volume 5 align	5.0	facs_590_tr_1739222452	פּאָלאָקעוויטש, משה		
Volume 5 align	5.0	facs_590_tr_1739222448	וויינבערג, שמואל		וויינבּערג, שמואל 7484:5
Volume 5 align	5.0	facs_592_r_4	בליאַכער מנחם (מיטיע)		בּליאַכאַר, מנחם )מיטיע( 1584:5
Volume 5 align	5.0	facs_592_tr_1739221199	שאַפּיראָ, געניאַ		שאַפּיראָ, געניאַ 1584:5
Volume 5 align	5.0	facs_592_r_37	ספּיוואַק, איסאַק, געשפּילט אין „געגנטלעכן יידישן מלוכה טעאַטער אויפֿן נאָמען פֿון שלום-עליכם ביים זשיטאָמירער געגנטלעכן אָפּטייל פֿאַר קונסט, אין עלטער פֿון 25 יאָר אומגעקומען אויפֿן פֿראָנט אין קאַמף קעגן די נאַציס געווען אַ פעיקער שוישפּילער.		ספּיקאַוו, איסאַק 4584:5
Volume 5 align	5.0	facs_592_r_38	שוועץ, איסאַק, מאָלער פֿון זשיטאָמירער יידישן מלוכה טעאַטער. אין עלטער פֿון 22 יאָר געפֿאַלן אויפֿן פֿראָנט אין קאַמף מיט די נאַציס.		שוועץ, איסאַק 1584:5
Volume 5 align	5.0	facs_592_r_11	קראָטשאַק, עלקאַ, מיטגליד פֿון וויניצער זשיטאָמירער יידישן מלוכה-טעאַטער. אומגעקומען אין דער געטאָ פֿון זשיטאָמיר.		קראַטשאַק, עלקאַ 2584:5
Volume 5 align	5.0	facs_592_r_13	מלוכה-טעאַטער, אומגעקומען צוזאַמען מיט נאָך 8 מוזיקאַנטן.		
Volume 5 align	5.0	facs_592_r_15	טעאַטער, אומגעקומען אויפֿן פֿראָנט, אין קאַמף קעגן די נאַצישע בעסטיעס.		
Volume 5 align	5.0	facs_592_r_17	גרינשטיין, חנה, מיטגליד פֿון וויניצער זשיטאָמירער יידישן מלוכה-טעאַטער, אומגעקומען אין דער שחיטה וואָס די היטלערייסטן האָבן דורכגעפֿירט אין באַרדיטשעוו.		גרינשטיין, חנה 2584:5
Volume 5 align	5.0	facs_592_r_21	בלויפֿאַרב, מיראַ, אַקטעריסע. אומגעקומען אין קאָוונער געטאָ.		בּלויפאַרבּ, מיראַ 2584:5
Volume 5 align	5.0	facs_592_r_22	לעווין, אַברהם, געקומען אויף גאַסטראָלן פֿון פאַריז קיין קאָוונע, פֿאַרכאָפּט געוואָרן פֿון די נאַציס און אומגעבראַכט געוואָרן אין דער אָרטיקער געטאָ.		
Volume 5 align	5.0	facs_592_r_23	שוב, ליובאַ אומגעבראַכט געוואָרן דורך די נאַציס אין קאָוונע.		שובּ, ליובּאַ 2584:5
Volume 5 align	5.0	facs_592_r_24	גליוויצקי, גדליה, שטאַמט פון ווילנע, אומגעקומען אין דער דאָרטיקער געטאָ.		גליוויצקי, גדליה 2584:5
Volume 5 align	5.0	facs_592_r_25	לעווין, אַלטער, אַ זינגער, אַ ווילנער, אומגעקומען אין קאָוונער געטאָ.		לעווין, אַלטער 2584:5
Volume 5 align	5.0	facs_592_r_27	וואַראָבערטשיק, אַ שטענדיקער מיטאַרבעטער פֿון אָדעסער מוזיי אויפֿן נאָמען פֿון מענדעלע מוכר ספרים, געשריבן רעצענזיעס וועגן יידישן טעאַטער, געפֿאַלן אויפֿן פֿראָנט קעגן די נאַציס.		וואָראָבּעיטשיק 2584:5
Volume 5 align	5.0	facs_592_r_29	"פּאַוולאַציקי, מישע, געבוירן 1913, זייער אַ פעיקער אַקטיאָר. געשפּילט אין לוואָווער יידישן מלוכה-טעאַטער די טיטל-ראָל פון „הערשעלע אַסטראָפּאָלער“, „מענדל דער וואַסער-טרעגער“ אין פרץ מאַרקישס „ניט געדייגעט“ און „זאָמקע קאָפּאָטש און אין „קאָלדוניאַ"". שטאַרק געפּייניקט געוואָרן אין דער לעמבערגער געסטאַפּאָ, וועלכע האָט אים אָנגעטאָן אַ גאַז-מאַסקע און געצוואונגען צו זינגען."		פּאַוולאָציקי, מישע 2584:5
Volume 5 align	5.0	facs_592_r_31	לופט, אַסיסטענט-רעזשיסער אין לוואָווער יידישן מלוכה-טעאַטער. אַלט געווען בערך 30 יאָר. אומגעקומען מיט דער משפּחה אין דער אַרטיקער געטאָ.		לופט 2584:5
Volume 5 align	5.0	facs_592_r_33	איטקין, מיטגליד פֿון לוואָווער יידישן מלוכה-טעאַטער, 20 יאָר אַלט, אומגעקומען אין לוואָווער געטאָ.		איטקין 2584:5
Volume 5 align	5.0	facs_592_r_35	צעסאַרסקי, געענדיקט די אָדעסער יידישע טעאַטער-סטודיע. אומגעקומען אין דער מינסקער געטאָ.		צעסאַרסקי 2584:5
Volume 5 align	5.0	facs_593_tr_1739221040	טאָקמאַן, אַלעקסאַנדער		טאָקמאַן, אַלעקסאַנדער 3584:5
Volume 5 align	5.0	facs_593_r_1	זיגעל, נאַאום		זיגעל, נאַאים 3584:5
Volume 5 align	5.0	facs_593_r_4	שראַגע, ב.		שראגע, כ. 3584:5
Volume 5 align	5.0	facs_593_tr_1739221062	שענקמאַן, יאָסעלע		שענקמאַן, יאָסעלע 3584:5
Volume 5 align	5.0	facs_593_r_33	פידלעלמאַן, מיטגליד פון קרימער יידישן קאָלווירטישן טעאַטער. איז אומגעקומען אויף אַ שייף ביים עוואַקווירן זיך פֿון די היטלעריסטן, ווען זיי האָבן זיך געריסן צו פֿאַרכאָפּן קרים.		פידעלמאַן 3584:5
Volume 5 align	5.0	facs_593_r_35	לייזענבערג, אַקטיאָר פֿון יידישן מלוכה-טעאַטער אין מינסק, אומגעקומען אין דער מינסקער געטאָ.		ליזערבערג 3584:5
Volume 5 align	5.0	facs_593_r_37	קאַץ, אַסיסטענט-רעזשיסער אין לוואָווער יידישן מלוכה-טעאַטער. אין עלטער פֿון בערך 30 יאָר אומגעקומען צוזאַמען מיט דער גאַנצער משפּחה אין דער לוואָווער געטאָ.		קאַץ 3584:5
Volume 5 align	5.0	facs_593_tr_1739221042	באַסין, מישע		בּאסין, מישע 4584:5
Volume 5 align	5.0	facs_593_r_19	גרינשפּון, ישראל, געבוירן אין זשמערינקע, מיטגליד פֿון זשיטאָמירער יידישן מלוכה-טעאַטער. אין עלטער פֿון 25 יאָר געפֿאַלן אין 1941 אויפֿן פֿראָנט אין קאַמף קעגן די נאַציס.		גרינשפּון, ישראל 4584:5
Volume 5 align	5.0	facs_593_r_18	פֿויסטיילניק, געענדיקט אין 1934 די מאָסקווער יידישע טעאַטערשול און זיך באַטייליקט אין יידישן מלוכה-טעאַטער אין דער אויפפֿירונג פֿון שעקספירס „קיניג ליר“ א'א. געפֿאַלן אויפֿן פֿראָנט אין קאַמף מיטן נאַצישן שונא.		פויסטילניק 4584:5
Volume 5 align	5.0	facs_593_r_20	"ספּיוואַק, איסאַק, 25 יאָר אַלט, אַ פעיקער שוישפּילער. מיטגליד פֿון זשיטאָמירער יידישן מלוכה-טעאַטער („געגנטלעכער יידישער מלוכה-טעאַטער אויפֿן נאָמען פֿון שלום-עליכם ביי דער זשיטאָמירער געגנטלעכער אָפּטייל פֿאַר קונסט""). אומגעקומען אויפֿן פֿראָנט אין קאַמף קעגן די נאַציס."		
Volume 5 align	5.0	facs_593_r_23	טרעגער צאָליק, געבוירן 1913 אין אָדעס, אוקראינע. אין 1934 אַריינגעטראָטן אין יידישן מלוכה-טעאַטער אין באַקו, אומגעבראַכט געוואָרן דורך די נאַציס.		טרעגער, צאַליק 4584:5
Volume 5 align	5.0	facs_593_r_25	טאַמאַרקיין, כ., געבוירן 1915 פֿאַרענדיקט די טעאַטער-סטודיע פֿון מאָסקווער יידישן מלוכה-טעאַטער. געאַרבעט אין לוואָווער יידישן מלוכה-טעאַטער. אומגעקומען אין 1941 אויפֿן פֿראָנט אין קאַמף קעגן די נאַציס.		טאמארקין, כ. 4584:5
Volume 5 align	5.0	facs_593_r_21	אַסטראָווסקי, ב. פֿאַרענדיקט די מאָסקווער יידישע טעאַטראַלע שול. אַריינגעטראָטן 1937 אין יידישן מלוכה-טעאַטער אין באַקו. געפֿאַלן אויפֿן פֿראָנט אין קאַמף קעגן די נאַציס.		אָסטראָווסקי, כ. 4584:5
Volume 5 align	5.0	facs_593_r_27	מינעוויין, איזי געבוירן 1913 געענדיקט די סטודיע פֿון מאָסקווער יידישן מלוכה-טעאַטער. אין 1935 געשפּילט אין קיעווער יידישן מלוכה-טעאַטער. אַ פעיקער אַרטיסט. גלענצנדיקער טענצער. אומגעקומען אויפֿן פֿראָנט אין קאַמף קעגן די נאַציס.		מינעוויץ, איזי 4584:5
Volume 5 align	5.0	facs_593_r_30	סלאָווינאַ, פֿאַניאַ מיטגליד פֿון וויניצער זשיטאָמירער יידישן מלוכה-טעאַטער. אומגעקומען דורך די נאַציס בעת זייער „אַקציע אין שטעטל מאָלינע.		סלאַווינא, פאַניאַ 4584:5
Volume 5 align	5.0	facs_593_r_29	גאַרבער, רבקה, מיטגליד פֿון וויניצער זשיטאָמירער יידישן מלוכה-טעאַטער. אומגעקומען אין דער געטאָ פֿון זשיטאָמיר.		גארבער, רבקה 4584:5
Volume 5 align	5.0	facs_593_r_28	קאַרלאָס, מישע, מיטגליד אין וויניצער זשיטאָמירער יידישן מלוכה-טעאַטער. געפֿאַלן אויפֿן פֿראָנט אין קאַמף קעגן נאַצישן שונא.		קאַרלאָס, מישע 4584:5
Volume 5 align	5.0	facs_593_r_31	געלפאַנד, אידאַ, מיטגליד פֿון וויניצער זשיטאָמירער יידישן רייסטן האָבן דורכגעפֿירט אין יעקאַטערינאָסלאָוו. מלוכה-טעאַטער. אומגעקומען אין דער שחיטה, וואָס די היטלע		געלפאַנד, אידאַ 4584:5
Volume 5 align	5.0	facs_595_r	אונדזערע בויער סעם ווישניאַק		
Volume 5 align	5.0	facs_595_tr_1739220497	די צבי קעסעל-פּרעמיע פֿאַר יידישער ליטעראַטור		
Volume 5 align	5.0	facs_595_tr_1739220498	שרייבער און ביכער וואָס זיינען פרעמירט געוואָרן		
Volume 5 align	5.0	facs_596_r	גבריאל ראָזענטאָל		
Volume 5 align	5.0	facs_597_tr_1739222302	בנימין קוריאָן		
