source_sheet	volume	xml_id	heading	index_unmatched	extras
volume 3 align	3.0		גולדאַן, אָלפֿדער מ. [אַב-דס-מאי גאָניאָנרסקי]		גולדאָן אַלפרעד, מ. 1212:3
volume 3 align	3.0		גלאָדסטאָן, איסאַק (יצחק]		גלאַדסטאָן, איסאַק 9022:3
volume 3 align	3.0		גענדעל, הירש		גענדעל, הירש 1212:3
volume 3 align	3.0		גרובער דזשעי(יהושע)		גרובער, דזשעי 2212:3
volume 3 align	3.0		גרובער מירעלע		גרובער, מירעלע 7622:3
volume 3 align	3.0		דידזשאַ, בעל [באַנדער]		דידזשא, בעל 6322:3
volume 3 align	3.0		דער דראַמע דיכטער		
volume 3 align	3.0		דער וואָסער-טרעגער		
volume 3 align	3.0		דער טעאַטער-טוער		
volume 3 align	3.0		דער טעאַטער-קרייטיקער		
volume 3 align	3.0		דער נסיון		
volume 3 align	3.0		דער פּורים-רב		
volume 3 align	3.0		דראַמאַטיזאַציעס		
volume 3 align	3.0		האָראָוויץ, אַזיאַס [יהושע]		האָראָוויץ, אָזיאַס 8222:3
volume 3 align	3.0		וויטלער, בן ציון		וויטלער, בן-ציון 0622:3
volume 3 align	3.0		וויינראַט, י י [יצחק יוסף]		וויינראָט, י.י. 8622:3
volume 3 align	3.0		ווענדאָרף, לאהלע [וואַסערמאַן]		
volume 3 align	3.0		זאַהאָוואַ, רוט [גאָלדשטיין)		זאַהאַוואַ, רוט 7522:3
volume 3 align	3.0		זיגעלבוים, אַברהם		זיגעלבוים, אברהם 6732:3
volume 3 align	3.0		זינגער יעקב		זינגער, יעקב 2232:3
volume 3 align	3.0		טאָמער צונזער, מרים (מיני)		שאָמער-צונזער, מרים 5112:3
volume 3 align	3.0		טראָסבערג, משה		שטראַסבערג, משה 4822:3
volume 3 align	3.0		יחסן, מרדכי		יחסן, מרדכי 3212:3
volume 3 align	3.0		יידישע אַקטיאָרן יוניאָן HEBREW ACTORS UNION		יידישע אַקטיאָרן יוניאָן 7922:3
volume 3 align	3.0		יידישע אַרטיסטן און פֿריינט, אינק.		
volume 3 align	3.0		יידישע טעאַטריקל אַלייענס		
volume 3 align	3.0		יידישער אַקטיאָרן קלוב		יידישער אַקטיאָרן קלוב 5622:3
volume 3 align	3.0		יינדמאַן, שרה		
volume 3 align	3.0		ישיבה-בחורים ווי שפּילער		
volume 3 align	3.0		לובעלסקאַ, פּאָליאַ		לובעלסקאַ, פּאָליאַ 2122:3
volume 3 align	3.0		ליבגאָלד לעאָן		ליבגאָלד, לעאָן 1422:3
volume 3 align	3.0		ליליאָנאַ, לילי		ליליאַנאַ, לילי 2422:3
volume 3 align	3.0		ליפשיץ, פֿריידעלע		ליפּשיץ, פריידעלע 0312:3
volume 3 align	3.0		לכבוד פֿורים		
volume 3 align	3.0		לעוו, זיגמונט [אש-זעליג]		לעוו, זיגמונט 7722:3
volume 3 align	3.0		לעווין, דזשוליאַ		לעווין, דזשוליאַ 9022:3
volume 3 align	3.0		לענסקי, לייבוש [קשיענסקי]		לענסקי, לייבוש 1122:3
volume 3 align	3.0		לערער שפרה		לערער, שפרה 9522:3
volume 3 align	3.0		מאַרקאָוויטש, לואי [ישראל-לייב מאָרדקאָוויטש]		מאַרקאָוויטש, לואי 5122:3
volume 3 align	3.0		מיילעך פריילעך		
volume 3 align	3.0		נוסענבוים, לייזער		נוסענבוים, לייזער 4312:3
volume 3 align	3.0		ניומאַן (ניימאַן], יעקב		ניומאַן, יעקב 5232:3
volume 3 align	3.0		נייהויז, ציליע		נייהויז, ציליע 6212:3
volume 3 align	3.0		סאָלאָוויאָוואַ, ראַאיסאַ [וואַקסמאַן]		סאלאָוויאָוואַ, ראַאיסא 4212:3
volume 3 align	3.0		סווערדלין, נתן, דר		סווערדלין, נתן, דר. 4322:3
volume 3 align	3.0		סימכע פּלאַכטע		
volume 3 align	3.0		סלאָוואָ-ליס, לידאַ		סלאַוואַ-ליס, לידאַ 9222:3
volume 3 align	3.0		סקולניק, ברכה [גאָלדמאַן]		סקולניק, ברכה 1312:3
volume 3 align	3.0		עסטראַדע-לידער		
volume 3 align	3.0		פ.'ס געדרוקטע פּיעסעס:		
volume 3 align	3.0		פּ.'ס געדרוקטע פּיעסעס:		
volume 3 align	3.0		פֿאָגעלמאַן, ל. [אליעזר פֿייגעלמאַן]		פאָגעלמאַן, ל. 8912:3
volume 3 align	3.0		פֿאָגעלנעסט, סעם		פאָגעלנעסט, סעם 9912:3
volume 3 align	3.0		פֿאָגעלנעסט, פאולין [בענדער]		פאָגעלנעסט, פּאָולין 7022:3
volume 3 align	3.0		פֿאָגעלנעסט, פעליקס		פאָגעלנעסט, פעליקס 8022:3
volume 3 align	3.0		פאַדאָוויטש, בערל		פּאַדאָוויטש, בערל 1061:3
volume 3 align	3.0		פּאָדאָלסקאַ, וויעראַ		פּאָדאָלסקאַ, וויעראַ 1061:3
volume 3 align	3.0		פּאָדזאַמטשע, שלום		פּאָדזאַמטשע, שלום 2061:3
volume 3 align	3.0		פֿאָדלובני פרויקע (אפרים)		פּאָדלובני, פרויקע )אפרים( 7061:3
volume 3 align	3.0		פּאָדלובני, נ. י. [נאַום, נוניאַ]		פּאָדלובני, נ. י. )נאַום, נוניאַ( 6061:3
volume 3 align	3.0		פּאָדליאַס, חיים		פּאָדליאַס, חיים 7061:3
volume 3 align	3.0		פּאָדעם, סעם		
volume 3 align	3.0		פֿאָדערמאַן, אַנדזשאַ		פאָדערמאַן, אַנדזשאַ 8022:3
volume 3 align	3.0		פֿאַוויך אַליעזר		פאַוויר, אליעזר 0022:3
volume 3 align	3.0		פּאַוויק, פּ.		פּאוויק, פּ. 8061:3
volume 3 align	3.0		פּאול, ה.		פּאול, ה. 8061:3
volume 3 align	3.0		פאול, יוסף		פּאול, יוסף 9061:3
volume 3 align	3.0		פאָזי אַריה [ישראל אַריה פּאָזיקאָוו]		פּאָזי, אַריה )ישראַל אַריה פּאָזשקאָוו( 9061:3
volume 3 align	3.0		פּאָזנאַנסקי, הערש		פּאָזנאַנסקי, הערש 2161:3
volume 3 align	3.0		פאָזנער (יחיאל-) מאיר		פּאָזנער, יחיאל-מאיר 2161:3
volume 3 align	3.0		פאַט, יעקב		פּאַט, יעקב 4161:3
