hub_id	canonical_heading	n_entries	n_db_rows	n_surfaces	entry_person_ids	db_ids	volumes	birth_date	death_date	evidence	pending_drafts	multi_db	non_person	top_surfaces
HUB-P-2-facs_82_tr_1744131388	"כאַרקאָווער ""קוּנסט-ווינקל""."	1	0	0	P-2-facs_82_tr_1744131388		2	1919			1	0	0	
HUB-P-2-facs_82_tr_1744131389	ריגער יידישער מלוכה-טעאַטער (ריגער יידישער מעוטים-טעאַטער)	1	0	0	P-2-facs_82_tr_1744131389		2				0	0	0	
HUB-P-3-facs_124_r	פּיקוס, מאַלי	1	0	0	P-3-facs_124_r		3				1	0	0	
HUB-P-3-facs_129_r_6	פּערלאָוו, יצחק	1	0	1	P-3-facs_129_r_6		3				1	0	0	יצחק פּערלאָוו
HUB-P-3-facs_130_r_2	פּערלמוטער, אַפֿרים	1	0	1	P-3-facs_130_r_2		3				0	0	0	אַפֿרים פּערלמוטער
HUB-P-3-facs_146_tr_1754213823	פּראַנד אַדעלאַ	1	0	0	P-3-facs_146_tr_1754213823		3				1	0	0	
HUB-P-3-facs_154_r_4	פ.'ס געדרוקטע פּיעסעס:	1	0	0	P-3-facs_154_r_4		3				1	0	0	
HUB-P-3-facs_15_r_4	פּאָדעם, סעם	1	0	1	P-3-facs_15_r_4		3				1	0	0	סעם פּאָדעם
HUB-P-3-facs_21_r	פּאַטראָני, לאָלאַ	1	0	1	P-3-facs_21_r		3				1	0	0	לאָלאַ פּאַטראָני
HUB-P-3-facs_274_tr_1755674141	פישמאַן, יעקב ש. ע	1	0	1	P-3-facs_274_tr_1755674141		3				1	0	0	יעקב פישמאַן
HUB-P-3-facs_274_tr_1755674150	רעשאַווער, מאַקס	1	0	0	P-3-facs_274_tr_1755674150		3				1	0	0	
HUB-P-3-facs_28_r	פּאַך, אַברהם יצחק	1	0	1	P-3-facs_28_r		3				0	0	0	אַברהם יצחק פאָך
HUB-P-3-facs_28_r_1	פאיאץ, דער	1	0	0	P-3-facs_28_r_1		3				0	0	0	
HUB-P-3-facs_311_tr_1755975320	פֿאַוויך אַליעזר	1	0	0	P-3-facs_311_tr_1755975320		3				1	0	0	
HUB-P-3-facs_345_r	גרובער מירעלע	1	0	1	P-3-facs_345_r		3				0	0	0	מירעלע
HUB-P-3-facs_353_r_2	טראָסבערג, משה	1	0	0	P-3-facs_353_r_2		3				1	0	0	
HUB-P-3-facs_36_tr_1752653025	פּאָקאָי, מאַקס	1	0	1	P-3-facs_36_tr_1752653025		3				1	0	0	מאַקס פּאָקאָי
HUB-P-3-facs_92_r	פּינסקי, דוד	1	0	2	P-3-facs_92_r		3				0	0	0	דוד פינסקי|דוד פינסקיס
HUB-P-4-facs_100_r	קאַנדעל, ה. א.	1	0	0	P-4-facs_100_r		4	1906-01-24	1951-11-06		0	0	0	
HUB-P-4-facs_28_r	שאצקי, יעקב, דר.	1	0	7	P-4-facs_28_r		4	1893	1956-06-13		0	0	0	"ד""ר יעקב שאָצקי|יעקב שאָצקי|דר. י. שאָצקי|דר. שאָצקי|י. שאָצקי"
