db_id	hebname	english	alternative_name	gender	date_born	date_died	born_in	died_in	external_source_id	external_source	author_of	editor_of	mentioned_in	professional_role_org	professional_role_perf	character_perf	created_expressions	name_variants	probably_not_zylbercweig	source	raw
1	אורה פטישי	Ora Patishy																		DBKey	Ora Patishy|1|אורה פטישי
2	רות אלמוג	Ruth Almog																		DBKey	Ruth Almog|2|רות אלמוג
3	יוסל בירשטין	Jossel Birstein																		DBKey	Jossel Birstein|3|יוסל בירשטין
4	ברוך תור-רז	Baruch Tor-Raz																		DBKey	Baruch Tor-Raz|4|ברוך תור-רז
5	עוזי וייל	Uzi Weil																		DBKey	Uzi Weil|5|עוזי וייל
6	אבא קובנר	Abba Kovner																		DBKey	Abba Kovner|6|אבא קובנר
8	דורית אורגד	Dorit Orgad																		DBKey	Dorit Orgad|8|דורית אורגד
9	חגי טיומקין	Hagai Tiomkin																		DBKey	Hagai Tiomkin|9|חגי טיומקין
10	חיים חיימוף	Chaim Chaimoff																		DBKey	Chaim Chaimoff|10|חיים חיימוף
11	אילן שיינפלד	Ilan Shainfeld																		DBKey	Ilan Shainfeld|11|אילן שיינפלד
12	ורדה רזיאל-ז'קונט	Varda Rasiel Jackont																		DBKey	Varda Rasiel Jackont|12|ורדה רזיאל-ז'קונט
13	אמנון ז'קונט	Amnon Jackont																		DBKey	Amnon Jackont|13|אמנון ז'קונט
14	נסים אלוני	Nissim Aloni																		DBKey	Nissim Aloni|14|נסים אלוני
15	איל מגד	Eyal Megged																		DBKey	Eyal Megged|15|איל מגד
16	ענר שלו	Aner Shalev																		DBKey	Aner Shalev|16|ענר שלו
17	טלה בר	Ṭalah Bar																		DBKey	Ṭalah Bar|17|טלה בר
18	יפתח אשכנזי	Yiftach Ashkenazy																		DBKey	Yiftach Ashkenazy|18|יפתח אשכנזי
19	מישקה בן דוד	Mishḳah Ben-Daṿid																		DBKey	Mishḳah Ben-Daṿid|19|מישקה בן דוד
20	עמירם חרלף	ʻAmiram Ḥarlaf																		DBKey	ʻAmiram Ḥarlaf|20|עמירם חרלף
21	דור טוקר	Dor Toker																		DBKey	Dor Toker|21|דור טוקר
22	עוזי גדור	Uzi Gdor																		DBKey	Uzi Gdor|22|עוזי גדור
23	אמונה אלון	Emunah Elon																		DBKey	Emunah Elon|23|אמונה אלון
24	מאיה ערד	Maya Arad																		DBKey	Maya Arad|24|מאיה ערד
26	נתן שורק	Nathan Sorek																		DBKey	Nathan Sorek|26|נתן שורק
27	יוסף שביט	Yosef Shaviṭ																		DBKey	Yosef Shaviṭ|27|יוסף שביט
28	קורינה הסופרת	Corinna																		DBKey	Corinna|28|קורינה הסופרת
29	נאוה סמל	Nava Semel																		DBKey	Nava Semel|29|נאוה סמל
30	יצחק וידר	Iscak Vider																		DBKey	Iscak Vider|30|יצחק וידר
31	יונתן יבין	Jonathan Yavin																		DBKey	Jonathan Yavin|31|יונתן יבין
32	פרץ בן משה סמולנסקין	Perez Smolenskin																		DBKey	Perez Smolenskin|32|פרץ בן משה סמולנסקין
33	דרור בורשטיין	Deror Burshtain																		DBKey	Deror Burshtain|33|דרור בורשטיין
34	לילך גליל אל עמי	Lilach Galil																		DBKey	Lilach Galil|34|לילך גליל אל עמי
35	נורית זרחי	Nurit Zarchi																		DBKey	Nurit Zarchi|35|נורית זרחי
36	ליה נירגד	Lia Nirgad																		DBKey	Lia Nirgad|36|ליה נירגד
37	שרה קיסנר	Sarah Kisner																		DBKey	Sarah Kisner|37|שרה קיסנר
38	יאיר וינשטוק	Yair Weinstock																		DBKey	Yair Weinstock|38|יאיר וינשטוק
39	ערן בר גיל	Eran Bar-Gil																		DBKey	Eran Bar-Gil|39|ערן בר גיל
40	אברם קנטור	Avram Kantor																		DBKey	Avram Kantor|40|אברם קנטור
41	עופרה עופר אורן	Ofra Offer																		DBKey	Ofra Offer|41|עופרה עופר אורן
42	אלה מושקוביץ-וייס	Ela Moskovits-Weiss																		DBKey	Ela Moskovits-Weiss|42|אלה מושקוביץ-וייס
43	שמאי גלנדר	Shamai Gelander																		DBKey	Shamai Gelander|43|שמאי גלנדר
44	שושנה ויג	Shoshanah Ṿig																		DBKey	Shoshanah Ṿig|44|שושנה ויג
45	חנה בת שחר	Hanna Bat Shahar																		DBKey	Hanna Bat Shahar|45|חנה בת שחר
46	אלי שרייבר	Eli Schreiber																		DBKey	Eli Schreiber|46|אלי שרייבר
47	עדי שורק	Adi Sorek																		DBKey	Adi Sorek|47|עדי שורק
48	אדיבה גפן	Adiva Geffen																		DBKey	Adiva Geffen|48|אדיבה גפן
49	צור שיזף	Tsur Shezaf																		DBKey	Tsur Shezaf|49|צור שיזף
50	ישראל זמיר	Israel Zamir																		DBKey	Israel Zamir|50|ישראל זמיר
51	דוד טרבאי	David Tarbay																		DBKey	David Tarbay|51|דוד טרבאי
52	עמוס עוז	Amos Oz																		DBKey	Amos Oz|52|עמוס עוז
53	דורית רביניאן	Dorit Rabinyan																		DBKey	Dorit Rabinyan|53|דורית רביניאן
54	אשר רייך	Asher Reich																		DBKey	Asher Reich|54|אשר רייך
55	יגאל סרנה	Igal Sarna																		DBKey	Igal Sarna|55|יגאל סרנה
56	נתן שחם	Nathan Shaham																		DBKey	Nathan Shaham|56|נתן שחם
57	מאיר שלו	Meir Shalev																		DBKey	Meir Shalev|57|מאיר שלו
58	בנימין תמוז	Benjamin Tammuz																		DBKey	Benjamin Tammuz|58|בנימין תמוז
59	דן צלקה	Dan Tsalka																		DBKey	Dan Tsalka|59|דן צלקה
60	דוד פוגל	David Vogel																		DBKey	David Vogel|60|דוד פוגל
61	א.ב. יהושע	Abraham B. Yehoshua																		DBKey	Abraham B. Yehoshua|61|א.ב. יהושע
62	דבורה בארון	Devorah Baron																		DBKey	Devorah Baron|62|דבורה בארון
63	אמיר אור	Amir Or																		DBKey	Amir Or|63|אמיר אור
64	יצחק אוורבוך אורפז	Yitzhak Orpaz Averbuch																		DBKey	Yitzhak Orpaz Averbuch|64|יצחק אוורבוך אורפז
65	חיים באר	Haim Be'er																		DBKey	Haim Be'er|65|חיים באר
66	אופיר טושה גפלה	Ofir Touché Gafla																		DBKey	Ofir Touché Gafla|66|אופיר טושה גפלה
67	מושיק סקאל	Moshik Sakal																		DBKey	Moshik Sakal|67|מושיק סקאל
68	שולמית הר אבן	Shulamith Hareven																		DBKey	Shulamith Hareven|68|שולמית הר אבן
69	עמליה כהנא-כרמון	Amalia Kahana-Carmon																		DBKey	Amalia Kahana-Carmon|69|עמליה כהנא-כרמון
70	יצחק בן נר	Yitzhak Ben-Ner																		DBKey	Yitzhak Ben-Ner|70|יצחק בן נר
71	שמעון אדף	Shimon Adaf																		DBKey	Shimon Adaf|71|שמעון אדף
72	ישעיהו קורן	Yeshayahu Koren																		DBKey	Yeshayahu Koren|72|ישעיהו קורן
73	יעל גלוברמן	Yael Globerman																		DBKey	Yael Globerman|73|יעל גלוברמן
74	שלמה נצן	Shlomo Nitzan																		DBKey	Shlomo Nitzan|74|שלמה נצן
75	אריאל הירשפלד	Ariel Hirschfeld																		DBKey	Ariel Hirschfeld|75|אריאל הירשפלד
76	אלכסנדר סנד	Alexander Sened																		DBKey	Alexander Sened|76|אלכסנדר סנד
77	רם עברון	Ram Evron																		DBKey	Ram Evron|77|רם עברון
78	בעז גאון	Boʻaz Gaʼon																		DBKey	Boʻaz Gaʼon|78|בעז גאון
79	אלי עמיר	Eli Amir																		DBKey	Eli Amir|79|אלי עמיר
80	אשכול נבו	Eshkol Nevo																		DBKey	Eshkol Nevo|80|אשכול נבו
81	אלון חילו	Alon Hilu																		DBKey	Alon Hilu|81|אלון חילו
82	נעמי פרנקל	Naomi Fraenkel																		DBKey	Naomi Fraenkel|82|נעמי פרנקל
83	שרה שילה	Sara Shilo																		DBKey	Sara Shilo|83|שרה שילה
84	פנחס שדה	Pinhas Sadeh																		DBKey	Pinhas Sadeh|84|פנחס שדה
85	יעל איכילוב	Yael Ichilov																		DBKey	Yael Ichilov|85|יעל איכילוב
86	סייד קשוע	Sayed Qashu																		DBKey	Sayed Qashu|86|סייד קשוע
87	יותם ראובני	Yotam Reuveny																		DBKey	Yotam Reuveny|87|יותם ראובני
88	יעקב שבתאי	Yaakov Shabtai																		DBKey	Yaakov Shabtai|88|יעקב שבתאי
89	רחל איתן	Rachel Eytan																		DBKey	Rachel Eytan|89|רחל איתן
90	אנטון שמאס	Anton Shammas																		DBKey	Anton Shammas|90|אנטון שמאס
91	נורית גרץ	Nurith Gertz																		DBKey	Nurith Gertz|91|נורית גרץ
92	יעל נאמן	Yael Neeman																		DBKey	Yael Neeman|92|יעל נאמן
93	חיים גורי	Haim Gouri																		DBKey	Haim Gouri|93|חיים גורי
94	דויד גרוסמן	David Grossman																		DBKey	David Grossman|94|דויד גרוסמן
95	אמיר גוטפרוינד	Amir Guttfreund																		DBKey	Amir Guttfreund|95|אמיר גוטפרוינד
96	יעל הדיה	Yael Hedaya																		DBKey	Yael Hedaya|96|יעל הדיה
97	יהודית הנדל	Yehudit Hendel																		DBKey	Yehudit Hendel|97|יהודית הנדל
98	יורם קניוק	Yoram Kaniuk																		DBKey	Yoram Kaniuk|98|יורם קניוק
99	יהודית קציר	Judith Katzir																		DBKey	Judith Katzir|99|יהודית קציר
100	יהושע קנז	Yehoshua Kenaz																		DBKey	Yehoshua Kenaz|100|יהושע קנז
101	שולמית לפיד	Shulamith Lapid																		DBKey	Shulamith Lapid|101|שולמית לפיד
102	אלאונורה לב	Eleonorah Lev																		DBKey	Eleonorah Lev|102|אלאונורה לב
103	סביון ליברכט	Savyon Liebrecht																		DBKey	Savyon Liebrecht|103|סביון ליברכט
104	רונית מטלון	Ronit Matalon																		DBKey	Ronit Matalon|104|רונית מטלון
105	אהרן מגד	Aharon Megged																		DBKey	Aharon Megged|105|אהרן מגד
106	שמעון בלס	Shimon Ballas																		DBKey	Shimon Ballas|106|שמעון בלס
107	סמי ברדוגו	Sami Berdugo																		DBKey	Sami Berdugo|107|סמי ברדוגו
108	אורלי קסטל-בלום	Orly Castel-Bloom																		DBKey	Orly Castel-Bloom|108|אורלי קסטל-בלום
109	בתיה גור	Batya Gur																		DBKey	Batya Gur|109|בתיה גור
111	אתגר קרת	Etgar Keret																		DBKey	Etgar Keret|111|אתגר קרת
112	סמי מיכאל	Sami Michael																		DBKey	Sami Michael|112|סמי מיכאל
113	צרויה שלו	Tseruyah Shalev																		DBKey	Tseruyah Shalev|113|צרויה שלו
114	משה שמיר	Moshe Shamir																		DBKey	Moshe Shamir|114|משה שמיר
115	חנוך ברטוב	Hanoch Bartov																		DBKey	Hanoch Bartov|115|חנוך ברטוב
117	יזהר סמילנסקי (ס. יזהר)	Yizhar Smilansky (S. Yizhar)																		DBKey	Yizhar Smilansky (S. Yizhar)|117|יזהר סמילנסקי (ס. יזהר)
118	אילנה ברנשטיין	Ilana Bernstein																		DBKey	Ilana Bernstein|118|אילנה ברנשטיין
119	לאה איני	Leah Eni																		DBKey	Leah Eni|119|לאה איני
120	מיכל זמיר	Michal Zamir																		DBKey	Michal Zamir|120|מיכל זמיר
121	גדעון תלפז	Gideon Telpaz																		DBKey	Gideon Telpaz|121|גדעון תלפז
123	אורציון ברתנא	Ortsion Bartana																		DBKey	Ortsion Bartana|123|אורציון ברתנא
124	יצחק בן מרדכי	Itzchak Ben-Mordecai																		DBKey	Itzchak Ben-Mordecai|124|יצחק בן מרדכי
125	יעקב בוצ'ן	Jacob Buchan																		DBKey	Jacob Buchan|125|יעקב בוצ'ן
126	ישראל אלירז	Israel Eliraz																		DBKey	Israel Eliraz|126|ישראל אלירז
127	מירון חיים איזקסון	Miron C. Izakson																		DBKey	Miron C. Izakson|127|מירון חיים איזקסון
128	רונית ידעיה	Ronit Yedaya																		DBKey	Ronit Yedaya|128|רונית ידעיה
129	חגי דגן	Hagai Dagan																		DBKey	Hagai Dagan|129|חגי דגן
130	מאיה בז'רנו	Maya Bejerano																		DBKey	Maya Bejerano|130|מאיה בז'רנו
131	חנוך לוין	Hanoch Levin																		DBKey	Hanoch Levin|131|חנוך לוין
132	יגאל מוסינזון	Yigal Mossinsohn																		DBKey	Yigal Mossinsohn|132|יגאל מוסינזון
133	דן בן אמוץ	Dan Ben-Amotz																		DBKey	Dan Ben-Amotz|133|דן בן אמוץ
134	דניאלה כרמי	Daniella Carmi																		DBKey	Daniella Carmi|134|דניאלה כרמי
135	ק. צטניק	Ka-tzetnik																		DBKey	Ka-tzetnik|135|ק. צטניק
136	חגי ליניק	Haggay Linik																		DBKey	Haggay Linik|136|חגי ליניק
137	לבנה מושון	Levana Moshon																		DBKey	Levana Moshon|137|לבנה מושון
138	ישעיהו אוסטרי דן	Yeshayahu Austridan																		DBKey	Yeshayahu Austridan|138|ישעיהו אוסטרי דן
139	חיים גריכטר	Ḥayim Gerikhṭer																		DBKey	Ḥayim Gerikhṭer|139|חיים גריכטר
140	דלית אורבך	Dalit Aurbach																		DBKey	Dalit Aurbach|140|דלית אורבך
141	עמי דביר	Ami Dvir																		DBKey	Ami Dvir|141|עמי דביר
142	איתמר יעוז-קסט	Itamar Yaoz-Keszt																		DBKey	Itamar Yaoz-Keszt|142|איתמר יעוז-קסט
143	מתי מגד	Matti Megged																		DBKey	Matti Megged|143|מתי מגד
144	גבריאל מוקד	Gabriel Moked																		DBKey	Gabriel Moked|144|גבריאל מוקד
145	יונת סנד	Yonat Sened																		DBKey	Yonat Sened|145|יונת סנד
146	יהושע סובול	Yehoshua Sobol																		DBKey	Yehoshua Sobol|146|יהושע סובול
147	אורציון ישי	Ortsiyon Yishai																		DBKey	Ortsiyon Yishai|147|אורציון ישי
148	ראובן קריץ	Reuven R. Kritz																		DBKey	Reuven R. Kritz|148|ראובן קריץ
149	גרשון שקד	Gershon Shaked																		DBKey	Gershon Shaked|149|גרשון שקד
150	לידיה גורדון-קנכט	Lidia Knecht																		DBKey	Lidia Knecht|150|לידיה גורדון-קנכט
151	גיל הראבן	Gayil Hareven																		DBKey	Gayil Hareven|151|גיל הראבן
152	הרי בר שלום	Harry Bar-Shalom																		DBKey	Harry Bar-Shalom|152|הרי בר שלום
153	אילן הייטנר	Ilan Haiṭner																		DBKey	Ilan Haiṭner|153|אילן הייטנר
154	עדנה מזיא	Edna Mazya																		DBKey	Edna Mazya|154|עדנה מזיא
155	יובל שמעוני	Youval Shimoni																		DBKey	Youval Shimoni|155|יובל שמעוני
156	יהושע בר יוסף	Yehoshua Bar-Yossef																		DBKey	Yehoshua Bar-Yossef|156|יהושע בר יוסף
157	מאיר אשכול	Meir Eshkol																		DBKey	Meir Eshkol|157|מאיר אשכול
158	אורלי קראוס-ויינר	Orly Krauss-Winer																		DBKey	Orly Krauss-Winer|158|אורלי קראוס-ויינר
159	עודד בארי	ʻOded Beʼeri																		DBKey	ʻOded Beʼeri|159|עודד בארי
160	ניר ברעם	Nir Baram																		DBKey	Nir Baram|160|ניר ברעם
161	מרדכי טביב	Mordekhai Tabib																		DBKey	Mordekhai Tabib|161|מרדכי טביב
162	ארי אבן זהב	Ari Ibn-Zahav																		DBKey	Ari Ibn-Zahav|162|ארי אבן זהב
163	משה גרנות	Moshe Granot																		DBKey	Moshe Granot|163|משה גרנות
164	יעל מדיני	Yael Medini																		DBKey	Yael Medini|164|יעל מדיני
165	אדיר כהן	Adir Kohen																		DBKey	Adir Kohen|165|אדיר כהן
167	רוני גבעתי	Roni Giwati																		DBKey	Roni Giwati|167|רוני גבעתי
168	נילי לנדסמן	Nili Landsman																		DBKey	Nili Landsman|168|נילי לנדסמן
169	יואל הופמן	Yoel Hoffmann																		DBKey	Yoel Hoffmann|169|יואל הופמן
170	דוד שיץ	David Schütz																		DBKey	David Schütz|170|דוד שיץ
171	צבי זבולון וויינברג	Ẓevi Zebulon Weinberg																		DBKey	Ẓevi Zebulon Weinberg|171|צבי זבולון וויינברג
172	מירה קדר	Mira Kedar																		DBKey	Mira Kedar|172|מירה קדר
173	הגר ינאי	Hagar Yanay																		DBKey	Hagar Yanay|173|הגר ינאי
174	אמנון שמוש	Amnon Shamosh																		DBKey	Amnon Shamosh|174|אמנון שמוש
175	בני ברבש	Beni Barbash																		DBKey	Beni Barbash|175|בני ברבש
176	סמדר שיר	Smadar Shir																		DBKey	Smadar Shir|176|סמדר שיר
177	מרדכי בן צבי זאב ברנשטין	M. Bernshṭain																		DBKey	M. Bernshṭain|177|מרדכי בן צבי זאב ברנשטין
178	גבריאל בן שמחון	Gabriel Bensimhon																		DBKey	Gabriel Bensimhon|178|גבריאל בן שמחון
179	איריס לעאל	Iris Leal																		DBKey	Iris Leal|179|איריס לעאל
180	אילנה וייזר-סנש	Ilana Weiser-Senesh																		DBKey	Ilana Weiser-Senesh|180|אילנה וייזר-סנש
181	עוזיאל חזן	Uziel Hazan																		DBKey	Uziel Hazan|181|עוזיאל חזן
182	דבורה עומר	Devorah Omer																		DBKey	Devorah Omer|182|דבורה עומר
183	שלמה קאלו	Shlomo Kalo																		DBKey	Shlomo Kalo|183|שלמה קאלו
184	אסף גברון	Assaf Gavron																		DBKey	Assaf Gavron|184|אסף גברון
185	עירית לינור	Irit Linur																		DBKey	Irit Linur|185|עירית לינור
186	הדרה לזר	Hadara Lazar																		DBKey	Hadara Lazar|186|הדרה לזר
187	יוחאי אופנהיימר	Yochai Oppenheimer																		DBKey	Yochai Oppenheimer|187|יוחאי אופנהיימר
188	גלילה רון-פדר-עמית	Galila Ron-Feder-Amit																		DBKey	Galila Ron-Feder-Amit|188|גלילה רון-פדר-עמית
189	סיגלית דיל	Sigalit Dill																		DBKey	Sigalit Dill|189|סיגלית דיל
190	נחום אריאלי	Nachum Arieli																		DBKey	Nachum Arieli|190|נחום אריאלי
191	יחיאל גרנטשטין	Yechiel Granatstein																		DBKey	Yechiel Granatstein|191|יחיאל גרנטשטין
192	אהרן ירושלמי	Aron Yerushalmi																		DBKey	Aron Yerushalmi|192|אהרן ירושלמי
193	דב קמחי	Dov Kimchi																		DBKey	Dov Kimchi|193|דב קמחי
194	לאה אתגר	Leah Etgar																		DBKey	Leah Etgar|194|לאה אתגר
195	ישראל המאירי	Israel Hame'iri																		DBKey	Israel Hame'iri|195|ישראל המאירי
196	אליעזר דהן	Eliezer Dahan																		DBKey	Eliezer Dahan|196|אליעזר דהן
197	אבי ולנטין	Avi Valentin																		DBKey	Avi Valentin|197|אבי ולנטין
198	דן בניה סרי	Dan-Benaya Seri																		DBKey	Dan-Benaya Seri|198|דן בניה סרי
199	לאה שנער	Leah Shinar																		DBKey	Leah Shinar|199|לאה שנער
200	חיים לפיד	Haim Lapid																		DBKey	Haim Lapid|200|חיים לפיד
202	יהודה האזרחי	Yehuda Haezrahi																		DBKey	Yehuda Haezrahi|202|יהודה האזרחי
203	שרה אנג'ל	Sara Angel																		DBKey	Sara Angel|203|שרה אנג'ל
204	יעקב פיכמן	Jacob Fichman																		DBKey	Jacob Fichman|204|יעקב פיכמן
205	זלמן שניאור	Zalman Shneour																		DBKey	Zalman Shneour|205|זלמן שניאור
207	שלמה הלל'ס	Shlomo Hillels																		DBKey	Shlomo Hillels|207|שלמה הלל'ס
208	מילא אהל	Milla Y. Ohel																		DBKey	Milla Y. Ohel|208|מילא אהל
209	אסף שור	Asaf Shur																		DBKey	Asaf Shur|209|אסף שור
210	לילי פרי	Lily Perry																		DBKey	Lily Perry|210|לילי פרי
212	שהרה בלאו	Sarah Blau																		DBKey	Sarah Blau|212|שהרה בלאו
213	דרור גרין	Dror Green																		DBKey	Dror Green|213|דרור גרין
214	אריה טבקאי	Aryeh Tabakai																		DBKey	Aryeh Tabakai|214|אריה טבקאי
215	יהונתן גפן	Jonathan Gefen																		DBKey	Jonathan Gefen|215|יהונתן גפן
216	דב אייזיקס	Bernard Isaacs																		DBKey	Bernard Isaacs|216|דב אייזיקס
217	מיכל גוברין	Michal Govrin																		DBKey	Michal Govrin|217|מיכל גוברין
218	שמואל ליב בלנק	Samuel Leib Blank																		DBKey	Samuel Leib Blank|218|שמואל ליב בלנק
219	חובב בן עמי	Hovav Ben-Ami																		DBKey	Hovav Ben-Ami|219|חובב בן עמי
220	אברהם הפנר	Avram Heffner																		DBKey	Avram Heffner|220|אברהם הפנר
221	מירית שם אור	Mirit Shem-Ur																		DBKey	Mirit Shem-Ur|221|מירית שם אור
222	כליל זיסאפל	Klil Zisapel																		DBKey	Klil Zisapel|222|כליל זיסאפל
223	ראובן אבינעם	Reuven Avinoam																		DBKey	Reuven Avinoam|223|ראובן אבינעם
224	עמלה עינת	Amela Einat																		DBKey	Amela Einat|224|עמלה עינת
225	אשר ברש	Asher Barash																		DBKey	Asher Barash|225|אשר ברש
226	מנחם פוזננסקי	Menahem Poznansky																		DBKey	Menahem Poznansky|226|מנחם פוזננסקי
227	יעקב שביט	Yaacov Shavit																		DBKey	Yaacov Shavit|227|יעקב שביט
228	טלי גבע	Tali Geva																		DBKey	Tali Geva|228|טלי גבע
229	פוצ'ו	Puts'u																		DBKey	Puts'u|229|פוצ'ו
230	רחמים מלמד-כהן	Rahamim Melamed-Cohen																		DBKey	Rahamim Melamed-Cohen|230|רחמים מלמד-כהן
231	ראובן ולנרוד	Reuben Wallenrod																		DBKey	Reuben Wallenrod|231|ראובן ולנרוד
232	בתיה כהנא	Batyah Kahana																		DBKey	Batyah Kahana|232|בתיה כהנא
233	רוחמה חזנוב-מלץ	Ruḥamah Ḥazanov																		DBKey	Ruḥamah Ḥazanov|233|רוחמה חזנוב-מלץ
234	שרגא גפני	Shraga Gafni																		DBKey	Shraga Gafni|234|שרגא גפני
235	יגאל קמחי	Yigal Kimchi																		DBKey	Yigal Kimchi|235|יגאל קמחי
236	עבר הדני	ʻEver Hadani																		DBKey	ʻEver Hadani|236|עבר הדני
237	יצחק גורמזאנו גורן	Yitzhak Gormezano Goren																		DBKey	Yitzhak Gormezano Goren|237|יצחק גורמזאנו גורן
238	חיים תורן	Haim Toren																		DBKey	Haim Toren|238|חיים תורן
239	ליב חזן	L. Ḥazan																		DBKey	L. Ḥazan|239|ליב חזן
240	מרדכי אבי שאול	Mordekhai Avi-Shaʼul																		DBKey	Mordekhai Avi-Shaʼul|240|מרדכי אבי שאול
241	יוסף חנני	Yosef Ḥanani																		DBKey	Yosef Ḥanani|241|יוסף חנני
242	עמנואל עצמון	Emanuel Azmon																		DBKey	Emanuel Azmon|242|עמנואל עצמון
243	אביבה ברושי	Aviva Broshy																		DBKey	Aviva Broshy|243|אביבה ברושי
244	אילת שמיר	Ayelet Shamir																		DBKey	Ayelet Shamir|244|אילת שמיר
245	אורה ארדון	Ora Ardon																		DBKey	Ora Ardon|245|אורה ארדון
246	יוסף כהן אלרן	Joseph Cohen																		DBKey	Joseph Cohen|246|יוסף כהן אלרן
247	עדנה שמש	Edna Shemesh																		DBKey	Edna Shemesh|247|עדנה שמש
248	עליזה גלקין-סמית	Aliza Galkin-Smith																		DBKey	Aliza Galkin-Smith|248|עליזה גלקין-סמית
249	רוגל אלפר	Rogel Alpher																		DBKey	Rogel Alpher|249|רוגל אלפר
250	קארין ארד	Karin Arad																		DBKey	Karin Arad|250|קארין ארד
251	עמוס טלשיר	Amos Tal-Shir																		DBKey	Amos Tal-Shir|251|עמוס טלשיר
252	סם ש. רקובר	Sam S. Rakover																		DBKey	Sam S. Rakover|252|סם ש. רקובר
253	דן עומר	Dan Omer																		DBKey	Dan Omer|253|דן עומר
254	מרים ברנשטין-כהן	Miriam Bernstein-Cohen																		DBKey	Miriam Bernstein-Cohen|254|מרים ברנשטין-כהן
255	רות פלד-נאי	Ruth Peled																		DBKey	Ruth Peled|255|רות פלד-נאי
256	משה רשקס	Mosheh Rashḳes																		DBKey	Mosheh Rashḳes|256|משה רשקס
257	אירית ר. קופר	Irit R. Kuper																		DBKey	Irit R. Kuper|257|אירית ר. קופר
258	יהואש ביבר	Yehoash Biber																		DBKey	Yehoash Biber|258|יהואש ביבר
259	משה פלאי	Moshe Pelli																		DBKey	Moshe Pelli|259|משה פלאי
260	יהושע השל ייבין	Yehoshua Heschel Yeivin																		DBKey	Yehoshua Heschel Yeivin|260|יהושע השל ייבין
261	אמנון נבות	Amnon Navot																		DBKey	Amnon Navot|261|אמנון נבות
262	יקיר אלקריב	Yakir Elkariv																		DBKey	Yakir Elkariv|262|יקיר אלקריב
263	רן אדליסט	Ran Edelist																		DBKey	Ran Edelist|263|רן אדליסט
264	גבי ניצן	Gabi Nitzan																		DBKey	Gabi Nitzan|264|גבי ניצן
265	יואב הלוי	Yoav Levitas Ha'Levy																		DBKey	Yoav Levitas Ha'Levy|265|יואב הלוי
266	שמואל דוד בונין	Shmuel David Bunin																		DBKey	Shmuel David Bunin|266|שמואל דוד בונין
267	ענת פיינברג	Anat Feinberg																		DBKey	Anat Feinberg|267|ענת פיינברג
268	נגה מרון	Noga Marron																		DBKey	Noga Marron|268|נגה מרון
269	דניאל כהן-שגיא	Daniel Cohen-Sagi																		DBKey	Daniel Cohen-Sagi|269|דניאל כהן-שגיא
270	חגית גרוסמן	Hagit Grossman																		DBKey	Hagit Grossman|270|חגית גרוסמן
271	אודי טאוב	Udi Taub																		DBKey	Udi Taub|271|אודי טאוב
272	רבקה ירון	Rivḳah Yaron																		DBKey	Rivḳah Yaron|272|רבקה ירון
273	עמנואל בן סבו	ʻImanuʼel Ben Sabo																		DBKey	ʻImanuʼel Ben Sabo|273|עמנואל בן סבו
274	חנה ליבנה	Hanna Livne																		DBKey	Hanna Livne|274|חנה ליבנה
275	אברהם פרימן	Avraham Freeman																		DBKey	Avraham Freeman|275|אברהם פרימן
276	בנציון פירר	Ben Zion Firer																		DBKey	Ben Zion Firer|276|בנציון פירר
277	יגאל לב	Yigal Lev																		DBKey	Yigal Lev|277|יגאל לב
278	משה מנשהאוף	Moshe Menasheof																		DBKey	Moshe Menasheof|278|משה מנשהאוף
279	נתן גורן	Natan Goren																		DBKey	Natan Goren|279|נתן גורן
281	עדי צמח	Eddy M. Zemach																		DBKey	Eddy M. Zemach|281|עדי צמח
282	מרדכי עובדיהו	Mordechai Ovadyahu																		DBKey	Mordechai Ovadyahu|282|מרדכי עובדיהו
283	משה בן יעקב שמואל סתוי	Moses Stavi																		DBKey	Moses Stavi|283|משה בן יעקב שמואל סתוי
284	רחל אמרי	Rachel Imri																		DBKey	Rachel Imri|284|רחל אמרי
285	ינינה אלטמן	Janina Altman																		DBKey	Janina Altman|285|ינינה אלטמן
286	אברהם שאנן	Avraham Shaanan																		DBKey	Avraham Shaanan|286|אברהם שאנן
287	עדית שמר	Idit Shemer																		DBKey	Idit Shemer|287|עדית שמר
288	דן שינמן	Dan Sheinman																		DBKey	Dan Sheinman|288|דן שינמן
289	משה סמבטיון	Moshe Sambatyon																		DBKey	Moshe Sambatyon|289|משה סמבטיון
290	נעה ידלין	Noa Yedlin																		DBKey	Noa Yedlin|290|נעה ידלין
291	תמר הרסגור	Tamar Harsgor																		DBKey	Tamar Harsgor|291|תמר הרסגור
292	אפרים תלמי	Efraim Talmi																		DBKey	Efraim Talmi|292|אפרים תלמי
293	ברוך אביבי	Baruch Avivi																		DBKey	Baruch Avivi|293|ברוך אביבי
294	גלית דהן קרליבך	Galit Dahan Carlibach																		DBKey	Galit Dahan Carlibach|294|גלית דהן קרליבך
295	אסתר קל	Esther Kal																		DBKey	Esther Kal|295|אסתר קל
296	יצחק בן שלמה ארטר	Isaac Erter																		DBKey	Isaac Erter|296|יצחק בן שלמה ארטר
297	לאה גולדברג	Leah Goldberg																		DBKey	Leah Goldberg|297|לאה גולדברג
298	ש. שלום	Shin Shalom																		DBKey	Shin Shalom|298|ש. שלום
299	חיים הזז	Haim Hazaz																		DBKey	Haim Hazaz|299|חיים הזז
