db_id	hebname	english	alternative_name	gender	date_born	date_died	born_in	died_in	external_source_id	external_source	author_of	editor_of	mentioned_in	professional_role_org	professional_role_perf	character_perf	created_expressions	name_variants	probably_not_zylbercweig	source	raw
3189	פישל וויטקאווער	Fishl Vitkover		Male					moyt/lex/V/vitkover-fishl-V5.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Fishl Vitkover|3189|פישל וויטקאווער
3190	בּ. וולאַדעק (ברוך-נחמן טשאַרני)	B. Vladeck		Male					yt/lex/V/vladeck-b.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	B. Vladeck|3190|בּ. וולאַדעק (ברוך-נחמן טשאַרני)
3191	וועלוול וולאדיר	Velvl Vladir		Male					moyt/lex/V/vladir-velvl-V5.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Velvl Vladir|3191|וועלוול וולאדיר
3192	פּעסיע וואָלפינע	Pesye Volfine		Female					yt/lex/V/volfine-pesye.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Pesye Volfine|3192|פּעסיע וואָלפינע
3193	מ. וואָלגעשאַפען	M. Volgeshafen		Male					yt/lex/V/volgeshafen-m.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	M. Volgeshafen|3193|מ. וואָלגעשאַפען
3194	דוד וואָלענשטיין	David Volkenshteyn		Male					yt/lex/V/volkenshteyn-david.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	David Volkenshteyn|3194|דוד וואָלענשטיין
3195	וואָראָבּעיטשיק	Vorobeytshik		Male					moyt/lex/V/vorobeytshik-V5.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Vorobeytshik|3195|וואָראָבּעיטשיק
3196	שמואל וואולמאַן	Shmuel Vulman		Male					moyt/lex/V/vulman-shmuel-V5.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Shmuel Vulman|3196|שמואל וואולמאַן
3197	ליובּאַ וויעסיאָלאַיאַ (שאָסקין)	Lyuba Vyesyolaya		Female					yt/lex/V/vyesyolaya-lyuba.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Lyuba Vyesyolaya|3197|ליובּאַ וויעסיאָלאַיאַ (שאָסקין)
3198	אידאַ וויסאָצקי	Ida Vysotsky		Female					yt/lex/V/vysotsky-ida.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Ida Vysotsky|3198|אידאַ וויסאָצקי
3199	בּן-ציון וואַגנער	Ben Zion Wagner		Male					yt/lex/W/wagner-ben-zion.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Ben Zion Wagner|3199|בּן-ציון וואַגנער
3200	א וויטער (אייזיק-מאיר דעווענישסקי)	A. Waiter		Male					yt/lex/W/waiter-a.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	A. Waiter|3200|א וויטער (אייזיק-מאיר דעווענישסקי)
3201	בּעני וואַלערשטיין	Benny Wallerstein		Male					yt/lex/W/wallerstein-benny.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Benny Wallerstein|3201|בּעני וואַלערשטיין
3202	עלאַ וואַלערשטיין (געשפּאַס)	Ella Wallerstein		Female					yt/lex/W/wallerstein-ella.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Ella Wallerstein|3202|עלאַ וואַלערשטיין (געשפּאַס)
3203	אסתר וואַלערשטיין (גאָלדשטיין)	Esther Wallerstein		Female					yt/lex/W/wallerstein-esther.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Esther Wallerstein|3203|אסתר וואַלערשטיין (גאָלדשטיין)
3204	היימי וואַלערשטיין	Hymie Wallerstein		Male					yt/lex/W/wallerstein-hymie.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Hymie Wallerstein|3204|היימי וואַלערשטיין
3205	ראָזאַ וואַלערשטיין	Rose Wallerstein		Female					yt/lex/W/wallerstein-rose.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Rose Wallerstein|3205|ראָזאַ וואַלערשטיין
3206	סאול וואַלערשטיין	Saul Wallerstein		Male					yt/lex/W/wallerstein-saul.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Saul Wallerstein|3206|סאול וואַלערשטיין
3207	פּאָליאַ וואַלטער (שריידער)	Pola Walter		Female					yt/lex/W/walter-pola.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Pola Walter|3207|פּאָליאַ וואַלטער (שריידער)
3208	פייל וואַרשאַווסקי (איסעראָווסקי)	Feivl Warshavsky		Male					yt/lex/W/warshavsky-feivl.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Feivl Warshavsky|3208|פייל וואַרשאַווסקי (איסעראָווסקי)
3209	יצחק-מאיר וואַרשאווסקי (איסעראָווסקי)	Yitskhok Meir Warshavsky		Male					yt/lex/W/warshavsky-yitzkhok-meir.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Yitskhok Meir Warshavsky|3209|יצחק-מאיר וואַרשאווסקי (איסעראָווסקי)
3210	יעקב וואַסערמאַן	Jakob Wasserman		Male					moyt/lex/W/wasserman-jakob-V5.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Jakob Wasserman|3210|יעקב וואַסערמאַן
3211	מיכאל ווייכערט	Michael Weichert		Male					yt/lex/W/weichert-michael-dr.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Michael Weichert|3211|מיכאל ווייכערט
3212	מרים וויידע (וויידענפעלד)	Miriam Weide		Female					yt/lex/W/weide-miriam.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Miriam Weide|3212|מרים וויידע (וויידענפעלד)
3213	משה וויידע	Moshe Weide		Male					moyt/lex/W/weide-moshe-V5.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Moshe Weide|3213|משה וויידע
