host_person_id	mention_name	gender	relation_category	relation_sentence
P-1-facs_100_tr_1740521002	אַוועלירן	male	Professional_Collaboration	דערנאָך אין טשערנאָוויץ און בוקאָווינע מיט אַוועלירן
P-1-facs_100_tr_1740521002	אָדלער	male	Professional_Hierarchy	ווערט פֿון ראָרט אָנגאַזשירט דורך טאָמאָשעווסקי, אָדלער און עדעלשטיין
P-1-facs_100_tr_1740521002	גימפּעלן	male	Professional_Hierarchy	אָנגעהויבן שפּילן קינדער-ראָלן ביי גימפּעלן
P-1-facs_100_tr_1740521002	טאָמאָשעווסקי	male	Professional_Hierarchy	ווערט פֿון ראָרט אָנגאַזשירט דורך טאָמאָשעווסקי, אָדלער און עדעלשטיין
P-1-facs_100_tr_1740521002	יוסף גראָפּער	male	Professional_Collaboration	דאָ טרעט ב. אַרויס אין קאָסינאָ אין וואָדעוויל-נומערן צוזאַמען מיט יוסף גראָפּער
P-1-facs_100_tr_1740521002	לואים בירנבוים	male	Family	זייט איר חתונה מיט לואים בירנבוים, שפּילט זיי כסדר מיט אים אַלס פּרימאָדאָנע
P-1-facs_100_tr_1740521002	עדעלשטיין	male	Professional_Hierarchy	ווערט פֿון ראָרט אָנגאַזשירט דורך טאָמאָשעווסקי, אָדלער און עדעלשטיין
P-1-facs_100_tr_1740521002	פּעפּי לאָוויץ	female	Family	צוזאַמען מיט איר שוועסטער, פּעפּי לאָוויץ, קיין אָמעריקע
P-1-facs_100_tr_1740521002	קאָפּעלמאָנען	male	Professional_Hierarchy	דאָן ביי קאָפּעלמאָנען
P-1-facs_100_tr_1740521003	בוהושער חסידישער רבי *	male	Creative_Intellectual	אין וועלכער ס'ווערט קרייטיקירט דער בוהושער חסידישער רבי.
P-1-facs_100_tr_1740521003	ניישאַץ	male	Professional_Hierarchy	געווען דירעקטאָר פֿון ניישאַץס 'תומים-הויז אין יאָסי, רומעניע.
P-1-facs_100_tr_1740521004	אַדלער	male	Professional_Hierarchy	1916-8 אין פּיפּעלס-טעאַטער ביי אַדלערן
P-1-facs_100_tr_1740521004	בעסי טאָמאָשעווסקי	female	Professional_Collaboration	2 סעזאָנען אין פּיפלס-טעאַטער מיט מאָקס ראָזענטאָל און בעסי טאָמאָשעווסקי
P-1-facs_100_tr_1740521004	גאָלדענבורג	male	Professional_Collaboration	געשפּילט דאָרט מיט זאַץ, גאָלדענבורג און מוני ווייזנפֿריינד
P-1-facs_100_tr_1740521004	זאַץ	male	Professional_Collaboration	געשפּילט דאָרט מיט זאַץ, גאָלדענבורג און מוני ווייזנפֿריינד
P-1-facs_100_tr_1740521004	טאָמאַשעווסקי	male	Professional_Hierarchy	ווערט אָנגאַזשירט צו טאָמאַשעווסקין אין פּיפּלס-טעאַטער, וואו ער שפּילט 3 יאָר
P-1-facs_100_tr_1740521004	יאָנג	male	Professional_Hierarchy	אייניקע פּרובן צו שפּילן ביי קעסלערן און ביי יאָנגן
P-1-facs_100_tr_1740521004	ליטמאַן	male	Professional_Hierarchy	אַ יאָר געשפּילט אין דעטראָיט ביי ליטמאַן
