hub_id	member_kind	member_id	label	detail	evidence
HUB-D1000	db	1000	לעאָן בּלאַנק	Leon Blank	
HUB-D1000	entry	P-1-facs_102_r_9	בלאַנק לעאָן	vol 1	ra_align
HUB-D1000	surface	בלאַנק	בלאַנק	surnames ×20.0	validated_surface
HUB-D1000	surface	בלאַנקן	בלאַנקן	surnames ×1.0	validated_surface
HUB-D1000	surface	ל. בלאַנק	ל. בלאַנק	initials ×1.0	validated_surface
HUB-D1000	surface	לאָן בלאַנק	לאָן בלאַנק	full ×1.0	validated_surface
HUB-D1000	surface	לעאָ בלאַנק	לעאָ בלאַנק	full ×1.0	validated_surface
HUB-D1000	surface	לעאָן בלאַנק	לעאָן בלאַנק	full ×39.0	validated_surface
HUB-D1005	db	1005	דוד זיידעמאן	Dovid Zeydeman	
HUB-D1005	entry	P-5-facs_64_tr_1733059339	זיידערמאַן, דוד	vol 5	ra_align
HUB-D1005	surface	דוד זיידערמאַן	דוד זיידערמאַן	full ×11.0	validated_surface
HUB-D1019	db	1019	אַבאַ קאָמפּאַנעעץ	Abba Kampanietz	
HUB-D1019	entry	P-6-facs_291_tr_1747928923	קאָמפּאַנעעץ, אַבא	vol 6	ra_align
HUB-D1019	surface	א. קאָמפּאַנעעץ	א. קאָמפּאַנעעץ	initials ×6.0	validated_surface
HUB-D1019	surface	אַבאַ קאָמפּאַנעעץ	אַבאַ קאָמפּאַנעעץ	full ×9.0	validated_surface
HUB-D1019	surface	אבאַ קאָמפּאַנעיעץ	אבאַ קאָמפּאַנעיעץ	full ×4.0	validated_surface
HUB-D1026	db	1026	משה שאָר (שור) (שור)	Moshe Schor	
HUB-D1026	entry	P-4-facs_123_tr_1753936429	שאָר [שור], משה	vol 4	ra_align
HUB-D1026	surface	משה שאָר	משה שאָר	full ×30.0	validated_surface
HUB-D1050	db	1050	לאה גראף ווייטרויב	Leah Graf-Weintroib	
HUB-D1050	entry	P-5-facs_178_tr_1736588957	וויינטרויב-גראַף, לאה	vol 5	ra_align
HUB-D1053	db	1053	סאפיע וויינשטאק (פרידמאן)	Sophia Weinstock	
HUB-D1053	entry	P-1-facs_362_TextRegion_1710853984376_412	וויינשטאָק, סאָפיע [פֿרידמאַן]	vol 1	ra_align
HUB-D1053	surface	פּעפּי (פּערל)	פּעפּי (פּערל)	full ×1.0	validated_surface
HUB-D1060	db	1060	משה זייפערט	Moshe Seifert	
HUB-D1060	entry	P-1-facs_402_tr_1739715076	זייפערט, משה	vol 1	human_align
HUB-D1060	surface	זייפערט	זייפערט	surnames ×3.0	validated_surface
HUB-D1060	surface	משה זייפערט	משה זייפערט	full ×10.0	validated_surface
HUB-D1071	db	1071	בנימין חיים רייז	Binyamin Chaim Raise	
HUB-D1071	entry	P-6-facs_97_tr_1747746189	רייז, בנימין חיים	vol 6	ra_align
HUB-D1072	db	1072	הערמאן פיינשטיין (צבי חיים)	Herman Feinstein	
HUB-D1072	entry	P-6-facs_101_tr_1747825157	פֿיינשטיין, הערמאַן (צבי-חיים)	vol 6	human_align
HUB-D1072	surface	הערמאַן פענינשטיין	הערמאַן פענינשטיין	full ×4.0	validated_surface
HUB-D1072	surface	הערמאַן פֿיינשטיין	הערמאַן פֿיינשטיין	full ×5.0	validated_surface
HUB-D1075	db	1075	פישל זינגער	Fishl Singer	
HUB-D1075	entry	P-1-facs_412_TextRegion_1710153704955_46	זינגער, פישל	vol 1	ra_align
HUB-D1075	surface	פישל זיניער	פישל זיניער	full ×1.0	validated_surface
