hub_id	member_kind	member_id	label	detail	evidence
HUB-D1075	surface	פֿישל זינגער	פֿישל זינגער	full ×2.0	validated_surface
HUB-D1086	db	1086	פעני עפשטיין וואדיא	Penny Epstein Vadia	
HUB-D1086	entry	P-2-facs_404_tr_1744366806	עפּשטיין, פעני וואַדיאַ	vol 2	ra_align
HUB-D1086	surface	פעני וואַדיאַ עפּשטיין	פעני וואַדיאַ עפּשטיין	full ×7.0	validated_surface
HUB-D1086	surface	פעני עפּשטיין	פעני עפּשטיין	full ×2.0	validated_surface
HUB-D1096	db	1096	אַּבבּדול	Abdul	
HUB-D1096	entry	P-1-facs_17_tr_1713546856	אַבּדול	vol 1	ra_align
HUB-D1097	db	1097	מרדכי אבעלמאַן	Mordechai Abelman	
HUB-D1097	entry	P-7-facs_74_tr_1757228890	אַבּעלמאַן, מרדכי	vol 7	ra_align
HUB-D1098	db	1098	ציפע אַבּעלמאַן (צפּורה)	Tsipa Abelman	
HUB-D1098	entry	P-5-facs_557_tr_1739222011	אַבּעלמאַן, ציפּע (צפּורה)	vol 5	ra_align
HUB-D1098	surface	צפּורה	צפּורה	surnames ×1.0	validated_surface
HUB-D1099	db	1099	בּן-ציון אבּעלסאָן	Ben-Zion Abelson	
HUB-D1099	entry	P-5-facs_359_tr_1739221250	אַבּעלסאָן, בן-ציון	vol 5	ra_align
HUB-D1100	db	1100	יצחק אַבּערמאַן (האַבּער)	Isaac Aberman	
HUB-D1100	entry	P-1-facs_17_tr_1713546853	אַבּערמאן, יצחק [האַבער]	vol 1	ra_align
HUB-D1100	surface	אַבראַמען	אַבראַמען	surnames ×1.0	validated_surface
HUB-D1101	db	1101	ידא אַבּראַגאַם (פעלטענשטיין)	Ida Abragam	
HUB-D1101	entry	P-1-facs_18_r_8_1	אָבראַגאַם ידאָ [פעלטענשטיין]	vol 1	ra_align
HUB-D1102	db	1102	א. אַבּראַמאָוו (אברהם קאַגאַן)	A. Abramov	
HUB-D1102	entry	P-6-facs_173_tr_1747825113	אַבראַמאָוו, א. [אַברהם קאַגאָן]	vol 6	ra_align
HUB-D1102	surface	אַבראָמאָוון	אַבראָמאָוון	surnames ×1.0	validated_surface
HUB-D1102	surface	אַברהם קאַגאָן	אַברהם קאַגאָן	full ×1.0	validated_surface
HUB-D1103	db	1103	אַדאָלף אַבּראַמאָוו (אברהם פּערקאָף)	Adolf Abramov	
HUB-D1103	entry	P-1-facs_18_r	אַבראַמאָוו, אַדאָלף [אַברהם פּערקאָף]	vol 1	human_align
HUB-D1103	surface	אַדאָלף אַבראַמאָוו	אַדאָלף אַבראַמאָוו	full ×1.0	validated_surface
HUB-D1104	db	1104	בּאָריס אַבּראַמאָוו (פיינלאַנד)	Boris Abramov	
HUB-D1104	entry	P-6-facs_108_r_4	אַבראַמאָוו, באָריס [פּיינלאַנד]	vol 6	ra_align
HUB-D1104	surface	באָריס	באָריס	surnames ×5.0	validated_surface
HUB-D1104	surface	באָריס אַבראַמאָוו	באָריס אַבראַמאָוו	full ×3.0	validated_surface
HUB-D1105	db	1105	מערי אַבּראַמאָוו (מרים איינהאָרן)	Mary Abramov	
HUB-D1105	entry	P-6-facs_109_tr_1747825072	אַבראַמאָוו, מערי [מרים איינהאָרן]	vol 6	ra_align
HUB-D1106	db	1106	אַבּראַמאָוו	Abramov	
HUB-D1106	entry	P-1-facs_18_TextRegion_1711991809768_2571	אַבראַמאָוו	vol 1	ra_align
HUB-D1106	surface	אַבראַמאָוו	אַבראַמאָוו	surnames ×5.0	validated_surface
HUB-D1107	db	1107	ח. ע. אַבּראַמאָוויץ	Ch.E. Abramovits	
HUB-D1107	entry	P-6-facs_46_tr_1747746179	אַבראַמאָוויץ, ח. ע.	vol 6	ra_align
HUB-D1107	surface	ח. ע. אַבראַמאָוויץ	ח. ע. אַבראַמאָוויץ	initials ×1.0	validated_surface
HUB-D1108	db	1108	חיים אַבּראַמאָוויטש	Chaim Abramovitsh	
HUB-D1108	entry	P-1-facs_19_r	אַבראַמאָוויטש, חיים	vol 1	ra_align
HUB-D1108	surface	חיים אַבראַמאָוויטש	חיים אַבראַמאָוויטש	full ×4.0	validated_surface
HUB-D1109	db	1109	איזאָק אַבּראַמאָוויטש	Isaak Abramovitsh	
HUB-D1109	entry	P-1-facs_18_TextRegion_1711991763648_2536	אַבראַמאָוויטש, איזאַק	vol 1	ra_align
HUB-D1109	surface	אַבראַמאָוויטש	אַבראַמאָוויטש	surnames ×3.0	validated_surface
HUB-D1110	db	1110	אַדאָלף אַבּראמס (אבּראַמאָוויטש)	Adolph Abrams	
HUB-D1110	entry	P-1-facs_20_tr_1740515222	אַבראַמס, אַדאָלף [אָבּראָמאָוויטש]	vol 1	ra_align
HUB-D1111	db	1111	דוד אייבּראמס	David Abrams	
HUB-D1111	entry	P-1-facs_41_tr_1740521069	אייבראַמס, דוד	vol 1	ra_align
HUB-D1112	db	1112	ג. אַבּראַמסקי	G. Abramski	
HUB-D1112	entry	P-1-facs_20_tr_1740515223	אַבראַמסקי, ג.	vol 1	ra_align
HUB-D1112	surface	ג. אַבראַמסקי	ג. אַבראַמסקי	initials ×1.0	validated_surface
HUB-D1113	db	1113	יוסף אכראן	Joseph Achron	
HUB-D1113	entry	P-6-facs_22_tr_1747746198	אַכראָן, יוסף	vol 6	ra_align
HUB-D1113	surface	יוסף אַכראָן	יוסף אַכראָן	full ×3.0	validated_surface
HUB-D1114	db	1114	משה אדערשלעגער	Moshe Yakov Adershleger	
HUB-D1114	entry	P-1-facs_35_tr_1740520980	אָדערשלעגער, משה יעקב	vol 1	ra_align
HUB-D1115	db	1115	עמיליע אַדלער (שרה-מילקע שטאַנג)	Amelia Adler	
HUB-D1115	entry	P-1-facs_33_tr_1740521070	אַדלער עמיליע [שרה-מילקע שטאָנג]	vol 1	ra_align
HUB-D1115	surface	עמיליע אַדלער	עמיליע אַדלער	full ×6.0	validated_surface
HUB-D1116	db	1116	בּעני אַדלער	Benny Adler	
HUB-D1116	entry	P-1-facs_21_tr_1740515226	אַדלער בעני	vol 1	ra_align
HUB-D1116	surface	בעני אַדלער	בעני אַדלער	full ×7.0	validated_surface
HUB-D1117	db	1117	צילע אַדלער	Celia Adler	
HUB-D1117	entry	P-1-facs_34_tr_1740521031	אַדלער צילע	vol 1	ra_align
HUB-D1117	surface	צילי אַדלער	צילי אַדלער	full ×24.0	validated_surface
HUB-D1117	surface	צילע אַדלער	צילע אַדלער	full ×31.0	validated_surface
HUB-D1118	db	1118	אסתר אַדלער (שאַצקי)	Esther Adler	
HUB-D1118	entry	P-5-facs_353_r_4	אַדלער, אסתר [שאצקי]	vol 5	ra_align
HUB-D1119	db	1119	פרענציס אַדלער	Frances Adler	
HUB-D1119	entry	P-1-facs_34_tr_1740521039	אַדלער פֿרענציס	vol 1	ra_align
HUB-D1119	surface	פרענציס אַדלער	פרענציס אַדלער	full ×6.0	validated_surface
HUB-D1119	surface	פֿרענציס אַדלער	פֿרענציס אַדלער	full ×2.0	validated_surface
HUB-D1120	db	1120	היימאַן אַדלער (בּאַרטפעלד)	Hyman Adler	
HUB-D1120	entry	P-6-facs_21_r_2	אַדלער, היימאַן [באַרטפּעלד]	vol 6	ra_align
HUB-D1120	surface	היימאַן אַדלער	היימאַן אַדלער	full ×1.0	validated_surface
HUB-D1121	db	1121	ישראל אַדלער	Israel Adler	
HUB-D1121	entry	P-1-facs_31_TextRegion_1710063820301_118	אַדלער, ישראל	vol 1	ra_align
HUB-D1121	surface	י. אַדלער	י. אַדלער	initials ×4.0	validated_surface
HUB-D1122	db	1122	דזשוליא אַדלער	Julia Adler	
HUB-D1122	entry	P-1-facs_22_tr_1740515222	אַדלער דזשוליאַ	vol 1	ra_align
HUB-D1122	surface	דזשוליאַ	דזשוליאַ	surnames ×1.0	validated_surface
HUB-D1123	db	1123	יוליוס אַדלער	Julius Adler (bialystok)	
HUB-D1123	entry	P-1-facs_22_tr_1740515224	אַדלער, יוליוס	vol 1	ra_align
HUB-D1123	surface	יולווס אָדלער	יולווס אָדלער	full ×1.0	validated_surface
HUB-D1123	surface	יוליוס אַדלער	יוליוס אַדלער	full ×123.0	validated_surface
HUB-D1123	surface	יוליוס אַדלערס	יוליוס אַדלערס	full ×1.0	validated_surface
HUB-D1123	surface	יוליוס אָדלער	יוליוס אָדלער	full ×3.0	validated_surface
HUB-D1124	db	1124	דזשוליוס אַדלער (יואל)	Julius Adler (bilgoraj)	
HUB-D1124	entry	P-3-facs_401_tr_1755856142	אַדלער, דזשוליוס [יואל]	vol 3	human_align
HUB-D1124	surface	דזשוּליוס	דזשוּליוס	surnames ×2.0	validated_surface
HUB-D1124	surface	טשאַרלי אַדלער	טשאַרלי אַדלער	full ×1.0	validated_surface
HUB-D1125	db	1125	קטיה אַדלער (גוראַלניק)	Katya Adler	
HUB-D1125	entry	P-1-facs_35_tr_1740520972	אַדלער, קאָטיאָ [גוראַלניק]	vol 1	ra_align
HUB-D1125	entry	P-5-facs_556_tr_1739222579	אַדלער קאָטיאַ [גוראָלניק]	vol 5	ra_align
HUB-D1126	db	1126	סאַראַ אדלער (שרה-סוניה לעוויצקא, היינע-היימאָוויאש)	Sarah Adler	
HUB-D1126	entry	P-1-facs_33_tr_1740521056	אַדלער סעראַ [שרה-סאָניאַ לעוויצקאַ, היינע-חיימאָוויטש]	vol 1	ra_align
HUB-D1126	surface	חיימאָוויץ	חיימאָוויץ	surnames ×1.0	validated_surface
HUB-D1126	surface	סערא	סערא	surnames ×1.0	validated_surface
HUB-D1126	surface	סעראַ	סעראַ	surnames ×5.0	validated_surface
HUB-D1126	surface	סעראַ אַדלער	סעראַ אַדלער	full ×48.0	validated_surface
HUB-D1127	db	1127	סטעלאַ אַדלער	Stella Adler	
HUB-D1127	entry	P-1-facs_31_TextRegion_1710063786700_90	אַדלער, סטעלאַ	vol 1	ra_align
HUB-D1127	surface	סטעלאַ	סטעלאַ	surnames ×1.0	validated_surface
HUB-D1127	surface	סטעלאַ אַדלער	סטעלאַ אַדלער	full ×8.0	validated_surface
HUB-D1128	db	1128	ירמיהו אַדלער (גאָלדענבּערג-טווערסקי)	Yirmeyahu Adler	
HUB-D1128	entry	P-1-facs_30_TextRegion_1709402283554_1191	אַדלער ירמיהו [גאָלדענבערג-טווערסקי]	vol 1	ra_align
HUB-D1128	surface	טווערסקי	טווערסקי	surnames ×1.0	validated_surface
HUB-D1128	surface	"ירמיהו (""וואָסיעס“) אַדלער"	"ירמיהו (""וואָסיעס“) אַדלער"	full ×1.0	validated_surface
HUB-D1128	surface	"ירמיהו (וואָסיעם"") אַדלער"	"ירמיהו (וואָסיעם"") אַדלער"	full ×1.0	validated_surface
HUB-D1128	surface	ירמיהוּ	ירמיהוּ	surnames ×1.0	validated_surface
HUB-D1129	db	1129	יוזשע אַדלער	Yuzhe Adler	
HUB-D1129	entry	P-1-facs_22_tr_1740515225	אַדלער יוזשע	vol 1	ra_align
HUB-D1129	surface	יוזשע אַדלער	יוזשע אַדלער	full ×1.0	validated_surface
HUB-D1130	db	1130	אַדאָלפי	Adolfi	
HUB-D1130	entry	P-1-facs_21_tr_1740515225	אַדאָלפי	vol 1	ra_align
HUB-D1131	db	1131	ניקאָליי אפרת	Nikolai Afrat	
HUB-D1131	entry	P-1-facs_59_tr_1740521083	אפרת ניקאָליי	vol 1	ra_align
HUB-D1131	surface	ניקאָליי	ניקאָליי	surnames ×2.0	validated_surface
HUB-D1132	db	1132	סעם אַגעד (שלמה)	Sam Agid	
HUB-D1132	entry	P-1-facs_21_tr_1740515222	אַנעד, סעם [שלמה]	vol 1	ra_align
HUB-D1132	surface	סעם אַגעד	סעם אַגעד	full ×1.0	validated_surface
HUB-D1133	db	1133	מאיר אַקסעלראָד	Meir Akselrad	
HUB-D1133	entry	P-7-facs_42_tr_1756359784	אַקסעלראָד, מאיר	vol 7	ra_align
HUB-D1134	db	1134	אליעזר סערהייסקי (אליעזר סערהייסקי)	Leo Albertson	
HUB-D1134	entry	P-6-facs_171_tr_1747825164	אַלבערטסאָן, לעא (אַליעזר סערהייסקי)	vol 6	ra_align
HUB-D1135	db	1135	אהרן אָלעקסאַנדראָוו	Aaron Aleksandrov	
HUB-D1135	entry	P-1-facs_48_tr_1740521136	אַלעקסאַנדראָוו, אהרן	vol 1	ra_align
HUB-D1135	surface	אַלעקסאַנדראָוו	אַלעקסאַנדראָוו	surnames ×3.0	validated_surface
HUB-D1135	surface	אהרן אַלעקסאַנדראָוו	אהרן אַלעקסאַנדראָוו	full ×6.0	validated_surface
HUB-D1136	db	1136	ח. אָלעקסאַנדראָוו (וויליאַם מילער)	Ch. Aleksandrov	
HUB-D1136	entry	P-1-facs_49_tr_1740521083	אַלעקסאַנדראָוו, ח. [וויליאָם מילער]	vol 1	ra_align
HUB-D1137	db	1137	י. אַלקאָן (יהושע עלקין)	Yehoshua Alkan	
HUB-D1137	entry	P-1-facs_38_tr_1740521009	"„אונזער טעאַטער"""	vol 1	ra_align
HUB-D1137	entry	P-4-facs_406_tr_1755029923	אַלקאָן, י [יהושע עלקין]	vol 4	ra_align
HUB-D1137	surface	אַלקאַן	אַלקאַן	surnames ×2.0	validated_surface
HUB-D1137	surface	י. עלקין	י. עלקין	initials ×1.0	validated_surface
HUB-D1137	surface	יהושע אלקאן	יהושע אלקאן	full ×1.0	validated_surface
HUB-D1138	db	1138	שמואל אַלמאַן	Shmuel Alman	
HUB-D1138	entry	P-1-facs_48_tr_1740521130	אַלמאַן, שמואל	vol 1	ra_align
HUB-D1138	surface	ס. אַלמאַן	ס. אַלמאַן	initials ×1.0	validated_surface
HUB-D1138	surface	ש. אַלמאַן	ש. אַלמאַן	initials ×1.0	validated_surface
HUB-D1138	surface	שמואל אַלמאַן	שמואל אַלמאַן	full ×1.0	validated_surface
HUB-D1139	db	1139	א. אלמי (אליהו חיים שעפּס)	A. Almi	
HUB-D1139	entry	P-1-facs_48_tr_1740521125	אלמי, א. [אליהו חיים שעפּס]	vol 1	ra_align
HUB-D1139	surface	א. אַלמי	א. אַלמי	initials ×2.0	validated_surface
HUB-D1139	surface	שעפּסינקע	שעפּסינקע	surnames ×1.0	validated_surface
HUB-D1140	db	1140	ס. עלמית (סאָניאַ לובּאָצקי)	Sonia Alomis	
HUB-D1140	entry	P-2-facs_394_tr_1744366847	עלמית, ס. [סאָניאַ לובאָצקי]	vol 2	ra_align
HUB-D1140	surface	סאָניאַ עלמית	סאָניאַ עלמית	full ×3.0	validated_surface
HUB-D1140	surface	עלמית	עלמית	surnames ×6.0	validated_surface
HUB-D1141	db	1141	סעם אלוני (קאָפעלבוים שמואל)	Sam Alony	
HUB-D1141	entry	P-7-facs_28_r_6	אלוני, סעם (שמואל קאָפּעלבוים)	vol 7	ra_align
HUB-D1141	surface	סעם אלוני	סעם אלוני	full ×1.0	validated_surface
HUB-D1142	db	1142	איסאַק אַלפּעראָוויטש	Isak Alperovitsh	
HUB-D1142	entry	P-5-facs_355_tr_1739221123	אַלפּעראָוויטש, איסאַק	vol 5	ra_align
HUB-D1143	db	1143	סאָניא אלטבּוים (סטאַראָדוב)	Sonya Altboym	
HUB-D1143	entry	P-5-facs_190_tr_1736588983	אַלטבוים, סאָניאַ [סטאַראָדוב)	vol 5	ra_align
HUB-D1143	surface	ס. אַלטבוים	ס. אַלטבוים	initials ×1.0	validated_surface
HUB-D1144	db	1144	בּאָריס אַלטמאַן	Boris Altman	
HUB-D1144	entry	P-1-facs_50_tr_1740521046	אַמאַטין, פּעטער [פּסח גאָלדבערג]	vol 1	ra_align
HUB-D1144	surface	פּסח	פּסח	surnames ×2.0	validated_surface
HUB-D1145	db	1145	חיים אַלטמאַן (היימאַן)	Chaim Altman	
HUB-D1145	entry	P-7-facs_24_r_5	אלטמאן, חיים [היימאן]	vol 7	ra_align
HUB-D1146	db	1146	מאָריס אַלטמאַן	Morris Altman	
HUB-D1146	entry	P-1-facs_47_tr_1740521074	אַלטמאַן, מאָריס	vol 1	ra_align
HUB-D1147	db	1147	משה אַלטמאן	Moshe Altman	
HUB-D1147	entry	P-5-facs_588_r_3	אַלטמאַן, משה,	vol 5	human_align
HUB-D1148	db	1148	נאַטאַן אַלטמאַן	Natan Altman	
HUB-D1148	entry	P-1-facs_47_tr_1740521066	אַלטמאַן, נאַטאַן	vol 1	ra_align
HUB-D1148	surface	נ. אַלטמאַן	נ. אַלטמאַן	initials ×1.0	validated_surface
HUB-D1149	db	1149	לייבּ אַלטשולער	Leyb Altshuler	
HUB-D1149	entry	P-6-facs_96_tr_1747746116	אַלטשולער, לייב	vol 6	ra_align
HUB-D1150	db	1150	אַלעקס אַמאַסיאַ (אַלעקסאַנדער)	Alex Amasia	
HUB-D1150	entry	P-1-facs_50_tr_1740521042	אַמאַסיאַ, אַלעקס [אלעקסאַנדער]	vol 1	ra_align
HUB-D1150	surface	אַלעקס אַמאַסיע	אַלעקס אַמאַסיע	full ×1.0	validated_surface
HUB-D1150	surface	אַלעקסאַנדער אַמאַסיע	אַלעקסאַנדער אַמאַסיע	full ×1.0	validated_surface
HUB-D1151	db	1151	הערש אַמאַסיאַ	Hersh Amasia	
HUB-D1151	entry	P-1-facs_51_tr_1740521052	אַמאַסיאַ, הערש	vol 1	ra_align
HUB-D1152	db	1152	פּעטער אַמאַטין (פּסח גאָלדבּערג)	Peter Amatin	
HUB-D1152	entry	P-1-facs_40_tr_1740521046	אידינא [אידאַ שעוואָכאָוויץ]	vol 1	ra_align
HUB-D1152	entry	P-1-facs_50_tr_1740521040	אַמאַטין, סאָניאַ [שרה גאָלדבערג-לעווין]	vol 1	ra_align
HUB-D1153	db	1153	סאניא אמאטין (שרה גאלדבערג-לעווין)	Sonya Amatin	
HUB-D1153	entry	P-5-facs_568_r_2	אַמאַטין, סאָניאַ	vol 5	ra_align
HUB-D1154	db	1154	גאָלדע אַמזעל (געניאַ שניידער)	Golde Amzel	
HUB-D1154	entry	P-1-facs_51_tr_1740521070	אַמזעל, גאָלדע [געניאַ שניידער]	vol 1	ra_align
HUB-D1154	surface	אַמזעל	אַמזעל	surnames ×1.0	validated_surface
HUB-D1155	db	1155	וואָלף אַמזעל	Wolf Amzel	
HUB-D1155	entry	P-1-facs_51_tr_1740521069	אַמזעל,וואָלף	vol 1	ra_align|ra_dup
HUB-D1155	entry	P-5-facs_175_tr_1736588934	אַמזעל, וואָלף	vol 5	ra_align|ra_dup
HUB-D1156	db	1156	אניעלא (חנה קאמפּאַנעיעץ-פּאָליאַקאָוו)	Aniela	
HUB-D1156	entry	P-1-facs_51_tr_1740521072	אַניעלאַ [חנה קאמפּאנעיעץ-פּאָליאַקאָוו]	vol 1	ra_align
HUB-D1156	surface	אַניעל	אַניעל	surnames ×1.0	validated_surface
HUB-D1156	surface	אַניעלאַ	אַניעלאַ	surnames ×1.0	validated_surface
HUB-D1156	surface	אַניעלאַ (קאָמפּאַניעיעץ)	אַניעלאַ (קאָמפּאַניעיעץ)	full ×1.0	validated_surface
HUB-D1157	db	1157	הערי אַניסמאַן	Harry Anisman	
HUB-D1157	entry	P-4-facs_27_r_14	אַניסמאַן, הערי	vol 4	ra_align
HUB-D1157	surface	אַניסמאַן	אַניסמאַן	surnames ×1.0	validated_surface
HUB-D1158	db	1158	ז. אנכי (זלמן יצחק אַראָנסאָן)	Z.I. Ankhi	
HUB-D1158	entry	P-1-facs_51_tr_1740521079	אנכי ז. י [זלמן יצחק ַאראָנסאָן]	vol 1	ra_align
HUB-D1158	surface	ז. אָנוכים	ז. אָנוכים	initials ×1.0	validated_surface
HUB-D1158	surface	ז. י. אנכי	ז. י. אנכי	initials ×1.0	validated_surface
HUB-D1159	db	1159	ש. אַנ-סקי (שלמה-זאַנוול ראַפּאָפּאָרט)	S. An-ski	
HUB-D1159	entry	P-1-facs_52_tr_1740521031	אַנ-סקי ש. [שלמה-זאַנוול ראַפּאָפּאָרט]	vol 1	ra_align
HUB-D1159	surface	אַנ-סקי	אַנ-סקי	surnames ×48.0	validated_surface
HUB-D1159	surface	ש. אַנ-סקי	ש. אַנ-סקי	initials ×20.0	validated_surface
HUB-D1159	surface	ש. אַשקענאזי	ש. אַשקענאזי	initials ×1.0	validated_surface
HUB-D1160	db	1160	איסאַק אַנטשאַראָוו	Isak Antsharov	
HUB-D1160	entry	P-7-facs_28_r_1	אַנטשאַראָוו, איסאק	vol 7	ra_align
HUB-D1160	surface	אַנטשאַראָוו	אַנטשאַראָוו	surnames ×1.0	validated_surface
HUB-D1161	db	1161	ריוואַ אַנציפּאָוויטש	Riva Antsipovitsh	
HUB-D1161	entry	P-6-facs_24_tr_1747746131	אַנציפּאָוויטש, ריוואַ	vol 6	ra_align
HUB-D1162	db	1162	דוד אַפּאָטהעקער	David Apotheker	
HUB-D1162	entry	P-1-facs_57_tr_1740521089	אַפּאָטהעקער, דוד	vol 1	ra_align
HUB-D1163	db	1163	אַננאַ אַפּעל (בּערקאָוויטש)	Anna Appel	
HUB-D1163	entry	P-1-facs_58_tr_1740521146	אַפּעל, אַננאַ [בערקאָוויטש]	vol 1	ra_align
HUB-D1163	surface	אָננאַ בערקאָוויטש	אָננאַ בערקאָוויטש	full ×1.0	validated_surface
HUB-D1163	surface	חנה אַפּעל	חנה אַפּעל	full ×6.0	validated_surface
HUB-D1164	db	1164	איזידאָר אַפּעל (יאַפּקאָ)	Isadore Appel	
HUB-D1164	entry	P-1-facs_58_tr_1740521133	אָפּעל, איזידאָר [יאַפּקאָ]	vol 1	ra_align
HUB-D1165	db	1165	מאָריס אַפּעל (אַפּעלאויג)	Morris Appel	
HUB-D1165	entry	P-1-facs_58_tr_1740521139	אַפּעל, מאָריס [אַפּעלאויג]	vol 1	ra_align
HUB-D1166	db	1166	מישאַ אַפּעלבּוים	Misha Appelbaum	
HUB-D1166	entry	P-1-facs_58_tr_1740521154	אָפּעלבוים מישאַ	vol 1	ra_align
HUB-D1166	surface	אָפּעלבוים	אָפּעלבוים	surnames ×3.0	validated_surface
HUB-D1167	db	1167	ראזאליא אַפּעלבּוים (שיינע רחל וויינשטיין)	Rosalia Appelbaum	
HUB-D1167	entry	P-1-facs_59_tr_1740521090	אַפּעלבוים ראָזאָליאַ [שיינע רחל וויינשטיין]	vol 1	ra_align
HUB-D1167	surface	שיינע	שיינע	surnames ×2.0	validated_surface
HUB-D1168	db	1168	סאָפיא אַפּטייקער (שרה פריינד)	Sofia Apteiker	
HUB-D1168	entry	P-1-facs_57_tr_1740521103	אַפּטייקער סאָפיאַ [שרה פֿריינד]	vol 1	ra_align
HUB-D1169	db	1169	פריצי אַרקאָ	Fritzi Arco	
HUB-D1169	entry	P-1-facs_69_tr_1740521059	אַרקאָ פריצי	vol 1	ra_align
HUB-D1169	surface	אַרקאָ	אַרקאָ	surnames ×3.0	validated_surface
HUB-D1170	db	1170	איסאַק אַרקאָ	Isaac Arco	
HUB-D1170	entry	P-1-facs_68_tr_1740521054	אַרקאָ, איסאַק	vol 1	ra_align
HUB-D1171	db	1171	יצחק ארקא	Itzhak Arco	
HUB-D1171	entry	P-1-facs_68_tr_1740521051	אַרקאַ, יצחק	vol 1	ra_align
HUB-D1171	surface	יצחק אַרקאָ	יצחק אַרקאָ	full ×1.0	validated_surface
HUB-D1171	surface	יצחק אָרקאָס	יצחק אָרקאָס	full ×1.0	validated_surface
HUB-D1172	db	1172	מאַניע אַרקאָ (פישזאָן)	Manya Arco	
HUB-D1172	entry	P-1-facs_68_tr_1740521052	אַרקאַ, מאַניע [פישזאָן]	vol 1	ra_align
HUB-D1172	surface	פישזאָניען	פישזאָניען	surnames ×1.0	validated_surface
HUB-D1172	surface	פֿישזאָן	פֿישזאָן	surnames ×10.0	validated_surface
HUB-D1172	surface	פֿישזאָנען	פֿישזאָנען	surnames ×1.0	validated_surface
HUB-D1173	db	1173	חיים-דוד אריעל	Khayim David Ariel	
HUB-D1173	entry	P-1-facs_64_tr_1740520942	אַריעל, חיים דוד	vol 1	ra_align|ra_dup
HUB-D1173	entry	P-5-facs_126_tr_1733832830	אַריעל, חיים-דוד	vol 5	ra_align|ra_dup
HUB-D1173	surface	חיים-דוד אַריעל	חיים-דוד אַריעל	full ×2.0	validated_surface
HUB-D1174	db	1174	רחל אַריעל	Rukhl Ariel	
