mention	occurrences	as_heading	alternative_heading	notes
יאָנאַס טורקאָוו	190.0	טורקאָוו, יאָנאַס		
מאָריס שוואַרץ	183.0	שוואַרץ, מאָריס [אַברהם משה]		
זלמן זילבערצווייג	169.0	זילבּערצווייג, זלמן		
באָריס טאָמאַשעווסקי	129.0	טאָמאַשעוו[פ]סקי, באָריס [ברוך-אהרן]		
יוליוס אַדלער	123.0	אַדלער, יוליוס		
יעקב גאָרדין	123.0	גאָרדין, יעקב		
זיגמונט טורקאָוו	113.0	טורקאָוו, זיגמונט		
אַברהם גאָלדפֿאַדען	111.0	גאָלדפֿאַדען, אַברהם [גאָלדענפֿאָדים]		
מאלי פיקאָן	81.0	פּיקאָן, מאַלי		
פרץ הירשביין	81.0	הירשביין, פרץ		
קלאַראַ יאָנג	79.0	יאָנג, קלאַראַ [חיה-ריסיע שפּיקאָליצער]		
שלום אַש	75.0	אַש, שלום		
אסתר-רחל קאמינסקאַ	72.0	קאָמינסקי, אַסתר-רחל [האַלפערן]		
דוד הערמאַן	67.0	הערמאַן, דוד		
דוד קעסלער	67.0	קעסלער, דוד		
סעם אַדלער	63.0	אַדלער, סעם		
בערטאַ קאַליש	61.0	קאַליש, בערטאָ		
יעקב בן-עמי	59.0	בן-עמי יעקב [שטשירין]		
בעסי טאָמאַשעווסקי	58.0	טאָמאַשעווסקי, בעסי [ברכה באומפעלד-קויפמאַן]		
אידא קאַמינסקאַ	56.0	קאַמינסקאַ רעגינאַ		
סעמיועל גאָלדענבורג	54.0	גאָלדענבורג, סעמיועל [שלום גאָלדשטיין]		
אסתר-רחל קאמינסקי	51.0	"טעאַטער-מוזיי א""נ פֿון אסתר-רחל קאַמינסקי ביים ייוו""א."		
מאָריס מאָשקאָוויטש	51.0	מאָשקאָוויטש, מאָריס		
מאַרק אַרנשטיין	50.0	אַרנשטיין, מאַרק		
אַברהם מאָרעווסקי	48.0	מאָרעווסקי, אַברהם (מנקר]		
זלמן רייזען	48.0	רייזען, זלמן		
סעראַ אַדלער	48.0	אַדלער סעראַ [שרה-סאָניאַ לעוויצקאַ, היינע-חיימאָוויטש]		
אַברהם פישזאָן	46.0	פישזאָן, אַברהם		
יעקב זילבּערט	46.0	זילבּערט, יעקב [קוליש]		
יעקב מעסטעל	45.0	מעסטעל, יעקב		
לודווייג זאַץ	44.0	זאַץ, לודווייג [לוי יצחק]		
מישע פישזאָן	43.0	פישזאָן, מישאַ [משה כאָסידמאַן]		
רודאָלף זאַסלאַווסקי	42.0	זאַסלאַווסקי, רודאָלף [ראובן-לייב]		
דוד פינסקי	41.0	פּינסקי, דוד		
מאַקס געביל	40.0	געביל, מאַקס [מנחם-מענדעל, נחום]		
נייטאָן גאָלדבערג	40.0	גאָלדבערג, נייטאָן		
אַנשל שאָר	39.0	שאָר [שור], אַנשל		
לעאָן בלאַנק	39.0	בלאַנק לעאָן		
רודאָלף שילדקרויט	38.0	שילדקרויט, רודאָלף [חיים-מרדכי]		
ישראל ראָזענבּערג	36.0	ראָזענבערג, ישראל		
שלום פּערלמוטער	36.0	פּערלמוטער, שלום		
יעקב מעסטל	35.0	מעסטעל, יעקב		
קעני ליפּצין	35.0	ליפּצין, קעני [קריינע סאָניעס, סאַכאַר]		
יאָזעף קעסלער	34.0	קעסלער יאָזעף		
יעקב קאַליך	34.0	קאָליך, יעקב		
משה ליפּמאַן	34.0	ליפּמאַן, משה		
אַברהם-יצחק קאַמינסקי	33.0	קאַמינסקי, אַברהם יצחק		
מאָקס ראָזענטאָל	33.0	ראָזענטאַל, מאַקס		
מישע גערמאַן	33.0	גערמאַן, מישע [הערמאַן]		
אָנשעל שאָר	32.0	שאָר [שור], אַנשל		
יוסף רומשינסקי	32.0	רומשינסקי, יוסף [רומשיסקי]		
דיינע פֿיינמאַן	31.0	פֿיינמאַן, דיינע		
לידיאַ פּאַטאָצקאַ	31.0	פּאָטאָצקאַ, לידיאַ		
מאָלווינע לאָבעל	31.0	לאָבּעל, מאַלווינאַ [טרייטלער]		
משה ריכטער	31.0	ריכטער, משה		
צילע אַדלער	31.0	אַדלער צילע		לבדוק פירוק
דזשעני גאָלדשטיין	30.0	גאָלדשטיין, דזשעני		
מלך ראָוויטש	30.0			מופיע כך, האם קשור להערשקאָוויטש, מלך?
משה שאָר	30.0	שאָר [שור], משה		
נח פּרילוצקי	30.0	פרילוצקי, נח		
נחמן מייזיל	30.0	מייזיל, נחמן		
אַברהם רייזען	29.0	רייזען, אַברהם		
יצחק ליברעסקאָ	29.0	ליבּרעסקאָ, יצחק [ליבּער]		
מייק טאָמאַשעווסקי	29.0	טאָמאַשעווסקי, מייק (מרדכי)		
אַברהם אַקסעלראָד	28.0	אַקסעלראָד, אַברהם [אַברהם יצחק]		
איציקל גאָלדענבערג	28.0	גאָלדענבערג איציקל		(לבדוק פירוק לשם פרטי ושם משפחה)
אַסיפּ דימאָוו	28.0	דימאָוו, אַסיפּ [יוסף פּערלמאַן]		
יאָזער קעסלער	26.0	קעסלער יאָזעף		check! -repeating ocr error?
לעאָן קאָבּרין	26.0	קאָברין, לעאָן		
בועז יאָנג	25.0	יאָנג, בערנאַרד [בועז יונגוויץ]		
יוסף בולאָוו	25.0	בולאָוו, יוסף [בולקין]		
יעקב ליבערט	25.0			לבדוק טוב!
משה בראָדערזאָן	25.0	בראָדערזאָהן, משה		
הערמאַן סיעראָצקי	24.0	סיעראָצקי, הערמאַן		
זיגמונט פֿיינמאַן	24.0	פיינמאַן, זיגמונד		
צילי אַדלער	24.0	אַדלער צילע		
יוליאַן שוואַרץ	23.0	אונדזערע בויער		
מנחם רוּבּין	23.0	רובין, מנחם [עקהייזער קייזער]		
מענדעלע מוכר-ספרים	23.0	מענדעלע מוכר ספרים [שלום-יעקב אַבראָמאָוויטש]		
אבאַ שיינגאָלד	22.0	שעהנגאָלד אבא [אַלבערט]		
ישראל גראָדנער	22.0	גראָדנער ישראל [ראָזענפעלד?]		
מאָריס מייער	22.0	מייער מאָרריס (משה)		
מיכאָל מיכאַלעסקאָ	22.0	מיכאַלעסקאָ, מיכאל [ווייסבּלאַט]		
שלום סעקונדאַ	22.0	סעקונדאַ, שלום		
דזשוליוס נאַטאַנסאָן	21.0	נאַטאַנסאָן, דזשוליוס (יוליוס, חנינא)		
משה נאָדיר	21.0	נאַדיר, משה [יצחק רייז]		
"ד""ר מוקדוני"	20.0	מוקדוני, א. דר. [אַלכסנדר קאַפּעל)		
מנשה סקולניק	20.0	סקולניק, מנשה		
נחום ליפּאָווסקי	20.0	ליפּאָווסקי, נחוּם		
עליאָס גליקמאַן	20.0	גליקמאַן, עליאַס		
רעגינאַ פּראַגער	20.0	פּראַגער רעגינע		
אַדאָלף בערמאַן	19.0	בערמאַן, אַדאָלף		
בערטאַ גערסטין	19.0	גערסטין, בערטאָ		
"ד""ר יעקב שאָצקי"	19.0	שאצקי, יעקב, דר.		
דוד ליכט	19.0	ליכט, דוד [דניאל פרענקל]		
חיים סאַנדלער	19.0	סאַנדלער חיים		
יעקב באַטאָשאַנסקי	19.0	באַטאָשאַנסקי, יעקב		
יצחק דייטש	19.0	דייטש, יצחק [סאָלאָמיאָניק]		
פרץ סאַנדלער	19.0	סאַנדלער חיים		
בערל בערנשטיין	18.0	בערנשטיין, בערל [בורשטין]		
דיאַנאַ בלומענפעלד	18.0	בלומענפעלד טורקאָוו, דיאַנאַ		
הערמאַן יאַבלאָקאָוו	18.0	אונדזערע בויער		
וויליאַם סיגעל	18.0	סיגעל וויליאָם (וועלוול-יצחק הערצאָג]		
זלמן קאָלעשניקאָוו	18.0			
יואל ענטין	18.0	ענטין, יואל		
יוליוס נאַטאַנסאָן	18.0	נאַטאַנסאָן, דזשוליוס (יוליוס, חנינא)		
אסתר וואָלערשטיין	17.0	וואָלערשטיין, אסתר [גאָלדשטיין]		
בנציון פּאַלעפּאַדע	17.0	אונדזערע בויער		
יאָזעף רומשינסקי	17.0	רומשינסקי, יוסף [רומשיסקי]		
יונה ראַדינאָוו	17.0			
יצחק קאַצענעלסאָן	17.0	קאַצענעלסאָן, יצחק[-יחיאָל]		
משה זילבערמאַן	17.0	זילבערמאַן, משה		
סעם אויערבאַך	17.0	אויערבאַך, סעם		
צעזאָר גרינבערג	17.0	גרינבערג, צעזאַר [בצלאַל]		
אַדאָלף סעגאָל	16.0			
בינע אַבראַמאָוויטש	16.0	אַבראַמאָוויטש, בינע [פוקס]		
דינה האַלפּערן	16.0	האַלפּערן, דינה		
זיינאַ ראַפּעל	16.0	ראַפּעל, ליזע [שולמית שאַפּראַן]		
יעקב ספּיוואַקאָווסקי	16.0	ספּיוואַקאָווסקי, יעקב		
יעקב פרענק	16.0	פרענק, יעקב		
יצחק זאַנדבערג	16.0	זאַנדבערג, יצחק		
לוסי גערמאַן	16.0	גערמאַן, לוס [לאָשאַ קוטנער]		
לעאַ פוקס	16.0			
מוני ווייזענפֿריינד	16.0	ווייזענפֿריינד מוני [משולם-מאיר]		
פּסחקע בורשטיין	16.0	בורשטיין, פּסח		
שלום פּאָדזאַמטשע	16.0	פּאָדזאַמטשע, שלום		
שלמה קוטנער	16.0	קוטנער, שלמה		
אייזיק סאַמבערג	15.0	סאַמבערג, אַ. [יצחק-אייזיק סאַמבאָרעק]		
גרשם באַדער	15.0	באַדער גרשם		
הערמאַן בערמאַן	15.0	בערמאַן, הערמאַן		
חנאַ גאָטעספעלד	15.0	גאָטעספעלד חנאַ		
לודוויק זאַץ	15.0	זאַץ, לודווייג [לוי יצחק]		
לייזער צוקערמאַן	15.0	צוקערמאַן, לייזער		
מאַרק שווייד	15.0	שווייד, מאַרק [וואָלף-מרדכי]		
מרים טרילינג	15.0	טרילינג, מאַניע (מרים)		
אַברהם טייטעלבוים	14.0	טייטעלבוים, אַברהם (=שלום, סעם)		
איזידאָר האָלענדער	14.0	האָלענדער, איזידאָר		
בער האַרט	14.0	האַרט, בערטאָ [מאַהלער]		
טשאַרלס נאַטאַנסאָן	14.0	נאַטאַנסאָן, טשאַרלס		
יונה רייזמאַן	14.0	רייזמאַן, יונה		
יעקב ווייסליץ	14.0	ווייסליץ, אַברהם-יעקב		
יעקב קאַצמאַן	14.0	קאַצמאַן, יעקב		
ליזאַ זילבערט	14.0	זילבערט, ליזאַ		
לעאָפּאָלד קאַנער	14.0	קאַנער לעאָפּאָלד [לייב]		
מאָריס אַקסעלראָד	14.0	אַקסעלראָד מאָריס [מאיר]		
משה סקולניק	14.0	סקולניק, משה		
סעם קעסטין	14.0	קעסטין, סעם		
פּעפּי ליטמאַן	14.0	ליטמאַן, פּעפּי [פּעשע קאַהאַנע]		
אַדאָלף מעלצער	13.0	מעלצער, אַדאָלף		
אהרן לעבעדעוו	13.0	לעבעדיעוו, אהרן		
איציק מאַנגער	13.0			
בנימין צמח	13.0			
דוד פרישמאַן	13.0	פרישמאַן, דוד		
היימי דזשייקאָבסאָן	13.0	דזשייקאָבסאָן, היימי [חיים-מענדל]		
הענעך קאָן	13.0			
זיגמונט מאָגולעסקאָ	13.0	מאָגולעסקאָ, זיגמונט [זעלייג מאָגילעווסקי]		
לייזער זשעלאַזאָ	13.0	ליפּאָווסקי, סאַשאַ [שמחה זשעלאַזאָ]		
מאיר שוואַרץ	13.0	שוואַרץ, מאיר		
מענדל עלקין	13.0	עלקין, מענדל		
נחום צמח	13.0			
שעפטל זאַק	13.0	זאַק, שעפטל		
אליקום צונזער	12.0	צונזער, אליקום		
דוד בערגעלסאָן	12.0	בערגעלסאַן, דוד		
הענריעטאַ שניצער	12.0			
וויעראַ זאַסלאַווסקאַ	12.0	זאָסלאָווסקאַיאָ, וויעראָ		
זיגמונט וויינטרויב	12.0	וויינטרויב, זיגמונט		
חיים עהרענרייך	12.0	ע[ה]רענרייך, חיים		
יאָזעף לאַטיינער	12.0	לאַטיינער יאָזעף		
יעקב גאָלדשטיין	12.0	גאָלדשטיין, יעקב		
יעקב דינעזאָן	12.0	דינעזאָן, יעקב		
יעקב וואַקסמאַן	12.0	וואַקסמאַן, יעקב		
יעקב שטערנבערג	12.0			
לאַזאַר קאַהאַן	12.0	קאַהאַן, לאַזאַר		
לואיס קרעמער	12.0	קרעמער לואיס		
מאַקס באָזשיק	12.0	באָזשיק, מאַקס [באָזשיקאָווסקי]		
מאָריס ראָזענפעלד	12.0	ראָזענפעלד, מאָריס [משה יעקב, אַלטער]		
מרים קרעסין	12.0	קרעסין, מרים		
נעלי קעסמאַן	12.0	קעסמאַן, נעלי		
סידי טהאָל	12.0	טהאל, סידי (סאַלי בירקענטאל]		
עמנואל רינגעלבלום	12.0			
קלמן מרמר	12.0	מרמר קאַרל (קלמן-צבי)		
אַברהם פישקינד	11.0	פישקינד, אַברהם		
אַדאָלף גערטנער	11.0	גערטנער, אַדאָלף		
איזידאָר ליליען	11.0	ליליען, איזידאָר		
איציקל גאָלדענבורג	11.0	גאָלדענבערג איציקל		
בערל בראָדער	11.0	בראָדער בערל		
דאָראַ ווייסמאַן	11.0	ווייסמאַן, דאָראַ		
דוד זיידערמאַן	11.0	זיידערמאַן, דוד		
דוד ראָגאָוו	11.0	ראָגאָוו, דוד		
דזשייקאָב דזשייקאָבס	11.0	דזשייקאָבס, דזשייקאָב [יעקב יאָקובאָוויטש]		
דזשעני וואליער	11.0	וואָליער, דזשעני		
הערמאַן קרוק	11.0	גאָלדענבערג, יעקב-משה		
יוליוס גוטמאַן	11.0	גוטמאַן, יוליוס [יידל] [יהודה יוסף]		
יוסף סאַנדעל	11.0			
יצחק טורקאָוו-גרודבערג	11.0	גרודבערג, יצחק [יצחק-בער טורקאָוו]		
לעאָניד סאָקאָלאָוו	11.0			
מאיר מעלמאַן	11.0	מעלמאַן, מאיר		
סאול וואָלערשטיין	11.0	וואָלערשטיין, סאול		
עגאָן ברעכער	11.0	ברעכער, עגאָן		
פעני וואַקסמאַן	11.0	וואַקסמאַן, פעני		
פרץ מאַרקיש	11.0	מאַרקיש, פּערעץ		
קלמן יאָוועליר	11.0	יאָוועליר, קלמן		
שלמה פריזאַמענט	11.0	פריזאַמענט, שלמה		
אַברהם ליטמאַן	10.0	ליטמאַן, אַברהם		
אהרן לעבעדיעוו	10.0	לעבעדיעוו, אהרן		
אהרן צייטלין	10.0	צייטלין, אהרן [-אליעזר]		
אַלבערט סעגאָלעסקאָ	10.0	סעגאַלעסקאָ, אַלבערט		
אסתר פּערלמאַן	10.0	פּערלמאַן, אסתּר		
בערטאַ גוטענטאַג	10.0	גוטענטאָג, בערטאָ [אַקסעלראָד]		
היימי פּריזאַנט	10.0	פריזאַנט, היימי		
הערשל צוּקערבּערג	10.0	צוקערבערג, הערשל		
זעליג שאָר	10.0	לעוו, זיגמונט [אש-זעליג]		
חיהלע אַש	10.0	אַש, חיהלע		
יוסף וויינשטאָק	10.0	וויינשטאָק, יוסף		
יעקב קירשענבוים	10.0	קירשענבוים, יעקב		
יעקב ראַטבאום	10.0	אונדזערע בויער		
מאַקס וויסקינד	10.0	וויסקינד, מאַקס		
מרדכי סעגאַלעסקאָ	10.0	סעגאַלעסקאָ, מרדכי (סעגאַל)		
משה זייפערט	10.0	זייפערט, משה		
נפתלי גאָלדפֿאַדען	10.0	גאָלדפֿאַדען, נפתלי [גאָלדענפֿאָדים]		
סידני האַרט	10.0	האַרט, סידני [יוסף הערש]		
סימאָר רעכטצייט	10.0	רעכצייט, סימאָר (שמעון ישעיהו]		
עמיל גימפּעל	10.0	גימפּעל, עמיל [שמואל מענדל]		
קלאַראַ סעגאַלאָוויטש	10.0	סעגאַלאָוויטש, קלאַראַ [באָראָדינאָ]		
קלמן יאָווילער	10.0	יאָוועליר, קלמן		
שלמה מיכאָעלס	10.0	מיכאָעלס, ס. מ. [שלמה וואַפּסי]		
אַבאַ קאָמפּאַנעעץ	9.0	קאָמפּאַנעעץ, אַבא		
אוירווינג גראָסמאַן	9.0	גראָסמאַן, אוירווינג [יצחק לייב]		
אוירווינג דזשייקאָבסאָן	9.0	דזשייקאָבסאָן, אוירווינג		
אַלעקסאַנדער גראַנאַך	9.0	גראַנאַך, אַלעקסאַנדער		
אָסקאָר גרין	9.0	גרין, אָסקאַר		
בן-ציון וויטלער	9.0			
בנימין רעסלער	9.0			
בענאַ שניידער	9.0			
בערנאַרד עלווינג	9.0	עלווינג, בערנאָרד		
"ד""ר ווייכערט"	9.0	ווייכערט, מיכאל, דר.		
דזשעני קייזער	9.0	קייזער, דזשעני		
דער טונקעלער	9.0	טונקעלער דער [יוסף טונקעל]		
הענריק איבּסען	9.0			
הערמאַן וויינבערג	9.0	וויינבערג, הערמאַן		
וואָלף זילבערבערג	9.0	זילבּערבּערג, וואָלף		
וואָלף מערקור	9.0	מערקור וואָלף		
זיגמונד טורקאָוו	9.0	טורקאָוו, זיגמונט		
חנאַ וואָלפסטאָל	9.0	וואָלפסטאָל, חנאַ		
חנה לערנער	9.0	לערנער חנה		
יעקב קורלענדער	9.0	קורלענדער יעקב		
יעקב-בער גימפּעל	9.0	גימפּעל, יעקב-בער		
ישראל אַשענדאָרף	9.0			
לואי גאָלדבערג	9.0	גאָלדבערג, לואי		
מאָריס פינקעל	9.0	פינקעל, מאָריס [משה]		
משה וויינבערג	9.0	וויינבערג, משה		
ניסן בעלזער	9.0			
סאַלטשע וויינבערג	9.0	וויינבערג, סאלטשע [שרה ליכט]		
סידני גאָלדין	9.0	גאָלדין, סידני [סאַמועל גאָלדשטיין]		
סעם לודוויק	9.0	לודוויק, סעם		
ראַזאָ קאַרפּ	9.0	קאַרפּ, ראָזע		
שרה קאַנער	9.0	קאַנער, שרה [פרילינג]		
אַבאַ שעהנגאָלד	8.0	שעהנגאָלד אבא [אַלבערט]		
אהרן ראָזענבלום	8.0	ראָזענבלום אַדאָלף [אהרן]		
אידא קאַמינסקי	8.0			
איזידאָר קעשיער	8.0	קעשיר איזידאָר [זישע קאַסירער]		
אַננאַ העלד	8.0	העלד, אַננאַ		
אַננאַ יאָקובאָוויטש	8.0	יאָקוּבּאָוויטש, אַננאַ [חנה מייעראָוויטש]		
באָריס אויערבאַך	8.0	אויערבאַך, בּאָריס [בן-ציון]		
בערטאַ גערסטען	8.0	גערסטין, בערטאָ		
גוסטאָוו שוואַרצבאַרד	8.0	שוואַרצבאַרד, גוסטאָוו		
דוד הירש	8.0	הירש, דוד		
דינה קעניג	8.0	קעניג דינה		
הערמאַן הייערמאַנס	8.0			
חיים טויבער	8.0	טויבער, חיים		
יאָזעף שיינגאָלד	8.0	שעהנגאָלד, יוסף		
יאָזעף שערמאַן	8.0	שערמאַן, יאָזעף		
יוסף גאָלדשמידט	8.0	גאָלדשמידט, יוסף		
יעקב גליקמאַן	8.0	גליקמאַן, יעקב		
יעקב מאַנדעלבליט	8.0	מאַנדעלבליט, יעקב		
יעקב ראָטבוים	8.0			
לייזער ראַפּעל	8.0	ראַפּעל, לייזער		
לעאָ ליאָוו	8.0	ליאָוו, לעאָ (משה-לייב)		
לעאָן בערגער	8.0	בערגער, לעאָן		
מאַקס ברין	8.0	ברין, מאַקס		
מאַקס ווילנער	8.0	ווילנער, מאַקס, ר		
מאַקס פּערלמאַן	8.0	ברין, מאַקס		
מאַקס שטרענג	8.0	שטרענג, מאַקס		
מאָריס שווארץ	8.0	שוואַרץ, מאָריס [אַברהם משה]		
מיכאָל ווייכערט	8.0	ווייכערט, מיכאל, דר.		
מישע אָפּעלבוים	8.0			
משה פינקעל	8.0	פינקעל, מאָריס [משה]		
סאָפיע קאַרפּ	8.0	קאַרפּ, סאָפיע		
סטעלאַ אַדלער	8.0	אַדלער, סטעלאַ		
סעם שילינג	8.0	שילינג, סעם [שמחה]		
סעמועל גאָלדענבורג	8.0	גאָלדענבורג, סעמיועל [שלום גאָלדשטיין]		
פֿיליפּ ווייזענפֿריינד	8.0	ווייזענפֿריינד פֿיליפּ [נחום-פייוול]		
פֿרידאַ זיבעל	8.0	זיבּעל, פרידא [זשאַרטאָווסקי]		
ראובן ווייסמאַן	8.0	ווייסמאַן, ראובן		
רחל אויערבאַך	8.0			
רעגינע צוקער	8.0	צוקער, רעגינא [שוואַרצשטיין]		
שלום ברין	8.0	ברין, שלום		
שמחה נאַטאַן	8.0	נאַטאַן, שמחה		
אַברהם-יצחק טאַנצמאַן	7.0	טאַנצמאַן, אַברהם-יצחק		
אַדאָלף פעניגשטיין	7.0	פעניגשטיין, אַדאָלף		
איזידאָר מעלצער	7.0	מעלצער, איזידאָר		
אַנעטאַ גראָדנער	7.0	גראָדנער אַנעטאָ		
בּוּנעם בּדחן	7.0	בונעם בדחן [בונעם משיזשיק]		
בעטי קעניג	7.0			
בען באַנוס	7.0	באַנוס, בען		
בעני אַדלער	7.0	אַדלער בעני		
גרישאַ ראָטשיין	7.0			
דוד לעדערמאַן	7.0	לדערמאַן, דוד		
דוד לעווענסאָן	7.0	לעווענזאָן, דוד		
דוד מייעראָוויטש	7.0	מייעראָוויטש, דוד		
דוד צעלמייסטער	7.0	צעלמייסטער דוד		
הלל ראָגאָף	7.0	ראָגאָף, הלל		
הערשל יעדוואָב	7.0	יעדוואַבּ, הערש		
ווילי גאָלדשטיין	7.0			
וויעראַ קאַניעווסקאַ	7.0			
יאָזער שיינגאָלד	7.0	שעהנגאָלד, יוסף		
יעקב אַדלער	7.0	אַדלער, יעקב פּ. [יעקב בן פּנחס]		
יעקב רעכטצייט	7.0	רעכטצייט, יעקב		
יצחק לעש	7.0	לעש, יצחק [איזידאָר לעשטשינסקי]		
יצחק נאָזשיק	7.0	נאָזשיק, יצחק		
יצחק שלאָסבערג	7.0	שלאָסבערג, יצחק		
לאַזאַר פריד	7.0	פריד, לאַזאַר		
לואיס גאָלדבערג	7.0	גאָלדבערג, לואיס [לייבוש]		
לוס גערמאַן	7.0	גערמאַן, לוס [לאָשאַ קוטנער]		
לייזער בערנשטיין	7.0			
מאָריס ווינטשעווסקי	7.0	ווינטשעווסקי, מאָריס [בנציון נאָוואָכאָוויטש]		
מאָריס מאָריסאָן	7.0	מאָריסאָן, מאָריטץ [משה קאָהן]		
מאַרק מייערסאָן	7.0	מייערסאָן, מ. ל.		
מיכל געלבאַרט	7.0	געלבאַרט, מיכל		
משה אוישער	7.0	אוישער משה		
סאָניאַ עדעלמאַן	7.0	עדעלמאַן, סאָניע		
סיימאַן וואולף	7.0	וואולף, סיימאַן [שמחה]		
עליאַס ראָטשטיין	7.0	ראָטשטיין, עליאַס		
פּיטער גראָף	7.0	גראַף, פּיטער [פתחיה]		
פֿישל קאַנאַפּאָוו	7.0			
פּנחס טאָמאַשעווסקי	7.0	טאָמאַשעווסקי, פּנחס		
פּסח קאַפּלאַן	7.0			
פעני וואַדיאַ עפּשטיין	7.0	עפּשטיין, פעני וואַדיאַ		
קאַרל גוטענטאָג	7.0	גוטענטאָג, קאַרל		
ראָזע גאָלדבערג	7.0	גאָלדבערג, ראָזאַ [פינקענטאל]		
רודאָלף מאַרקס	7.0	מאַרקס, דאָלף [ראָדקינסאָן]		
שבתי בליאַכער	7.0	בליאַכער, שבתי		
שמואל ראָזשאַנסקי	7.0			
אַברהם קורץ	6.0	קורץ, אַברהם		
אַברהם קירשענבוים	6.0			
אהרן אַלעקסאַנדראָוו	6.0	אַלעקסאַנדראָוו, אהרן		
אהרן טאָגער	6.0	טאָגער, אהרן		
אַליהן טענענהאָלץ	6.0	טענענהאָלץ, אליהוּ		
אסתר וואַקסמאַן	6.0			
אַפֿרים לויטער	6.0	לויטער, עפראים		
באָריס ראָזענטאַל	6.0	ראָזענטאָל, באָריס		
בנימין בלאַנק	6.0	ראָזענטאָל, באָריס		
בנימין זוסקין	6.0	זוסקין, בנימין		
בעטי פרענק	6.0			
ברוך לומעט	6.0	לוּמעט, ברוּך		
ברוך שאָר	6.0	שור ברוך		
גוסטאַוו שאַכט	6.0	שאַכט, גוסטאָוו		
ד״ר באַראַטאָוו	6.0			
ד״ר ראָזענזאָל	6.0			
דוד באַראַץ	6.0	באַראַץ, דוד		
דוד בירנבוים	6.0	בירנבוים, דוד		
דוד לייכט	6.0	ליכט, דוד [דניאל פרענקל]		
די גערמאַנס	6.0			?
דיינע פיינמאַן	6.0	פֿיינמאַן, דיינע		?
הערי בערנשטיין	6.0			
הערמאַן פעניגשטיין	6.0			
הערץ גראָסבאַרד	6.0			
וויליאָם עדלין	6.0	עדלין, וויליאַם		
וויליאַם ראָלאַנד	6.0	ראָלאַנד, וויליאַם (וועלוול כאַסקין)		
וויעראַ ראָזאַנקאַ	6.0	ראָזאַנקאַ, וויעראַ [שרה ווינער]		
וויקטאָר הוגאָ	6.0			
וועלוול זבאַרזשער	6.0	זבאָרזשער, וועלוועל [בנימין וואָלף עהרענקראַנץ]		
חיים בענדל	6.0	בענדעל, חיים		
חיים-שמואל לוקאַטשער	6.0	לוקאַטשער חיים-שמואל		לוקאַטשער, חיים-שמואל
חנה אַפּעל	6.0	אַפּעל, אַננאַ [בערקאָוויטש]		לא בטוחה
חנה האָלענדער	6.0	האָלענדער, חנה [פינקענטאָל]		
יאָזעף עדעלשטיין	6.0	עדעלשטיין, יאָזעף (יוסף)		
יאָסעלע ראָזענבלאַט	6.0			
יהודה בלייך	6.0	בלייך, יהודה		
יוליאַ זאַנדבערג	6.0	זאַנדבערג, יוליאַ [טויבע-איטע ספּעקטאָר]		
יוליוס אָסקאַר	6.0	אָסקאַר יוליוס [אייזענבעט]		
יוסף גראָפּער	6.0	גראָפּער יוסף		
יוסף קאַמיען	6.0	קאַמיען, יוסף [אָסיאַ]		
יוסף שעהנגאָלד	6.0	שעהנגאָלד, יוסף		
יעטאַ בלאַק	6.0	בלאַק יעטאַ		
יעטאַ צווערלינג	6.0	צווערלינג, יעטאַ		
יעקב בלייכמאַן	6.0	בלייכמאַן, יעקב		
יעקב גלאַטשטיין	6.0	גאָלדשטיין, יעקב		
יעקב פּאַט	6.0			
יעקב פרעגער	6.0	פרעגער, יעקב		
יצחק פּערקאָף	6.0	פערקויף, איגנאין [יצחק]		לא בטוחה
לאָלאַ פּאַטראָני	6.0	פּאַטראָני, לאָלאַ		
ליזאַ איינהאָרן	6.0	איינהאָרן, ליזאַ		
לעאָן גאָלובאַק	6.0	גאָלובאַק, לעאָן		
לעאָן ראַבינאָוויטש	6.0	ראַבינאָוויטש, לעאָן [לייבל]		
לעאָניד אַנדרעעוו	6.0			
מאַקס קאַרפּ	6.0	קאַרפּ, מאַקס		
מאָריס בראון	6.0	בראון, מאָריס [מנחם-מענדל בראַנשטיין]		
מאָריס לאַמפּע	6.0	לאַמפּע, מאָריס		
מאָריס קראָנער	6.0			
מאָריץ זיגלער	6.0	זיגלער, מאָריץ [משה בעלזער]		
מאַרק לייפציקער	6.0	לייפּציקער, מאַרק		לייפּציקער מאַרק
מייקל מינץ	6.0	מינץ, מייקעל (מיכאל)		
מישע בודקין	6.0	בודקין, מישע		
משה דוד וואַקסמאַן	6.0	וואַקסמאַן, מאָריס [משה דוד]		
משה פּולאַווער	6.0			
משה קולבאַק	6.0			
משה קוסאָוויצקי	6.0			
נאַדיאַ נעראָסלאָווסקאַ	6.0			
נחמיה צוקער	6.0			
נפתלי גאָלדפאַדען	6.0	גאָלדפֿאַדען, נפתלי [גאָלדענפֿאָדים]		
סווען לאַנגע	6.0			
סעווערין צווערלינג	6.0			
סעמיועל ראָזענשטיין	6.0	ראָזענשטיין, סעמועל [שמואל]		
עמיל זאָלאַ	6.0			
עמיליע אַדלער	6.0	אַדלער עמיליע [שרה-מילקע שטאָנג]		
עמנואל טשיזשיק	6.0	טשיזשיק, עמנוּאל		
פּ פֿרידמאַן	6.0	פֿרידמאַן, [?]		פֿרידמאַן, פֿייוועלע
פּאָול מוני	6.0			
פּיניע מינקאָווסקי	6.0			
פרענציס אַדלער	6.0	אַדלער פֿרענציס		
