decision	composite_score	band	name_score	a_heading	b_heading	a_xml_id	b_xml_id	a_volume	b_volume	same_volume	a_gender	b_gender	a_db_id	b_db_id	db_agreement	source
	1.0	high	1.0	גראָדזענסקי, אהרן-יצחק	גראָדזענסקי, אהרן יצחק	facs_269_tr_1741260229	facs_331_tr_1739222376	1	5	0		Male		1908	0	heading
	1.0	high	1.0	ליבגאָלד, באַסיע	ליבגאַלד זלמן	facs_271_tr_1739221089	facs_271_tr_1739221094	5	5	1		Male		2292	0	heading
	1.0	high	1.0	גרימינגער אשר	גרימינגער אשר	facs_281_r_7	facs_355_tr_1739221112	1	5	0	Male	Male	1899	1899	1	heading
	1.0	high	1.0	מענדעלעוויטש, דוד	מענדעלעוויטש, דוד	facs_292_tr_1744280734	facs_568_tr_1739221639	2	5	0	Male	Male	2441	2441	1	heading
	1.0	high	1.0	מעסטעל, מאיר	מעסטעל, מאיר	facs_296_r	facs_112_tr_1733832830	2	5	0	Male	Male	984	984	1	heading
	1.0	high	1.0	דעססער, עמאַנועל	דעססער עמאַנועל	facs_300_tr_1741260426	facs_171_tr_1736588917	1	5	0	Male	Male	1488	1488	1	heading
	1.0	high	1.0	נאַאומאָוו, שלמה [זאַסלאַווסקי]	נאַאומאָוו, שלמה	facs_300_tr_1744280756	facs_588_tr_1739222289	2	5	0	Male	Male	2549	2549	1	heading
	1.0	high	1.0	קאָמינסקי, אַסתר-רחל [האַלפערן]	"„ליטעראַרישע טרופּע""."	facs_300_tr_1747928891	facs_327_tr_1747930566	6	6	1			3610		0	heading
	1.0	high	1.0	דרייבלאַט, פאולאַ [פּערל שנייער]	דרייבלאט פאַולאַ (פּערל שנייער]	facs_301_tr_1741260457	facs_210_tr_1739220933	1	5	0	Female	Female	1521	1521	1	heading
	1.0	high	1.0	נאַטאַן, נעמי [לעווענטאַל]	נאַטאַן, נעמי [לעווענטאַל]	facs_307_tr_1744365737	facs_254_r_2	2	5	0	Female	Female	2541	2541	1	heading
	1.0	high	1.0	נייהויז, וואָלף	נייהוייז, וואָלף	facs_317_r_3	facs_112_tr_1733832831	2	5	0	Male	Male	2558	2558	1	heading
	1.0	high	1.0	סאַמבערג, אַ. [יצחק-אייזיק סאַמבאָרעק]	סאַמבערג, א. [יצחק-אייזיק סאָמבאָרק]	facs_327_tr_1744365756	facs_485_r	2	5	0	Male	Male	2824	2824	1	heading
	1.0	high	1.0	הערשעלע [הערשעלע דאָניעלעוויטש]	הערשעלע [הערש דאַנילעוויטש]	facs_335_r_6	facs_250_tr_1739221688	1	5	0	Male	Male	1988	1988	1	heading
	1.0	high	1.0	הערשקאָוויטש, מלך	הערשקאָוויטש, מלך	facs_335_tr_1741260409	facs_88_tr_1733059455	1	5	0	Male	Male	1990	1990	1	heading
	1.0	high	1.0	וואולמאַן, שמואל	וואולמאַן, שמואל	facs_338_tr_1741260416	facs_557_tr_1739222013	1	5	0	Male	Male	3196	3196	1	heading
	1.0	high	1.0	סוריץ, משה	סוריץ, משה	facs_338_tr_1744365805	facs_152_tr_1735651764	2	5	0	Male	Male	3038	3038	1	heading
	1.0	high	1.0	וואָלדבערג, יצחק	וואַלדבערג, יצחק	facs_339_tr_1741260401	facs_187_tr_1736589011	1	5	0	Male	Male	3140	3140	1	heading
	1.0	high	1.0	סטאַוו, לעאָן [הערבסט]	סטאַוו, ליאָנעק [לייבעלע הערבסט]	facs_339_tr_1744365747	facs_167_tr_1735652645	2	5	0	Male	Male	3023	3023	1	heading
	1.0	high	1.0	סיגאַל בן-ציון	סיגאַל, בן-ציון	facs_343_r_5	facs_169_tr_1735652581	2	5	0	Male	Male	2871	2871	1	heading
	1.0	high	1.0	ווידרעוויטש, מ. ד	ווידרעוויטש, משה דוד	facs_350_tr_1741260471	facs_367_tr_1739222551	1	5	0	Male	Male	3181	3181	1	heading
	1.0	high	1.0	וויטאָלין, פֿרידאָ [לאַפּין]	וויטאַליין פֿרידע [שימעליסקא, לאַפין]	facs_351_tr_1741260423	facs_57_tr_1733050594	1	5	0	Female		3188		0	heading
	1.0	high	1.0	וויינבערג, הערי [אהרן]	וויינבערג, הערי [אהרן]	facs_356_tr_1741260406	facs_607_tr_1747930558	1	6	0	Male	Male	3214	3214	1	heading
	1.0	high	1.0	סיעראָצקאַ, מאלווינאַ [קאָמפּאַניעעץ]	סיעראָצקאַ, מאַלווינאַ [קאמפאנעעץ]	facs_356_tr_1744365739	facs_352_r_3	2	5	0	Female	Female	2966	2966	1	heading
	1.0	high	1.0	וויינבערג, הערמאַן	וויינבערג, הערמאַן	facs_357_r_10	facs_182_tr_1736589054	1	5	0	Male	Male	3215	3215	1	heading
	1.0	high	1.0	וויינבערג, משה	וויינבערג, משה	facs_357_r_19	facs_183_tr_1736588995	1	5	0	Male	Male	3217	3217	1	heading
	1.0	high	1.0	וויינגאָלד שלמה [ספּירידיאָן וואָיקאַ]	וויינטרויב-גראַף, לאה	facs_358_tr_1741260405	facs_178_tr_1736588957	1	5	0		Male		1050	0	heading
