mention	occurrences	as_heading	alternative_heading	notes
שלום-עליכם	239.0	שלום-עליכם [שלום ראַבינאָוויטש]		
גאָרדין	164.0	גאָרדין, יעקב		
טאָמאַשעווסקי	153.0	טאָמאַשעוו[פ]סקי, באָריס [ברוך-אהרן]	טאָמאַשעווסקי, בעסי [ברכה באומפעלד-קויפמאַן]	לבדוק מקרים שבהם נראה שמדובר באישה
אַדלער	144.0			יש יותר מדי אפשרויות
גאָלדפֿאַדען	116.0	גאָלדפֿאַדען, אַברהם [גאָלדענפֿאָדים]	גאָלדפֿאַדען, נפתלי [גאָלדענפֿאָדים]	
פישזאָן	110.0	פישזאָן, אַברהם	פישזאָן, מישאַ [משה כאָסידמאַן]	
גאָלדפאַדען	100.0			למזג עם גאָלדפֿאַדען
קאַמינסקי	85.0	קאַמינסקאַ רעגינאַ	קאַמינסקי, אַברהם יצחק	
מאָגולעסקאָ	83.0	מאָגולעסקאָ, זיגמונט [זעלייג מאָגילעווסקי]		
קעסלער	81.0	קעסלער יאָזעף	קעסלער, דוד	
לאַטיינער	76.0	לאַטיינער יאָזעף		
פרץ	71.0	פרץ, יצחק לייבוש		?
זאַנדבערג	70.0	זאַנדבערג, יוליאַ [טויבע-איטע ספּעקטאָר]	זאַנדבערג, יצחק	יש 2 פעמים זרַנדבערג משה
גימפּעל	67.0	גימפּעל, אַדאָלף	יאָלעס-גימפּעל, מאַלווינאַ	
סאָבסיי	67.0	סאָבסיי דוד-משה		
אַש	62.0	אַש, חיהלע	אַש, שלום	
ספּיוואַקאָווסקי	61.0	ספּיוואַקאָווסקי, יעקב		
שוואַרץ	60.0			יש יותר מדי אפשרויות - 9 אפשרויות
קאָמפּאַנעיעץ	57.0	קאָמפּאַנעיעץ, מאַקס [מרדכי, מאָטעק]	קאָמפּאַנעעץ, ישראל	
הירשביין	56.0	הירשביין-טרופּע	הירשביין, פרץ	
"שמ""ר-שייקעוויטש"	53.0	"שמ""ר [שייקעוויטש. נחום מאיר]"		
גליקמאַן	52.0	גליקמאַן, אַסתר	גליקמאַן, יעקב	יש יותר מדי אפשרויות - 8 אפשרויות
מאָשקאָוויטש	51.0	מאָשקאָוויטש משה	מאָשקאָוויטש, איטשע מאיר	יש יותר מדי אפשרויות - 8 אפשרויות
גענפער	49.0	גענפֿער סאָלאָמאָן		
אַנ-סקי	48.0	אַנ-סקי ש. [שלמה-זאַנוול ראַפּאָפּאָרט]		
אַקסעלראָד	48.0	אַקסעלראָד מאָריס [מאיר]		יש יותר מדי אפשרויות - 8 אפשרויות
געביל	48.0	געביל, הערי	געביל, מאַקס [מנחם-מענדעל, נחום]	
