a_xml_id	b_xml_id	verdict	reason	a_db_id	b_db_id	a_heading	b_heading
facs_102_r_9	facs_251_tr_1747928968	different	db_contradiction	1000	1679	בלאַנק לעאָן	פרענק, ע[זריאל]-נ[תן] [געב. 1863 — געשט. 1 פעברואר 1924]
facs_102_r_9	facs_262_tr_1747928892	different	db_contradiction	1000	767	בלאַנק לעאָן	וואָלף פרענק
facs_102_r_9	facs_279_tr_1754998499	different	db_contradiction	1000	975	בלאַנק לעאָן	קאָברין, לעאָן
facs_102_r_9	facs_291_tr_1741260447	different	db_contradiction	1000	902	בלאַנק לעאָן	דזשייקאָבס, דזשייקאָב [יעקב יאָקובאָוויטש]
facs_102_r_9	facs_328_tr_1754998393	different	db_contradiction	1000	2164	בלאַנק לעאָן	קרישטאָל, לעאָן [לייב]
facs_102_r_9	facs_351_tr_1741260418	different	db_contradiction	1000	3240	בלאַנק לעאָן	וויזענפעלד לעאָן
facs_102_r_9	facs_357_tr_1754998567	different	db_contradiction	1000	2174	בלאַנק לעאָן	קוסמאַן, לעאָן
facs_102_r_9	facs_376_tr_1744366815	different	db_contradiction	1000	781	בלאַנק לעאָן	ספעקטאָר לעאָן
facs_102_r_9	facs_395_r_6	different	db_contradiction	1000	3360	בלאַנק לעאָן	זבאָרזשער, וועלוועל [בנימין וואָלף עהרענקראַנץ]
facs_102_r_9	facs_417_tr_1747930464	different	db_contradiction	1000	2170	בלאַנק לעאָן	קופּערמאַן, לעאָן (ישעיה-אַריה)
facs_102_r_9	facs_432_tr_1747930458	different	db_contradiction	1000	3795	בלאַנק לעאָן	שוואַרצער בנימין
facs_102_r_9	facs_509_tr_1739221079	different	db_contradiction	1000	3548	בלאַנק לעאָן	קאַצענעלסאָן, יצחק[-יחיאָל]
facs_102_r_9	facs_642_tr_1747930358	different	db_contradiction	1000	2845	בלאַנק לעאָן	שעכטער לעאָן
facs_102_r_9	facs_70_tr_1747746125	different	db_contradiction	1000	744	בלאַנק לעאָן	פרענק, יעקב
facs_102_r_9	facs_72_r_13	different	db_contradiction	1000	1680	בלאַנק לעאָן	פרענק נייטאַן [נפתלי]
