mention	occurrences	as_heading	alternative_heading	notes
מ. ראַפֿאַלסקי	5.0			
ס. קופּערמאַן	5.0	סעמועל קופּערמאַן		
ש. מענדעלסאָן	5.0			
א. אַזרא	4.0			
א. גיטלין	4.0			
א. גלאַנץ-לעיעלעס	4.0	לעיעלעס, א. [אַהרן גלאַנץ]		
א. לוצקי	4.0	אונדזערע בויער		
א. שטיין	4.0	שטיין, אַדאָלף (אַברהם)		
אַל. שטיין	4.0	שטיין, אַליאָשאַ [אליהו]		
בּ. א. קלעצקין	4.0			
ב. וויינשטיין	4.0	וויינשטיין, בערנאַרד		
ב. צ. גאָלדבערג	4.0			
ב. שאַפֿיר	4.0			
ב. שימין	4.0			
דר. יוסף לוריאַ	4.0			
ה. יעדוואָב	4.0	יעדוואַבּ, הערש		
ה. עפּלבערג	4.0			
ה. עפּפעלבערג	4.0			
ה. פיינשטיין	4.0			
ה. רויזענבלאַט	4.0			
ז. וויינטרויב	4.0	וויינטרויב, זיגמונט		
י. אַדלער	4.0	אַדלער, ישראל	אַדלער, יוליוס	אדלער יעקב
י. בערטאַנאָוו	4.0			
י. ל. כהן	4.0			
י. ענטין	4.0	ענטין, יואל		
י. ק. פּאָזנאַנסקי	4.0			
י. קירשענבוים	4.0	קירשענבוים, יעקב		
י. רומשינסקי	4.0	רומשינסקי, יוסף [רומשיסקי]		
ל. סניעגאָוו	4.0	סניעגאָוו, לעאָניד [יהודה-לייב גאָלדשטיין]		
ל. ראַפּעל	4.0	ראַפּעל, לייזער		
מ. געבירטיג	4.0	געבירטיג, מרדכי		
מ. ווייכערט	4.0	ווייכערט, מיכאל, דר.		
מ. ווילענסקי	4.0	ווילענסקי, מייקל [מיכאל]	ווילענסקי, מערי [מרים קאַץ]	
מ. ליפּמאַן	4.0	ליפּמאַן, משה		
מ. מיכאָעלס	4.0	מיכאָעלס, ס. מ. [שלמה וואַפּסי]		
מ. מילנער	4.0	מילנער, מוישע		
מ. נודעלמאַן	4.0			
מ. סאַקס	4.0	סאַקס, מיכאַאיל [סאַדייגורסקי]		
מ. ספּעקטאָר	4.0			
נ. ליפּאָווסקי	4.0	ליפּאָווסקי, נחוּם		
ס. קרויזע	4.0	קרויזע, שלמה		
פ. לאַסקאָווסקי	4.0	לאַסקאָווסקי, פיליפּ		
צ. ה. רובינשטיין	4.0	רובינשטיין, צבי-הירש		
ר. מאַזין	4.0			
ש. זאַמד	4.0			
א. עלשטיין	3.0	עלשטיין אַברהם		
א. קאַרטאָזשינסקי	3.0	קאַרטאָזשינסקי, אָסקאַר [אשר]		
א. קופּרין	3.0			
א. ר. מלאַכי	3.0			
א. שאָמער	3.0	שאָמער אַברהם		
א. שוואַרץ	3.0	שוואַרץ, אַדעלאַ [פינקעלשטיין]		
אַל. גראַנאַך	3.0	גראַנאַך, אַלעקסאַנדער		
ב. אַראַנסאָן	3.0	אַראָנסאָן, כרוך		
ב. מאַרק	3.0			
ב. פענסטער	3.0			
ב. צעגראָווסקי	3.0			
ב. ריווקין	3.0			
ב. שטיימאַן	3.0			
דר. גרשון לעווין	3.0			
דר. י. שאָצקי	3.0	שאצקי, יעקב, דר.		
וו. איוואַנאָוו	3.0			
וו. גאָדיק	3.0	גאָדיק, וולאַדיסלאַוו		
וו. קאַטאַיעוו	3.0			
ז. וויינפּער	3.0	וויינפּער, ז. [זישע וויינפּערליך]		
ז. ליבינס	3.0	ליבּין, ז. [ישראל-זלמן הוּרוויטש]		
ח. בזשאַזא	3.0			
ט. ביילין	3.0			
טש. גראָל	3.0	גראָלל, טשאַרלס וו.		
י. באַטאַשאַנסקי	3.0			
י. בוים	3.0	בוים יחיאָל		
י. י. טרונק	3.0			
י. יאָש	3.0	יאַנקאָ יאַשאַ [מעיטעס]		
י. יולין	3.0			
י. ל. פרעס	3.0			
י. מעסטעל	3.0	מעסטעל, יעקב		
י. ספּיוואַקאָווסקי	3.0			
י. עדעלשטיין	3.0	עדעלשטיין, יאָזעף (יוסף)		
י. פישמאַן	3.0	בעלאַ און יעקב פישמאַן		
י. קאָטלער	3.0	קאָטלער יאָסל		
י. ראַבינאָוויטש	3.0	ראַבינאָוויטש, ישראל		
י. ראַפּאָפּאָרט	3.0			
ל. אַנדרעעוו	3.0			
מ. ב. סאַמואילאָוו	3.0	סאַמואילאָוו, משה-בער		
מ. גאָלדבערג	3.0	גאָלדבערג, מאָריס	גאָלדבערג, מיכל	גאלדבערג מוישלע
מ. גנעסין	3.0			
מ. גערשענסאָן	3.0	גערשענזאָן, משה		
מ. דלוזשנאָווסקי	3.0	דלוזשנאָווסקי, משה		
מ. ווינטשעווסקי	3.0	ווינטשעווסקי, מאָריס [בנציון נאָוואָכאָוויטש]		
מ. זיגלער	3.0	זיגלער, מאָריץ [משה בעלזער]		
מ. חיימאָוויטש	3.0	היינע-חיימאָוויטש, משה		
מ. מאַזאָ	3.0	מאז'ה, (מאַזאָ) מרדכי		
מ. נאָדעלמאַן	3.0			
מ. נאָרוויד	3.0	נאָרווייד מאָריץ [טרעפלער]		
מ. ע.	3.0			מונדליך ערהאלטן - לא שם אדם! (לבדוק איך נכנס לערך)
מ. עפּשטיין	3.0			
מ. פּערענסאָן	3.0	פּערענסאָן, משה		
מ. קייטאָי	3.0	קיטאָי, משה-מיכאל		
מ. שניאור	3.0	שניאור, מ.		
נ. ב. לינדער	3.0	לינדער, נ. בּ. [נתן בּלינדער]		
נ. מייזיל	3.0	מייזיל, נחמן		
ס. ראָזענשטיין	3.0	ראָזענשטיין, סעמועל [שמואל]		
פּראָפ. האָרוויץ	3.0	הורוויץ, [האָרוויץ - הורוויטש] משה איש הלוי פּראָפעסאָר		
ר. גראַנאָווסקי	3.0			
ש. גאָלדפֿאַרב	3.0			
ש. האָלקין	3.0			
ש. י. דאָרפזאָן	3.0	דאָרפזאָן, ש.י. [שמואל-יעקב האַרענדאָרף]		
ש. לאַנדוי	3.0	לאַנדוי- [לאַנדאָ] קלעקוי שמואל		
ש. פריזאַמענט	3.0	פריזאַמענט, שלמה		
ש. ראָזענפעלד	3.0			
א. אַבראַמסאָן	2.0	אַבראַמסאָן, אייוואָן		
א. אַלמי	2.0	אלמי, א. [אליהו חיים שעפּס]		
א. אָרליוק (אַזראַ)	2.0		אָרליוק, שמעון	
א. בוקשטיין	2.0	בוקשטיין, אַברהם		
א. ג. קאָמפּאַנעיעץ	2.0			
א. גאָלדבערג	2.0			
א. גאָלדפאַדען	2.0	געצייכנט פון אברהם גאָלדפאַדען		
א. דיקי	2.0	דיק, אייזיק (יצחק) מאיר		
א. האָלדעס	2.0			
א. וו. בינדער	2.0			
א. וויעוויאָרקאַ	2.0			
א. זאַלאַטאָרעווסקי	2.0			
א. טייטעלבוים	2.0	טייטעלבוים, אַברהם (=שלום, סעם)		
א. טשערטאָוו	2.0	טשערטאָוו, אַלעקס		
א. י. פּאַפּירנאַ	2.0	פאַפּירנאַ, אַברהם-יעקב		
א. ל. וואָלפסאָהן	2.0	וואָלפסזאָהן האָללע, אהרן		
א. ל. יאַקובאָוויטש	2.0	יאַקובּאָוויטש א. ל.		
א. מ. ווייסענבערג	2.0	ווייסענבּערג, יצחק-מאיר		
א. מ. פוקס	2.0			
א. מ. שאַרקאַנסקי	2.0	שאַרקאַנסקי, אַברהם מיכל		
א. מוקדוני	2.0	מוקדוני, א. דר. [אַלכסנדר קאַפּעל)		
א. מידע	2.0	מידע, אַדאָלף (אַברהם)		
א. סעגאָל	2.0			
א. פֿויגל	2.0			
א. פּערלמוטער	2.0		פערלמוטער, מרדכי	
א. קאַציזנע	2.0	קאַציזנע, אַלטער (שלום)		
א. קושניראָוו	2.0			
א. ר. קאַמינסקאַ	2.0	קאַמינסקאַ רעגינאַ		
א. ר. קאַמינסקי	2.0	קאַמינסקי, אַברהם יצחק		
אָב. קאָגוט	2.0	קאָגוט, אייב		
אַל. דיומאַ	2.0			
אַל. העריס	2.0	העריס, אַל.		
ב. בערדיטשעווסקי	2.0	בערדיטשעווסקי, כן-ציון [בערדיטשעווער]		
ב. האָרט	2.0	האַרט, בערטאָ [מאַהלער]		
ב. ווילענסקי	2.0	ווילענסקי, בערנאַרד		
ב. וולאַדעק	2.0	וולאַדעק, ב. [ברוך-נחמן טשאָרני]		
ב. זוסקין	2.0	זוסקין, בנימין		
