mention	occurrences	as_heading	alternative_heading	notes
א. ד. קאמינסקי	1.0		קאַמינסקי, אַברהם יצחק	
א. דאָווידי	1.0			
א. דאיסאַ	1.0			
א. דאָמב	1.0	דאָמב, אַדאם		
א. דיומאַ (פאָטער)	1.0			
א. דיסציעפּאָלאָ	1.0			
א. ה. וואודס	1.0			
א. האָלענדער	1.0	האָלענדער, איזידאָר		
א. האַלפּערן	1.0	האַלפּערן, אַברהם		
א. האָרקאָווי	1.0			
א. הירשין	1.0			
א. וו. בידערמאַן	1.0	בידערמאַן, איטשע וו.		
א. וואָלמאַן	1.0			
א. וואָסערמאַן	1.0			
א. וויעוואָרקע	1.0			
א. וועוויאָרקאַ	1.0			
א. ז. יאַריכאָווסקי	1.0	יאַריכאָווסקי, אַליהו-זלמן		
א. זעלדין	1.0	זעלדין, אַלעקסאַנדער		
א. זעלצער [איינהאָרן]	1.0	איינהאָרן, אהרן		
א. טאָנענבוים	1.0			
א. טאַנצמאַן	1.0	טאַנצמאַן, אַברהם-יצחק		
א. טאָרטשינער	1.0			
א. טייטלבוים	1.0	טייטעלבוים, אַברהם (=שלום, סעם)		
א. טענענהאָלץ	1.0	טענענהאָלץ, אליהוּ		
א. טערעס	1.0			
א. טראַכטענבערג	1.0			
א. טרילינג	1.0	טרילינג, איליאַ (סימאָן)		
א. טשערטקאָוו	1.0		טשערטאָוו, אַלעקס	
א. י. גאָלדשמידט	1.0			
א. י. גראָדזענסקי	1.0	גראָדזענסקי, אהרן-יצחק	גראָדזענסקי, אהרן יצחק	
א. י. דזשימיטראָווסקי	1.0			
א. י. מאַנסדאָרף	1.0	מאַנסדאָרף, אַברהם-יעקב [קעלמאָוויטש]		
א. י. פּאָפּערנאָ	1.0	פאַפּירנאַ, אַברהם-יעקב		
א. י. שפּיראָ	1.0			
א. יאָמפּאָלסקי	1.0			
א. יעזערסקי	1.0			
א. כ. אַווין	1.0			
א. כהן	1.0			
א. ל. מיראָליובאָוו	1.0			
א. לאַנגמאַן	1.0			
א. לובין	1.0			
א. לובעצקי	1.0	ליבערט-לובאָצקי, אָליא		
א. ליטוואקן	1.0	ליטוואַק אייזיק (יצחק)		
א. ליכטענשטיין	1.0			
א. ליעסין	1.0			
א. ליפינסקי	1.0	ליפּינסקי, (ווייצמאַן) אַנקאַ		
א. לעווין	1.0	לעווין, אַברהם	לעווין, אַברהם,	
א. לעווענשטיין	1.0	לעווענשטיין, איזידאָר (אַפֿרים-יצחק)		
א. לעיעלעס-גלאַנץ	1.0	לעיעלעס, א. [אַהרן גלאַנץ]		
א. מ. בערנשטיין	1.0			
א. מ. בראָדסקי	1.0	בראָדסקי, אהרן		
א. מ. דיק	1.0	דיק, אייזיק (יצחק) מאיר		
א. מ. זשיטאָמירסקי	1.0	זשיטאָמירסקי, [?]		
א. מ. סואַוואָרין	1.0			
א. מ. קליין	1.0	קליין, מיכאל		
א. מאַנגער	1.0			
א. מאַרגאָלין	1.0	מאַרגאָלין, א. דר.		
א. מאַריער	1.0			
א. מייטוס	1.0	דראַנאָוו, נאַדיאַ [גנעסיע מייטוס]		
א. מעסקין	1.0			
א. נאַגער	1.0	נאַגער אהרן		
א. ניגון	1.0			
א. ס-סלאָוו	1.0			
א. ס. ליריק	1.0			
א. ס. לענסקי	1.0			
א. סטעפּאַנאָוו	1.0			
א. סטרינדבערג	1.0			
א. סיגאָל	1.0	סיגאָל, א.		
א. סלאָבאָדסקי	1.0			
א. סלעפּס	1.0			
א. עדעלשטיין	1.0			
א. פ.	1.0	נוגער, א. פ.		
א. פּאָמעראַנץ	1.0			
א. פּאָפּראָצקי	1.0			
א. פֿאַקס	1.0			
א. פוקס	1.0			
א. פֿינקעלשטיין	1.0			
א. פעלינג	1.0			
א. פעפער	1.0	אַשכנדי צילע [פעפער]		
א. פּעקער	1.0	פעקער וויקטאָר (אביגדור)		
א. פֿרידמאַן	1.0	פרידמאַן, אַלבערט [וועלוול-אַלטער]		
א. פֿרידקין	1.0			
א. צ. אידעלסאָן	1.0			
א. צווייג	1.0			
א. צעדערבוים	1.0	לילית, אָליאַ [לאָליאַ צעדערבוים]		
א. ק. ליאַדאָוו	1.0			
א. קאַלאַדני	1.0			
א. קאָצער	1.0			
א. קויפמאַן	1.0			
א. קורץ	1.0	קורץ, אַברהם		
א. קושטשינסקי	1.0			
א. קירזשניץ	1.0			
א. קריין	1.0			
א. ר. קוגעל	1.0			
א. ראַבינאָוויטש	1.0	ראַבינאָוויטש, אַברהם		
א. ראָזענבלום	1.0	ראָזענבלום אַדאָלף [אהרן]		
א. ראָזענפעלד	1.0	באָנטשע [אַברהם ראָזענפעלד]		
א. ריבאַק	1.0	ריבאַק, [?]		
א. רייזען	1.0	רייזען, אַברהם		
א. ש. זאַקס	1.0			
א. ש. יוריס	1.0			
א. ש. שטיין	1.0	שטיין, אַדאָלף (אַברהם)		
א. ש. שקאָלניקאָוו	1.0			
א. שטיינבאַך	1.0			
א. שטיינבוך	1.0			
א. שיינפעלד	1.0			
א. שניצלער	1.0			
א. שפּיגעלבלאַט	1.0			
א. שקאָלניקאָוו	1.0			
א. שראַגע	1.0	שראַגע, אַדאָלף [נפתלי-יהושע]		
א. שרייבמאַן	1.0			
אב. גאָלדבערג	1.0	גאָלדבערג, אַברהם		
אב. עלשטיין	1.0	עלשטיין אַברהם		
אב. קאַהאַנס	1.0	קאַהאַן, אב [רהם]		
אַדאָלף ס. אַקס	1.0			
או. פֿינקעל	1.0			
אוירווין ה. פענן	1.0			
אָטאָ ה. קאָהן	1.0			
אי. ס. מאָסקווין	1.0			
אי. קאַראָ	1.0			
אינזש. גוכמאַן	1.0			
אינזש. מאָריץ ברענער	1.0			
אַל. ביסאָן	1.0			
אל. גליקמאַן	1.0			
אַל. דזשאָלסאָן	1.0			
אַל. הערים	1.0	העריס, אַל.		
אַלבערט ע. קאַהן	1.0			
אליעזר בלום (ב. אַלקוויט)	1.0			
אַננאַ ק. פינסקי	1.0			
ב. אַבעלמאַן	1.0	אַבּעלמאַן, בעני [ברוך-משה]	גליקמאַן, עליאַס	
ב. אַבראַמאָוויטש	1.0	אַבראַמאָוויטש, בינע [פוקס]		
ב. באָריסאָוו	1.0	באָריסאָוו, בערל (העקער)		
ב. בענאָווענטאָ	1.0			
ב. בעקער	1.0			
ב. בעקערמאַן	1.0	בעקערמאַן, בעריש		
ב. בערנהאָלץ	1.0			
ב. בערקאָוויץ	1.0			
ב. גאָלדשטיין	1.0	גאָלדשטיין, בעקי [מלכה רבקה ראָזענבערג]	גאָלדשטיין, ב. י. [ברוך]	
ב. גוטמאַן	1.0	גוטמאַן, [?]		
ב. גליעבאָוו	1.0			
ב. גערשמאַן	1.0			
ב. גראובאַרט	1.0			
ב. גראנאָווסקי	1.0			
ב. ד. טשעכאָנאָווסקי	1.0			
ב. דעמבלין	1.0			
ב. האָרטן	1.0			
ב. וואָלקענשטיין	1.0			
ב. וואַסילעווסקי	1.0			
ב. וויערניק	1.0	וויערניק, בתיה		
ב. ווערשילאוו	1.0			
ב. זיידמאַן	1.0	זיידמאַן, בּעני		
ב. טורש	1.0	טורש, ב.		
ב. טייך	1.0			
ב. י. ווערשילאָוו	1.0			
ב. יאושזאָן	1.0	יאָנג, בערנאַרד [בועז יונגוויץ]		
ב. יאָנג	1.0	יאָנג, בערנאַרד [בועז יונגוויץ]		
ב. כירגע	1.0			
ב. לידין	1.0	לידין, ב. [אַליהו-ברוך ליוועראַנט]	לידין, בּ. [אליהו-ברוך ליוועראַנט]	
ב. לעוויטאָן	1.0			
ב. מ. סושקעוויטש	1.0			
ב. מאַזאַר	1.0			
ב. מאַזיאַנסקי	1.0			
ב. מייעראָוויטש (דאַניעל)	1.0	עפּעלבוים ב. (מנחם-בעריש)		
ב. מרדכי	1.0	ביעראָזקין, מרדכי		
ב. ניקאָלאַיעווסקי	1.0			
ב. עבעל	1.0			
ב. עלווינג	1.0	עלווינג, בערנאָרד		
ב. עמעס	1.0			
ב. עפּלבויים	1.0	עפּעלבוים ב. (מנחם-בעריש)		
ב. עפּעלבוים	1.0	עפּעלבוים ב. (מנחם-בעריש)		
ב. עפּעלבויםס	1.0	עפּעלבוים ב. (מנחם-בעריש)		
ב. פּאַלעפּאַדע	1.0	פּאָליפּאַדע, בן-ציון		
ב. פֿייגענבוים	1.0			
ב. פֿיינמאַן	1.0	בעלאַ פֿיינמאַן		לבדוק
ב. קאָפּערמאַן	1.0			
ב. קארנליוס	1.0			
ב. קראַטקאָ	1.0	קראַטקאַ, שמעון-בער		
ב. ר. שטראָסבורג	1.0			
ב. ראָזעו	1.0			
ב. ראָזען	1.0			
ב. שאָו	1.0			
ב. שטיימאַנס	1.0			
ב. שטיפט	1.0		שטיפט, הערמאַן (הירש-פּרץ)	
ב. שיף	1.0		שיף דזשייקאָב ר.	
בנימין ל. שראַגע	1.0			
בעסי פֿ. ווייט	1.0		ווייסמאַן, בעסי	
בעסיע פ. ווהייט	1.0			
בערנאַרד י. זינגער	1.0			
בר. ראָזענהעק	1.0			
ג. אַבראַמסקי	1.0	אַבראַמסקי, ג.		
ג. באָדער	1.0	באַדער גרשם		
ג. בזשאָזאַ	1.0			
ג. בעקער	1.0			
ג. גאַנגעס	1.0			
ג. גרינשטיין	1.0			
ג. הויפּטמאַן	1.0			
ג. זעליקאָוויטש	1.0			
ג. טולער	1.0		טוללער, דזשאָדזש [זלמן טאָלער]	
ג. טימאָרי	1.0			
ג. טשערניאָק	1.0			
ג. ידד	1.0			
ג. ליוריס	1.0			
ג. סאַנדלער	1.0			
ג. סאָפּאָזשניקאָוו	1.0			
ג. קופער	1.0			
ג. קופּער (י. י. זינגער)	1.0			
גראָווער א. בראָווער	1.0			
גראָף ל. טאָלסטאָי	1.0			
גראַף ל. נ. טאָלסטאָי	1.0			
ד. בייגעלמאַן	1.0	בייגעלמאַן, דוד		
ד. בלומענפעלד	1.0	בלומענפעלד טורקאָוו, דיאַנאַ		
ד. גרינבערג	1.0	גרינבערג, דוד		
ד. דאנלי	1.0			
ד. האָפענונג	1.0			
ד. היידעמאַקו	1.0			
ד. וואָלקענשטיין	1.0	וואָלקענשטיין, דוד		
ד. זילבערג	1.0	וואָלקענשטיין, דוד		
ד. לעדערמאַן	1.0			
ד. מ. הערמאָלין	1.0	הערמאָלין, דוד-משה		
ד. מייעראָוויטש	1.0	מייעראָוויטש, דוד		
ד. מילער	1.0	מילער דזשעימז אַלבערט		
ד. מערשקאָווסקי	1.0			
ד. פֿאַקעל	1.0	פאַקעל, דאָראַ (דבורה)		
ד. פּאָרטנאָי	1.0			
ד. פינסקי	1.0			
ד. פלאָט	1.0			
ד. שוואַרצבאַרט	1.0	שוואַרצבאַרד דוד		
"ד""ר ח. שאָשקעס"	1.0			
"ד""ר י. אויסטריאָק"	1.0			
"ד""ר צ. שאַבאַד"	1.0			
"ד""ר. אַרנאָלד קירשבראַון"	1.0			
דאָקטור א. מאַרקאָוו	1.0	מאַרקאָוו, א. דר.		
דווייט ד. אייזענהויער	1.0			
דוש. גאָו	1.0			
דז. קעסלער	1.0	קעסלער יאָזעף		
דזש. גרינפעלד	1.0	גרינפעלד, דזשין [יעקב]		
דזש. לאַנג	1.0			
דזש. פֿיינבערג	1.0			
דזשאָזעף דזש. גרין	1.0			
דזשאָן פ. קענעדי	1.0			wikidata? check
דזשוליוס ב. ריינעס	1.0			
דזשעימז ר. האָפא	1.0			
דיר. דימאַרסקי	1.0			
דיר. ניקלאָס	1.0			
דר. א. מוקדונ	1.0	מוקדוני, א. דר. [אַלכסנדר קאַפּעל)		
דר. א. קליינמאַן	1.0			
דר. אַברהם מאַרגאָלין	1.0	מאַרגאָלין, א. דר.		
דר. אַדלער	1.0			
דר. אדלער-כהן	1.0			
דר. אַווינאָוויצקי	1.0			
דר. אָטאָ שוירן	1.0			
דר. איידאַ באַדאַנעס	1.0	באַדאַנעס איידא, דר.		
דר. אַלעקסאַנדער ראָווינסקי	1.0			
דר. אַלפרעד לאַנדוי	1.0			
דר. אַלקאַלי	1.0			
דר. אָלשוואַנגער	1.0			
דר. אַנדרעעוו	1.0			
דר. אָנזעלם קליינמאַן	1.0			
דר. אַשר האַלפּערן	1.0			
דר. ב. ליבער	1.0	ליבּער, בּנציון דר.		
דר. ב. צפּור	1.0	צפּור, י. ב. ד'ר [יצחק שטערקמאַן]		
דר. בידערמאַן	1.0			
דר. בלאָך	1.0			
דר. בנציון ליבער	1.0	ליבּער, בּנציון דר.		
דר. בעק	1.0			
דר. בערנאָרד קאָרן	1.0			
דר. בערנאַרד קויפמאַן	1.0			
דר. בערנהאָרד וואַכשטיין	1.0			
דר. בּרוידעס	1.0			
דר. בריזמאַן	1.0			
דר. ברעסלוי	1.0			
דר. גאָטליב	1.0			
דר. גאַטליבן	1.0			
דר. גאָלדנקנאָפּ	1.0	גאָלדקנאָפּ, אַברהם דר.		
דר. גאַסטער	1.0			
דר. גימפּעל	1.0			
דר. גראַף	1.0			
דר. גריגאָרי בערמאַן	1.0			
דר. גרינשטיין	1.0			
דר. דאַנציגער	1.0			
דר. דזשייקאָבסאָן	1.0			
דר. ה. זאָלאָטאָראָוו	1.0	זאָלאָטאראָוו, הלל דר.		
דר. הורוויץ	1.0	הורוויץ, [האָרוויץ - הורוויטש] משה איש הלוי פּראָפעסאָר		
דר. הלל זאָלאָטאַראָוו	1.0	זאָלאָטאראָוו, הלל דר.		
דר. הענרי ט. שניטקינד	1.0			
דר. הערבל	1.0			
דר. הערי שור	1.0			
דר. הערמאַן קאָרנבלום	1.0			
דר. הערצלס	1.0			
דר. הררי	1.0			
דר. וואַרטסמאַן	1.0			
דר. וויגאָדסקי	1.0	וויגאָדסקי, יעקב דר.		
דר. זאָלמאַן	1.0			
דר. זכריה קורמאַן	1.0			
דר. זעליג פֿריד	1.0			
דר. זשיטלאָווסקי	1.0			
דר. חיים ארלאזאראָוו	1.0			
דר. חיים באַראַדיאַנסקי	1.0			
דר. חיים לובין	1.0			
דר. חיים-דוב הורוויטש	1.0			
דר. ט. סיגעל	1.0			
דר. טעאָדאָר (טביה) ס. האַמעראָוו	1.0			
דר. י. ב. צפּור	1.0	צפּור, י. ב. ד'ר [יצחק שטערקמאַן]		
דר. י. וואָרטסמאַן	1.0	וואָרטסמאַן, יחזקאל דר		
דר. י. טהאָן	1.0			
דר. י. מאַרמאָרק	1.0			
דר. י. מילייקאָווסקי	1.0			
דר. י. נ. שטיינבערג	1.0			
דר. י. רילף	1.0			
דר. י. שיפּער	1.0	שיפּער יצחק (איגנאַץ) דר.		
דר. יאָניע גערשענגאָרען	1.0			
דר. יהודה לייב לאַנדאָ	1.0			
דר. יהודה קויפמאַן	1.0			
דר. יהודה ראָזענטאָל	1.0			
דר. יהושע הירש פֿרידמאַן	1.0			
דר. יוסף שוואַרץ	1.0			
דר. יוריס	1.0			
דר. יעקב וויגאָדסקי	1.0	וויגאָדסקי, יעקב דר.		
דר. ישראל אפרת	1.0			
דר. ישראל לעווינטאַל	1.0			
דר. ישראל צינבערג	1.0			
דר. ל. פֿאָגעלמאַן	1.0			
דר. ל. קעלנער	1.0			
דר. לאַנגע	1.0			
דר. לאַנדוי	1.0	לאַנדוי דר. לייב		
דר. לאַנדמאַן	1.0	לאַנדמאַן, דר.		
דר. לאַנדעס	1.0	לאַנדעס, לעאָנאַרד דר.		
דר. לואיס	1.0	גינצבורג, לואיס מ. [אליהו] דר		
דר. לייב האַמער	1.0			
דר. לייב לאַנדוי	1.0			
דר. לעאַ בלאַס	1.0			
דר. לעאָן פינסקער	1.0			
דר. לעהמאַן	1.0			
דר. לעווענשטיין	1.0			
דר. מ. בערקאָוויטש	1.0			
דר. מ. גאָלדינבערג	1.0			
דר. מ. הורוויטש	1.0	הורוויץ, [האָרוויץ - הורוויטש] משה איש הלוי פּראָפעסאָר		
דר. מ. וויינרייך	1.0	וויינרייך, מאַקס דר [מאיר]		
דר. מ. זייכערט	1.0			
דר. מ. ערנפּרייז	1.0			
דר. מאַקס נאָרדוי	1.0			
דר. מאַרווין לעאָן זייגער	1.0	"זייגער, מאַרווין ל. ד""ר"		
דר. מאָריס ריינהאַרט	1.0			
דר. מאַרקוס	1.0			
דר. מייקל סאַסין	1.0	דר מייקל סאַסין		
דר. מילייקאָווסקי	1.0			
דר. מעד. שעער	1.0			
דר. מעטמאן-קאהאַן	1.0			
דר. מקדוני	1.0	מוקדוני, א. דר. [אַלכסנדר קאַפּעל)		
דר. מרדכי ערענפּרייז	1.0			
דר. משה קאַנפער	1.0			
דר. נ.מ. געלבער	1.0			
דר. ניסן טוראָוו	1.0			
דר. נפתלי נוסענבלאַט	1.0			
דר. נתן בירנבוים	1.0	בירנבוים (נחום) נתן, דר.		
דר. נתן ברינד	1.0			
דר. נתן עק	1.0			
דר. סאָטעק	1.0			
דר. סאָל גינזבורג	1.0	גינזבורג, שאול		
דר. סווערלין	1.0	סווערדלין, נתן, דר		
דר. סטאָן	1.0			
דר. עזריאָל הילדעסהיימער	1.0			
דר. עטינגער	1.0	עטינגער שלמה (דר.]		
דר. פּאַול	1.0			
דר. פּאָזנאַנסקי	1.0			
דר. פּאל באַראַטאָוו	1.0			
דר. פיכּהענדלער	1.0			
דר. פינעס	1.0			
דר. פריד	1.0			
דר. פֿרידריך אַדלער	1.0			
דר. פּרינץ	1.0			
דר. פרענדלער	1.0			
דר. פרענק דאָמראַש	1.0			
דר. צמח שאַבאַד	1.0			
דר. ק. פֿאָרנבערג	1.0			
דר. קאַנפֿער	1.0			
דר. קנאָפּנאַגעל	1.0			
דר. קעניגשטיין	1.0			
דר. ראובן כירער	1.0			
דר. רינגעלבלום	1.0			
דר. רפאל מאַלער	1.0			
דר. ש. אוירווינג	1.0			
דר. ש. ווייסבערג	1.0			
דר. ש. מ. מלמד	1.0			
דר. ש. מאַרגאָשעס	1.0			
דר. ש. סיימאן	1.0			
דר. ש. פּעסקין	1.0			
דר. שאַבאַר	1.0			
דר. שלמה ביקל	1.0			
דר. שלמה ביקעל	1.0			
דר. שלמה סיימאַן	1.0			
דר. שמואל מאַרגאָשעס	1.0			
דר. שמחה פּיעטרושקאַ	1.0			
דר. שניצער	1.0			
ה. אַבראַמאָוויטש	1.0			
ה. אַבראַמסאָן	1.0			
ה. אורמאַכער	1.0			
ה. בורשטיין	1.0	בורשטיין, ה.		
ה. בלאָשטיין	1.0			
ה. בערגער	1.0			
ה. גליקשטאָק	1.0			
ה. גרינבוים	1.0			
ה. ד. ליפּפּאַס	1.0			
ה. וו. לאַנגפעלאַו	1.0			
ה. וואַכטעל	1.0			
ה. וויַיסמאַן	1.0			
ה. זאָליק	1.0			
ה. זשאַנד	1.0			
ה. מ. קירשענבוים	1.0	קירשענבוים, הירש מאיר		
ה. מאָרגענשטערן	1.0		משה מאָרגענשטערן	
ה. נודעלמאַן	1.0	קאָהן, ס. ה. [נודעלמאַן]		
ה. סמאָליאָר	1.0		סמאָליאַר, בער	
ה. סעקלער	1.0	סעקלער הער (ביידערש)		
ה. עהרענרייך	1.0	עהרענרייך, הירש		
ה. עהרענרעך	1.0	עהרענרייך, הירש		
ה. פאַפּאַק	1.0			
ה. פֿאַפֿאק	1.0			
ה. פיינבערג	1.0			
ה. פעניגשטיין	1.0		פעניגשטיין, אַדאָלף	
ה. פֿריינד	1.0			
ה. פריישקאַט	1.0			
ה. צייזעל	1.0	צייזל, הענריק		
ה. ציעכנאָווסקי	1.0			
ה. קאָן	1.0			
ה. קומאָק	1.0			
ה. קופּערשטיין	1.0			
ה. קרים	1.0			
ה. רוסאָטאָ	1.0	רוסאַטאָ, הענרי		
ה. ריבאַ	1.0	ריבאַ, הענריק [חיים]		
ה. שומער	1.0	הערי שומער		
ה. שוסטערמאַן	1.0			
ה. שענפעלד	1.0			
הענרי ג. אַלסבערג	1.0	גרינבערג, הענריק		
הענרי ט. שניטקינד	1.0			
הערבערט ג. לופט	1.0	לופט,		
הערמאַן י. קויפמאַן	1.0			
וו. א. סטשוקאַ	1.0			
וו. אוספּענסקי	1.0			
וו. בוש	1.0			
וו. גראָסמאַן	1.0	גראָסמאַן, וו. מ. [דוד וואָלף]		
וו. דורמאַשקין	1.0	דורמאַשקין, וואָלף		
וו. וואָלט	1.0			
וו. ווייסדאַרף	1.0		ען ווייסדאַרף	
וו. לאַצקי-בערטאָלדי	1.0			
וו. מ. סמישלאַיעוו	1.0			
וו. מייערכאָלד	1.0			
וו. נאָדיק	1.0			
וו. סעמועלס	1.0			
וו. פ. קאלפאַטי	1.0			
וו. פ. ראַפּאָפּאַרט	1.0			
וו. קייזער	1.0		קייזער, דזשעני	
וו. קריכאַן	1.0			
וו. ראָלאַנד	1.0	ראָלאַנד, וויליאַם (וועלוול כאַסקין)		
וול. גאָדיק	1.0	גאָדיק, וולאַדיסלאַוו		
ז. א. בערעביטשען	1.0			
ז. אָנוכים	1.0	אנכי ז. י [זלמן יצחק ַאראָנסאָן]		
ז. ב. קאָמייקא	1.0			
ז. ברושי	1.0			
ז. הללס	1.0	זאָלאָטאראָוו, הלל דר.		
ז. העלמאַן	1.0	העלמאַן, זיידל שמואַל-יהודה		
ז. העלמאַן (הזמן)	1.0	העלמאַן, זיידל שמואַל-יהודה		
ז. טייגעל	1.0			
ז. טשאַלאַיא	1.0			
ז. י. אנכי	1.0	אנכי ז. י [זלמן יצחק ַאראָנסאָן]		
ז. לעוו	1.0	לעווין, ז.		
ז. מאָגולעסקאָ	1.0	מאָגולעסקאָ, זיגמונט [זעלייג מאָגילעווסקי]		
ז. מאור	1.0	מאוד זוּני (מועד]		
ז. נחמקין	1.0			
ז. פֿיינמאַן	1.0	פיינמאַן, זיגמונד		
ז. פּשיבילסקי	1.0			
ז. קאַלמאַנאָוויטש	1.0		קאַלמאַנאָוויטש, הערי	
ז. קאַץ	1.0	קאַץ, זישע		
ז. קאַצאָוויטש	1.0			
ז. קיסעלגאָף	1.0			
ז. קיסעלהאָף	1.0			
ז. ראַמבערג	1.0			
ז. שייקאָווסקי	1.0			
ז. שניאור	1.0			
זיגמ. טורקאָוו	1.0	טורקאָוו, זיגמונט		
ח. אַסטראָווסקי	1.0	אַסטראָווסקי, חיים		
ח. בלאָשטיין	1.0			
ח. בלום	1.0	בלום חנה		
ח. בעז	1.0			
ח. בריסמאַן	1.0	בריסמאַן, חיים		
ח. גאָטעספעלד	1.0	גאָטעספעלד חנאַ		
ח. גאָלדאָווסקי	1.0			
ח. גראַדע	1.0			
ח. האָניג	1.0			
ח. הררי	1.0		הררי, עזרא [בלומבערג]	
ח. זיינער	1.0			
ח. י. לינקאָווסקי	1.0			
ח. מאָלסקי	1.0			
ח. נ. ביאָליקס	1.0			ויקידאטה
ח. סאַנדלער	1.0	סאַנדלער חיים		
ח. סאָסנאָוויטש	1.0			
ח. סלאוועס	1.0	סלאַוועס, חיים		
ח. סעגאַל	1.0	סעגאַל, חיה		
ח. ע. אַבראַמאָוויץ	1.0	אַבראַמאָוויץ, ח. ע.		
ח. פּאָנטש	1.0	פּאָנטש, ח.		
ח. פלאַס	1.0			
ח. קאַזראָן	1.0			
ח. ראָזענשטיין	1.0			
ח. ש. קאזדאן	1.0			
ט. אייגעס	1.0			
טשאַרל ב. קאָקראַן	1.0			
י. א.	1.0	ים, א. [יעקב-אברהם יערוכאָמאָוויטש — י. א. מעריסאָן]		
י. א. ליסקי	1.0			
י. אויגענליכט	1.0			
י. אויערבאָך	1.0	אויערבאַך, יצחק		
י. אונטערהענדלער	1.0			
י. איזידאָר גילטמאַן	1.0	גילטמאַן, איזידאָר		
י. אַלאַפּין	1.0			
י. אַלטער	1.0			
י. אלקאָן	1.0			
י. אַס	1.0		אַס, ברוך	
י. אַסיפּאָווס	1.0			
י. אָסקאַר	1.0	אָסקאַר יוליוס [אייזענבעט]		
י. אָפּעלבוים	1.0			
י. אַרענשטיין	1.0			
י. ב. [יעקב באַטאָשאַנסקי)	1.0	באַטאָשאַנסקי, יעקב		
י. ב. וואַכטאַנגאָוו	1.0			
י. ב. לעוונער	1.0		לעוונער, גרשון-חיים	
י. ב. פייגן	1.0			
י. ב. שווייצער	1.0			
י. באַוושאָווער	1.0			
י. באַלבירסקי	1.0		באַלבירסקי, הערש	
י. באָנעצקי	1.0			
י. ביגדור	1.0			
י. ביעלאָקין	1.0			
י. בלייפער	1.0	בלייפֿער, יעקב		
י. בערקאָוויטש	1.0	בערקאָוויטש, יוסף (יוזשבו)		
י. ברוידי	1.0	ברוידי יוסף		
י. ברוידע	1.0	ברוידעס, יצחק	ברוידע	
י. ברוינער	1.0	ברוינער [בראונער], יצחק, איטשל		
י. גאָלדפלוס	1.0			
י. גאָלדשמידט	1.0	גאָלדשמידט, יוסף	גאָלדשמידט, יחיאָל	
י. גאַרטעלעוויטש	1.0	גאַרטעלעוויטש, יעקב		
י. גוסינאָוו	1.0			
י. גלאַדשטיין	1.0		זינגער איידא [גלאַדשטיין]	
י. גרובער	1.0	גרובער דזשעי(יהושע)		
י. ד. זילבערבוש	1.0			
י. דגים	1.0			
י. דינעזאָן	1.0	דינעזאָן, יעקב		
י. האַנטפֿוס	1.0		האַנדפוס ביילע [אַריעל]	
י. הירשהויט	1.0			
י. העלפמאַן	1.0		העלפמאַן, דוד	
י. וו. פֿאַן געטהע	1.0			
י. וו. ראָזענטאַל	1.0			
י. וואָרטסמאַן	1.0	וואָרטסמאַן, יחזקאל דר		
י. וויינמאַן	1.0			
י. וויינפּער	1.0		וויינפּער, ז. [זישע וויינפּערליך]	
י. ווייסבראָד	1.0			
י. ווייסהאָף	1.0			
י. ווינאָקוּר	1.0			
י. ז.	1.0			
י. ז. פרישבערג	1.0			
י. זאָן-פּאָליאַקאָוו	1.0		פאָליאַקאָוו, אַהרן [פּאָליאַטשעק]	
י. זאָנשיין	1.0	זאָנשיין, יעקב		
י. זאַקס	1.0		זאַקס ראָיע (?]	
י. זילבערבערג	1.0			
י. ח. בילעצקי	1.0			
י. ח. לערנער	1.0	לערנער יוסף-יהודה		
י. ח. ראַדאָשיצקי	1.0			
י. ח. ראָווניצקי	1.0			
י. טאָפעל	1.0			
י. טיגער	1.0			
י. טער	1.0			
י. טריופּיאַנסקי	1.0			
י. י. באַשעוויס	1.0			
י. י. זינגערס	1.0			
י. י. לידסקי	1.0			
י. י. לינעצקי	1.0		לינעצקי, הענעך	
י. י. סיגאַל	1.0			
י. י. קאַמין	1.0	קאַמיען, יוסף [אָסיאַ]		
י. י. קאַממען	1.0			
י. י. שוואַרץ	1.0			
י. יאָאַכימאָוויטש	1.0			
י. יאָנעס	1.0			
י. יעפימאָוו	1.0			
י. יעקובאָווסקי	1.0			
י. כאַרלאָש	1.0			
י. ל. גורדון	1.0			
י. ל. וואָלפסאָן	1.0			
י. ל. לאַנדוי	1.0	לאַנדוי דר. לייב		
י. ל. לעוואַנדאָ	1.0			
י. ל. לעווינסקי	1.0			
י. ל. מאָלאַמוט	1.0			
י. ל. מץ	1.0			
י. ל. פּאָזנאַנסקי	1.0			
י. ל. פיין	1.0		פיין, דאָראַ,	
י. ל. פרצן	1.0	פרץ, יצחק לייבוש		
י. ל. ראַפּעל	1.0	ראַפּעל, לייזער		
י. ל. שערעשעווסקי	1.0			
י. לאַטיינער	1.0	לאַטיינער יאָזעף		
י. לובעלסקי	1.0			
י. ליבערט	1.0		ליבערט, מענוּכאַ	
י. לייכטענשטיין	1.0			
י. ליליענשטיין	1.0			
י. לעמאַן	1.0			
י. לערנער	1.0	לערנער ישעיה (שבתי?)	לערנער יוסף-יהודה	
י. מ. אַלבערט	1.0			
י. מ. אָפּעלבוים	1.0			
י. מ. וואַרשאַווסקי	1.0	וואַרשאָווסקי, יצחק-מאיר [איסעראָווסקי]		
י. מ. נוימאָן	1.0	נוימאַן, משה-שמואל		
