play	label	occurrences	pages	first_page_url	reason
Lateiner_Meshumed	איוואניוו	1	23	https://app.transkribus.org/collection/2372172/doc/534187/detail/23	unmatched
Lateiner_Meshumed	יעקב מעכעל שרה	1	25	https://app.transkribus.org/collection/2372172/doc/534187/detail/25	role: unmatched
Lateiner_Meshumed	פרויען	1	25	https://app.transkribus.org/collection/2372172/doc/534187/detail/25	unmatched
Lateiner_Meshumed	פוליצ	1	30	https://app.transkribus.org/collection/2372172/doc/534187/detail/30	unmatched
Lateiner_Meshumed	גייסטל	1	31	https://app.transkribus.org/collection/2372172/doc/534187/detail/31	unmatched
Lateiner_Meshumed	פאליסמאן	1	38	https://app.transkribus.org/collection/2372172/doc/534187/detail/38	role: unmatched
Lateiner_Meshumed	פאוול	1	41	https://app.transkribus.org/collection/2372172/doc/534187/detail/41	unmatched
MS_BasKoyen	מ״ר יונתן	1	6	https://app.transkribus.org/collection/2372172/doc/838374/detail/6	unmatched
MS_BasKoyen	פראזע 1	1	6	https://app.transkribus.org/collection/2372172/doc/838374/detail/6	unmatched
MS_BasKoyen	עניגען	1	24	https://app.transkribus.org/collection/2372172/doc/838374/detail/24	unmatched
MS_BasKoyen	יוסף איזבל?	1	27	https://app.transkribus.org/collection/2372172/doc/838374/detail/27	unmatched
MS_BasKoyen	פדיאל	1	32	https://app.transkribus.org/collection/2372172/doc/838374/detail/32	unmatched
MS_BasKoyen	שאלמיאל	1	36	https://app.transkribus.org/collection/2372172/doc/838374/detail/36	unmatched
MS_BenHaDor	Refrain	1	13	https://app.transkribus.org/collection/2372172/doc/826910/detail/13	unmatched
MS_BenHaDor	צורהלפידות	1	15	https://app.transkribus.org/collection/2372172/doc/826910/detail/15	unmatched
MS_BenHaDor	״שלמון״	1	18	https://app.transkribus.org/collection/2372172/doc/826910/detail/18	unmatched
MS_BenHaDor	פראזון	1	19	https://app.transkribus.org/collection/2372172/doc/826910/detail/19	unmatched
MS_BenHaDor	סו פירא	1	30	https://app.transkribus.org/collection/2372172/doc/826910/detail/30	unmatched
MS_BenHaDor	תנו	1	36	https://app.transkribus.org/collection/2372172/doc/826910/detail/36	unmatched
MS_DiTsveyTnoim	"""בן פדות"	1	8	https://app.transkribus.org/collection/2372172/doc/838430/detail/8	unmatched
MS_DiTsveyTnoim	אלע צוזאמען	1	8	https://app.transkribus.org/collection/2372172/doc/838430/detail/8	unmatched
MS_DiTsveyTnoim	שמעון פדות	1	9	https://app.transkribus.org/collection/2372172/doc/838430/detail/9	unmatched
MS_DiTsveyTnoim	פדות]	1	12	https://app.transkribus.org/collection/2372172/doc/838430/detail/12	unmatched
MS_DiTsveyTnoim	בן פדות, אונד איזראעלית	1	14	https://app.transkribus.org/collection/2372172/doc/838430/detail/14	role: joint: 'אונד איזראעלית' unmatched
MS_DiTsveyTnoim	=פדות	1	15	https://app.transkribus.org/collection/2372172/doc/838430/detail/15	unmatched
MS_DiTsveyTnoim	שמעון - צענאביא	1	17	https://app.transkribus.org/collection/2372172/doc/838430/detail/17	role: unmatched
MS_DiTsveyTnoim	אנדערע	1	17	https://app.transkribus.org/collection/2372172/doc/838430/detail/17	unmatched
MS_DiTsveyTnoim	Chor	1	18	https://app.transkribus.org/collection/2372172/doc/838430/detail/18	role: unmatched
MS_DiTsveyTnoim	כאהר. רויבער. חגלה, פלדש. נחמן. הילנא	1	18	https://app.transkribus.org/collection/2372172/doc/838430/detail/18	role: joint: 'כאהר. רויבער. חגלה' unmatched
MS_DiTsveyTnoim	אלע 4	1	20	https://app.transkribus.org/collection/2372172/doc/838430/detail/20	unmatched
MS_DiTsveyTnoim	בר - נזיר	1	33	https://app.transkribus.org/collection/2372172/doc/838430/detail/33	unmatched
MS_DiTsveyTnoim	יזאעלית	1	36	https://app.transkribus.org/collection/2372172/doc/838430/detail/36	unmatched
MS_DiTsveyTnoim	אי כר	1	40	https://app.transkribus.org/collection/2372172/doc/838430/detail/40	unmatched
MS_DiTsveyTnoim	יעראעלית	1	43	https://app.transkribus.org/collection/2372172/doc/838430/detail/43	unmatched
MS_Emigration	1 דיענער	1	6	https://app.transkribus.org/collection/2372172/doc/1013131/detail/6	unmatched
MS_Emigration	משקאוו	1	7	https://app.transkribus.org/collection/2372172/doc/1013131/detail/7	unmatched
MS_Emigration	שפיינע	1	15	https://app.transkribus.org/collection/2372172/doc/1013131/detail/15	unmatched
MS_Emigration	ירוחם שפרה	1	47	https://app.transkribus.org/collection/2372172/doc/1013131/detail/47	unmatched
MS_Emigration	קענעל	1	49	https://app.transkribus.org/collection/2372172/doc/1013131/detail/49	unmatched
MS_Emigration	אב דול געלבורדא	1	62	https://app.transkribus.org/collection/2372172/doc/1013131/detail/62	unmatched
MS_Emigration	שרה	1	93	https://app.transkribus.org/collection/2372172/doc/1013131/detail/93	unmatched
MS_KhurbnYerusholaim	כהנים	1	7	https://app.transkribus.org/collection/2372172/doc/838368/detail/7	unmatched
MS_KhurbnYerusholaim	העלדען	1	7	https://app.transkribus.org/collection/2372172/doc/838368/detail/7	unmatched
MS_KhurbnYerusholaim	אלע 3	1	14	https://app.transkribus.org/collection/2372172/doc/838368/detail/14	unmatched
MS_KhurbnYerusholaim	אללע 4	1	16	https://app.transkribus.org/collection/2372172/doc/838368/detail/16	unmatched
MS_KhurbnYerusholaim	Beide	1	24	https://app.transkribus.org/collection/2372172/doc/838368/detail/24	unmatched
MS_KhurbnYerusholaim	שענק	1	29	https://app.transkribus.org/collection/2372172/doc/838368/detail/29	unmatched
MS_TissaEssler	סאלא	1	5	https://app.transkribus.org/collection/2372172/doc/905289/detail/5	unmatched
MS_TissaEssler	שאנדאש	1	8	https://app.transkribus.org/collection/2372172/doc/905289/detail/8	unmatched
MS_TissaEssler	יוליאנא	1	8	https://app.transkribus.org/collection/2372172/doc/905289/detail/8	unmatched
MS_TissaEssler	ווערהאוואי	1	9	https://app.transkribus.org/collection/2372172/doc/905289/detail/9	unmatched
MS_TissaEssler	פעטשעלר	1	9	https://app.transkribus.org/collection/2372172/doc/905289/detail/9	unmatched
MS_TissaEssler	!אללע	1	11	https://app.transkribus.org/collection/2372172/doc/905289/detail/11	unmatched
MS_TissaEssler	גראסס	1	13	https://app.transkribus.org/collection/2372172/doc/905289/detail/13	unmatched
MS_TissaEssler	פעצעלי	1	14	https://app.transkribus.org/collection/2372172/doc/905289/detail/14	unmatched
MS_TissaEssler	מאריטץ	1	17	https://app.transkribus.org/collection/2372172/doc/905289/detail/17	unmatched
MS_TissaEssler	פעצעלע	1	17	https://app.transkribus.org/collection/2372172/doc/905289/detail/17	unmatched
MS_TissaEssler	זיא	1	22	https://app.transkribus.org/collection/2372172/doc/905289/detail/22	unmatched
MS_TissaEssler	פרעז'	1	25	https://app.transkribus.org/collection/2372172/doc/905289/detail/25	unmatched
