play	page	line_id	family	mark	line_text
MS_BasKoyen	0005	r2l6	genre	קאהר	קאהר שעהנע טאכטער אהרן׳ס פרומע בת כהן
MS_BasKoyen	0006	r1l11	genre	קאהר	קאהר |. וואס זאל דאס הייסען מיר קענען דאס ניט פערשטעהען
MS_BasKoyen	0006	r1l19	genre	קאהר	קאהר |. איהר מוזט פרעגען א רופא מומחה וואס דאס זאל
MS_BasKoyen	0006	line_1642936179439_3274	genre	קאהר	קאהר
MS_BasKoyen	0007	r1l15	genre	קאהר	(קאהר אב מיט געזאנג)
MS_BasKoyen	0011	r1l12	number	N.2	N.2
MS_BasKoyen	0012	r1l13	number	N3	N3    II
MS_BasKoyen	0020	r1l23	number	N 5	N 5
MS_BasKoyen	0023	r1l10	genre	קאהר	קאהר, קעניגען, הורקנוס,  שמעון בן שטח
MS_BasKoyen	0023	r1l13	number	N6	קאהר ווידער האלט N6
MS_BasKoyen	0023	r1l13	genre	קאהר	קאהר ווידער האלט N6
MS_BasKoyen	0023	r2l28	genre	Return	Return
MS_BasKoyen	0024	r2l14	number	N 9	N 9
MS_BasKoyen	0031	line_1638034725153_2161	genre	קאהר	חולדה, קאהר, פֿאָלק
MS_BasKoyen	0038	r1l3	number	No 57	No 5790
MS_BenHaDor	0004	r2l5	genre	קאהר	2 מערדער קאהר זינגט פריער מארש II Returned
MS_BenHaDor	0004	r2l5	genre	Returned	2 מערדער קאהר זינגט פריער מארש II Returned
MS_BenHaDor	0004	r2l22	genre	קאהר	קאהר זעה זענען אונשולדיג!
MS_BenHaDor	0005	r1l10	genre	קאהר	ער זאלל זיא פֿארלויפֿיג ניכֿט זעהן קאהר פֿערשטעלט
MS_BenHaDor	0005	r2l11	genre	קאהר	אמון: לאָסט דיא מער דער פֿארטרעטען. קאהר אין אַ זייט
MS_BenHaDor	0006	r1l10	genre	Return	שיקען אַ רעגען דאָס פֿייער אויס צו לעשען  Return:
MS_BenHaDor	0006	r1l13	genre	קאהר	קאהר | דער אַלטער זאלל פֿאר זעה בעטין.
MS_BenHaDor	0006	r1l18	genre	Return	אמון | הזקן מתחיל בתּפֿילה. II Return:
MS_BenHaDor	0006	r2l2	genre	קאהר	קאהר | מיר בעהטען דיך גאטט העלף אונז אין דער נוט
MS_BenHaDor	0006	r2l6	genre	קאהר	קאהר | דיינע קינדער ישראל
MS_BenHaDor	0006	r2l8	genre	קאהר	קאהר | צו דיר שירה מוזיק
MS_BenHaDor	0006	r2l12	genre	קאהר	קאהר | שיק אונז דיין ברכֿה און הצלחה וועט זיין שיער און שבחה
