play,page,kind,detail
DovidsFidele-1904,7,unnumbered-heading-page,expected 3; first line: 'I אַקט'
DovidsFidele-1904,16,value-suspect,"reads 13, expected 12: '— 13 —'"
DovidsFidele-1904,28,unnumbered-heading-page,expected 24; first line: 'II. אַקט'
DovidsFidele-1904,37,value-suspect,"reads 53, expected 33: '— 53 —'"
DovidsFidele-1904,39,value-suspect,"reads 34, expected 35: '— 34 —'"
DovidsFidele-1904,40,value-suspect,"reads 33, expected 36: '— 33 —'"
DovidsFidele-1904,43,value-suspect,"reads 33, expected 39: '— 33 —'"
DovidsFidele-1904,46,unnumbered-heading-page,expected 42; first line: '.III אַקט'
DovidsFidele-1904,62,unnumbered-heading-page,expected 58; first line: 'I אַקט.'
DovidsFidele-1904,71,missing-pagenum,expected 67; first line: 'אִין מיינער בוכהאַנדלונג זינד פֿאָרראטהיג דִ'
Ezra-Emkroyt1908,3,missing-pagenum,expected 0; first line: 'עֶזְרַא'
Ezra-Emkroyt1908,15,value-suspect,"reads 25, expected 24: '— 25 —'"
Ezra-Emkroyt1908,19,value-suspect,"reads 33, expected 32: '— 33 —'"
HinkePinke,3,missing-pagenum,expected 1; first line: '638'
HinkePinke,3,bare-number-inconsistent,'638' (expected 1) — NOT tagged
HinkePinke,4,missing-pagenum,expected 2; first line: 'דִי פֶּערְזָאנֶען:'
HinkePinke,5,missing-pagenum,expected 3; first line: 'b38'
IshahRaah,5,missing-pagenum,expected 3; first line: 'I. אַקְט    (I. Rittornetto)'
IshahRaah,19,missing-pagenum,expected 17; first line: 'פערוואַנדלוּנג'
IshahRaah,25,unnumbered-heading-page,expected 23; first line: 'II. אַקט'
IshahRaah,29,missing-pagenum,expected 27; first line: 'פערוואַנדלוּנג'
IshahRaah,38,unnumbered-heading-page,expected 36; first line: 'II אַקט'
IshahRaah,50,missing-pagenum,expected 48; first line: 'פערוואַנדלוּנג'
IshahRaah,54,unnumbered-heading-page,expected 52; first line: 'IV. אַקט.'
IshahRaah,56,value-suspect,"reads 53, expected 54: '— 53 —'"
KidushHashem,7,missing-pagenum,expected 3; first line: '6443'
KidushHashem,26,unnumbered-heading-page,expected 22; first line: 'צווייטֶער אַקט.'
KidushHashem,28,missing-pagenum,expected 24; first line: 'פֿערוואנדלונג'
KidushHashem,31,unnumbered-heading-page,expected 27; first line: 'פֶערוואנְדְלונְג.'
KidushHashem,47,unnumbered-heading-page,expected 43; first line: 'דרִיטֶער אַקט.'
KidushHashem,52,unnumbered-heading-page,expected 48; first line: 'פִירְטֶער אַקט.'
KidushHashem,58,unnumbered-heading-page,expected 54; first line: 'פֶערוואנְדְלונְג'
KidushHashem,66,unnumbered-heading-page,expected 62; first line: 'פִינְפטֶער אַקט.'
KidushHashem,74,unnumbered-heading-page,expected 70; first line: 'פֶערוואנְדְלונְג.'
KidushHashem,78,missing-pagenum,expected 74; first line: 'לייה-ביבליאטעק'
KidushHashem,80,missing-pagenum,expected 76; first line: '6443'
MishkeMashke-Kultur1910,5,missing-pagenum,"expected 4; first line: ""644'"""
MishkeMashke-Kultur1910,6,value-suspect,"reads 4, expected 6: '— 4 —'"
MishkeMashke-Kultur1910,7,value-suspect,"reads 6, expected 8: '— 6 —'"
MishkeMashke-Kultur1910,8,value-suspect,"reads 8, expected 10: '— 8 —'"
MishkeMashke-Kultur1910,9,missing-pagenum,expected 12; first line: 'צְוֵוייטֶער אַקְט.'
MishkeMashke-Kultur1910,16,value-suspect,"reads 27, expected 26: '— 27 —'"
SoreSheyndel,5,missing-pagenum,expected 1; first line: 'b41'
SoreSheyndel,7,missing-pagenum,expected 3; first line: 'פֶּערְזֶאנֶען:'
SoreSheyndel,9,missing-pagenum,expected 5; first line: 'b41'
SoreSheyndel,13,missing-pagenum,expected 9; first line: 'שר שיינדעל'
SoreSheyndel,13,bare-number-inconsistent,'2' (expected 9) — NOT tagged
SoreSheyndel,16,missing-pagenum,expected 12; first line: 'שרה שוינדעל'
SoreSheyndel,16,bare-number-inconsistent,'23' (expected 12) — NOT tagged
SoreSheyndel,17,missing-pagenum,expected 13; first line: 'שרה שוינדעל'
SoreSheyndel,17,bare-number-inconsistent,'20' (expected 13) — NOT tagged
SoreSheyndel,41,missing-pagenum,expected 37; first line: 'שרה שַׁיינְדֶעל'
SoreSheyndel,41,bare-number-inconsistent,'73' (expected 37) — NOT tagged
"Yudale_der_blinder,_Emkroyt1908",5,unnumbered-heading-page,expected 3; first line: 'ערְשׁטֶער אַקט'
"Yudale_der_blinder,_Emkroyt1908",16,missing-pagenum,expected 14; first line: 'פערוואַנדלונג.'
"Yudale_der_blinder,_Emkroyt1908",22,missing-pagenum,expected 20; first line: 'פערוואַנדלונג.'
"Yudale_der_blinder,_Emkroyt1908",26,unnumbered-heading-page,expected 24; first line: 'צווייטֶער אַקט.'
"Yudale_der_blinder,_Emkroyt1908",33,value-suspect,"reads 23, expected 31: '— 23 —'"
"Yudale_der_blinder,_Emkroyt1908",34,missing-pagenum,expected 32; first line: 'פערוואַנדלונג.'
"Yudale_der_blinder,_Emkroyt1908",38,missing-pagenum,expected 36; first line: 'פערוואַנדלונג.'
"Yudale_der_blinder,_Emkroyt1908",40,unnumbered-heading-page,expected 38; first line: 'דרִיטֶער אַקט.'
"Yudale_der_blinder,_Emkroyt1908",49,missing-pagenum,expected 47; first line: 'פערוואַנדלוּנג.'
"Yudale_der_blinder,_Emkroyt1908",51,missing-pagenum,expected 49; first line: 'פערוואַנדלונג.'
"Yudale_der_blinder,_Emkroyt1908",58,unnumbered-heading-page,expected 56; first line: 'פִיערְטֶער אַקט.'
"Yudale_der_blinder,_Emkroyt1908",64,missing-pagenum,expected 62; first line: 'פערוואַנדלונג.'
דאס_יידישע_קינד_Dos_yudishe_kind_a_komishe_operete,3,unnumbered-heading-page,expected 5; first line: 'ערשטער אקט.'
דאס_יידישע_קינד_Dos_yudishe_kind_a_komishe_operete,14,unnumbered-heading-page,expected 16; first line: 'צווייטער אקט.'
דאס_יידישע_קינד_Dos_yudishe_kind_a_komishe_operete,34,unnumbered-heading-page,expected 36; first line: 'דריטער אקט.'
דאס_יידישע_קינד_Dos_yudishe_kind_a_komishe_operete,48,unnumbered-heading-page,expected 50; first line: 'פיערטער אקט.'
