play,full_line,direction,type,line_id,page,page_url
Yudale der Blinder,וואלדמאן: (אַפארט) דֶער גנְבּ! דֶער גנְבּ בּין אִיך דָאך אָבּער דֶער רוּח,(אַפארט),business,line_1647524943164_623,59,https://app.transkribus.org/collection/2372172/doc/828539/detail/59
Yudale der Blinder,הָאט עֶס וִויעדֶער בּיי מִיר צוּגענוּמען (צוּ איהר) עֶס וֶועט מִיך גֶעוויס,(צוּ איהר),delivery,line_1647524958852_628,59,https://app.transkribus.org/collection/2372172/doc/828539/detail/59
Yudale der Blinder,(אַלטעריל חליפענד מיט איינע איינגעוויקעלטען קראנץ פון צוויבעל).,(אַלטעריל חליפענד מיט איינע איינגעוויקעלטען קראנץ פון צוויבעל).,business,line_1647525012422_643,59,https://app.transkribus.org/collection/2372172/doc/828539/detail/59
Yudale der Blinder,בּעזוּנדערן קראנְץ (וויקעלט אויף).,(וויקעלט אויף).,business,line_1647525089904_682,59,https://app.transkribus.org/collection/2372172/doc/828539/detail/59
Yudale der Blinder,זַיינֶע קיִנְדעֶר אוֹיף מַיינֶע יאָהרען פֶערְלֵייגט? (בּעז) אִיך וֶועל דִיר,(בּעז),delivery,r1l34,60,https://app.transkribus.org/collection/2372172/doc/828539/detail/60
Yudale der Blinder,געבּען אַ מֵיידֶעל אַ פרֵיידאלֶע אַז... (וויל איהם שלאָגען).,(וויל איהם שלאָגען).,business,line_1647524467864_443,60,https://app.transkribus.org/collection/2372172/doc/828539/detail/60
Yudale der Blinder,(אויפטריט עדעלמאן ווי פֿון איינע רייזע),(אויפטריט עדעלמאן ווי פֿון איינע רייזע),entrance,r1l37,60,https://app.transkribus.org/collection/2372172/doc/828539/detail/60
Yudale der Blinder,"האבּ אִיך אִיהם צוּ פִירְכטֶען (לויט) אַך, ווִי פרֵייעט עֶס מִיך הֶערְר",(לויט),business,r1l43,60,https://app.transkribus.org/collection/2372172/doc/828539/detail/60
Yudale der Blinder,"(ראָזאַ, עדעלמאן, אלטעריל אַב) נָאך אֵיין אַיינְצִינֶע שׁטונְדֶע האָבּ אִיך","(ראָזאַ, עדעלמאן, אלטעריל אַב)",exit,line_1647522724330_125,61,https://app.transkribus.org/collection/2372172/doc/828539/detail/61
Yudale der Blinder,שֶׁענְקְט פִיר דִי אַיינֶע שׁטונְדֶע (זעצט זיך).,(זעצט זיך).,business,r4l15,61,https://app.transkribus.org/collection/2372172/doc/828539/detail/61
Yudale der Blinder,(אויפטריט פֿישעל סאַפענדיג),(אויפטריט פֿישעל סאַפענדיג),entrance,r4l16,61,https://app.transkribus.org/collection/2372172/doc/828539/detail/61
Yudale der Blinder,"וואלדמאן: אָה דוּ שׁנארֶער, אַרויס (טרייבט איהם אַרויס)",(טרייבט איהם אַרויס),business,line_1647442740232_2255,62,https://app.transkribus.org/collection/2372172/doc/828539/detail/62
Yudale der Blinder,"פישל: (פון איין אַנדערע זייט) נֵיין, אִיך וִויל אַייך נִישְׁט שֶׁעלְטֶען, וַוייל אִיהר",(פון איין אַנדערע זייט),business,line_1647442753561_2260,62,https://app.transkribus.org/collection/2372172/doc/828539/detail/62
Yudale der Blinder,"אויסחאפּעניש (ער ווארפֿט איהם אַ רויס, ער קומט צוריק א ריין) אַ בּהלה...","(ער ווארפֿט איהם אַ רויס, ער קומט צוריק א ריין)",business,line_1647442791970_2285,62,https://app.transkribus.org/collection/2372172/doc/828539/detail/62
Yudale der Blinder,"אַ מהוּמה, אַ מִיתה משוּנה! (אַב, וואַלדמאן נאָך איהם).","(אַב, וואַלדמאן נאָך איהם).",business,line_1647442800342_2290,62,https://app.transkribus.org/collection/2372172/doc/828539/detail/62
Yudale der Blinder,(אויפֿטריט יודאלע עדעלמאן).,(אויפֿטריט יודאלע עדעלמאן).,entrance,line_1647442807317_2295,62,https://app.transkribus.org/collection/2372172/doc/828539/detail/62
Yudale der Blinder,וואלדמאן: (אויף די לעצטע ווערטער קומענד) דִי חוּפּה? גלֵייך מַיין קִינְד אִיז,(אויף די לעצטע ווערטער קומענד),business,r1l2,63,https://app.transkribus.org/collection/2372172/doc/828539/detail/63
Yudale der Blinder,יודאלע: (אפארט) הַייסְט אִיהר מִיך געֶהן צוּ דֶער חוּפּה?,(אפארט),business,r1l4,63,https://app.transkribus.org/collection/2372172/doc/828539/detail/63
Yudale der Blinder,יודאלע: (שרויט אין מיטען געזאנג אויס) וֶועה מִיר!,(שרויט אין מיטען געזאנג אויס),business,r1l4,64,https://app.transkribus.org/collection/2372172/doc/828539/detail/64
Yudale der Blinder,יודאלע: (טאַפט ארום זיך) נאַכְט! פאַר מַיינֶע אוִינֶען אִיז וִויעדֶער נאַכט,(טאַפט ארום זיך),business,line_1647442187128_2008,64,https://app.transkribus.org/collection/2372172/doc/828539/detail/64
Yudale der Blinder,"עדעלמאן: (בעטראנטעט) לֵיידֶער, לֵיידֶער, הִיעֶר קֶען דִי קוּנסט פוּן אִין",(בעטראנטעט),business,line_1647442296141_2039,64,https://app.transkribus.org/collection/2372172/doc/828539/detail/64
Yudale der Blinder,גֶעווארְפֶען אַזא שׁטַיין? (וואַרפט די שטיינער אוועק).,(וואַרפט די שטיינער אוועק).,business,r1l34,64,https://app.transkribus.org/collection/2372172/doc/828539/detail/64
Yudale der Blinder,חזן: (פאַנגט אן) בּרוּך אַתה ד'!,(פאַנגט אן),business,r1l51,64,https://app.transkribus.org/collection/2372172/doc/828539/detail/64
Yudale der Blinder,וַואלְדְמאן האַלט! (נעמט אוועק די חופה).,(נעמט אוועק די חופה).,business,r2l4,65,https://app.transkribus.org/collection/2372172/doc/828539/detail/65
Yudale der Blinder,"האכצַייט? וַוארְט, מִיר ווֶעלֶען זעֶהן (שלעפט ראזא ביז זייטע). אייבּיג",(שלעפט ראזא ביז זייטע).,business,line_1647441766396_1806,65,https://app.transkribus.org/collection/2372172/doc/828539/detail/65
Yudale der Blinder,"אוּן קנִיענְט אַנצוּבעטען דֶעם אמְת (קניעט, קיסט דבורה'לע).","(קניעט, קיסט דבורה'לע).",business,r2l62,65,https://app.transkribus.org/collection/2372172/doc/828539/detail/65
Yudale der Blinder,"(אויפטריט איסר, בערמאן).","(אויפטריט איסר, בערמאן).",entrance,r1l2,66,https://app.transkribus.org/collection/2372172/doc/828539/detail/66
Yudale der Blinder,איסר: (שרייט פון דרויסען) הַלְוַאִי זאָלסטוּ אַזוי לעבּען מִיט מִיר! אִיך האבּ,(שרייט פון דרויסען),business,line_1647441302107_1658,66,https://app.transkribus.org/collection/2372172/doc/828539/detail/66
Yudale der Blinder,בערמאן: (גיבט הערצלען די בריעף⸗טאשע) דָא ה' וַואלְדְמאן!,(גיבט הערצלען די בריעף⸗טאשע),business,line_1647441318631_1668,66,https://app.transkribus.org/collection/2372172/doc/828539/detail/66
Yudale der Blinder,ראזא: בּערמאן! (אומארמונג).,(אומארמונג).,business,line_1647441437271_1698,66,https://app.transkribus.org/collection/2372172/doc/828539/detail/66
Yudale der Blinder,סִימְן טוֹב ומְז'ט (א. ז. וו. טאנץ) (פארהאַנג). (ענדע פון שטיק).,(א. ז. וו. טאנץ) (פארהאַנג). (ענדע פון שטיק).,business,r1l21,66,https://app.transkribus.org/collection/2372172/doc/828539/detail/66
Di Seder Nakht,(ביי דוד אין הויז),(ביי דוד אין הויז),business,TextRegion_1647705133639_852l2,5,https://app.transkribus.org/collection/2372172/doc/828503/detail/5
Di Seder Nakht,"קארל: (פון דרויסען) וָואלֶען זִיא זִיךְ גִיטִיגְס בֶּעמִיהֶען פְרֵיילֵיין רַאשֶעל, דִיא",(פון דרויסען),business,TextRegion_1647705133639_852l9,5,https://app.transkribus.org/collection/2372172/doc/828503/detail/5
Di Seder Nakht,(קארל און ראשעל ערשיינען מיט א דיריגיר שטאק).,(קארל און ראשעל ערשיינען מיט א דיריגיר שטאק).,business,TextRegion_1647705133639_852l12,5,https://app.transkribus.org/collection/2372172/doc/828503/detail/5
Di Seder Nakht,ראשעל: (געבען קארל ליעבפאל אנבליקענד) וֶוען הֶערְר רִיזְוַואן אִיזְט זֶעלְבְּסְט,(געבען קארל ליעבפאל אנבליקענד),business,TextRegion_1647705133639_852l18,5,https://app.transkribus.org/collection/2372172/doc/828503/detail/5
Di Seder Nakht,"(דוד, מרים, מאיר דרייער בלייבען ביי דער טהיר לוישענד און נישט שטעהרען, מאיר דרייער איז ענטציגט פון דער מוזיק, פאנגט אן שטילערהייט נאבצוזינגען, דוד הייסט איהם שטילשווייגען ביז עס ענדיגט).","(דוד, מרים, מאיר דרייער בלייבען ביי דער טהיר לוישענד און נישט שטעהרען, מאיר דרייער איז ענטציגט פון דער מוזיק, פאנגט אן שטילערהייט נאבצוזינגען, דוד הייסט איהם שטילשווייגען ביז עס ענדיגט).",business,TextRegion_1647705133639_852l23,5,https://app.transkribus.org/collection/2372172/doc/828503/detail/5
Di Seder Nakht,אלע: דַאנְקֶע הֶערְר קָאהְן (קאהר אב).,(קאהר אב).,exit,r_2_1l1,6,https://app.transkribus.org/collection/2372172/doc/828503/detail/6
Di Seder Nakht,"מאיר: (צו דוד׳ן) אַ דָאס אִיז דֶער מַאכעֶר אַלֵיין,",(צו דוד׳ן),delivery,r_2_1l2,6,https://app.transkribus.org/collection/2372172/doc/828503/detail/6
Di Seder Nakht,דוד: דָאס אִיז עֶר (פארשטעלענד) הֶערְר קַארְל רִיזְוַואן.,(פארשטעלענד),business,r_2_1l3,6,https://app.transkribus.org/collection/2372172/doc/828503/detail/6
Di Seder Nakht,(קארל רייכט מאיר'ן די האנד).,(קארל רייכט מאיר'ן די האנד).,business,r_2_1l4,6,https://app.transkribus.org/collection/2372172/doc/828503/detail/6
Di Seder Nakht,מאיר: (שטעלט זיך אליין פאר) מֵאִיר דְרֵייעֶר דֶער וַוייסֶער שַדְכָן פָאן דֶער,(שטעלט זיך אליין פאר),business,r_2_1l5,6,https://app.transkribus.org/collection/2372172/doc/828503/detail/6
Di Seder Nakht,בֶּשְטעֶר בְּרִיק. (אלע לאכען).,(אלע לאכען).,business,line_1647705545484_1058,6,https://app.transkribus.org/collection/2372172/doc/828503/detail/6
Di Seder Nakht,"רִיזְוַואן (ביידע געארמט אב, דיד, מרים, מאיר זעצען זיך).","(ביידע געארמט אב, דיד, מרים, מאיר זעצען זיך).",business,r_2_1l12,6,https://app.transkribus.org/collection/2372172/doc/828503/detail/6
Di Seder Nakht,"דוד: אַך, לָאזְט מִיך צוּ פְרִיעדֶען מִיט אֵייֶערֶע שִׁידוּכִים ר' מֵאִיר (לאכט)",(לאכט),business,r_2_1l15,6,https://app.transkribus.org/collection/2372172/doc/828503/detail/6
Di Seder Nakht,"דוד: (לאכט) נֵיין?... אַ דַאנְק פַאר דֶער טוֹבָה, דָאךְ זָאגְט מִיר אִיהְר זֶענְט",(לאכט),business,r_2_1l21,6,https://app.transkribus.org/collection/2372172/doc/828503/detail/6
Di Seder Nakht,דוד: (לאכט) אוּמְפָּארְטִירְט? פוּן וֶועלְכֶער פַאבְּרִיק?,(לאכט),business,r_2_1l28,6,https://app.transkribus.org/collection/2372172/doc/828503/detail/6
Di Seder Nakht,דוד: (נישט הערענדיג) זֶעהְט נוּר זֶעהְט דִיא פְרֵיידִיגֶע אִיבֶּערַאשוּנְג פוּן מֵיין,(נישט הערענדיג),business,TextRegion_1647705629974_1099l10,7,https://app.transkribus.org/collection/2372172/doc/828503/detail/7
Di Seder Nakht,קִינְד. (מרים אב).,(מרים אב).,exit,TextRegion_1647705629974_1099l11,7,https://app.transkribus.org/collection/2372172/doc/828503/detail/7
Di Seder Nakht,ראשעל: (לויפט אויין) פָאטֶער! פָאטֶער! וואוּ האסטוּ זאוואַס מִיר געֶקעֶנְט,(לויפט אויין),business,r_2_1l23,8,https://app.transkribus.org/collection/2372172/doc/828503/detail/8
Di Seder Nakht,ראשעל: (אויסער זיך) דָא... דאָ קוּמט עֶר מֵיין הערצענסגוּטער אָנקעל,(אויסער זיך),business,r_2_1l27,8,https://app.transkribus.org/collection/2372172/doc/828503/detail/8
Di Seder Nakht,"זלמן: יַא, אָבּער אַלערלייא יוּדען זֶענֶען דאַ אוֹיף דֶער וֶועלְט (שטעהט אויף)",(שטעהט אויף),business,TextRegion_1647706172885_1323l4,10,https://app.transkribus.org/collection/2372172/doc/828503/detail/10
Di Seder Nakht,ראשעל: אָבּער אַ גלֶעזֶעלֶע טהֶע יַא (ראשעל אב).,(ראשעל אב).,exit,TextRegion_1647706172885_1323l10,10,https://app.transkribus.org/collection/2372172/doc/828503/detail/10
Di Seder Nakht,זלמן: (רייבט דיא אויגען דערזעהט מאירן) אָה מֵיינֶע אַלטע אוֹיגֶען... אויבּ אִיך,(רייבט דיא אויגען דערזעהט מאירן),business,TextRegion_1647706172885_1323l11,10,https://app.transkribus.org/collection/2372172/doc/828503/detail/10
Di Seder Nakht,מרים: (לאכט) פאַר וָואס פוּן דֶעם האלְבֶּען?,(לאכט),business,TextRegion_1647706172885_1323l24,10,https://app.transkribus.org/collection/2372172/doc/828503/detail/10
Di Seder Nakht,זלמן: (דערזעהט איין בּילד) דָוִד וִויא קוּמט אִין דַיין הוֹיז אַזא בּילד? אַ פרוֹי,(דערזעהט איין בּילד),business,TextRegion_1647706172885_1323l30,10,https://app.transkribus.org/collection/2372172/doc/828503/detail/10
Di Seder Nakht,מאיר: (בעטראַכט דאָס בילד) אַ דאָס אִיז זִיא פּוטיפערס פרוֹי... אוֹי וֶוען אִיך,(בעטראַכט דאָס בילד),business,r_1_1l8,11,https://app.transkribus.org/collection/2372172/doc/828503/detail/11
Di Seder Nakht,(אויפטריט ראשעל),(אויפטריט ראשעל),entrance,r_1_1l11,11,https://app.transkribus.org/collection/2372172/doc/828503/detail/11
Di Seder Nakht,ראשעל: (מיט טהע) אָנקעל אַלעס אִיז סֶערווירְט אוּן אִיהְר ר' מֵאִיר וויִלְט,(מיט טהע),business,r_1_1l12,11,https://app.transkribus.org/collection/2372172/doc/828503/detail/11
Di Seder Nakht,(אויפטריט קארל מיט ראשעל).,(אויפטריט קארל מיט ראשעל).,entrance,TextRegion_1647706425688_1446l21,12,https://app.transkribus.org/collection/2372172/doc/828503/detail/12
Di Seder Nakht,שאַפט פוּל תּורה פוּל חכמְה (אב),(אב),exit,TextRegion_1647706512018_1482l12,14,https://app.transkribus.org/collection/2372172/doc/828503/detail/14
Di Seder Nakht,דֶעם זכות פוּן מֵיינֶע צֶעהְן טֶעכטֶער (אָב),(אָב),exit,TextRegion_1647706512018_1482l18,14,https://app.transkribus.org/collection/2372172/doc/828503/detail/14
Di Seder Nakht,(אויפטריט דיענער).,(אויפטריט דיענער).,entrance,TextRegion_1647706512018_1482l22,14,https://app.transkribus.org/collection/2372172/doc/828503/detail/14
Di Seder Nakht,דיענער: (מעלדעט) הֶערְר דוּמִיטְרִיע רִיזְוַואן (אב).,(מעלדעט),business,TextRegion_1647706512018_1482l23,14,https://app.transkribus.org/collection/2372172/doc/828503/detail/14
Di Seder Nakht,דיענער: (מעלדעט) הֶערְר דוּמִיטְרִיע רִיזְוַואן (אב).,(אב).,exit,TextRegion_1647706512018_1482l23,14,https://app.transkribus.org/collection/2372172/doc/828503/detail/14
Di Seder Nakht,פְרֵיילֵיין. (ביידע אב),(ביידע אב),exit,TextRegion_1647706512018_1482l26,14,https://app.transkribus.org/collection/2372172/doc/828503/detail/14
Di Seder Nakht,"מרים : (בּייז) נוּר אֵיין אונְשִׁיקֶענִישׁ אוֹיף אוּנְזֶער קאפּף (אב, דימיטריע ערשיינט).",(בּייז),business,TextRegion_1647706512018_1482l29,14,https://app.transkribus.org/collection/2372172/doc/828503/detail/14
Di Seder Nakht,"מרים : (בּייז) נוּר אֵיין אונְשִׁיקֶענִישׁ אוֹיף אוּנְזֶער קאפּף (אב, דימיטריע ערשיינט).","(אב, דימיטריע ערשיינט).",business,TextRegion_1647706512018_1482l29,14,https://app.transkribus.org/collection/2372172/doc/828503/detail/14
Di Seder Nakht,דומיטריע: (שטאָלץ) אִיך אוּנטערשרייבּע אִיהנֶען אֵיין וועקסֶעל.,(שטאָלץ),business,TextRegion_1647706538553_1508l7,15,https://app.transkribus.org/collection/2372172/doc/828503/detail/15
Di Seder Nakht,"צוּ גוּט פִיר זָא אֵיינֶען מַאן ווִי זִי זִינְד, אִיך עמפּפעהלע מִיך הֶערְר (אָב).",(אָב).,exit,TextRegion_1647706589936_1529l6,16,https://app.transkribus.org/collection/2372172/doc/828503/detail/16
Di Seder Nakht,דומיטריע: שמוּציגער יוּדע! (קארל קוּמט) אָה קַארְל מֵיין בּרוּדער דוּ קוּמסט,(קארל קוּמט),business,TextRegion_1647706589936_1529l7,16,https://app.transkribus.org/collection/2372172/doc/828503/detail/16
Di Seder Nakht,דומיטריע: (בּעז) אִיך בּין קֵיין פִילאזאף אִיך בּין עדֶעל-מַאן אוּנד ווִי אֵיין,(בּעז),delivery,TextRegion_1647706589936_1529l27,16,https://app.transkribus.org/collection/2372172/doc/828503/detail/16
Di Seder Nakht,אַדיע. (אָב),(אָב),exit,r_1_1l21,17,https://app.transkribus.org/collection/2372172/doc/828503/detail/17
Di Seder Nakht,"(אויפטריט ראשעל, קארל זיצט אין געדאנקען פערטיעפט).","(אויפטריט ראשעל, קארל זיצט אין געדאנקען פערטיעפט).",entrance,r_1_1l22,17,https://app.transkribus.org/collection/2372172/doc/828503/detail/17
Di Seder Nakht,ראשעל: (געהט לאנגזאם לעגט דיא הענד אויף דיא שולטער) זאָ אִין גֶעדאנְקֶען,(געהט לאנגזאם לעגט דיא הענד אויף דיא שולטער),business,r_1_1l23,17,https://app.transkribus.org/collection/2372172/doc/828503/detail/17
Di Seder Nakht,"(מֵאִיר דְרֵייעֶר קוּמְט אַרַיין, אִין מִיטְ'ן זיִנְגעֶן לויִפְט עָר אַרויס, נאכ'ן געזאַנג","(מֵאִיר דְרֵייעֶר קוּמְט אַרַיין, אִין מִיטְ'ן זיִנְגעֶן לויִפְט עָר אַרויס, נאכ'ן געזאַנג",entrance,TextRegion_1647706671180_1553l20,18,https://app.transkribus.org/collection/2372172/doc/828503/detail/18
Di Seder Nakht,קוּמְט עֶר מִיט דָוִד מִרְיָם).,קוּמְט עֶר מִיט דָוִד מִרְיָם).,business,TextRegion_1647706671180_1553l21,18,https://app.transkribus.org/collection/2372172/doc/828503/detail/18
Di Seder Nakht,"דוד: (ארוּמגעהענד) בּלינדער וואָס אִיך בּין גֶעווֶעהְן, בּלינדער.",(ארוּמגעהענד),business,TextRegion_1647706671180_1553l24,18,https://app.transkribus.org/collection/2372172/doc/828503/detail/18
Di Seder Nakht,זלמן: (קומט אויין) וַוייסְט דִיד אִיך בּין הייַנט גֶעווֶעהְן גֶעשׁטֶערְט בּיים,(קומט אויין),business,TextRegion_1647706671180_1553l31,18,https://app.transkribus.org/collection/2372172/doc/828503/detail/18
Di Seder Nakht,אוֹיף דֶער וֶועלְט? (ראָשעל בּרעכט אויס איין געוויין),(ראָשעל בּרעכט אויס איין געוויין),business,r_3_1l14,19,https://app.transkribus.org/collection/2372172/doc/828503/detail/19
Di Seder Nakht,"טאָכְטֶער גֶעצִיטֶערְטֶע קוּם צוּ מִיר... (אַלע וויינען). (פארהאַנג). (ענדע דעם ערשטען אקטעס). (א פאָרצימער ביי קארל, איין קליינער טיש און א זעסעל).","(אַלע וויינען). (פארהאַנג). (ענדע דעם ערשטען אקטעס). (א פאָרצימער ביי קארל, איין קליינער טיש און א זעסעל).",business,r_3_1l16,19,https://app.transkribus.org/collection/2372172/doc/828503/detail/19
Di Seder Nakht,(אויפטריט דומיטריע).,(אויפטריט דומיטריע).,entrance,r_2_1l7,20,https://app.transkribus.org/collection/2372172/doc/828503/detail/20
Di Seder Nakht,"קאטינקא: (קוּקט איהם אָן) ווֶעמֶען לאַכט אִיהְר אויִס, אִיהְם אָדער אַליין?",(קוּקט איהם אָן),business,r_2_1l21,20,https://app.transkribus.org/collection/2372172/doc/828503/detail/20
Di Seder Nakht,דומיטריע: (בייז) דאַס וִויל אִיך אויִס זַיין אַייגען מוִיל הֶערֶען. (אָב).,(בייז),business,line_1649274172224_407,22,https://app.transkribus.org/collection/2372172/doc/828503/detail/22
Di Seder Nakht,דומיטריע: (בייז) דאַס וִויל אִיך אויִס זַיין אַייגען מוִיל הֶערֶען. (אָב).,(אָב).,exit,line_1649274172224_407,22,https://app.transkribus.org/collection/2372172/doc/828503/detail/22
Di Seder Nakht,קאטינקא: וואַס מִיט געוואָלט (פערקאַטשעט די ארבעל) נֵיין! מֵיין שׁוואכֶען,(פערקאַטשעט די ארבעל),business,r_4_1l2,23,https://app.transkribus.org/collection/2372172/doc/828503/detail/23
Di Seder Nakht,פלאכטֶען (אָב).,(אָב).,exit,r_4_1l6,23,https://app.transkribus.org/collection/2372172/doc/828503/detail/23
Di Seder Nakht,"(אויפטריט וַואסִילֶע, קוּטשׁער אַ פֶעסטֶער מַאן מִיט אַ בֵּייטשׁ אִין דֶער הַאנְד","(אויפטריט וַואסִילֶע, קוּטשׁער אַ פֶעסטֶער מַאן מִיט אַ בֵּייטשׁ אִין דֶער הַאנְד",entrance,r_4_1l7,23,https://app.transkribus.org/collection/2372172/doc/828503/detail/23
Di Seder Nakht,זִינְגְט אוּן קנאַקט מִיט דֶער בֵּייטשׁ),זִינְגְט אוּן קנאַקט מִיט דֶער בֵּייטשׁ),delivery,r_4_1l8,23,https://app.transkribus.org/collection/2372172/doc/828503/detail/23
Di Seder Nakht,"וואסילע: (גאָכ'ן געזאנג) עה קַאטִינְקא, וואוּ בּיזטוּ? וואוּ אִיז מֵיין מיטאָג?",(גאָכ'ן געזאנג),business,r_4_1l9,23,https://app.transkribus.org/collection/2372172/doc/828503/detail/23
Di Seder Nakht,"דומיטריע: (קומט צוריק אויין שרייענדיג) יאָ בּרודער, צוּם לֶעטצטֶען מאל",(קומט צוריק אויין שרייענדיג),business,r_4_1l10,23,https://app.transkribus.org/collection/2372172/doc/828503/detail/23
Di Seder Nakht,"וואָרטע, דִיעזֶע בּוּשה קֶען נוּר מִיט בּלוּט אָבּגעוואשען וֶוערֶען. (אָב).",(אָב).,exit,r_4_1l12,23,https://app.transkribus.org/collection/2372172/doc/828503/detail/23
Di Seder Nakht,"וואסילע: (פייפֿט) אַהא, דָא רֶערְט מֶען בּלוּט נַא דִיא צְוֵויי בּרידער לעבּען",(פייפֿט),business,r_4_1l13,23,https://app.transkribus.org/collection/2372172/doc/828503/detail/23
Di Seder Nakht,"נִיט אַזוי אִין פְרִיעדֶען וִויא אִיך מִיט מֵיין בּרוּדער? (צַייגט צוּם פלֶעשֶׁעל ארוִיסנֶעהמֶענְד פוּן דֶער טאש, אוּן טרִינְקט) אָבּער קַאטִינְקא, אִיך האַלט מִיר","(צַייגט צוּם פלֶעשֶׁעל ארוִיסנֶעהמֶענְד פוּן דֶער טאש, אוּן טרִינְקט)",business,r_4_1l14,23,https://app.transkribus.org/collection/2372172/doc/828503/detail/23
Di Seder Nakht,קאטינקא: (קומט אויין) דוּא בּיזט עֶס וַואסִילֶע? דֶער הֶערְר הָאט גֶעפרֶענְט,(קומט אויין),business,r_4_1l17,23,https://app.transkribus.org/collection/2372172/doc/828503/detail/23
Di Seder Nakht,"(אויפטריט קַארְל, אִין אַנגליזעה, זֶעהְט וואסִילֶען צאָרנינג קוּקְט אוֹיף אִיהְם,","(אויפטריט קַארְל, אִין אַנגליזעה, זֶעהְט וואסִילֶען צאָרנינג קוּקְט אוֹיף אִיהְם,",entrance,r_4_1l24,23,https://app.transkribus.org/collection/2372172/doc/828503/detail/23
Di Seder Nakht,וַואסִילֶע וִויל קִישֶׁען דִי הַאנְד),וַואסִילֶע וִויל קִישֶׁען דִי הַאנְד),business,r_4_1l25,23,https://app.transkribus.org/collection/2372172/doc/828503/detail/23
Di Seder Nakht,"קארל: (שטויסט איהם וועג) וועג! בּעריהרע נִישְט מֵיין הַאנְד, מִיט דַיין",(שטויסט איהם וועג),business,r_4_1l26,23,https://app.transkribus.org/collection/2372172/doc/828503/detail/23
Di Seder Nakht,קארל: (גיבט איהם א פאטש) מארְשׁ! דוּא האָסְט בּייא מִיר נִישְט מֶעהְר וואָס,(גיבט איהם א פאטש),business,TextRegion_1649274345690_507l8,24,https://app.transkribus.org/collection/2372172/doc/828503/detail/24
Di Seder Nakht,"אֵיין שׁוויינְסקֶערְל (צו וואסילע) גֶעה זאָגט מֶען דִיר, אָדער ווילסטוּ",(צו וואסילע),delivery,TextRegion_1649274345690_507l14,24,https://app.transkribus.org/collection/2372172/doc/828503/detail/24
Di Seder Nakht,אַלְט וואסִילֶען גֶעדֶענְקֶען (אָב) קַארְל זִיצְט בֵּיים טִיש מִיט דֶעם קאָפ אוֹיף זֵיי,(אָב),exit,TextRegion_1649274345690_507l20,24,https://app.transkribus.org/collection/2372172/doc/828503/detail/24
Di Seder Nakht,קארל : (ווי טריימענד) הֵיינְטֶע אִיז אִיהְר האכצַייטס-טַאג.,(ווי טריימענד),business,TextRegion_1649274345690_507l25,24,https://app.transkribus.org/collection/2372172/doc/828503/detail/24
Di Seder Nakht,קאטינקא: אִיך מוּז רוּפען דֶעם דאָקטער. (אָב).,(אָב).,exit,TextRegion_1649413230433_24l9,25,https://app.transkribus.org/collection/2372172/doc/828503/detail/25
Di Seder Nakht,"(ציִמעֶר בּיי דָוִד אַ גֶעדֶעקטֶער מִישׁ מִיט לֶעקִיך אוּן אַנְדֶערֶע זאכֶען אַנגעמאַכטץ פלֶעשֶׁעל בראָנפען, מִרְיָם שְׁטֶעהט אראנְזשִׁירְט אוּן זִיפצט אַלע מאָל).","(ציִמעֶר בּיי דָוִד אַ גֶעדֶעקטֶער מִישׁ מִיט לֶעקִיך אוּן אַנְדֶערֶע זאכֶען אַנגעמאַכטץ פלֶעשֶׁעל בראָנפען, מִרְיָם שְׁטֶעהט אראנְזשִׁירְט אוּן זִיפצט אַלע מאָל).",business,r_2_1l2,26,https://app.transkribus.org/collection/2372172/doc/828503/detail/26
Di Seder Nakht,מאיר: (פרייליך זינגענדיג) וואַס אִיז דָאס? אַזוי אִיז מֶען אַ מחוּתנת'טע? אִין,(פרייליך זינגענדיג),business,r_2_1l4,26,https://app.transkribus.org/collection/2372172/doc/828503/detail/26
Di Seder Nakht,"דוד: (קומט אריין) מרִים'ל, דֶער דאָקטער האַט געֶזָאָגְט אַז מִיר האבּען זִיך",(קומט אריין),entrance,r_2_1l6,26,https://app.transkribus.org/collection/2372172/doc/828503/detail/26
Di Seder Nakht,פַאר זִיך אַזאַ לֶעקִיך (עסט) אַזויינע טארְטֶעלִיך (עסט) אַזא אַיינגעמאכץ,(עסט),business,r_2_1l18,26,https://app.transkribus.org/collection/2372172/doc/828503/detail/26
Di Seder Nakht,פַאר זִיך אַזאַ לֶעקִיך (עסט) אַזויינע טארְטֶעלִיך (עסט) אַזא אַיינגעמאכץ,(עסט),business,r_2_1l18,26,https://app.transkribus.org/collection/2372172/doc/828503/detail/26
Di Seder Nakht,(עסט) האַט זִיך אִיהְר אַוודאי דֶער מאגֶען פערדארבּען.,(עסט),business,r_2_1l19,26,https://app.transkribus.org/collection/2372172/doc/828503/detail/26
Di Seder Nakht,מאיר: (ערשראָקען) גָאט אִיז מִיט אַייך.,(ערשראָקען),business,r_2_1l25,26,https://app.transkribus.org/collection/2372172/doc/828503/detail/26
Di Seder Nakht,"וִויא זִיא וֶועט בּאלד אִין אִיהְם פֶערְגֶעסֶען, וִויא אִין אַ חָלוֹם (טרינקט)",(טרינקט),business,r_1_1l14,27,https://app.transkribus.org/collection/2372172/doc/828503/detail/27
Di Seder Nakht,שפּעט (אב).,(אב).,exit,r_1_1l19,27,https://app.transkribus.org/collection/2372172/doc/828503/detail/27
