play	label	xmlid	count	pages
AlNaharotBavel-Amkreut&Freund1909	אֶלְיָקים	elyakim	3	28,63
AlNaharotBavel-Amkreut&Freund1909	אֶלְיָקים;	elyakim	1	63
AlNaharotBavel-Amkreut&Freund1909	אליקים	elyakim	123	7,8,9,10,11,12,13,14,15,28,29,30,32,33,34,35,36,58,60,61,62,63
AlNaharotBavel-Amkreut&Freund1909	בֶּן	ben_kaspi	27	13,14,15,16,28,29,30,32,33,35,36
AlNaharotBavel-Amkreut&Freund1909	בֶּן כַּסְפִּי	ben_kaspi	26	13,14,15,16,28,29,30,32,33,35,36
AlNaharotBavel-Amkreut&Freund1909	בֶּן כּספּי	ben_kaspi	1	14
AlNaharotBavel-Amkreut&Freund1909	בּן	ben_kaspi	2	15,31
AlNaharotBavel-Amkreut&Freund1909	בּן כַּסְפִּי	ben_kaspi	2	15,31
AlNaharotBavel-Amkreut&Freund1909	ביידע	beyde	2	49
AlNaharotBavel-Amkreut&Freund1909	דְלִילָה	delila	2	52
AlNaharotBavel-Amkreut&Freund1909	דוד	dovid	86	12,13,16,17,26,27,28,30,63
AlNaharotBavel-Amkreut&Freund1909	דלילה	delila	52	38,39,40,51,52,53,58
AlNaharotBavel-Amkreut&Freund1909	דניאל	daniel	20	8,9,10,11,31,34,35,36,56
AlNaharotBavel-Amkreut&Freund1909	הויפטמאן	hoyptman	57	34,35,36,37,40,41,49,51,52,54,55,56,57
AlNaharotBavel-Amkreut&Freund1909	זמרי	zimri	122	7,8,9,10,11,18,19,20,21,22,23,24,25,34,35,43,47,48,49,50,52,53,57,58,59
AlNaharotBavel-Amkreut&Freund1909	זרובבל	zerubavel	84	8,9,10,11,23,24,25,32,33,34,35,36,37,41,42,43,58,62,63
AlNaharotBavel-Amkreut&Freund1909	יְהוּדִית	yehudis	1	12
AlNaharotBavel-Amkreut&Freund1909	יהודִית'ל	yehudis	1	12
AlNaharotBavel-Amkreut&Freund1909	יהודית	yehudis	107	12,13,16,17,26,27,28,29,30,60,61,62,63
AlNaharotBavel-Amkreut&Freund1909	פאלמירא	palmira	97	19,20,21,22,23,24,25,44,45,46,47,52,53,54,55,59
AlNaharotBavel-Amkreut&Freund1909	קעניג	belshatsar	149	18,19,20,39,40,41,42,43,44,45,46,47,48,51,52,53,54,55,56,57,58
BasSheva	אבנר	bnr	46	12,13,15,16,17,59,60,61,62,63,65,66,67,68,69
BasSheva	אבנר, בנימין	bnr bnimin	1	16
BasSheva	אלע	alle	22	13,14,26,51,59,60,62,67,68,69,70
BasSheva	אסתר	ssr	65	28,29,30,31,32,33,46,47,48,49,50,51,52,60,61,62,63
BasSheva	בּת שבע	bs_shbe	81	7,8,9,10,11,12,14,15,23,24,26,27,36,37,38,39,49,50,51,52,53,60,61,65,66,67,68,69
BasSheva	ביידע	beyde	7	9,33,45,63
BasSheva	בנימִין	bnimin	2	47,48
BasSheva	בנימין	bnimin	87	13,15,16,17,30,31,32,33,39,40,41,42,43,44,45,46,47,48,49,60,61,63
BasSheva	בנימן	bnimin	2	16,45
BasSheva	בת שבע	bnimin	1	67
BasSheva	טייפעל	teyfel	47	18,19,20,21,35,42,43,44,45
BasSheva	למך	lmkh	25	15,22,23,26,27,61,62,63,66,68,69
BasSheva	מעדכען	meydkhen	2	35,36
BasSheva	מענער	mener	1	7
BasSheva	עָזריה	ezrih	7	7,8,9,17,21,42,65
BasSheva	עזריה	ezrih	122	8,9,12,13,14,15,16,17,18,19,20,21,27,34,35,36,38,39,40,41,42,50,51,52,53,63,64,65,66,67,68,70
BasSheva	צדוק	tsduk	123	10,11,12,13,14,15,22,23,25,26,27,28,29,30,50,54,55,56,57,58,59,60,67,68,69
BasSheva	צדיק	tsduk	5	10,26,29,67,68
BasSheva	קַאהר	chor	1	7
BasSheva	קאהר	chor	15	21,22,27,37,38,49,50,52,71
BasSheva	שלומיאל	shlumil	96	9,10,11,14,15,22,23,24,25,26,49,50,55,56,57,58,59,60,61,64,65,67,69
Blimele-AhronFaust1903	איינער	eyner	5	22,23,47,65
Blimele-AhronFaust1903	אלע	alle	12	10,15,16,22,25,40,65,67
Blimele-AhronFaust1903	בּליהמעלע	blimele	3	51,52
Blimele-AhronFaust1903	באטע	bote	2	48
Blimele-AhronFaust1903	ביידע	beyde	5	13,14,63
Blimele-AhronFaust1903	בליהמעלע	blimele	43	15,16,28,29,51,52,53,54,55,64,65
Blimele-AhronFaust1903	בערל	berele	17	7,8,9
Blimele-AhronFaust1903	גראף	graf_stanislav	111	17,18,19,20,21,22,23,24,25,40,41,43,44,48,56,57,58,59,60,61,64,65,66
Blimele-AhronFaust1903	דאמען	damen	6	10,15,26,27
Blimele-AhronFaust1903	דאניאל	doktor_daniel	81	15,16,22,23,24,25,26,27,37,38,39,40,41,48,49,50,51,52,54,55,56,65,67
Blimele-AhronFaust1903	דאניאל ליעפע זעליקל	doktor_daniel liepe zelikel_mnagen	1	41
Blimele-AhronFaust1903	דער איינער	der_einer	1	66
Blimele-AhronFaust1903	זֶעלִיקל	zelikel_mnagen	1	35
Blimele-AhronFaust1903	זעליק	zelikel_mnagen	28	7,8,9,11,12,13
Blimele-AhronFaust1903	זעליקל	zelikel_mnagen	68	8,12,15,34,35,37,38,39,42,43,44,45,46,47,48
Blimele-AhronFaust1903	ליעפע	liepe	29	7,10,14,15,16,41,42,43,44,47
Blimele-AhronFaust1903	ליעפע זעליק	liepe zelikel_mnagen	1	41
Blimele-AhronFaust1903	מאקסים	maksim	115	17,18,19,20,21,22,23,24,41,43,44,45,46,47,48,56,57,58,59,60,61,66,67
Blimele-AhronFaust1903	מאקסים גראף	maksim graf_stanislav	1	41
Blimele-AhronFaust1903	מענער	mener	6	10,15,26,27
Blimele-AhronFaust1903	מרים	miriam	24	29,31,32,33,48,49,51,54,55
Blimele-AhronFaust1903	פאויל	berele	50	16,17,19,21,22,28,29,30,31,32,33,55,56,58,59,66
Blimele-AhronFaust1903	פאזשע	pazshe	3	62,63
Blimele-AhronFaust1903	ציערעלע	tsierele	41	12,13,49,50,51,52,53,54,55
Blimele-AhronFaust1903	ציערעלע זעליקל	tsierele	3	16
Blimele-AhronFaust1903	קאר	chor	24	7,10,15,16,25,26,39,40,41,62
Blimele-AhronFaust1903	קעניג	kenig_oygust	57	23,24,25,26,27,33,34,35,36,40,62,63,64,65,66,67
DerManUnterTiff	טוּרניווער	turniver	43	5,6,7,9,10,11,12,13,14,15,16,17
DerManUnterTiff	יאכטשע	yokhtshe	45	5,6,7,8,9,11,12,13,15,16,17
DerManUnterTiff	סאָבּעֶלעֶ	sobele	1	16
DerManUnterTiff	סאבּעלע	sobele	36	5,6,7,8,9,10,11,12,13,14,15,16,17
DerManUnterTiff	קראָקעֶוועֶר	krokover	2	8,11
DerManUnterTiff	קראקאווער	krokover	3	10
DerManUnterTiff	קראקעווער	krokover	7	7,10,11,18
Di_seyder_nakht_Emkroyt_1908	) קינד	kind_2	2	65
Di_seyder_nakht_Emkroyt_1908	אַלט	alt	6	56,70
Di_seyder_nakht_Emkroyt_1908	אַלע	alle	4	32,64
Di_seyder_nakht_Emkroyt_1908	אַלע:	alle	1	64
Di_seyder_nakht_Emkroyt_1908	אלט	alt	2	70
Di_seyder_nakht_Emkroyt_1908	אלע	alle	20	5,6,9,11,19,31,42,43,48,54,64,65
Di_seyder_nakht_Emkroyt_1908	אלע:	alle	1	64
Di_seyder_nakht_Emkroyt_1908	באס	bas	2	70
Di_seyder_nakht_Emkroyt_1908	ביידע	beyde	2	59
Di_seyder_nakht_Emkroyt_1908	ביידע:	beyde	2	59
Di_seyder_nakht_Emkroyt_1908	דאמען	damen	1	62
Di_seyder_nakht_Emkroyt_1908	דאמען:	damen	1	62
Di_seyder_nakht_Emkroyt_1908	דוד	dovid_kahn	111	5,6,7,8,9,11,12,13,14,15,16,18,19,26,27,31,32,39,43,45,46
Di_seyder_nakht_Emkroyt_1908	דומיטריע	dumitriye_rizvan	130	15,16,17,20,21,22,23,44,45,46,47,49,52,53,54
Di_seyder_nakht_Emkroyt_1908	דועט	duet	1	59
Di_seyder_nakht_Emkroyt_1908	דועט:	duet	1	59
Di_seyder_nakht_Emkroyt_1908	דימיטריע	dumitriye_rizvan	2	14
Di_seyder_nakht_Emkroyt_1908	דיענער	dyener	2	14
Di_seyder_nakht_Emkroyt_1908	דעמיטריע	dumitriye_rizvan	2	14
Di_seyder_nakht_Emkroyt_1908	העלפגאט	helpgot	33	50,51,52,53,54
Di_seyder_nakht_Emkroyt_1908	העלפנאט	helpgot	1	52
Di_seyder_nakht_Emkroyt_1908	וואסילע	vasile_talhar	60	23,24,45,47,50,51,52,54
Di_seyder_nakht_Emkroyt_1908	זלמן	zelmen_kahn	133	8,9,10,11,12,13,18,19,31,35,36,37,38,39,42,43,44,46,47,49,54,67,68
Di_seyder_nakht_Emkroyt_1908	טודרוס	tudris_bik	2	29
Di_seyder_nakht_Emkroyt_1908	טודריס	tudris_bik	56	28,29,30,31,33,34
Di_seyder_nakht_Emkroyt_1908	טענאר	tenor	4	70
Di_seyder_nakht_Emkroyt_1908	מאיר	meir_dreyer	150	6,7,8,10,11,12,13,14,18,26,27,28,29,30,31,32,33,34,40,41,42,43,54
Di_seyder_nakht_Emkroyt_1908	מרים	miryam	60	6,9,10,11,12,13,14,18,26,27,31,32,39,40,41
Di_seyder_nakht_Emkroyt_1908	סאפראן	sopran	2	56
Di_seyder_nakht_Emkroyt_1908	פרעפעקט	prefekt	12	51,52,53,54
Di_seyder_nakht_Emkroyt_1908	קאָהר	kor	4	58,67
Di_seyder_nakht_Emkroyt_1908	קאהר	kor	28	55,56,58,67,68,69,70
Di_seyder_nakht_Emkroyt_1908	קאטינקא	katinka	100	20,21,22,23,24,25,35,47,48,49,53,54
Di_seyder_nakht_Emkroyt_1908	קארל	karl_rizvan	112	5,12,13,14,16,17,18,23,24,25,35,36,37,38,39,54,55,56,57,59,60
Di_seyder_nakht_Emkroyt_1908	קינדער	kinder	2	64
Di_seyder_nakht_Emkroyt_1908	ראשיל	rashel	2	68
Di_seyder_nakht_Emkroyt_1908	ראשעל	rashel	94	5,6,8,9,10,11,12,13,14,17,18,37,38,39,40,41,42,45,54,57,59,60,68,70
Di_seyder_nakht_Emkroyt_1908	ריכטער	unterzukhungs_rikhter	40	44,45,46,47,48,50,52,54
Di_seyder_nakht_Emkroyt_1908	שמש	getsil	48	30,31,33,34,42,43,44,50,51
DosYudisheHerts-1910	2 קינדער	tsvey_kinder	1	39
DosYudisheHerts-1910	אַלע	alle	3	54,69
DosYudisheHerts-1910	בּיידע	beyde	1	24
