edition,page(s),line_id / count,category,owner,issue/detail,text,suggested_action
Al Naharot Bavel,9,r1l13,schema violation,NOA,stage span requires a type attribute (no bare stage),(וויטהענד),fix per schema
Al Naharot Bavel,9,r1l31,schema violation,NOA,stage span requires a type attribute (no bare stage),"(וויל איהם אנגרייפען, זמרי שטויסט איהם אוועק)",fix per schema
Al Naharot Bavel,9,r1l13,schema violation,NOA,stage span requires a type attribute (no bare stage),(וויטהענד),fix per schema
Al Naharot Bavel,9,r1l31,schema violation,NOA,stage span requires a type attribute (no bare stage),"(וויל איהם אנגרייפען, זמרי שטויסט איהם אוועק)",fix per schema
Al Naharot Bavel,10,r1l36,untagged speaker (named),NOA,label 'זמרי' matches cast role,זמרי: חַ חַ חַ חַ הָאט שׁוֹין דָנִיאֵל פ,tag speaker xmlid:zimri
Al Naharot Bavel,12,r1l8,schema violation,NOA,stage span requires a type attribute (no bare stage),פערוואַנדלונג.,fix per schema
Al Naharot Bavel,18,r1l6,schema violation,NOA,stage span requires a type attribute (no bare stage),פֶערוואנְדְלונְג.,fix per schema
Al Naharot Bavel,19,r1l31,untagged speaker (named),NOA,label 'קעניג' matches cast role,"קעניג: יאָ דָאס וִויל אִיך, אוּן דִי גֶע",tag speaker xmlid:belshatsar
Al Naharot Bavel,25,r1l9,schema violation,NOA,stage span requires a type attribute (no bare stage),פאָרהאַנג.,fix per schema
Al Naharot Bavel,25,line_1649597840955_2176,schema violation,NOA,stage span requires a type attribute (no bare stage),עֶנְדֶע פונ'ם עֶרְשְׁטעֶן אַקט.,fix per schema
Al Naharot Bavel,31,r1l3,schema violation,NOA,stage span requires a type attribute (no bare stage),פערוואַנדלונג.,fix per schema
Al Naharot Bavel,35,r1l13,untagged speaker (named),NOA,label 'הויפטמאן' matches cast role,הויפטמאן: אִיהר שווייגט?,tag speaker xmlid:hoyptman
Al Naharot Bavel,37,r1l20,schema violation,NOA,stage span requires a type attribute (no bare stage),(פארהאנג).,fix per schema
Al Naharot Bavel,37,line_1649598655516_2903,schema violation,NOA,stage span requires a type attribute (no bare stage),(ענדע פונ'ם צווייטען אקט).,fix per schema
Al Naharot Bavel,43,r1l4,schema violation,NOA,stage span requires a type attribute (no bare stage),פערוואַנדלונג,fix per schema
Al Naharot Bavel,43,r1l15,schema violation,NOA,stage span requires a type attribute (no bare stage),פערוואַנדלונג.,fix per schema
Al Naharot Bavel,44,line_1649595572369_896,untagged speaker (named),NOA,label 'פאלמירא' matches cast role,פאלמירא:,tag speaker xmlid:palmira
Al Naharot Bavel,50,r1l25,schema violation,NOA,stage span requires a type attribute (no bare stage),פֶערוואנְדְלונְג.,fix per schema
