edition,page(s),line_id / count,category,owner,issue/detail,text,suggested_action
Bas Sheva,6,r_5_1l2,schema violation,NOA,role span requires xmlid attribute,צָדוק,fix per schema
Bas Sheva,6,r_5_1l3,schema violation,NOA,role span requires xmlid attribute,בַּת שֶׁבַע,fix per schema
Bas Sheva,6,r_5_1l4,schema violation,NOA,role span requires xmlid attribute,שְׁלוּמִיאֵל,fix per schema
Bas Sheva,6,r_5_1l5,schema violation,NOA,role span requires xmlid attribute,עֲזַרִיָה,fix per schema
Bas Sheva,6,r_5_1l6,schema violation,NOA,role span requires xmlid attribute,לֶמֶך,fix per schema
Bas Sheva,6,r_5_1l7,schema violation,NOA,role span requires xmlid attribute,אַבְנֵר,fix per schema
Bas Sheva,6,r_5_1l8,schema violation,NOA,role span requires xmlid attribute,בִּנְיָמִין,fix per schema
Bas Sheva,6,r_5_1l9,schema violation,NOA,role span requires xmlid attribute,אֶסְתֶּר,fix per schema
Bas Sheva,6,r_5_1l10,schema violation,NOA,role span requires xmlid attribute,טַייפֶֿעל,fix per schema
Bas Sheva,6,r_5_1l11,schema violation,NOA,role span requires xmlid attribute,שׁעפֿער,fix per schema
Bas Sheva,6,r_5_1l11,schema violation,NOA,role span requires xmlid attribute,"שׁעפֿעריגען,",fix per schema
Bas Sheva,6,r_5_1l11,schema violation,NOA,role span requires xmlid attribute,מיליטער,fix per schema
Bas Sheva,6,r_5_1l11,schema violation,NOA,role span requires xmlid attribute," טייפֿעל,",fix per schema
Bas Sheva,6,r_5_1l11,schema violation,NOA,role span requires xmlid attribute,בּוֹיען,fix per schema
Bas Sheva,6,r_5_1l11,schema violation,NOA,role span requires xmlid attribute,עטצ.,fix per schema
Bas Sheva,7,line_1648719077164_902,schema violation,NOA,stage span requires a type attribute (no bare stage),בּיס,fix per schema
Bas Sheva,16,TextRegion_1648725342005_1510l3,schema violation,NOA,speaker span requires xmlid attribute (link to a role xml:id),"אבנר, בנימין",fix per schema
Bas Sheva,—,role:boyen,unreferenced cast,NOA,declared in cast_dict but never used by any speaker,boyen,verify the role is real / find its speeches
Bas Sheva,—,role:militer,unreferenced cast,NOA,declared in cast_dict but never used by any speaker,militer,verify the role is real / find its speeches
Bas Sheva,—,role:shefer,unreferenced cast,NOA,declared in cast_dict but never used by any speaker,shefer,verify the role is real / find its speeches
Bas Sheva,—,role:sheferigen,unreferenced cast,NOA,declared in cast_dict but never used by any speaker,sheferigen,verify the role is real / find its speeches
Bas Sheva,—,role:teyfel_2,unreferenced cast,NOA,declared in cast_dict but never used by any speaker,teyfel_2,verify the role is real / find its speeches
