play	page	line_id	offset	mark	function	role	n	existing_tags	flag	line_text
MS_BenHaDor	0015	r2l11	0	II Returnell:	musicCue	out		stage		II Returnell: פֿערוואנדלונג
MS_BenHaDor	0015	r2l14	0	No 7	musicCue	number	7	stage		No 7  עלמת סאלא אויפֿין וואסער דיא  ש פט
MS_BenHaDor	0016	r1l2	0	N=8	musicCue	number	8	stage		N=8.
MS_BenHaDor	0017	r1l3	0	I Returnel:	musicCue	in		stage		I Returnel: .הייליג זיין וויא ראכֿע צו נעהמען אַן דען טיראן
MS_BenHaDor	0017	r1l13	28	II Returnel:	musicCue	out		speaker,stage		בן הדור |איך שווערע עס דיר. II Returnel:    No=9
MS_BenHaDor	0017	r1l13	44	No=9	musicCue	number	9	speaker,stage		בן הדור |איך שווערע עס דיר. II Returnel:    No=9
MS_BenHaDor	0017	r1l14	1	Duett	musicCue	genre		stage		"""Duett"""
MS_BenHaDor	0028	r1l15	0	1 Return:	musicCue	in		stage		1 Return: מיר שרייען קוקט אים שארף אָן
MS_BenHaDor	0028	r2l3	0	II Return:	musicCue	out		stage		II Return: קאהר זינגט מאן שלעפט אים No 11
MS_BenHaDor	0028	r2l3	11	קאהר	musicCue	genre		stage		II Return: קאהר זינגט מאן שלעפט אים No 11
MS_BenHaDor	0028	r2l3	36	No 11	musicCue	number	11	stage		II Return: קאהר זינגט מאן שלעפט אים No 11
MS_BenHaDor	0029	r1l7	0	1 Return:	musicCue	in		stage		"1 Return: "" Dromel schläge דארט מיין לפידות"
MS_BenHaDor	0029	r1l14	0	II Return:	musicCue	out		stage		II Return: אופטריט עלמת רחומה קאהר. N. 13
MS_BenHaDor	0029	r1l14	30	קאהר	musicCue	genre		stage		II Return: אופטריט עלמת רחומה קאהר. N. 13
MS_BenHaDor	0029	r1l14	36	N. 13	musicCue	number	13	stage		II Return: אופטריט עלמת רחומה קאהר. N. 13
MS_BenHaDor	0029	r2l8	0	1 Return:	musicCue	in		stage		1 Return: אים ערמארדען
MS_BenHaDor	0029	r2l13	0	II. Return:	musicCue	out		stage		II. Return: No 14 קאמט מיט מיר
MS_BenHaDor	0029	r2l13	12	No 14	musicCue	number	14	stage		II. Return: No 14 קאמט מיט מיר
MS_BenHaDor	0032	r2l2	0	1 Return:	musicCue	in		stage		1 Return: גאטט איבער מיין קינד
MS_BenHaDor	0032	r2l11	0	2 Return:	musicCue	out		stage,textStyle		2 Return: N= 15 זעה קריכֿען זינגען אללע אליבען
MS_BenHaDor	0032	r2l11	10	N= 15	musicCue	number	15	stage,textStyle		2 Return: N= 15 זעה קריכֿען זינגען אללע אליבען
MS_BenHaDor	0032	r2l12	0	Terzett	musicCue	genre		stage		Terzett
MS_BenHaDor	0033	r2l6	11	Tanz	musicCue	genre		stage		אללע טאנצן Tanz [אב]
MS_BenHaDor	0035	r2l5	0	II. Returnell:	musicCue	out		stage		II. Returnell: N= 16.
MS_BenHaDor	0035	r2l5	15	N= 16	musicCue	number	16	stage		II. Returnell: N= 16.
MS_BenHaDor	0036	r2l9	15	1 Returnell	musicCue	in		stage		קעניג בן הדור! 1 Returnell.
MS_BenHaDor	0036	r2l16	0	2.Returnell	musicCue	out		stage		2.Returnell קאהר N=17
MS_BenHaDor	0036	r2l16	12	קאהר	musicCue	genre		stage		2.Returnell קאהר N=17
MS_BenHaDor	0036	r2l16	17	N=17	musicCue	number	17	stage		2.Returnell קאהר N=17
MS_DiTsveyTnoim	0018	r2l2	0	Chor	musicCue	genre		role		Chor
MS_DiTsveyTnoim	0020	r2l7	0	Quarted	musicCue	genre		stage		Quarted No.
MS_DiTsveyTnoim	0022	r2l1	12	chor	musicCue	genre		stage		hintergrund chor on
MS_DiTsveyTnoim	0039	r1l12	13	N3	musicCue	number	3	stage		Auf: Ansal | N3 בר-נזיר. בן פּדות
MS_Emigration	0005	r1l1	0	RI	musicCue	in				RI
MS_Emigration	0005	r1l9	0	RII	musicCue	out		speaker		RII N קאהר דער שעהנער זאממער
