Play	Page	Link	Speaker label	Full line	Choose who ▼	Notes	line_id	file
KidushHashem	8	p.8	טאביאס:	טאביאס: דאָס וואָס איךְ זאָג... אוּן אִיך זאָג דאָס וואָס אַלע זאָגען:	tobyas_yulye	צריך לאחד עם העברית (טאביאס)	r1l4	0008_Kidush ha-shem - operete in 5 akten - 1909 -1-BN_63.390_0001_Page_08.xml
דאס_יידישע_קינד_Dos_yudishe_kind_a_komishe_operete	12	p.12	רב זִינְגְט	רב זִינְגְט:	רב (rov)		r_3_1_tl_19	0012_30804058.xml
דאס_יידישע_קינד_Dos_yudishe_kind_a_komishe_operete	12	p.12	זַיי	זַיי:	הֶענֶעלֶע (henele)	שועתק לא נכון, זי ולא זַיי	l	0012_30804058.xml
דאס_יידישע_קינד_Dos_yudishe_kind_a_komishe_operete	32	p.32	זי	זי:	הֶענֶעלֶע (henele)		l_10	0032_30804103.xml
דאס_יידישע_קינד_Dos_yudishe_kind_a_komishe_operete	32	p.32	ער	ער:	וולאדִיסלאוו (vladislav)		l_8	0032_30804103.xml
דאס_יידישע_קינד_Dos_yudishe_kind_a_komishe_operete	32	p.32	ער	ער:	וולאדִיסלאוו (vladislav)		l_4	0032_30804103.xml
דאס_יידישע_קינד_Dos_yudishe_kind_a_komishe_operete	32	p.32	זי	זי:	הֶענֶעלֶע (henele)		l_2	0032_30804103.xml
דאס_יידישע_קינד_Dos_yudishe_kind_a_komishe_operete	33	p.33	זי	זי:	הֶענֶעלֶע (henele)		l_3	0033_30804106.xml
דאס_יידישע_קינד_Dos_yudishe_kind_a_komishe_operete	33	p.33	זי	זי:	הֶענֶעלֶע (henele)		r_4_1_tl_4	0033_30804106.xml
דאס_יידישע_קינד_Dos_yudishe_kind_a_komishe_operete	33	p.33	זי	זי:	הֶענֶעלֶע (henele)		l_5	0033_30804106.xml
דאס_יידישע_קינד_Dos_yudishe_kind_a_komishe_operete	50	p.50	ער	ער:	שׁמֶערְל (shmerl)		l_1	0050_30804308.xml
דאס_יידישע_קינד_Dos_yudishe_kind_a_komishe_operete	50	p.50	זי	זי:	שׁפרִינְצֶע (shprintse)		l_2	0050_30804308.xml
דאס_יידישע_קינד_Dos_yudishe_kind_a_komishe_operete	51	p.51	ער	ער:	שׁמֶערְל (shmerl)		l_3	0051_30804319.xml
דאס_יידישע_קינד_Dos_yudishe_kind_a_komishe_operete	51	p.51	זי	זי:	שׁפרִינְצֶע (shprintse)		l_2	0051_30804319.xml
דאס_יידישע_קינד_Dos_yudishe_kind_a_komishe_operete	51	p.51	ער	ער:	שׁמֶערְל (shmerl)		l_1	0051_30804319.xml
דאס_יידישע_קינד_Dos_yudishe_kind_a_komishe_operete	51	p.51	זי	זי:	שׁפרִינְצֶע (shprintse)		l	0051_30804319.xml
דאס_יידישע_קינד_Dos_yudishe_kind_a_komishe_operete	52	p.52	ער	ער:	שׁמֶערְל (shmerl)		l_6	0052_30804338.xml
דאס_יידישע_קינד_Dos_yudishe_kind_a_komishe_operete	52	p.52	זי	זי:	שׁפרִינְצֶע (shprintse)		l_3	0052_30804338.xml
דאס_יידישע_קינד_Dos_yudishe_kind_a_komishe_operete	52	p.52	ער	ער:	שׁמֶערְל (shmerl)		l_2	0052_30804338.xml
דאס_יידישע_קינד_Dos_yudishe_kind_a_komishe_operete	52	p.52	זי	זי:	שׁפרִינְצֶע (shprintse)		l_1	0052_30804338.xml
דאס_יידישע_קינד_Dos_yudishe_kind_a_komishe_operete	52	p.52	ער	ער:	שׁמֶערְל (shmerl)		l	0052_30804338.xml
