source_value	wikidata_yi	english_name	wikidata_qid	resolved_category	match_status	grade	flags	candidates	confidence	entry_ids	contexts
שאַוועל		Šiauliai		unmatched	name_ambiguous	C_review	ambiguous_exact_name	"[{""kima_id"": 298, ""rom"": ""Šiauliai (Lithuania)"", ""heb"": ""שול (ליטא)""}, {""kima_id"": 22784, ""rom"": ""Siauliai (Lithuania : Ghetto)"", ""heb"": ""שול (ליטא : גיטו)""}]"	0.5	3-facs_15_tr_1752653010|5-facs_276_tr_1739221991	birth
קאפּוליע		Kapulye		unmatched	no_match	C_review		[]	0.0	3-facs_36_tr_1752653036	birth
ראַדאָמיסל		Radomyshl		unmatched	fuzzy	C_review		"[{""kima_id"": 76683, ""rom"": ""Radomyshlʹ (Z︠H︡ytomyrsʹka oblastʹ, Ukraine)"", ""heb"": ""ראדומידי (מחוז זיטומיר, אוקראינה)""}]"	0.875	3-facs_37_tr_1752653025|6-facs_109_tr_1747825072	birth
אַלעיאָוו		Oleiv Hustad		unmatched	no_match	C_review		[]	0.0	3-facs_150_tr_1754213811	birth
ברזשעזין		Brzeziny		unmatched	name_ambiguous	C_review	ambiguous_exact_name	"[{""kima_id"": 347, ""rom"": ""Berez︠h︡any (Ukraine)"", ""heb"": ""בז'ז'ני (אוקראינה)""}, {""kima_id"": 16601, ""rom"": ""Brzeziny (Łódź, Poland)"", ""heb"": ""בז'ז'ין (ליד לודז', פולין)""}]"	0.5	3-facs_315_tr_1756044901|3-facs_315_tr_1756044903	birth
אסטראָווצע		Astravyets		unmatched	fuzzy	C_review		"[{""kima_id"": 745, ""rom"": ""Ostrowiec Świętokrzyski (Poland)"", ""heb"": ""אוסטרוביץ (פולין)""}, {""kima_id"": 23695, ""rom"": ""Jastrowo (Poland)"", ""heb"": ""ישטרוב (פולין)""}]"	0.7142857142857143	5-facs_29_r_427	birth
טאָפּאַראָוו		Vladimir Toporov		unmatched	no_match	C_review		[]	0.0	5-facs_175_tr_1736588953	birth
אָסטראָג		Ostroh		unmatched	fuzzy	C_review		"[{""kima_id"": 633, ""rom"": ""Ostroh (Ukraine)"", ""heb"": ""אוסטרהא (אוקראינה)""}, {""kima_id"": 9730, ""rom"": ""Ostrów Wielkopolski (Poland)"", ""heb"": ""אוסטרוב ויילקופולסקי (פולין)""}, {""kima_id"": 78002, ""rom"": ""Ostrov (Pskovskai︠a︡ oblastʹ, Russia)"", ""heb"": ""אוסטרוב (מחוז פסקוב, רוסיה)""}, {""kima_id"": 13128, ""rom"": ""Ostrów Mazowiecka (Poland)"", ""heb"": ""אוסטרוב מזוביצק (פולין)""}]"	1.0	5-facs_188_tr_1736589047|5-facs_353_r_4	birth
אָפּאָליע		Opolye		unmatched	no_match	C_review		[]	0.0	5-facs_189_tr_1736589045	birth
פֿעאָדאָסיאָ		(1048) Feodosia		unmatched	no_match	C_review		[]	0.0	5-facs_293_tr_1739221835	birth
בערלינעץ		Alain Berlinet		unmatched	no_match	C_review		[]	0.0	5-facs_602_r	birth
באָפֿאַלע		Bison		unmatched	no_match	C_review		[]	0.0	6-facs_62_tr_1747746110	birth
דזשיקעוו		Dzhykiv		unmatched	no_match	C_review		[]	0.0	6-facs_608_tr_1747930290|6-facs_653_r	birth
וויזון		mink		unmatched	no_match	C_review		[]	0.0	6-facs_660_tr_1747931529	birth
זשיאַוואַטאָוו		Vitaly Zhivatov		unmatched	no_match	C_review		[]	0.0	7-facs_49_tr_1756359774	birth
