current_official_name,name_1945_1991,name_1918_1939,name_pre_1918,region,north_latitude,east_longitude,km_from,dir_from,nearest_major_city,yiddish_transcription,born_there_yiddish,yiddish_name,country,lat_dec,lon_dec,_parent_resolved,_match_status,_match_method,_grade,_confidence,_sound_match,_flags,_kima_id,_kima_name_rom,_kima_name_heb,_distance_km,_candidates
Berezne (U),Beryozno (R),Berezno (P),,Volhynia,51° 0',26° 45',50,NNE,Rivne,/BEREZNE/,־־,בערעזנע,Ukraine,51.0000,26.7500,,name_exact,name_exact,B_review,0.95,False,phonetic_mismatch,347,Berez︠h︡any (Ukraine),בז'ז'ני (אוקראינה),215.3,347
Ladyhy (U),Ladygi (R),,,eastern Ukraine,49° 45',27° 28',45,NE,Khmel'nyts'kyy,/LADI'?/,־־,לאַדי,Ukraine,49.7500,27.4667,,name_exact,name_exact,B_review,0.95,False,phonetic_mismatch,21831,Lyady (Belarus),ליאדי (בלארוס),595.4,21831
Odesa (U),Odessa /adyesa/ (R),,,eastern Ukraine,46° 28',30° 44',,,,/ADE'S/,"מ. אַבאַרבאַנעל, יעקבֿ פּ. אַדלער, אַריה אַהרוני, הערש אַמאַסיע, שאָול באָראָוואָי, ישׂראל באַרסקי, רחל בוימוואָל, אַבֿרהם־יצחק בוכבינדער, נחום בוכבינדער, ישׂראל בן־ימיני, משה־אליעזר בעלינסאָן/ביילינסאָן, ש. גאָלדבערג, חיים גאָלדשטרײַך, נייטהען ה. האָרשטיין, שמואל הויכבוים, צבֿי היילוואַרג, אַבֿרהם וואַרשאַווסקי, מאַרק וואַרשאַווסקי, בערנאַרד ווײַנשטיין, ראובֿן ווײַסמאַן, פּלטיאל זאַמאָשטשין, מיכאל זאַמעטקין, ברוך זילבערמאַן, וולאַדימיר זשאַבאָטינסקי, קלמן (קאָליאַ) טעפּער, דוד כּהנא, לעאָנאַרד לאַנדעס, לייזער לאַסאַוויין, בן־ציון לעווין, חנה לערנער, יוכבֿד לערנער, יוסף מאָגוליאַנסקי, יעקבֿ מאַגידאָוו, רודאָלף מאַרקס, חיים (הײַמאַן) מײַזעל, שלמה נאַוּמאָוו (זאַסלאַווסקי), יוסף סאַפּיר, איטע סאָפֿמאַן, איזראַעל עדעלמאַן, יוסף פֿאָשקאַ, מאָזעס פֿריהמאַן, מרים צונזער־שמר; (לעבן אַדעס) סאָניע גערבערט, נחמן לעשטשענסקי, מאַרק מייערסאָן, חיים־שלום סליווקין",אַדעס,Ukraine,46.4667,30.7333,,name_exact,name_exact,B_review,0.95,False,phonetic_mismatch,740,Odesa (Ukraine),אודסה (אוקראינה),1.2,740
Olyka (U),Olyka (R),Ołyka (P),,Volhynia,50° 43',25° 49',25,WNW,Rivne,/ALI'K/,--,אַליק,Ukraine,50.7167,25.8167,,name_exact,name_exact,B_review,0.95,False,phonetic_mismatch,1645,Olyka (Ukraine),אוליקה (אוקראינה),0.0,1645
Brok (P),,,,Congress Poland,52° 42',21° 51',70,NE,Warszawa,/BROK/,"אַבֿרהם־מרדכי אָרזשיצער, שמואל זאַראָמב, דוד מאַרקוס, נחום סטוטשקאָוו",בראָק,Poland,52.7000,21.8500,,name_exact,name_exact,B_review,0.95,False,phonetic_mismatch,3084,Brač Island (Croatia),בראק (אי) (קרואטיה),,3084
Działoszyce (P),,,,Congress Poland,50° 22',20° 21',45,NE,Kraków,/ZA'LEShITs/,יהודה־לייב לאַנדוי,זאַלעשיץ,Poland,50.3667,20.3500,,name_exact,name_exact,B_review,0.95,False,phonetic_mismatch,23797,Zaliztsi (Ukraine),זלוזיץ (אוקראינה),364.3,23797
Iłża (P),,,,Congress Poland,51° 10',21° 15',55,NE,Kielce,/DRILTSh/,יחיאל נײַמאַן,דרילטש,Poland,51.1667,21.2500,,name_exact,name_exact,B_review,0.95,False,phonetic_mismatch,18015,Iłża (Poland),אילז'ה (פולין),0.0,18015
Kazimierz Dolny (P),,,,Congress Poland,51° 19',21° 57',40,WNW,Lublin,/KU:ZMER/,"משה כּץ, לייב ראַשקין, שמואל־לייב שנײַדערמאַן",קוזמיר,Poland,51.3167,21.9500,,name_exact,coords,B_review,0.85,True,,7347,"Kazimierz (Puławy, Poland)","קוזמיר (ליד לובלין, פולין)",0.6,7347|13680
Koło (P),,,,Congress Poland,52° 12',18° 38',75,NW,Łódź,/KOy(E)L/ (adjective: /KAyLER/),"מרדכי האַלטער, אַבעל יאַרמוש, יעקבֿ יאַרמוש, דוד שמולעווסקי",קויל,Poland,52.2000,18.6333,,name_exact,name_exact,B_review,0.95,False,phonetic_mismatch,12012,"Koło (Konin, Poland)","קולו (קונין, פולין)",0.0,12012
Ładzin (P),,,,Congress Poland,51° 7,19° 5',75,SSW,Łódź,/LADZI:'?N/,פּסח פּאָדאָלאַק,לאַדזין,Poland,51.1167,19.0833,,name_exact,name_exact,B_review,0.95,False,phonetic_mismatch,23709,Ladyzhin (Ukraine),לדיז'ין (אוקראינה),775.2,23709
