attestation_id,source_corpus,source_record_id,org_db_id,source_field,context,source_value,source_value_script,link_status,qid,label_en,label_yi,place_type,category,kima_id,kima_rom,kima_heb,lat,lon,maaty_qid,maaty_qid_conflict,rejected_qid,relink_source,suggested_qid,suggested_english,is_descriptor,review_flags,link_method
P-4-facs_95_tr_1753602024#place#1,person,4-facs_95_tr_1753602024,,place,burial,טאַראַנטאָ,hebrew,linked,Q172,Toronto,טאראנטא,"city, provincial or territorial capital city in Canada, single-tier municipality, big city, largest city, financial center, census division of Canada",settlement,753,Toronto (Ont.),טורונטו (אונטריו),43.670278,-79.386667,,,,,,,,,
P-4-facs_96_tr_1753602020#place#1,person,4-facs_96_tr_1753602020,,place,burial,לאָס אַנדזשעלעס,hebrew,linked,Q65,Los Angeles,לאס אנדזשעלעס,"charter city, city in the United States, city, global city, metropolis, megacity, business cluster, big city, LGBT sanctuary city",settlement,154,Los Angeles (Calif.),לוס אנג'לס (קליפורניה),34.052230,-118.243680,,,,,,,,,
P-4-facs_103_tr_1753681918#place#1,person,4-facs_103_tr_1753681918,,place,burial,באַראָן הירש סעמעטערי,hebrew,needs_review,Q4862481,Baron Hirsch Cemetery,,Jewish cemetery,cemetery,,,,,,,,,,,,,place_province_mismatch,
P-4-facs_103_tr_1753681918#province#1,person,4-facs_103_tr_1753681918,,province,burial,ניו דזשוירזי,hebrew,linked,Q1408,New Jersey,ניו זשערסי,U.S. state,province,8821,New Jersey,ניו ג'רזי,,,,,,,,,,,
P-4-facs_115_tr_1753936446#place#1,person,4-facs_115_tr_1753936446,,place,burial,בית עולם פון די „אַדלערס יאָנג מענס“,hebrew,linked,Q2341172,Mount Hebron Cemetery,,"cemetery, Jewish cemetery",cemetery,1692,West Bank,גדה מערבית,,,,,,,,,,,
P-4-facs_138_tr_1754224987#place#1,person,4-facs_138_tr_1754224987,,place,burial,וואַשינגטאָנער בית עולם,hebrew,linked,Q7971720,Washington Cemetery,,Jewish cemetery,cemetery,,,,,,,,,,,,,,
P-4-facs_138_tr_1754224987#settlement#1,person,4-facs_138_tr_1754224987,,settlement,burial,ניו יאָרק,hebrew,linked,Q60,New York City,ניו יארק,"global city, port city, city in the United States, city, big city, largest city, city in the state of New York, metropolis, megacity",settlement,32,New York (N.Y.),ניו יורק (נ.י.),40.712778,-74.006111,,,,,,,,,
P-4-facs_141_tr_1754377601#place#1,person,4-facs_141_tr_1754377601,,place,burial,פּאַריז,hebrew,linked,Q90,Paris,פאריז,"commune of France, territorial collectivity of France with special status, metropolis, tourist destination, global city, megacity, largest city, college town, big city, primate city, national capital",settlement,419,Paris (France),פריס (צרפת),48.856667,2.352222,,,,,,,,,
P-4-facs_201_tr_1754998574#settlement#1,person,4-facs_201_tr_1754998574,,settlement,burial,נ. י.,hebrew,linked,Q60,New York City,ניו יארק,"global city, port city, city in the United States, city, big city, largest city, city in the state of New York, metropolis, megacity",settlement,32,New York (N.Y.),ניו יורק (נ.י.),40.712778,-74.006111,,,,,,,,,
P-4-facs_207_tr_1754998369#province#1,person,4-facs_207_tr_1754998369,,province,burial,לאָס אַנדזשעלעס,hebrew,needs_review,Q65,Los Angeles,לאס אנדזשעלעס,"charter city, city in the United States, city, global city, metropolis, megacity, business cluster, big city, LGBT sanctuary city",settlement,154,Los Angeles (Calif.),לוס אנג'לס (קליפורניה),34.052230,-118.243680,,,,,,,,province_role_mismatch,
