variant,script,corpora,occurrences,fields,contexts,suggested_qid,suggested_english,is_descriptor,attestation_ids
סעקאָנד עוועניו,hebrew,org,7,addresses;venues,,,,,O-ORG-C00267#venues#1;O-ORG-C00340_Q01#addresses#3;O-ORG-C00634#addresses#2;O-ORG-C00679#venues#1;O-ORG-C00682#venues#8;O-ORG-C00682#addresses#2;O-ORG-C01666#addresses#1
עלדאָראַדאָ,hebrew,org,7,venues,,,,,O-ORG-C00023#venues#1;O-ORG-C00024#venues#3;O-ORG-C00144_Q01#venues#2;O-ORG-C00144_Q02#venues#1;O-ORG-C00144_Q03#venues#1;O-ORG-C00166#venues#2;O-ORG-C02258#venues#6
אוניווערזיטעט,hebrew,org,6,venues,,,,,O-ORG-C01892#venues#1;O-ORG-C03694_Q01#venues#2;O-ORG-C03694_Q02#venues#1;O-ORG-C03694_Q03#venues#1;O-ORG-C03694_Q04#venues#1;O-ORG-C03694_Q09#venues#1
גימנאַזיע,hebrew,org,6,venues,,,,,O-ORG-C00145#venues#1;O-ORG-C03216#venues#1;O-ORG-C05089#venues#1;O-ORG-C07029#venues#1;O-ORG-C07030#venues#1;O-ORG-C07031#venues#1
האָפּקינסאָן-טעאַטער,hebrew,org,6,venues,,,,,O-ORG-C00294#venues#5;O-ORG-C00360_Q01#venues#4;O-ORG-C00360_Q02#venues#3;O-ORG-C00360_Q03#venues#3;O-ORG-C00360_Q04#venues#1;O-ORG-C05999#venues#1
ליריק טעאַטער,hebrew,org,6,venues,,,,,O-ORG-C00338_Q01#venues#2;O-ORG-C00338_Q02#venues#1;O-ORG-C00338_Q03#venues#2;O-ORG-C00338_Q04#venues#1;O-ORG-C00590_Q01#venues#4;O-ORG-C04645#venues#1
ליריק-טעאַטער,hebrew,org,6,venues,,,,,O-ORG-C00338_Q01#venues#4;O-ORG-C00338_Q02#venues#2;O-ORG-C00338_Q03#venues#3;O-ORG-C00338_Q04#venues#2;O-ORG-C00338_Q05#venues#2;O-ORG-C00988#venues#6
מלוכה-טעאַטער,hebrew,org,6,venues,,,,,O-ORG-C01567_Q01#venues#1;O-ORG-C01567_Q03#venues#1;O-ORG-C01567_Q04#venues#1;O-ORG-C02110#venues#1;O-ORG-C02849_Q11#venues#2;O-ORG-C02976#venues#1
פּוילישן טעאַטער,hebrew,org,6,venues,,,,,O-ORG-C00441_Q01#venues#1;O-ORG-C00441_Q02#venues#1;O-ORG-C00441_Q04#venues#1;O-ORG-C00441_Q06#venues#1;O-ORG-C00849#venues#1;O-ORG-C01756#venues#1
שטאָט-טעאַטער,hebrew,org,6,venues,,,,,O-ORG-C00422_Q01#venues#2;O-ORG-C00422_Q04#venues#1;O-ORG-C00422_Q05#venues#1;O-ORG-C00422_Q06#venues#1;O-ORG-C01439_Q06#venues#1;O-ORG-C02882#venues#1
בית עולם,hebrew,org;person,5,place;venues,burial,,,,P-4-facs_279_tr_1754998499#place#3;O-ORG-C00198_Q01#venues#1;O-ORG-C00270#venues#2;O-ORG-C03890#venues#1;O-ORG-C04732#venues#1
גאַליצישער פּראָווינץ,hebrew,org,5,venues,,,,True,O-ORG-C00045#venues#2;O-ORG-C02605#venues#2;O-ORG-C02609#venues#2;O-ORG-C02612#venues#2;O-ORG-C05400#venues#1
גימפּעלס טעאַטער,hebrew,org,5,venues,,,,,O-ORG-C00607#venues#6;O-ORG-C00862#venues#1;O-ORG-C03049#venues#1;O-ORG-C05399#venues#1;O-ORG-C06446#venues#1
גענשער בית עולם,hebrew,person,5,place,burial,,,,P-5-facs_189_tr_1736589045#place#3;P-5-facs_264_tr_1739221906#place#3;P-5-facs_453_tr_1739221401#place#3;P-5-facs_529_tr_1739221773#place#3;P-6-facs_241_tr_1747928957#place#3
ישיבה,hebrew,org,5,venues,,,,,O-ORG-C01133_Q01#venues#1;O-ORG-C01133_Q02#venues#1;O-ORG-C01133_Q06#venues#1;O-ORG-C04216#venues#1;O-ORG-C04981#venues#1
ליבערטי-טעאַטער,hebrew,org,5,venues,,,,,O-ORG-C00157_Q01#venues#4;O-ORG-C00157_Q02#venues#2;O-ORG-C00157_Q03#venues#2;O-ORG-C00592#venues#3;O-ORG-C05170#venues#1
ליבערטי-טעאַטער,hebrew,org,5,venues,,,,,O-ORG-C00157_Q01#venues#5;O-ORG-C00157_Q02#venues#3;O-ORG-C00157_Q03#venues#3;O-ORG-C00157_Q04#venues#1;O-ORG-C00592#venues#5
לעשנא 2,hebrew,org,5,addresses,,,,,O-ORG-C00448_Q02#addresses#1;O-ORG-C00631_Q01#addresses#1;O-ORG-C02654_Q01#addresses#1;O-ORG-C02654_Q02#addresses#1;O-ORG-C03071#addresses#1
קאַמינסקי-טעאַטער,hebrew,org,5,venues,,,,,O-ORG-C00103#venues#19;O-ORG-C00106#venues#7;O-ORG-C00506#venues#5;O-ORG-C00672#venues#3;O-ORG-C01280#venues#1
רעדאַקציע,hebrew,org,5,venues,,,,,O-ORG-C00257_Q01#venues#5;O-ORG-C00336#venues#1;O-ORG-C00521#venues#1;O-ORG-C00525#venues#1;O-ORG-C05188#venues#2
בויערי,hebrew,org,4,addresses;venues,,,,,O-ORG-C00340_Q01#addresses#1;O-ORG-C00477_Q01#addresses#1;O-ORG-C01692_Q01#addresses#1;O-ORG-C07195#venues#1
בראָדוועי,hebrew,org,4,addresses;venues,,,,,O-ORG-C00265_Q01#addresses#1;O-ORG-C01263#venues#2;O-ORG-C01325#addresses#1;O-ORG-C03768#addresses#1
גרענד סטריט,hebrew,org,4,addresses,,,,,O-ORG-C00478#addresses#1;O-ORG-C00684#addresses#1;O-ORG-C01096#addresses#1;O-ORG-C07102#addresses#1
זשיגניצא,hebrew,org,4,venues,,,,,O-ORG-C00663#venues#1;O-ORG-C00668#venues#1;O-ORG-C03539#venues#1;O-ORG-C04337#venues#1
טאַליאַ טעאַטער,hebrew,org,4,venues,,,,,O-ORG-C00515_Q01#venues#3;O-ORG-C00515_Q05#venues#1;O-ORG-C00629#venues#2;O-ORG-C06458#venues#1
טלאָמאַצקע,hebrew,org,4,addresses,,,,,O-ORG-C00772#addresses#1;O-ORG-C01102#addresses#2;O-ORG-C02633_Q02#addresses#1;O-ORG-C02640_Q01#addresses#1
טעאַטער,hebrew,org,4,venues,,,,,O-ORG-C00470_Q01#venues#1;O-ORG-C02934#venues#1;O-ORG-C04013#venues#1;O-ORG-C05123#venues#1
יידישן קונסט-טעאַטער,hebrew,org,4,venues,,,,,O-ORG-C00179#venues#2;O-ORG-C00180_Q01#venues#6;O-ORG-C03590#venues#1;O-ORG-C04319#venues#1
ליריק-טעאַטער,hebrew,org,4,venues,,,,,O-ORG-C00338_Q02#venues#3;O-ORG-C00988#venues#7;O-ORG-C04168#venues#1;O-ORG-C04645#venues#2
מוראַנאָווער טעאַטער,hebrew,org,4,venues,,,,,O-ORG-C00116#venues#2;O-ORG-C00168#venues#3;O-ORG-C00601#venues#1;O-ORG-C01285#venues#2
ניו-יאָרקער,hebrew,org,4,venues,,,,,O-ORG-C00155_Q01#venues#2;O-ORG-C00320#venues#1;O-ORG-C01563_Q02#venues#1;O-ORG-C02580#venues#1
נייער יידישער טעאַטער,hebrew,org,4,venues,,,,,O-ORG-C00178_Q01#venues#1;O-ORG-C00178_Q03#venues#1;O-ORG-C00178_Q04#venues#1;O-ORG-C00804#venues#1
נעשאַנאַל-טעאַטער,hebrew,org,4,venues,,,,,O-ORG-C00340_Q01#venues#10;O-ORG-C01955_Q01#venues#1;O-ORG-C01955_Q02#venues#1;O-ORG-C03895#venues#5
נעשאָנאַל טעאַטער,hebrew,org,4,venues,,,,,O-ORG-C00340_Q01#venues#14;O-ORG-C00340_Q02#venues#1;O-ORG-C00340_Q03#venues#1;O-ORG-C06727#venues#1
סקאַלאַ-טעאַטער,hebrew,org,4,venues,,,,,O-ORG-C00409_Q01#venues#4;O-ORG-C00409_Q02#venues#4;O-ORG-C00579#venues#11;O-ORG-C03009#venues#4
עליזעום-טעאַטער,hebrew,org,4,venues,,,,,O-ORG-C00191#venues#4;O-ORG-C00533#venues#2;O-ORG-C01511#venues#2;O-ORG-C01898#venues#2
שטאָטישער שול,hebrew,org,4,venues,,,,,O-ORG-C00271_Q01#venues#2;O-ORG-C00271_Q04#venues#1;O-ORG-C00271_Q06#venues#1;O-ORG-C01063#venues#1
תלמוד תורה,hebrew,org,4,venues,,,,,O-ORG-C00459_Q01#venues#1;O-ORG-C00459_Q05#venues#1;O-ORG-C00459_Q08#venues#1;O-ORG-C00459_Q09#venues#1
82 קלינטאָן סטריט,hebrew,org,3,addresses;venues,,,,True,O-ORG-C04761#addresses#1;O-ORG-C07151#venues#1;O-ORG-C07151#addresses#1
אָדעאָן-טעאַטער,hebrew,org,3,venues,,,,,O-ORG-C02116_Q01#venues#2;O-ORG-C02116_Q02#venues#1;O-ORG-C02116_Q03#venues#1
אוירווינג פלייס טעאַטער,hebrew,org,3,venues,,,,,O-ORG-C00180_Q01#venues#3;O-ORG-C00353#venues#3;O-ORG-C03531#venues#1
אוירווינג פלייס-טעאַטער,hebrew,org,3,venues,,,,,O-ORG-C00353#venues#4;O-ORG-C05734#venues#1;O-ORG-C06595#venues#1
