source_value	wikidata_yi	english_name	wikidata_qid	resolved_category	kima_id	kima_rom	kima_heb	match_status	grade	flags	entry_ids	contexts	is_new_variant	source
אַטלאַנטיק סיטי		Atlantic City		unmatched	712	Atlantic City (N.J.)	אטלנטיק סיטי (ניו ג'רזי)	name_exact	A_autolink		4-facs_138_tr_1754224987|6-facs_28_r_2	death	yes	Zylbercweig lexicon
כאָרבין		Harbin		unmatched	321	Harbin (China)	חרבין (סין)	name_exact	A_autolink		1-facs_301_tr_1741260452|1-facs_201_tr_1741260327	death	yes	Zylbercweig lexicon
זוויעניגראָדקאָ		Zvenyhorodka		unmatched	23182	Zvenyhorodka (Ukraine)	זבניגורודקה (אוקראינה)	name_exact	A_autolink		2-facs_273_tr_1744280704	death	yes	Zylbercweig lexicon
אָשוויענטשים		Auschwitz		unmatched	11759	Oświęcim (Poland)	אושויץ (פולין)	name_exact	A_autolink		5-facs_153_tr_1735652603|5-facs_439_tr_1739220587	death	yes	Zylbercweig lexicon
אשוויענטשים		Auschwitz		unmatched	11759	Oświęcim (Poland)	אושויץ (פולין)	name_exact	A_autolink		5-facs_175_tr_1736588953|5-facs_371_tr_1739222499|5-facs_509_tr_1739221079|5-facs_560_tr_1739220846|5-facs_568_tr_1739221639	death	yes	Zylbercweig lexicon
אָסוויענטשים		Auschwitz		unmatched	11759	Oświęcim (Poland)	אושויץ (פולין)	name_exact	A_autolink		5-facs_225_tr_1739222150	death	yes	Zylbercweig lexicon
לאָמזשע		Łomża		unmatched	156	Łomża (Poland)	לומזה (פולין)	name_exact	A_autolink		6-facs_210_tr_1747928994|4-facs_668_tr_1755029974|1-facs_254_tr_1741260243|1-facs_277_tr_1741260247	death|birth	yes	Zylbercweig lexicon
האַמעל		Homiel		unmatched	10963	Homelʹ (Belarus)	הומל (בלארוס)	name_exact	A_autolink		7-facs_63_r_4|4-facs_661_tr_1755030261|2-facs_175_tr_1744279183|5-facs_431_tr_1739220740	death|birth	yes	Zylbercweig lexicon
זלאַטשעוו		Zolochiv		unmatched	18969	Zolochiv (Kharkivsʹka oblastʹ, Ukraine)	זולוצ'יב (מחוז חרקיב, אוקראינה)	name_exact	A_autolink		7-facs_73_r|2-facs_67_tr_1744131421	death|birth	yes	Zylbercweig lexicon
סאַנדאָוו ווישניאַ		Sudova Vyshnia		unmatched	13173	Sudova Vyshni︠a︡ (Ukraine)	סונדובה וישניא (אוקראינה)	name_exact	A_autolink		4-facs_91_tr_1753602024	birth	yes	Zylbercweig lexicon
לופץ		Luboml		unmatched	16161	Li︠u︡bomlʹ (Ukraine)	לובומל (אוקראינה)	name_exact	A_autolink		4-facs_99_r_2	birth	yes	Zylbercweig lexicon
קאָנאַטאָפּ		Konotop		unmatched	17312	Konotop (Sumsʹka oblastʹ, Ukraine)	קונוטופ (מחוז סומי, אוקראינה)	name_exact	A_autolink		4-facs_102_r_1|1-facs_85_r_6	birth	yes	Zylbercweig lexicon
זלאָטשעוו		Zolochiv		unmatched	18969	Zolochiv (Kharkivsʹka oblastʹ, Ukraine)	זולוצ'יב (מחוז חרקיב, אוקראינה)	name_exact	A_autolink		4-facs_252_tr_1754998536|2-facs_293_tr_1744280709|2-facs_296_r|2-facs_398_r|5-facs_112_tr_1733832830|7-facs_72_tr_1757228897	birth	yes	Zylbercweig lexicon
טאוסט		Tovste		unmatched	19256	Tovste (Ternopilʹsʹka oblastʹ, Ukraine)	טלוסטה (אוקראינה)	name_exact	A_autolink		4-facs_321_tr_1754998460	birth	yes	Zylbercweig lexicon
קאַלושיין		Kałuszyn		unmatched	18019	Kałuszyn (Warsaw, Poland)	קאלושין (ורשה, פולין)	name_exact	A_autolink		4-facs_355_tr_1754998470	birth	yes	Zylbercweig lexicon
וואָלין		Zwoleń		unmatched	14072	Zwoleń (Radom, Poland)	זוואלין (ראדום, פולין)	name_exact	A_autolink		4-facs_375_tr_1755029878	birth	yes	Zylbercweig lexicon
קאַנאַטאָפּ		Konotop		unmatched	17312	Konotop (Sumsʹka oblastʹ, Ukraine)	קונוטופ (מחוז סומי, אוקראינה)	name_exact	A_autolink		4-facs_386_tr_1755029933	birth	yes	Zylbercweig lexicon
קאָלנע		Kolno		unmatched	13492	Kolno (Łomża, Poland)	קולנה (לומז'ה, פולין)	name_exact	A_autolink		4-facs_404_tr_1755030317	birth	yes	Zylbercweig lexicon
קוטנע		Kutno		unmatched	384	Kutno (Poland)	קוטנו (פולין)	name_exact	A_autolink		4-facs_405_tr_1755029979|1-facs_98_tr_1740520999|2-facs_340_tr_1744365805	birth	no	Zylbercweig lexicon
אַסטראָפּאָליע		Starokostiantyniv		unmatched	19134	Starokosti︠a︡ntyniv (Ukraine)	סטארוקוסטיאנטיניב (אוקראינה)	name_exact	A_autolink		4-facs_433_tr_1755030211	birth	yes	Zylbercweig lexicon
כאָטין		Khotyn		unmatched	16674	Khotyn (Ukraine)	חוטין (אוקראינה)	name_exact	A_autolink		4-facs_446_tr_1755029997|2-facs_192_r_8|5-facs_208_tr_1739221724	birth	yes	Zylbercweig lexicon
זבאַראָוו		Zbarazh		unmatched	12047	Zbaraz︠h︡ (Ternopilʹsʹka oblastʹ, Ukraine)	זברז' (אוקראינה)	name_exact	A_autolink		4-facs_599_tr_1755030067	birth	yes	Zylbercweig lexicon
טשאַרטקאָוו		Chortkiv		unmatched	18410	Chortkiv (Ukraine)	צ'ורטקוב (אוקראינה)	name_exact	A_autolink		4-facs_660_tr_1755030252|7-facs_84_tr_1757228895	birth	yes	Zylbercweig lexicon
זשיראַרדאָוו		Żyrardów		unmatched	11623	Żyrardów (Poland)	ז'ירדוב (פולין)	name_exact	A_autolink		4-facs_662_tr_1755029946|5-facs_600_r_77	birth	yes	Zylbercweig lexicon
מלאָוואַ		Mława		unmatched	241	Mława (Poland)	מלוה (פולין)	name_exact	A_autolink		1-facs_205_tr_1741260263	birth	yes	Zylbercweig lexicon
דיבנע		Dubno		unmatched	27049	Dubno (Ukraine : Powiat)	דובנו (אוקראינה : מחוז)	name_exact	A_autolink		1-facs_250_tr_1741260274	birth	yes	Zylbercweig lexicon
ראָדזימין		Radzymin		unmatched	18483	Radzymin (Poland)	רדזימין (פולין)	name_exact	A_autolink		1-facs_254_tr_1741260244|2-facs_286_tr_1744280812	birth	yes	Zylbercweig lexicon
רואיזנא		Ruzhana		unmatched	20849	Ruzhany (Belarus)	רוז'ינוי (בלארוס)	name_exact	A_autolink		1-facs_255_tr_1741260322	birth	yes	Zylbercweig lexicon
קאָלאָמעאָ		Kolomyia		unmatched	1674	Kolomyi︠a︡ (Ukraine)	קולומיה (אוקראינה)	name_exact	A_autolink		1-facs_276_tr_1741260308	birth	yes	Zylbercweig lexicon
אַלענטאָן		Allentown		unmatched	7381	Allentown (Pa.)	אלנטאון (פנסילבניה)	name_exact	A_autolink		1-facs_278_r_2	birth	yes	Zylbercweig lexicon
