current_official_name,name_1945_1991,name_1918_1939,name_pre_1918,region,north_latitude,east_longitude,km_from,dir_from,nearest_major_city,yiddish_transcription,born_there_yiddish,yiddish_name
Belz (U),Belz (R),Bełz (P),,east Galicia,50° 23',24° 1',60,N,L'viv,/BELDZ/,"ישעיה גאָלדשטיין, יוסף פֿאַלק",בעל(ד)ז
Bene (U),Dobroselye? (R),Beňa? (Cz),Bene (H),Transcarpathia,48° 10',22° 45',30,S,Mukacheve,/BENE/,---,בענע
Benedykivtsi (U),Benedikovtsy? (R),Benedikovce? (Cz),Benedeki (H),Transcarpathia,48° 29',22° 35',10,NW,Mukacheve,/BNE'TKEVITs/,---,בנעדקעוויץ
Berdyans'k (U),Berdyansk? (R),,,eastern Ukraine,46° 45',36° 47',160,SE,Zaporizhzhya,/BERDYA'NSK/,־־,בערדיאַנסק
Berdychiv (U),Berdichev (R),,,eastern Ukraine,49° 54',28° 35',35,SSW,Zhytomyr,/BARDITShEV/,־־,באַרדיטשעוו
Berehomet (U),Beregomet (R),Berhomet (Rm),,north Bukovina,48° 10',25° 19',45,WSW,Chernivtsi,/BEREME'T/,־־,בערעמעט
Berehove (U),Beregovo (R),Berehovo (Cz),Beregszász (H),Transcarpathia,48° 13',22° 39',25,SSW,Mukacheve,"/BE'REKSAS/, /BERHI'/?",---,"בערעגסאַס, בערהי?"
Berestechko (U),Berestechko (R),Beresteczko (P),,Volhynia,50° 21',25° 7',45,SSW,Luts'k,/BRE'STETShKE/,דוד פּוכאַלניק,ברעסטעטשקע
Berezan' (U),Berezan' (R),,,eastern Ukraine,50° 19',31° 28',60,ESE,Kyiv,/BEREZA'N/,־־,בערעזאַן
Berezdiv (U),Berezdov (R),,,eastern Ukraine,50° 28',27° 7',60,ESE,Rivne,/BEREZDI'?V/,־־,בערעזדיוו
Berezhany (U),Berezhany (R),Brzeżany (P),,east Galicia,49° 27',24° 56',50,WSW,Ternopil',/BERZhA'N/,שמואל טענענבוים,בערזשאַן
Berezivka (U),Berezovka (R),,,eastern Ukraine,,,,,?,/BERE'ZEFKE/,ישׂראל־דוד פֿינגערמאַן,בערעזעווקע
Berezna Volya (U),,,,Volhynia,51° 46',25° 35',100,NNE,Luts'k,/BREZNEVOLyE/,--,ברעזנעוואָליע
Berezne (U),Beryozno (R),Berezno (P),,Volhynia,51° 0',26° 45',50,NNE,Rivne,/BEREZNE/,־־,בערעזנע
Bereznyky (U),Bereznik?i (R),Březník?,Bereznek (H),Transcarpathia,48° 31',23° 14',35,E,Mukacheve,/BEREZNIK/ (stress?),---,בערעזניק
Berezovo (U),Beryozovo? Berezovoye? (R),Berezová,Berezna (H),Transcarpathia,48° 18',23° 29',55,ESE,Mukacheve,/BEREZIV/,---,בערעזיוו
Berkhomitka (U),"Bergometka, Berkhomitka (R)",Berhometca (Rm),,north Bukovina,48° 22',25° 42',15,NW,Chernivtsi,/BEROMITKE/,־־,בעראָמיטקע
Bershad' (U),Bershad' (R),,,eastern Ukraine,48° 22',29° 31',50,NNW,Balta,/BERShED/,"מאיר אַלבערטאָן, נחמן הובערמאַן, פֿוליע טשערנער, משה פֿישער, שיינדל פֿראַנצוזסקי־גאַרפֿינקעל, ישׂראל פֿריד",בערשעד
Bezbrody (U),Bezbrudy (R),Bezbrudy (P),,east Galicia,49° 55',24° 33',35,ENE,L'viv,/BE'?ZBERID/,--,בעזבעריד
Bibrka (U),Bobrka (R),Bóbrka (P),,east Galicia,49° 38',24° 18',25,SE,L'viv,/BO'YBERIK/,מאיר שטיקער?? נאָך??,בויבעריק
Bil'shivtsi (U),Bol'shovtsy (R),Bolszowce? (P),,east Galicia,49° 11',24° 45',25,N,Ivano-Frankivs'k,/BOLShVE'Ts/,יוסף גראָב,באָלשוועץ
