kima_id	kima_rom	variant	source	attestations	contexts	wikidata_qid	notes
435	Nowy Sącz (Poland)	ניו-סאַנדעץ	Zylbercweig lexicon (Maaty reconciliation)	1-facs_112_tr_1740521168	birth	Q802	match_status:WIKIDATA
962	Zamość (Poland)	זאַמאָשטש	Zylbercweig lexicon (Maaty reconciliation)	1-facs_114_tr_1740520997|3-facs_160_tr_1755156219|6-facs_30_tr_1747746177	birth	Q145972	match_status:WIKIDATA
16772	Fălești (Moldova)	פֿאָלעשטי	Zylbercweig lexicon (Maaty reconciliation)	1-facs_117_tr_1740520947	birth	Q2078085	match_status:WIKIDATA
9048	Kam'i︠a︡net︠s︡ʹ-Podilʹsʹkyĭ (Ukraine)	קאָמעניעץ-פּאָדאָלסק	Zylbercweig lexicon (Maaty reconciliation)	1-facs_132_r_13	birth	Q193965	match_status:WIKIDATA
645	Mainz (Rhineland-Palatinate, Germany)	מיינץ	Zylbercweig lexicon (Maaty reconciliation)	1-facs_139_tr_1740521046	birth	Q1720	match_status:WIKIDATA
9048	Kam'i︠a︡net︠s︡ʹ-Podilʹsʹkyĭ (Ukraine)	קאָמענעץ פּאָדאָלסק	Zylbercweig lexicon (Maaty reconciliation)	1-facs_151_tr_1740521150	birth	Q193965	match_status:WIKIDATA
19386	Călărași (Moldova : Raionul)	קאָלאַראש	Zylbercweig lexicon (Maaty reconciliation)	1-facs_152_tr_1740521010	birth	Q1014367	match_status:WIKIDATA
19134	Starokosti︠a︡ntyniv (Ukraine)	סטאָראָ-קאָנסטאָנטין	Zylbercweig lexicon (Maaty reconciliation)	1-facs_154_tr_1714741532	birth	Q997429	match_status:WIKIDATA
19134	Starokosti︠a︡ntyniv (Ukraine)	אַלט-קאָנסטאַנטינאָוו	Zylbercweig lexicon (Maaty reconciliation)	1-facs_184_tr_1714741505	birth	Q997429	match_status:WIKIDATA
19134	Starokosti︠a︡ntyniv (Ukraine)	קאָנסטאַנטינאָוו	Zylbercweig lexicon (Maaty reconciliation)	1-facs_201_tr_1741260327	birth	Q997429	match_status:WIKIDATA
19134	Starokosti︠a︡ntyniv (Ukraine)	סטאַראָ-קאָנסטאַנטין	Zylbercweig lexicon (Maaty reconciliation)	1-facs_201_tr_1741260321	birth	Q997429	match_status:WIKIDATA
19134	Starokosti︠a︡ntyniv (Ukraine)	סטאַראָ-קאָנסטאַנטינאָוו	Zylbercweig lexicon (Maaty reconciliation)	1-facs_203_tr_1741260185	birth	Q997429	match_status:WIKIDATA
413	Płock (Poland)	פּוילן	Zylbercweig lexicon (Maaty reconciliation)	1-facs_204_tr_1741260317|2-facs_129_r_4|6-facs_463_tr_1747930281	birth	Q104725	match_status:WIKIDATA
382	Kaunas (Lithuania)	קאָוונאַ	Zylbercweig lexicon (Maaty reconciliation)	1-facs_204_tr_1741260315	birth	Q4115712	match_status:WIKIDATA
9048	Kam'i︠a︡net︠s︡ʹ-Podilʹsʹkyĭ (Ukraine)	קאָמענעץ-פּאַדאָלסק	Zylbercweig lexicon (Maaty reconciliation)	2-facs_9_tr_1743943368	birth	Q193965	match_status:WIKIDATA
21486	Tarashcha (Ukraine)	טאַראשטשע	Zylbercweig lexicon (Maaty reconciliation)	2-facs_28_tr_1744131420	birth	Q65380	match_status:WIKIDATA
20530	Tal'ne (Ukraine)	טאַלנע	Zylbercweig lexicon (Maaty reconciliation)	2-facs_32_tr_1744131393	birth	Q219593	match_status:NAME_EXACT
18781	Mohyliv-Podilʹsʹkyĭ (Ukraine)	מאָהילעוו פאָדאָלסק	Zylbercweig lexicon (Maaty reconciliation)	2-facs_39_tr_1744131454	birth	Q997469	match_status:WIKIDATA
13843	Kremenchuk (Poltavsʹka oblastʹ, Ukraine)	אַ דאַרף ביי קרעמענטשוג	Zylbercweig lexicon (Maaty reconciliation)	2-facs_42_tr_1744131430	birth	Q156724	match_status:WIKIDATA
942	Vitsebsk (Belarus)	וויטעבּסק	Zylbercweig lexicon (Maaty reconciliation)	2-facs_50_tr_1744131407	birth	Q102217	match_status:WIKIDATA
678	Saint Petersburg (Russia)	פּעטראָגראַד	Zylbercweig lexicon (Maaty reconciliation)	2-facs_50_r	birth	Q656	match_status:WIKIDATA
32	New York (N.Y.)	ניוּ-יאָרק	Zylbercweig lexicon (Maaty reconciliation)	2-facs_50_tr_1744131396	birth	Q60	match_status:WIKIDATA
16242	Novo mesto (Slovenia)	ניישטאָט	Zylbercweig lexicon (Maaty reconciliation)	2-facs_53_r_6	birth	Q5266	match_status:WIKIDATA
9048	Kam'i︠a︡net︠s︡ʹ-Podilʹsʹkyĭ (Ukraine)	קאַמענעץפּאָדאָלסק	Zylbercweig lexicon (Maaty reconciliation)	2-facs_55_r_2	birth	Q193965	match_status:WIKIDATA
18850	Elberfeld (Germany)	עלבּערפעלד בּיים רהיין	Zylbercweig lexicon (Maaty reconciliation)	2-facs_56_tr_1744131372	birth	Q702259	match_status:WIKIDATA
883	Grajewo (Poland)	גראַיעוואַ	Zylbercweig lexicon (Maaty reconciliation)	2-facs_57_tr_1744131461	birth	Q336204	match_status:WIKIDATA
515	Baltimore (Md.)	באַלטימאָר	Zylbercweig lexicon (Maaty reconciliation)	2-facs_64_tr_1744131365	birth	Q5092	match_status:WIKIDATA
84	Poznań (Poland)	פוזנן	Zylbercweig lexicon (Maaty reconciliation)	2-facs_71_tr_1744131407	birth	Q268	match_status:WIKIDATA
80306	Śniadowo (Województwo Podlaskie, Poland)	סניאדאָווא	Zylbercweig lexicon (Maaty reconciliation)	2-facs_72_tr_1744131382	birth	Q1920614	match_status:WIKIDATA
179	Łódź (Poland)	לאָדזש אָדער פּיעטריקאָוו	Zylbercweig lexicon (Maaty reconciliation)	2-facs_74_r_3	birth	Q580	match_status:WIKIDATA
8380	Kharkiv (Ukraine)	כאָרקאָוו	Zylbercweig lexicon (Maaty reconciliation)	2-facs_82_tr_1744131388	birth	Q42308	match_status:WIKIDATA
9048	Kam'i︠a︡net︠s︡ʹ-Podilʹsʹkyĭ (Ukraine)	קאַמענעץ-פּאָדאָלסקער גוב.	Zylbercweig lexicon (Maaty reconciliation)	2-facs_84_tr_1744131380	birth	Q193965	match_status:WIKIDATA
79683	Brusyliv (Ukraine)	ברוסילעוו	Zylbercweig lexicon (Maaty reconciliation)	2-facs_89_tr_1744131436	birth	Q946994	match_status:WIKIDATA
17110	Piaseczno (Warsaw, Poland)	פּיאַסעטשנא	Zylbercweig lexicon (Maaty reconciliation)	2-facs_90_tr_1744131434	birth	Q741876	match_status:WIKIDATA
14696	Skuodas (Lithuania)	שקור	Zylbercweig lexicon (Maaty reconciliation)	2-facs_105_r_6	birth	Q1004290	match_status:NAME_EXACT
18359	Ożarów (Poland)	אוזשריב	Zylbercweig lexicon (Maaty reconciliation)	2-facs_106_r_4	birth	Q1922317	match_status:NAME_EXACT
32	New York (N.Y.)	ניו-יאָרק	Zylbercweig lexicon (Maaty reconciliation)	2-facs_115_tr_1744279175|3-facs_91_tr_1753268287|3-facs_116_tr_1754820291|3-facs_128_tr_1754820289|6-facs_603_r|6-facs_611_tr_1747930592	birth	Q60	match_status:WIKIDATA
14818	Wyszogród (Poland)	ווישעגראָד	Zylbercweig lexicon (Maaty reconciliation)	2-facs_115_tr_1744279181	birth	Q569804	match_status:WIKIDATA
85240	Korycin (Poland)	קאָריטשין	Zylbercweig lexicon (Maaty reconciliation)	2-facs_120_tr_1744279168	birth	Q2020899	match_status:WIKIDATA
8760	Focsani (Romania)	פֿאָלטיטשען אָדער בוקאַרעסט	Zylbercweig lexicon (Maaty reconciliation)	2-facs_127_tr_1744279075	birth	Q192265	match_status:WIKIDATA
87632	Dnipro (Ukraine)	יעקאַטערינאָסלאוו	Zylbercweig lexicon (Maaty reconciliation)	2-facs_128_tr_1744279151|2-facs_156_tr_1744279145	birth	Q48256	match_status:WIKIDATA
73134	Wolbrom (Poland)	וואָלבראָם	Zylbercweig lexicon (Maaty reconciliation)	2-facs_132_tr_1744279070	birth	Q1906323	match_status:WIKIDATA
512	Babruĭsk (Belarus)	באריסאָוו	Zylbercweig lexicon (Maaty reconciliation)	2-facs_134_tr_1744279148	birth	Q207294	match_status:WIKIDATA
6926	Hert︠s︡a (Ukraine)	הערצא	Zylbercweig lexicon (Maaty reconciliation)	2-facs_135_tr_1744279197	birth	Q147741	match_status:WIKIDATA
18336	Dębica (Poland)	דעמביץ	Zylbercweig lexicon (Maaty reconciliation)	2-facs_137_r_4	birth	Q947404	match_status:WIKIDATA
22428	Chėrvenʹ (Belarus)	איהומען	Zylbercweig lexicon (Maaty reconciliation)	2-facs_138_tr_1744279171	birth	Q201458	match_status:WIKIDATA
17173	Samara (Russia)	סאַמאַראַ	Zylbercweig lexicon (Maaty reconciliation)	2-facs_157_r_3|5-facs_74_tr_1733059496	birth	Q894	match_status:WIKIDATA
552	Opatów (Tarnobrzeg, Poland)	אפּט	Zylbercweig lexicon (Maaty reconciliation)	2-facs_161_tr_1744279094	birth	Q275694	match_status:WIKIDATA
552	Opatów (Tarnobrzeg, Poland)	אָפּט	Zylbercweig lexicon (Maaty reconciliation)	2-facs_176_r_4	birth	Q275694	match_status:WIKIDATA
523	Białystok (Poland)	ביאליסטאָק	Zylbercweig lexicon (Maaty reconciliation)	2-facs_180_tr_1744279176	birth	Q761	match_status:WIKIDATA
6915	Kelme (Lithuania)	קעלעם	Zylbercweig lexicon (Maaty reconciliation)	2-facs_180_r_2	birth	Q658230	match_status:WIKIDATA
8525	Biała Podlaska (Poland)	ביאלא-פּאָדלאסקאַ	Zylbercweig lexicon (Maaty reconciliation)	2-facs_181_r_8	birth	Q209932	match_status:WIKIDATA
8777	Puławy (Poland)	פּולאַוו	Zylbercweig lexicon (Maaty reconciliation)	2-facs_182_tr_1744279093	birth	Q320007	match_status:NAME_EXACT
962	Zamość (Poland)	זאָמאַשטש	Zylbercweig lexicon (Maaty reconciliation)	2-facs_183_tr_1744279136	birth	Q145972	match_status:WIKIDATA
