current_official_name,name_1945_1991,name_1918_1939,name_pre_1918,region,north_latitude,east_longitude,km_from,dir_from,nearest_major_city,yiddish_transcription,born_there_yiddish,yiddish_name,country,lat_dec,lon_dec,country,lat_dec,lon_dec
Kadyyivka (U),Kadiyevka (R),,,eastern Ukraine,49° 14',26° 49',15,SSW,Khmel'nyts'kyy,/KADyIFKE/,־־,קאַדיווקע?,Ukraine,49.2333,26.8167,Ukraine,49.2333,26.8167
Kaharlyk (U),Kagarlyk (R),,,eastern Ukraine,49° 51',30° 50',55,SSE,Kyiv,/KARLIK/,־־,קאַרליק,Ukraine,49.8500,30.8333,Ukraine,49.8500,30.8333
Kakhovka (U),Kakhovka (R),,,eastern Ukraine,46° 49',33° 29',55,ENE,Kherson,/KAKhOFKE/,־־,קאַכאָווקע,Ukraine,46.8167,33.4833,Ukraine,46.8167,33.4833
Kal'nybolota (U),Kal'niboloto? (R),Yekaterinopol'? (R),,eastern Ukraine,48° 46',30° 58',90,WNW,Kirovohrad?,/KALI'BELOT/,לייב סאָברין,קאַליבעלאָט,Ukraine,48.7667,30.9667,Ukraine,48.7667,30.9667
Kal'nyk (U),Kal'nik (R),Kalník (Cz),Beregsárrét (H),Transcarpathia,48° 31',22° 36',10,NW,Mukacheve,/KALNIK/,---,קאַלניק,Ukraine,48.5167,22.6000,Ukraine,48.5167,22.6000
Kalush (U),Kalush (R),Kałusz (P),,east Galicia,49° 1',24° 22',20,NW,Ivano-Frankivs'k,/KALESh/,"לייזער (לוא?יס) ווײַסבער, משה עטינגער","קאַלעש, קאַלוש",Ukraine,49.0167,24.3667,Ukraine,49.0167,24.3667
Kalynivka? (U),Kalinovka (R),,,eastern Ukraine,49° 28',28° 32',15,N,Vinnytsya?,/KALE'NEFKE/,יעקבֿ פּענקין,קאַלענעווקע,Ukraine,49.4667,28.5333,Ukraine,49.4667,28.5333
Kalyny (U),Kalyny? (R),Kaliny? Kelineš? (Cz),Alsókálinfalva (H),Transcarpathia,48° 9',23° 52',90,SE,Mukacheve,/KALI:'N/,---,קאַלין,Ukraine,48.1500,23.8667,Ukraine,48.1500,23.8667
Kam'yana? (U),Kamennaya? (R),,,eastern Ukraine,,,,,,?,נחמיה שמאַיִן?,קאַמיענאַיאַ?,Ukraine,,,Ukraine,,
Kam'yanets'-Podil's'kyy (U),Kamenets-Podol'skiy (R),,,eastern Ukraine,48° 40',26° 34',55,NE,Chernivtsi,/KO'MENITs/,"שלמה־לייב בלאַטמאַן, יאָני פֿײַן, פֿישל־יהושע שניאורסאָן","קאַמעניץ, קאָמעניץ",Ukraine,48.6667,26.5667,Ukraine,48.6667,26.5667
Kam'yanka (U),Kamenka (R),,,eastern Ukraine,48° 47',31° 45',40,NW,Kirovohrad,/KAMINKE/,־־,קאַמינקע,Ukraine,48.7833,31.7500,Ukraine,48.7833,31.7500
Kam'yanka (U),Kamenka (R),Cozmin? (Rm),,north Bukovina,48° 2',25° 54',25,SSW,Chernivtsi,/KOMINKE/,־־,קאָמינקע,Ukraine,48.0333,25.9000,Ukraine,48.0333,25.9000
Kam'yanka-Buz'ka (U),Kamenka-Bugskaya (R),Kamionka Strumiłowa (P),,east Galicia,50° 6',24° 21',30,NE,L'viv,/KAMINKE/,"צבֿי הירשהאָרן, שלום ידידיה, שמשון־דבֿ ירושלימסקי, יוסף מילער (איין שטאָט?)","קאַמינקע, קאַמיאָנקע?",Ukraine,50.1000,24.3500,Ukraine,50.1000,24.3500
Kam'yans'ke (U),Kamenskoye (R),Kivjažď? (Cz),Beregkövesd (H),Transcarpathia,48° 16',22° 57',20,SE,Mukacheve,/KIVYA'ZhD/,--,קיוויאַזשד,Ukraine,48.2667,22.9500,Ukraine,48.2667,22.9500
Kam'yanyy Brid (U),Kamenyy Brod (R),,,eastern Ukraine,50° 25',27° 50',45,WNW,Zhytomyr?,/KAMENBRO'D/,"פּעסי הערשפֿעלד־ פּאָמעראַנץ, מינאַ סמאָלער",קאַמענבראָד,Ukraine,50.4167,27.8333,Ukraine,50.4167,27.8333
Kamin'-Kashyrs'kyy (U),"Kamen'-Kashirskiy, Kamen'-Koshirskiy? (R)",Kamień Koszyrski (P),,Volhynia,51° 38',24° 58',90,NNW,Luts'k,/KAMEN/?,־־,קאַמען?,Ukraine,51.6333,24.9667,Ukraine,51.6333,24.9667
Kantakuzivka (U),?,,,eastern Ukraine,,,,,,/KANTEKUZIV/?,־־,קאַנטעקוזיוו,Ukraine,,,Ukraine,,
Kapustyany (U),Kapustyany (R),,,eastern Ukraine,48° 54',27° 10',55,SSE,Khmel'nyts'kyy,/KAPISTYA'?N/,־־,קאַפּיסטיאַן,Ukraine,48.9000,27.1667,Ukraine,48.9000,27.1667
Kapustyany (U),Kapustyany (R),,,eastern Ukraine,48° 54',27° 10',55,SSE,Khmel'nyts'kyy,/KAPISTYA'?N/,־־,קאַפּיסטיאַן,Ukraine,48.9000,27.1667,Ukraine,48.9000,27.1667
Karapchiv (U),"Karapchu, Karapchev? (R)",Carapciu(l?) (Rm),,north Bukovina,48° 5',25° 49',20,SSW,Chernivtsi?,/KARAPTShYU'/,־־,קאַראַפּטשיו,Ukraine,48.0833,25.8167,Ukraine,48.0833,25.8167
Kariv (U),"Karov, Karuv? (R)",Karów (P),,east Galicia,50° 21',23° 48',55,NNW,L'viv,/KA'REVE/,־־,קאַרעווע,Ukraine,50.3500,23.8000,Ukraine,50.3500,23.8000
Karpivtsi (U),Karpovtsy (R),,,eastern Ukraine,49° 58',28° 7',45,SW,Zhytomyr,/KARPIVE'Ts/,־־,קאַרפּיוועץ,Ukraine,49.9667,28.1167,Ukraine,49.9667,28.1167
Karpylivka (U),Karpilovka (R),,,eastern Ukraine,50° 59',30° 50',60,SSW,Chernihiv?,/KARPILOFKE/ (stress?),־־,קאַרפּילאָוקע,Ukraine,50.9833,30.8333,Ukraine,50.9833,30.8333
Kashperivka (U),Kashperovka (R),,,eastern Ukraine,49° 26',29° 41',80,ENE,Vinnytsya?,/KAShPERIFKE/ (stress?),־־,קאַשפּעריווקע,Ukraine,49.4333,29.6833,Ukraine,49.4333,29.6833
Kasperivtsi (U),"Kasperovtse, Kasperovtsy? (R)",Kasperowce (U),,east Galicia,48° 40',25° 50',35,N,Chernivtsi,/KA'ShPREVITs/,־־,קאַשפּרעוויץ,Ukraine,48.6667,25.8333,Ukraine,48.6667,25.8333
Katerynivka (Persha?) (U),Katerinovka (R),,,eastern Ukraine,47° 42',30° 14',55,SSE,Balta?,/KATERI'NEFKE/?,־־,קאַטערינעווקע?,Ukraine,47.7000,30.2333,Ukraine,47.7000,30.2333
Kerets'ky (U),Keretski (R),Kerecky (Cz),Kerecke (H),Transcarpathia,48° 29',23° 13',35,E,Mukacheve,/KERETsKI'/,־־־,קערעצקי?,Ukraine,48.4833,23.2167,Ukraine,48.4833,23.2167
Kharkiv (U),Khar'kov (R),,,eastern Ukraine,50° 0',36° 15',,,,/KhARKEV/,"יצחק ווידוטשינסקי, מיכאל טשערניכאָוו (אַסטור), י. לעזמאַן, יצחק לעש","כאַרקעוו, כאַרקאָוו",Ukraine,50.0000,36.2500,Ukraine,50.0000,36.2500
Khashchuvate (U),"Khoshchevatoye, Khashchevato? (R)",,,eastern Ukraine,48° 18',29° 57',45,NNE,Balta,"/KhAShTShEVATE/?, /KhAShTShEVOTE/","איציק בראָנפֿמאַן, חיים מעלאַמוד, גדליה קאָסאָי",כאַשטשעוואַטע,Ukraine,48.3000,29.9500,Ukraine,48.3000,29.9500
Kherson (U),Kherson (R),,,eastern Ukraine,46° 38',32° 36',,,,"/KhERSO'N/, /KhASO'N/, KhARTsO'N/","יוסף אַראָנאָף, ברײַנע בערקאָוויטש, דוד־משה סאַבסײַ, חיים־שלמה קאַזדאַן, אַהרן שאַלמאַן","כערסאָן, כאַסאָן, כאַרצאָן",Ukraine,46.6333,32.6000,Ukraine,46.6333,32.6000
Khmel'nyts'kyy (U),Khmel'nitskiy (R),Proskurov (R),,eastern Ukraine,49° 25',27° 0',,,,/PRO'SK(E)REV/,"מאָטיע דאָבין, חיים־משה־יעקבֿ ווײַנטרויב, יהודה־לייב טויבמאַן, מישע מאַרגאָלין, יוסף משורר, שמואל פֿיערט, אַבֿרהם רעכטמאַן, אַבֿרהם שמועש",פּראָסק(ע)רעוו,Ukraine,49.4167,27.0000,Ukraine,49.4167,27.0000
Khmil'nyk (U),Khmel'nik (R),,,eastern Ukraine,49° 33',27° 58',45,NW,Vinnytsya,/KhMELNIK,־־,כמעלניק,Ukraine,49.5500,27.9667,Ukraine,49.5500,27.9667
Khmil'nyk (U),Khmel'nik? (R),Chmelník? (Cz),Komlós (H),Transcarpathia,48° 17',22° 54',20,SE,Mukacheve,/KOMLESh/,---,קאָמלעש,Ukraine,48.2833,22.9000,Ukraine,48.2833,22.9000
Khochyne? (U),Khochin (R),,,eastern Ukraine,51° 28',27° 53',150,NNW,Zhytomyr,/KhOTShI'N/ (stress?),־־,כאָטשין,Ukraine,51.4667,27.8833,Ukraine,51.4667,27.8833
Khodaky (U),Khodaki (R),,,eastern Ukraine,50° 59',28° 48',80,NNE,Zhytomyr,/KhODAKI/?,־־,כאָדאַקי,Ukraine,50.9833,28.8000,Ukraine,50.9833,28.8000
Khodoriv (U),Khodorov (R),Chodorów (P),,east Galicia,49° 24',24° 19',45,SSE,L'viv,/KhO'DEREV/,"ישׂראל ווײַנלעז, משה יונגמאַן",כאָדערעוו,Ukraine,49.4000,24.3167,Ukraine,49.4000,24.3167
Khodorkiv (U),Khodorkov (R),,,eastern Ukraine,50° 6',29° 18',40,ESE,Zhytomyr,/KhO'DERKEV/,"נחום אויסלענדער, ישעיה ראַבינאָוויטש",כאָדאָרקעוו,Ukraine,50.1000,29.3000,Ukraine,50.1000,29.3000
Kholmets' (U),Kholmets (R),Chlumec? (Cz),Korláthelmec (H),Transcarpathia,48° 31',22° 23',10,SSE,Uzhhorod,/KhOMITs/,---,כאָמיץ,Ukraine,48.5167,22.3833,Ukraine,48.5167,22.3833
Khorol (U),Khorol ($),,,eastern Ukraine,49° 47',33° 17',75,WNW,Poltava,/KhOROL/ (stress?),בן־ציון דינור,כאָראָל,Ukraine,49.7833,33.2833,Ukraine,49.7833,33.2833
Khorostkiv (U),Khorostkov (R),Chorostków (P),,east Galicia,49° 14',25° 55',40,SSE,Ternopil',/KhROSKEV/,"פֿישל ווערבער, בלומע לעמפּעל, שלום קלינגער (איין שטאָט?)",כראָסקעוו,Ukraine,49.2333,25.9167,Ukraine,49.2333,25.9167
Khortytsya [island] (U),Khortitsa (R),,,eastern Ukraine,,,,,part of Zaporizhzhya,/KhORTITs/,יצחק פּיראָזשניקאָוו,כאָרטיץ,Ukraine,,,Ukraine,,
Khotyachiv (U),Khotyachev (R),Chotiaczów (P),,Volhynia,50° 50',24° 10',75,WNW,Luts'k,/KhO'TETShEV/,־־,כאָטעטשעוו,Ukraine,50.8333,24.1667,Ukraine,50.8333,24.1667
Khotymyr (U),Khotimir (R),Chocimierz (P),,east Galicia,48° 45',25° 6',30,SE,Ivano-Frankivs'k,/KhUTsE-EMER/,־־,חצי־עמער,Ukraine,48.7500,25.1000,Ukraine,48.7500,25.1000
Khotyn (U),Khotin (R),Hotin (Rm),Khotin (R),north Bessarabia,48° 29',26° 30',40,NE,Chernivtsi,/KhETI'N/,"משה גיציס, ראָזע וואָלינסקי־ניומאַן, אליהו ליפּינער, שבתי (ישעיה) לערנער, גרשון קירזשנער, אליעזר־דוד ראָזענטאַל, אפֿרים רויטמאַן",כעטין,Ukraine,48.4833,26.5000,Ukraine,48.4833,26.5000
Khreshchatyk? (U),Kreshchatik (R),Crişceatec? Hrişceatec? (Rm),,north Bukovina,48° 37',25° 44',35,NNW,Chernivtsi,/KhRIShTShETIK/,־־,כרישטשעטיק,Ukraine,48.6167,25.7333,Ukraine,48.6167,25.7333
Khrolyn (U),Khrolin (R),,,eastern Ukraine,50° 9',27° 15',85,NNE,Khmel'nyts'kyy,/KhROLIN/ (stress?),־־,כראָלין,Ukraine,50.1500,27.2500,Ukraine,50.1500,27.2500
Khrystynivka (R),Khristinovka (R),,,eastern Ukraine,48° 50',30° 0',95,NNE,Balta,/KhRISTI'NEFKE/,־־,כריסטינעווקע,Russia,48.8333,30.0000,Russia,48.8333,30.0000
Khudlyovo (U),Khudl'?yevo (R),Chudlovo? (Cz),Horlyó (H),Transcarpathia,48° 35',22° 29',10,E,Uzhhorod,"/KhIDLEV/, /KhILyEV/",---,"כידלעוו, כיליעוו",Ukraine,48.5833,22.4833,Ukraine,48.5833,22.4833
Khust (U),Khust (R),Chust (Cz),Huszt (H),Transcarpathia,48° 10',23° 18',50,SE,Mukacheve,/KhIST/,---,כוסט,Ukraine,48.1667,23.3000,Ukraine,48.1667,23.3000
Khyriv (U),?,Chyrów (P),,east Galicia,49° 32',22° 51',80,WSW,L'viv,"/KhIREV/, /KhEREV/","אַבֿרהם גאָטעסדינער, יעקבֿ סופֿר","כירעוו, כערעוו",Ukraine,49.5333,22.8500,Ukraine,49.5333,22.8500
Kiblych (U),?,,,eastern Ukraine,48° 41',29° 39',85,N,Balta,/KIBLITSh/,־־,קיבליטש,Ukraine,48.6833,29.6500,Ukraine,48.6833,29.6500
Kiliya (U),Kiliya (R),Chilia Noua? (Rm),,south Bessarabia,45° 27',29° 16',150,SW,Odesa,/(NAy-?)KILIYE/,"יעקבֿ באָטאָשאַנסקי, צבֿי־יוסף כּהן (איין שטאָט?)",(נײַ־?)קיליִע,Ukraine,45.4500,29.2667,Ukraine,45.4500,29.2667
Kirovohrad (U),"Kirovograd, Zinove?vsk, Yelizavetgrad (R) ?",,,eastern Ukraine,48° 30',32° 18',,,,/YOLOSVE'T/,"פּלאַטאָן ברונאָוו, שמואל ווײַסענבערג, מיכל ווישניעווסקי, הלל זאָלאָטאַראָוו, איזידאָר (יצחק) זאָלאָטאַרעווסקי, בערל לעווין, שמעון נעפּאָם, ישׂשׂכר־בער ריבאַק",יאָלאָסוועט,Ukraine,48.5000,32.3000,Ukraine,48.5000,32.3000
Kisnytsya (U),Kosnitsa? (R),,,eastern Ukraine,48° 25',28° 43',65,ESE,Mohyliv,/KI'SNITsE/,משה שיפֿריס,קיסניצע,Ukraine,48.4167,28.7167,Ukraine,48.4167,28.7167
Kitsman' (U),Kitsman' (R),Coţmani? (Rm),Kotzman (G),north Bukovina,48° 26',25° 46',15,NNW,Chernivtsi,/KITsMAN/,־־,קיצמאַן,Ukraine,48.4333,25.7667,Ukraine,48.4333,25.7667
Kleban' (U),Kleban' (R),,,eastern Ukraine,48° 40',29° 3',65,SSE,Vinnytsya,/KLEBA'N/,־־,קלעבאַן,Ukraine,48.6667,29.0500,Ukraine,48.6667,29.0500
Klevan' (U),Klevan' (R),Klewań (P),,Volhynia,50° 45',25° 59',15,NW,Rivne,/KLEVAN/ (stress?),שמואל־זײַנוול פֿעדער,קלעוואַן,Ukraine,50.7500,25.9833,Ukraine,50.7500,25.9833
Klishkivtsi (U),Klishkovtsy (R),,,north Bukovina,48° 26',26° 16',25,NE,Chernivtsi,/KLI'ShKEVITs/,־־,קלישקעוויץ,Ukraine,48.4333,26.2667,Ukraine,48.4333,26.2667
Klityshche (U),Klitishche (R),,,eastern Ukraine,50° 26',28° 34',15,NNW,Zhytomyr?,/KLETIShTShE/?,עזריאל (אַבֿרהם־בער) גראַבעלסקי,קלעטישטשע,Ukraine,50.4333,28.5667,Ukraine,50.4333,28.5667
Knyahynychi (U),Knyazhnychi? (R),Knihynicze (P),,east Galicia,49° 23',24° 28',50,NNW,Ivano-Frankivs'k,/KNEHNITSh/?,־־,קנעהניטש?,Ukraine,49.3833,24.4667,Ukraine,49.3833,24.4667
Knyazhe? (U),Knyazhe? (R),,,eastern Ukraine,,,,,,/KNyAZhE/,־־,קניאַזשע,Ukraine,,,Ukraine,,
Kobelyaky (U),Kobelyaki (R),,,eastern Ukraine,49° 9',34° 12',45,SSW,Poltava,/KOBELyA'K/,־־,קאָבעליאַק,Ukraine,49.1500,34.2000,Ukraine,49.1500,34.2000
Kobylets'ka Polyana (U),Kobyletskaya Polyana (R),Kobylecká Polána? (Cz),Gyertyánliget (H),Transcarpathia,48° 3',24° 4',105,SE,Mukacheve,"/POLyEN/, /POLyAN/",---,"פּאָליען, פאָליאַן",Ukraine,48.0500,24.0667,Ukraine,48.0500,24.0667
Kodnya (U),Kodnya (R),,,eastern Ukraine,50° 6',28° 42',15,S,Zhytomyr,/KODNyE/,־־,קאָדניע,Ukraine,50.1000,28.7000,Ukraine,50.1000,28.7000
Kodyma (U),Kodyma (R),,,eastern Ukraine,48° 6',29° 7',35,NW,Balta,/KO'DEME/,לייב פֿײַנבערג,"קדימה, קאָדעמע",Ukraine,48.1000,29.1167,Ukraine,48.1000,29.1167
Kolezyany? (U),?,,,north Bukovina?,,,,,,/KOLEZYA'N/?,משה וואַלדמאַן,קאָלעזיאַן?,Ukraine,,,Ukraine,,
Kolky (U),Kolki? (R),Kołki? (P),Kolki? (R),Volhynia,51° 6',25° 40',40,NNE,Luts'k?,/KOLK/?,"חיים ליבערמאַן, דניאל קאַץ, יצחק־מאיר שפּילריין",קאָלק,Ukraine,51.1000,25.6667,Ukraine,51.1000,25.6667
Kolochava (U),Kolochava (R),Koločava (Cz),Alsókalocsa (H),Transcarpathia,48° 26',23° 41',70,E,Mukacheve,/KLO'TShAVE/?,---,קלאָטשאַווע?,Ukraine,48.4333,23.6833,Ukraine,48.4333,23.6833
Kolodne (U),Kolodnoye? (R),Kolodna? (Cz),Darva (H),Transcarpathia,48° 10',23° 36',65,SE,Mukacheve,/KOLODNE/,---,קאָלאָדנע,Ukraine,48.1667,23.6000,Ukraine,48.1667,23.6000
Kolomyya (U),Kolomyya (R),Kołomyja (P),Kolomea (G),east Galicia,48° 32',25° 2',40,SE,Ivano-Frankivs'k,"/KALEME'Y/, /KALEMA'Y/, /KILEMA'Y/","ישׂראל ביבער, יוסף בערנפֿעלד, נפֿתּלי גראָס, אַנאַ דרעסנער, זוסיע (זיגמונד) האַבער), יעקבֿ־שמואל טויביש, יוסף טעפּער, אַבֿרהם־שמואל יוקיס, יוסף־עמנואל כּהן, א.י. ליפּמאַנאָוויטש, מענדל מייערן־לאַזאַר, יוסף סאַנדעל, אַבֿרהם פֿריש, יצחק קאַנטער, אַנזעלם קליינמאַן, אפֿרים־פֿישל ראָטענשטרײַך, פֿײַוול שטערנבערג, גיזעלאַ שקילניק","קאַלעמיי, קאָלאָמיי",Ukraine,48.5333,25.0333,Ukraine,48.5333,25.0333
Koloniya Olizarka? (U),Koloniya Olizarka (R),Olizarka (P),,Volhynia,51° 21',25° 59',75,N,Rivne,/OLIZARKE/,--,אָליזאַרקע,Ukraine,51.3500,25.9833,Ukraine,51.3500,25.9833
Komarno (U),Komarno (R),Komarno (P),,east Galicia,49° 38',23° 42',25,SW,L'viv,/K(E)MARNE/,קלמן הײַזלער,"ק(ע)מאַרנע, קאָמאַרנע?",Ukraine,49.6333,23.7000,Ukraine,49.6333,23.7000
"Komsomol's'k, Nimetska Mokra? (U)",Komsomol'sk (R),Německá Mokrá (Cz),Németmokra (H),Transcarpathia,48° 23',23° 50',80,ESE,Mukacheve,/DA:?TSh MOKRE/,---,דײַטש מאָקרע,Ukraine,48.3833,23.8333,Ukraine,48.3833,23.8333
Komyshnya (U),"Komyshnya, Komyshno? (R)",,,eastern Ukraine,50° 11',33° 41',80,NW,Poltava,/KOMIShNE/,־־,קאָמישנע,Ukraine,50.1833,33.6833,Ukraine,50.1833,33.6833
Konatkivtsi (U),?,,,eastern Ukraine,48° 43',27° 57',30,NNE,Mohyliv,/KANO'TKEVITs/,־־,קאַנאָטקעוויץ?,Ukraine,48.7167,27.9500,Ukraine,48.7167,27.9500
Konela (U),Konela (R),,,eastern Ukraine,49° 4',30° 6',110,ESE,Vinnytsya,"/KANE'L(E)/, /KENELE/?",־־,"קאַנעל(ע), קענעלע?",Ukraine,49.0667,30.1000,Ukraine,49.0667,30.1000
Koniv? (U),Konyov? (R),,,eastern Ukraine,,,,,,/KONyEV/?,חיים לויצקער,קאָניעוו?,Ukraine,,,Ukraine,,
Konotop (U),Konotop (R),,,eastern Ukraine,,,,,,/KONE?TO'P/?,"ישׂראל בר־יהודה, יוסף גודמאַן, וויעראַ ראָזאַנקאַ",קאָנאָטאָפּ?,Ukraine,,,Ukraine,,
Konyukhy (U),Konyukhi (R),Koniuchy (P),,Volhynia,50° 39',24° 41',40,WSW,Luts'k,/KONyEKh/,־־,קאָניעך,Ukraine,50.6500,24.6833,Ukraine,50.6500,24.6833
Kopanky (U),Kopanki? (R),,,eastern Ukraine,,,,,,/KOPANKE/,־־,קאָפּאַנקע,Ukraine,,,Ukraine,,
Kopashnovo? (U),Kopashnovo? (R),Kopašnovo? (Cz),Gernyés (H),Transcarpathia,48° 13',23° 29',60,SE,Mukacheve,"/KOPAShNyE/, /KOPAShNIF?/",---,"קאָפּאַשניע, קאָפּאַשניוו?",Ukraine,48.2167,23.4833,Ukraine,48.2167,23.4833
Kopayhorod (U),Kopaygorod? (R),,,eastern Ukraine,48° 52',27° 47',55,SW,Vinnytsya,/KIPARED/,־־,קיפּאַרעד,Ukraine,48.8667,27.7833,Ukraine,48.8667,27.7833
Kopychyntsi (U),Kopychintsy (R),Kopyczyńce (P),,east Galicia,49° 6',25° 56',50,SSE,Ternopil',/KEPI'TShENITs/,"פּנחס לבֿנון־לוביאַנקער, בנימין רעסלער",קעפּיטשעניץ,Ukraine,49.1000,25.9333,Ukraine,49.1000,25.9333
Korchivka (U),Korchyovka (R),,,eastern Ukraine,49° 47',26° 40',40,NNW,Khmel'nyts'kyy,/KO'?RTShEFKE/,־־,קאָרטשעווקע,Ukraine,49.7833,26.6667,Ukraine,49.7833,26.6667
Korchyn? (U),Korchin? (R),,,eastern Ukraine,,,,,,/KORTShIN/ (stress?),־־,קאָרטשין,Ukraine,,,Ukraine,,
Korets' (U),Korets (R),Korzec (P),Korets (R),Volhynia,50° 37',27° 10',55,E,Rivne,/KORITs/,"שניאור־זלמן ביכאָווסקי, פּרץ גאָלדשטיין, משה גילדענמאַן, נחמיה סיגאַל, יוסף־אַבֿרהם פּאָליוואַ (איין שטאָט?)",קאָריץ,Ukraine,50.6167,27.1667,Ukraine,50.6167,27.1667
Kornyn (U),Kornin (R),,,eastern Ukraine,50° 5',29° 32',60,ESE,Zhytomyr,/KORNIN/ (stress?),־־,קאָרנין,Ukraine,50.0833,29.5333,Ukraine,50.0833,29.5333
Korolevo? (U),Korolyovo (R),Královo (Cz),Királyháza (H),Transcarpathia,48° 9',23° 8',40,SE,Mukacheve,/KI'?R(AL)HAZ/,---,קיר(אַל)האַז,Ukraine,48.1500,23.1333,Ukraine,48.1500,23.1333
Korolivka (U),"Korolevka?, Karolyuvka? (R)",Korolówka (P),,east Galicia,48° 49',25° 43',35,N,Chernivtsi,/KORELIFKE/,"יעטאַ דאָדיק־באַראַד, חיים־יונה וואַלדמאַן, צבֿי שטאָק (איין שטאָט?)",קאָרעליווקע?,Ukraine,48.8167,25.7167,Ukraine,48.8167,25.7167
"Koropets', Verkhniy? (U)",Verkhniy Koropets'? (R),?,Felsőkerepec (H) / Ober-Schönborn (G?),Transcarpathia,,,,,Mukacheve,/KEROPITS/,---,קעראָפּיץ,Ukraine,,,Ukraine,,
Korosten' (U),Korosten' (R),,,eastern Ukraine,50° 57',28° 39',70,N,Zhytomyr,"/KOROSTI'N/, /I'SKEREST/?",־־,"קאָראָסטין, איסקערעסט?",Ukraine,50.9500,28.6500,Ukraine,50.9500,28.6500
Korostiv (U),Korostov (R),Korostów (P),,east Galicia,49° 1',23° 25',80,NE,Uzhhorod?,/KOROSTEV/?,־־,קאָראָסטעוו,Ukraine,49.0167,23.4167,Ukraine,49.0167,23.4167
Korostyshiv (U),Korostyshev (R),,,eastern Ukraine,50° 19',29° 4',20,ENE,Zhytomyr,/KORShEV/,"ש. בודין, דוד האָפֿשטיין, וועלי (וועלוול) האָפֿשטיין, אַבֿרהם־יעקבֿ זשיטניק, בערל קאָראָבייניק",קאָרשעוו,Ukraine,50.3167,29.0667,Ukraine,50.3167,29.0667
Korsun'-Shevchenkivs'kyy (U),Korsun'-Shevchenkovskiy (R),,,eastern Ukraine,49° 25',31° 15',50,W,Cherkasy,/KORSN/,־־,קאָרסן,Ukraine,49.4167,31.2500,Ukraine,49.4167,31.2500
Korytnytsya (U),Korytnitsa? (R),Korytnica (P),,Volhynia,50° 56',24° 2',85,WNW,Luts'k?,/KRI'TNITsE/,־־,קריטניצע,Ukraine,50.9333,24.0333,Ukraine,50.9333,24.0333
Koshelyovo (U),Koshelyovo (R),Košelova? (Cz),Keselymező (H),Transcarpathia,48° 14',23° 20',50,SE,Mukacheve,/KOShELI'(EV?)/,---,קאָשעלי(עוו?),Ukraine,48.2333,23.3333,Ukraine,48.2333,23.3333
Kosiv (U),Kosov (R),Kosów (P),,east Galicia,48° 19',25° 6',55,W,Chernivtsi,/KOSEV/,־־,קאָסעוו(ע?),Ukraine,48.3167,25.1000,Ukraine,48.3167,25.1000
Kosivs'ka Polyana (U),Kosovskaya Polyana (R),?,Kaszómező (H),Transcarpathia,48° 0',24° 6',105,SE,Mukacheve,/KOSOFSKE PO'LyENE/,---,קאָסאָווסקע פאָליענע?,Ukraine,48.0000,24.1000,Ukraine,48.0000,24.1000
Koson' / Kosyny? (U),Kosyny? (R),?,Mezőkaszony (H),Transcarpathia,48° 15',22° 28',25,SW,Mukacheve,/KOSONy/,־־־,קאָסאָן,Ukraine,48.2500,22.4667,Ukraine,48.2500,22.4667
Kostopil' (U),Kostopol' (R),Kostopol (P),,Volhynia,50° 53',26° 27',25,NNE,Rivne,/KOSTEPO'L/?,מאיר גרינשפּאַן,קאָסטעפּאָל?,Ukraine,50.8833,26.4500,Ukraine,50.8833,26.4500
Kostyantynivka (U),Konstantinovka? (R),,,eastern Ukraine,,,,,,?,מלך כמעלניצקי,קאָנסטאַנטינאָווקע?,Ukraine,,,Ukraine,,
Kostyntsi (U),Kostintsy (R),Costeşti (Rm),,north Bukovina,48° 17',25° 36',15,W,Chernivtsi,/KO'STINITs/,־־,קאָסטיניץ,Ukraine,48.2833,25.6000,Ukraine,48.2833,25.6000
Kotovka (U),Kotovka? (R),,,eastern Ukraine,46° 34',30° 43',5,N,Odesa,/KOTOFKE/,־־,קאָטאָווקע,Ukraine,46.5667,30.7167,Ukraine,46.5667,30.7167
Kovalenky (U),Kovalyonki? (R),,,eastern Ukraine,49° 54',27° 55',60,SW,Zhytomyr,/KOVALENKE/,־־,קאָוואַלענקע,Ukraine,49.9000,27.9167,Ukraine,49.9000,27.9167
Kovalivka (U),Kovalyovka (R),Kowalówka (P),,?,,,,,,/KOVA'?LEFKE/,ירחמיאל בורשטיין,קאָוואַלעווקע,Ukraine,,,Ukraine,,
Kovel' (U),Kovel',Kowel (P),,Volhynia,51° 13',24° 43',60,NNW,Luts'k,/KOVLE/,"בצלאל באַלער, יאַנקל בוראַק, אַבֿרהם־יוחנן ברזילי (בריזעלי), זלמן גאָסטינסקי, הענעך געללער, משה גראַניטשטיין, ביילע דאָדיוק־ליכטשטיין, אַבֿרהם היינאָך, ירחמיאל ווירניק, שלמה טשערניאַווסקי, קלמן ליס, איזידאָר פֿרידמאַן, אליעזר צופּערפֿײַן, חיים־מאיר ראָזענבלאַט, אליהו רײַזמאַן",קאָוולע,Ukraine,51.2167,24.7167,Ukraine,51.2167,24.7167
Kozachky (U),Kozachyok? (R),,,eastern Ukraine,49° 18',27° 37',40,ESE,Khmel'nyts'kyy,/KAShTShO'K/,־־,קאַשטשאָק,Ukraine,49.3000,27.6167,Ukraine,49.3000,27.6167
