current_official_name,name_1945_1991,name_1918_1939,name_pre_1918,region,north_latitude,east_longitude,km_from,dir_from,nearest_major_city,yiddish_transcription,born_there_yiddish,yiddish_name,country,lat_dec,lon_dec,country,lat_dec,lon_dec
Bar (U),Bar (R),,,eastern Ukraine,49° 4',27° 40',50,WSW,Vinnytsya,/BAR/,"שלמה הללס, משה ווײַנבערג, אַלעקסאַנדער (סאַשאַ) טשעמעריסקי",באַר,Ukraine,49.0667,27.6667,Ukraine,49.0667,27.6667
Baranivka (U),Baranovka (R),,,eastern Ukraine,50° 18',27° 40',55,WNW,Zhytomyr?,/BARO'NEFKE/,־־,באַראָנעווקע?,Ukraine,50.3000,27.6667,Ukraine,50.3000,27.6667
Barbovo (U),Borodovka? (R),Bartová? (Cz),Bárdháza (H),Transcarpathia,48° 20',22° 46',10,SSE,Mukacheve,/BA'RBEVE/,---,באַרבעווע,Ukraine,48.3333,22.7667,Ukraine,48.3333,22.7667
Batrad' (U),Batrad'? (R),?,Bótrágy (H),Transcarpathia,48° 19',22° 25',20,SW,Mukacheve,/BOTRADy/,---,באָטראַד,Ukraine,48.3167,22.4167,Ukraine,48.3167,22.4167
Batyovo (U),Uzlovoye? (R),Baťovo? (Cz),Bátyú (H),Transcarpathia,48° 22',22° 24',20,WSW,Mukacheve,/BATyEV/,---,באַטיעוו,Ukraine,48.3667,22.4000,Ukraine,48.3667,22.4000
Bazaliya (U),Bazaliya (R),,,eastern Ukraine,49° 43',26° 28',50,NW,Khmel'nyts'kyy,/BAZILIY?E/,־־,באַזיליִע,Ukraine,49.7167,26.4667,Ukraine,49.7167,26.4667
Bazar (U),Bazar (R),,,eastern Ukraine,51° 3',29° 18',45,ENE,Korosten',/BAZA'R/,־־,באַזאַר,Ukraine,51.0500,29.3000,Ukraine,51.0500,29.3000
Bdzhil'na (U),?,,,eastern Ukraine,48° 38',29° 45',30,SW,Uman',/BZhILNE/,־־,בזשילנע,Ukraine,48.6333,29.7500,Ukraine,48.6333,29.7500
Bedevlya (U),Bedevlya? (U),?,Bedőháza (H),Transcarpathia,48° 2',23° 40',80,SE,Mukacheve,/BEDEVL(y)E/,---,בעדעוול(י)ע,Ukraine,48.0333,23.6667,Ukraine,48.0333,23.6667
Belz (U),Belz (R),Bełz (P),,east Galicia,50° 23',24° 1',60,N,L'viv,/BELDZ/,"ישעיה גאָלדשטיין, יוסף פֿאַלק",בעל(ד)ז,Ukraine,50.3833,24.0167,Ukraine,50.3833,24.0167
Bene (U),Dobroselye? (R),Beňa? (Cz),Bene (H),Transcarpathia,48° 10',22° 45',30,S,Mukacheve,/BENE/,---,בענע,Ukraine,48.1667,22.7500,Ukraine,48.1667,22.7500
Benedykivtsi (U),Benedikovtsy? (R),Benedikovce? (Cz),Benedeki (H),Transcarpathia,48° 29',22° 35',10,NW,Mukacheve,/BNE'TKEVITs/,---,בנעדקעוויץ,Ukraine,48.4833,22.5833,Ukraine,48.4833,22.5833
Berdyans'k (U),Berdyansk? (R),,,eastern Ukraine,46° 45',36° 47',160,SE,Zaporizhzhya,/BERDYA'NSK/,־־,בערדיאַנסק,Ukraine,46.7500,36.7833,Ukraine,46.7500,36.7833
Berdychiv (U),Berdichev (R),,,eastern Ukraine,49° 54',28° 35',35,SSW,Zhytomyr,/BARDITShEV/,־־,באַרדיטשעוו,Ukraine,49.9000,28.5833,Ukraine,49.9000,28.5833
Berehomet (U),Beregomet (R),Berhomet (Rm),,north Bukovina,48° 10',25° 19',45,WSW,Chernivtsi,/BEREME'T/,־־,בערעמעט,Ukraine,48.1667,25.3167,Ukraine,48.1667,25.3167
Berehove (U),Beregovo (R),Berehovo (Cz),Beregszász (H),Transcarpathia,48° 13',22° 39',25,SSW,Mukacheve,"/BE'REKSAS/, /BERHI'/?",---,"בערעגסאַס, בערהי?",Ukraine,48.2167,22.6500,Ukraine,48.2167,22.6500
Berestechko (U),Berestechko (R),Beresteczko (P),,Volhynia,50° 21',25° 7',45,SSW,Luts'k,/BRE'STETShKE/,דוד פּוכאַלניק,ברעסטעטשקע,Ukraine,50.3500,25.1167,Ukraine,50.3500,25.1167
Berezan' (U),Berezan' (R),,,eastern Ukraine,50° 19',31° 28',60,ESE,Kyiv,/BEREZA'N/,־־,בערעזאַן,Ukraine,50.3167,31.4667,Ukraine,50.3167,31.4667
Berezdiv (U),Berezdov (R),,,eastern Ukraine,50° 28',27° 7',60,ESE,Rivne,/BEREZDI'?V/,־־,בערעזדיוו,Ukraine,50.4667,27.1167,Ukraine,50.4667,27.1167
Berezhany (U),Berezhany (R),Brzeżany (P),,east Galicia,49° 27',24° 56',50,WSW,Ternopil',/BERZhA'N/,שמואל טענענבוים,בערזשאַן,Ukraine,49.4500,24.9333,Ukraine,49.4500,24.9333
Berezivka (U),Berezovka (R),,,eastern Ukraine,,,,,?,/BERE'ZEFKE/,ישׂראל־דוד פֿינגערמאַן,בערעזעווקע,Ukraine,,,Ukraine,,
Berezna Volya (U),,,,Volhynia,51° 46',25° 35',100,NNE,Luts'k,/BREZNEVOLyE/,--,ברעזנעוואָליע,Ukraine,51.7667,25.5833,Ukraine,51.7667,25.5833
Berezne (U),Beryozno (R),Berezno (P),,Volhynia,51° 0',26° 45',50,NNE,Rivne,/BEREZNE/,־־,בערעזנע,Ukraine,51.0000,26.7500,Ukraine,51.0000,26.7500
Bereznyky (U),Bereznik?i (R),Březník?,Bereznek (H),Transcarpathia,48° 31',23° 14',35,E,Mukacheve,/BEREZNIK/ (stress?),---,בערעזניק,Ukraine,48.5167,23.2333,Ukraine,48.5167,23.2333
Berezovo (U),Beryozovo? Berezovoye? (R),Berezová,Berezna (H),Transcarpathia,48° 18',23° 29',55,ESE,Mukacheve,/BEREZIV/,---,בערעזיוו,Ukraine,48.3000,23.4833,Ukraine,48.3000,23.4833
Berkhomitka (U),"Bergometka, Berkhomitka (R)",Berhometca (Rm),,north Bukovina,48° 22',25° 42',15,NW,Chernivtsi,/BEROMITKE/,־־,בעראָמיטקע,Ukraine,48.3667,25.7000,Ukraine,48.3667,25.7000
Bershad' (U),Bershad' (R),,,eastern Ukraine,48° 22',29° 31',50,NNW,Balta,/BERShED/,"מאיר אַלבערטאָן, נחמן הובערמאַן, פֿוליע טשערנער, משה פֿישער, שיינדל פֿראַנצוזסקי־גאַרפֿינקעל, ישׂראל פֿריד",בערשעד,Ukraine,48.3667,29.5167,Ukraine,48.3667,29.5167
Bezbrody (U),Bezbrudy (R),Bezbrudy (P),,east Galicia,49° 55',24° 33',35,ENE,L'viv,/BE'?ZBERID/,--,בעזבעריד,Ukraine,49.9167,24.5500,Ukraine,49.9167,24.5500
Bibrka (U),Bobrka (R),Bóbrka (P),,east Galicia,49° 38',24° 18',25,SE,L'viv,/BO'YBERIK/,מאיר שטיקער?? נאָך??,בויבעריק,Ukraine,49.6333,24.3000,Ukraine,49.6333,24.3000
Bil'shivtsi (U),Bol'shovtsy (R),Bolszowce? (P),,east Galicia,49° 11',24° 45',25,N,Ivano-Frankivs'k,/BOLShVE'Ts/,יוסף גראָב,באָלשוועץ,Ukraine,49.1833,24.7500,Ukraine,49.1833,24.7500
Bila Krynytsya (U),Belaya Krinitsa (R),Făntana? Albă (Rm),,north Bukovina,47° 58',25° 53',30,S,Chernivtsi,/BILE-KERNETsE/,־־,בילע־קערנעצע,Ukraine,47.9667,25.8833,Ukraine,47.9667,25.8833
Bila Tserkva (U),Belaya Tserkov' (R),,[meaning: 'white church'],eastern Ukraine,49° 47',30° 7',60,SSW,Kyiv,/ShVA'RTs-TIME/ [meaning: 'black church (pejorative)'],"א. אגני, אַבֿרהם ביזנאָ, יצחק בענעקוויט, זרח גרינבערג, יונה גרינפֿעלד, משה ליפֿשיץ (ליוושיץ), דוד מאָנין, פּנחס מינקאָווסקי, מימי פּינזאָן, יוסף פּעטריקאָווסקי, מאיר (מאַקס) פֿיליפּס, צמח־דוד קאַלטהאָן, לאָלאַ קויפֿמאַן, שלום י. קופּערשמיד, יוסף רויטבערג, מאָטל שטורמאַן, יעקבֿ שטיינבערג, ישעיה שקאַראָווסקי",שוואַרץ־טומאה,Ukraine,49.7833,30.1167,Ukraine,49.7833,30.1167
Bila Tserkva (U),Belaya Tserkov' (R),Biserica Albă (Rm)?,Tiszafejéregyház (H),Transcarpathia,47° 57',23° 56',100,SE,Mukacheve,/ShVA'RTS־TIME/,---,שוואַרץ־טומאה,Ukraine,47.9500,23.9333,Ukraine,47.9500,23.9333
Bilhorod-Dnistrovs'kyy (U),Belgorod-Dnestrovskiy (R),,,south Bessarabia,46° 12',30° 21',35,SW,Odesa,/A'KERMAN/,־־,אַקערמאַן,Ukraine,46.2000,30.3500,Ukraine,46.2000,30.3500
Bilka? (U),Belka (R),Białka? (P),,Volhynia,50° 56',26° 45',44,NE,Rivne,/BYELKO/?,יוסף דערעטשין,ביעלקאָ?,Ukraine,50.9333,26.7500,Ukraine,50.9333,26.7500
Bilky (U),"Bilki, Belki (R)",Bílky (Cz),Bilke (H),Transcarpathia,48° 19',23° 8',30,SE,Mukacheve,/BILKE/,־־,בילקע,Ukraine,48.3167,23.1333,Ukraine,48.3167,23.1333
Bilohorodka (U),Belogorodka (R),,,eastern Ukraine,,,,,,/BELEROTKE/,־־,בעלעראָדקע?,Ukraine,,,Ukraine,,
Bilokorovychi (U),Belokorovichi (R),,,eastern Ukraine,51° 7',28° 2',45,NNW,Korosten'?,/BELOKOROVITSh/?,--,בעלאָקאָראָוויטש?,Ukraine,51.1167,28.0333,Ukraine,51.1167,28.0333
Bilopillya (U),Belopol'ye (R),,,eastern Ukraine,49° 51',28° 52',50,SSE,Zhytomyr,/BILEPILyE/,־־,בילעפּיליע,Ukraine,49.8500,28.8667,Ukraine,49.8500,28.8667
Bilousivka (U),Belousovka (R),,,north Bessarabia,48° 32',27° 21',35,NNW,Mohyliv,/BELEU'SEFKE/,־־,בעלעוסעווקע,Ukraine,48.5333,27.3500,Ukraine,48.5333,27.3500
Bilovartsi (U),Belovartsy? (R),Alba-Cetat? (Rm)?,Kiskirva (H),Transcarpathia,48° 2',23° 42',80,SE,Mukacheve,/BILVARITs/,---,בילוואַריץ,Ukraine,48.0333,23.7000,Ukraine,48.0333,23.7000
Bilozir'ya (U),Belozyor'ye (R),,,eastern Ukraine,49° 19',31° 55',15,SW,Cherkasy,"/BELAZER/, /BELOZE(R)/?",־־,בעלאַזער,Ukraine,49.3167,31.9167,Ukraine,49.3167,31.9167
Bilozirka (U),Belozyorka (R),Białozórka (P),,Volhynia,49° 46',26° 11',45,ENE,Ternopil',/BILEZERKE/,־־,בילעזערקע,Ukraine,49.7667,26.1833,Ukraine,49.7667,26.1833
Bilylivka (U),Belilovka (R),,,eastern Ukraine,49° 41',29° 2',80,SSE,Zhytomyr,/BELI'LEFKE/,שלמה לאָפּאַטין,בעלילעווקע,Ukraine,49.6833,29.0333,Ukraine,49.6833,29.0333
Bilyn (U),Belin (R),?,Bilin (H),Transcarpathia,48° 7',24° 15',90,SW,Ivano-Frankivs'k,/BILIN/,---,בילין,Ukraine,48.1167,24.2500,Ukraine,48.1167,24.2500
Bilyy Kamin' (U),Belyy Kamen' (R),Biały Kamień (P),,east Galicia,49° 54',24° 50',50,E,L'viv,/BILKAMIN/,אורי־צבֿי גרינבערג,בילקאַמין,Ukraine,49.9000,24.8333,Ukraine,49.9000,24.8333
Blyshchanka (U),Blishchanka (R),Błyszczanka (P),,east Galicia,48° 44',25° 48',50,N,Chernivtsi,/BLI'ShTShENKE/,--,בלישטשענקע,Ukraine,48.7333,25.8000,Ukraine,48.7333,25.8000
Bobovyshche (U),Bobovishche? (R),Bobovištĕ? (Cz),Borhalom (H),Transcarpathia,48° 32',22° 41',10,NNW,Mukacheve,/BO'BEVITSh/,---,באָבעוויטש,Ukraine,48.5333,22.6833,Ukraine,48.5333,22.6833
Bobrovytsya (U),Bobrovitsa (R),,,eastern Ukraine,50° 45',31° 23',60,NE,Kyiv,/BO'BREVITs/,יעקבֿ מאַזין,"באָברעוויץ, באָבראָוויץ?",Ukraine,50.7500,31.3833,Ukraine,50.7500,31.3833
