qid,label_en,label_yi,place_type,category,kima_id,kima_rom,kima_heb,lat,lon,n_attestations,n_person,n_org,n_flagged_mentions,fields,n_variants,variants,corpora,external_sources
Q100,Boston,באסטאן,"city in the United States, big city, county seat",settlement,516,Boston (Mass.),בוסטון (מסצ'וסטס),42.360278,-71.057778,51,7,44,0,place;settlements,5,באַסטאָן;באָסטאַן;באָסטאָן;באׁסטאָן;כאָסטאָן,org;person,wikidata;kima
Q1000404,Pryluky,,"city of regional significance of Ukraine, human settlement",settlement,1722,Pryluky (Ukraine),פרילוקי (אוקראינה),,,2,2,0,0,place,1,פּרילוקי,person,wikidata;kima
Q100188,Cluj-Napoca (Romania),,,settlement,400,Cluj-Napoca (Romania),קלוז'-נאפוקה (רומניה),46.78,23.559444444444,1,0,1,0,settlements,1,קלויזענבורג,org,wikidata;kima
Q1002685,Stawiszyn (Poland),,,settlement,23800,Stawiszyn (Poland),סטאווישין (פולין),,,2,2,0,0,place,1,סטאָוויסק,person,wikidata;kima
Q1004290,Skuodas,,"city, human settlement",settlement,14696,Skuodas (Lithuania),שקוד (ליטא),,,1,1,0,0,place,1,שקור,person,wikidata;kima
Q1004332,Vievis,,city or town,settlement,,,,,,1,1,0,1,place,1,יעוויע,person,wikidata
Q1007355,Barcin,,city,settlement,,,,,,1,1,0,0,place,1,בערטשיין,person,wikidata
Q101254,Newport,,,settlement,,,,,,1,0,1,0,settlements,1,ניופּאָרט,org,wikidata
Q1012975,Kahului,,"census-designated place in the United States, unincorporated community in the United States",province,10271,Kahului (Hawaii),קאהולואי (הוואי),,,1,1,0,0,province,1,קאַהול,person,wikidata;kima
Q1014367,Călărași,קאַלאַראַש,city,settlement,19386,Călărași (Moldova : Raionul),קאלארשי (מולדובה : מחוז),47.254444444444,28.308055555556,4,3,1,0,place;settlements,4,קאַלאַראָש;קאָלאַראַש;קאָלאַראש;קאָלאָראָש,org;person,wikidata;kima
Q1014690,Yasynets,,village of Ukraine,settlement,,,,,,1,1,0,1,place,1,יאַשיניץ,person,wikidata
Q1019884,Ivano-Frankove,,urban-type settlement in Ukraine,other,,,,,,2,2,0,2,place,2,יאַנאָוו;יאָנאָוו,person,wikidata
Q1019899,Zbarazh,זבאראזש,city in Ukraine,settlement,12047,"Zbaraz︠h︡ (Ternopilʹsʹka oblastʹ, Ukraine)",זברז' (אוקראינה),,,2,2,0,1,place,2,זבאַרא;זבאַראָזש,person,wikidata;kima
Q1020037,Kulykiv,,"urban-type settlement in Ukraine, human settlement",settlement,84083,"Kulykiv (Z︠H︡ovkivsʹkyĭ raĭon, Ukraine)","קוליקיב (מחוז ז'ובקיב, אוקראינה)",,,1,1,0,1,place,1,קיליקאוו,person,wikidata;kima
Q1020069,Radyvyliv (Ukraine),,,settlement,1724,Radyvyliv (Ukraine),רדזיווילוב (אוקראינה),,,1,1,0,0,place,1,ראַרויווילאָוו,person,wikidata;kima
Q1020091,Terebovlia,טרעבעוולע,city in Ukraine,settlement,11092,Terebovli︠a︡ (Ukraine),טרמבובלה (אוקראינה),,,1,1,0,1,place,1,טרעמבאָוולע,person,wikidata;kima
Q1020136,Wola,,city district,settlement,18926,"Wola (Warsaw, Poland)","וולה (ורשה, פולין)",,,1,1,0,0,place,1,וואָליאַ,person,wikidata;kima
Q1021527,Metuchen,,"borough of New Jersey, human settlement",settlement,81079,Metuchen (N.J.),מטוצ'ן (ניו ג'רזי),,,1,1,0,1,place,1,הערצאָ,person,wikidata;kima
Q1021697,,,Ortsteil,other,,,,,,1,1,0,1,place,1,טאַרנאָרודא,person,wikidata
Q1022004,Bąków,,village of Poland,settlement,,,,,,1,1,0,1,place,1,באַקאָוו,person,wikidata
Q102217,Vitebsk,וויטעבסק,"city of oblast subordinance, big city",settlement,942,Vitsebsk (Belarus),ויטבסק (בלארוס),55.183333,30.166667,25,13,12,0,place;settlements,2,וויטעבּסק;וויטעבסק,org;person,wikidata;kima
Q1022485,Medz︠h︡ybiz︠h︡ (Ukraine),,,settlement,17325,Medz︠h︡ybiz︠h︡ (Ukraine),מז'יבוז' (אוקראינה),,,4,3,1,0,place;settlements,2,מעזשיבעזש;מעזשירעוו,org;person,wikidata;kima
Q1022506,Degania Bet,דגניה ב',kibbutz,other,893,Deganya Bet (Israel),דגניה ב' (ישראל),,,1,1,0,1,place,1,קיביץ דגניה ב',person,wikidata;kima
Q1022711,CACI,,"corporation, public company",other,,,,,,2,2,0,2,place,1,דזשיקעוו,person,wikidata
Q1022786,Roxie,,town in the United States,settlement,,,,,,1,1,0,0,place,1,יאָבלאָניצע,person,wikidata
Q1022794,CAM Timișoara,,association football club,other,,,,,,1,1,0,1,place,1,יאָלטושקאָוו,person,wikidata
Q1022804,CANaerospace,,,other,,,,,,1,1,0,1,place,1,אָטיניע,person,wikidata
Q1022819,Periam,,"village, seat of the local council",settlement,,,,,,4,4,0,3,place,3,יאָגעלניצע;יאגעלניצא;מאָגעלניצע,person,wikidata
Q1022828,Sânandrei,,"village, seat of the local council",settlement,,,,,,1,1,0,1,place,1,מאָגעלניץ,person,wikidata
Q1022845,1998 CART season,,sports season,other,,,,,,1,1,0,1,place,1,נזשיבי,person,wikidata
Q1022855,CASA Arena Horsens,,"association football venue, stadium",other,,,,,,1,1,0,1,place,1,נעמעראָוו,person,wikidata
Q1022876,Orțișoara,,"village, seat of the local council",settlement,,,,,,1,1,0,1,place,1,פּאַרברעזע,person,wikidata
Q1022877,Cardiac Arrhythmia Suppression Trial,,,other,,,,,,1,1,0,1,place,1,פידקאמען,person,wikidata
Q1022879,Gemeses,,freguesia of Portugal,other,,,,,,2,2,0,2,place,2,פעלשטיין;פעלשטין,person,wikidata
Q1022893,CATWOE,,"abbreviation, concept",other,,,,,,1,1,0,1,place,1,סקאַלאַ ביים זברוטש,person,wikidata
Q1022902,Noda,,dissolved municipality of Japan,settlement,,,,,,1,1,0,0,place,1,קאַשאַוואַטע,person,wikidata
Q1022905,Sande,,former freguesia of Portugal,other,,,,,,2,2,0,2,place,1,קאָראָפּיעץ,person,wikidata
Q1022906,Sombrin,,commune of France,settlement,,,,,,2,2,0,2,place,1,קאָמאָרנע,person,wikidata
Q1022915,Thièvres,,commune of France,settlement,,,,,,1,1,0,0,place,1,קעלנאָוויץ,person,wikidata
Q1022958,Tatárszentgyörgy,,municipality of Hungary,settlement,,,,,,1,1,0,1,place,1,שאַרגאָראָד,person,wikidata
Q1022960,Třemošnice,,"municipality of the Czech Republic, municipality with town privileges in the Czech Republic, municipality with authorized municipal office",settlement,84456,"Třemošnice (Chrudim, Czech Republic)",טרמושניץ (צ'כיה),,,1,1,0,1,place,1,שוועקסנע,person,wikidata;kima
Q1022962,Velká Bystřice,,"municipality of the Czech Republic, municipality with town privileges in the Czech Republic",settlement,,,,,,1,1,0,1,place,1,שירלאָווצע,person,wikidata
Q1022977,CBM 8000 series,,computer model series,other,,,,,,1,1,0,1,place,1,האַרנאַסטאָיפּאָליע,person,wikidata
Q1022992,Trostyanets-Podilske,,,other,,,,,,1,1,0,1,place,1,טראַסטיאָנעץפּאָדאָלסק,person,wikidata
Q1022993,Phillipsburg,,city in the United States,settlement,,,,,,1,1,0,0,place,1,טרייסק,person,wikidata
Q1023004,Roussent,,commune of France,settlement,,,,,,1,1,0,0,place,1,סלאָוויטע,person,wikidata
Q1023005,CB Cantabria,,handball team,other,,,,,,1,1,0,1,place,1,סלאָוועשנע,person,wikidata
Q1023008,Frederick,,village,settlement,,,,,,2,2,0,2,place,1,סעלץ,person,wikidata
Q1023020,Rollancourt,,commune of France,settlement,,,,,,1,1,0,1,place,1,שטשערזשעץ,person,wikidata
Q1023022,Olive Hill,,city in the United States,settlement,,,,38.301100,-83.174200,9,1,8,0,place;settlements,2,שיקאָנאַ;שיקאָנאָ,org;person,wikidata
Q102317,Kielce,קעלץ,"city with powiat rights in Poland, city, big city",settlement,398,Kielce (Poland),קילץ (פולין),50.872500,20.631944,6,4,2,0,place;settlements,1,קעלץ,org;person,wikidata;kima
Q1024673,Virbalis,,city,settlement,947,Virbalis (Lithuania),וירבלן (ליטא),,,1,1,0,1,place,1,וויערזשבאָלאָוו (איצט ווירבאַלין),person,wikidata;kima
Q1025226,Cadillac Series 370,,automobile model,other,,,,,,1,1,0,1,place,1,מיכאָלאָווצע,person,wikidata
Q1025869,Kareličy,קארעליץ,urban settlement in Belarus,other,,,,,,2,2,0,2,place,2,קאַרעליץ;קאָרעליץ,person,wikidata
Q1025883,Dzyatlava,זשעטל,"city of raion subordinance, urban settlement in Belarus",settlement,,,,53.450000,25.400000,2,1,1,0,place;settlements,1,זשעטל,org;person,wikidata
Q1026069,Firuzkuh,,city of Iran,settlement,,,,35.756944,52.773889,2,1,1,0,place;settlements,1,אַלעסקאָ,org;person,wikidata
Q1026911,Sudova Vyshni︠a︡ (Ukraine),,,settlement,13173,Sudova Vyshni︠a︡ (Ukraine),סונדובה וישניא (אוקראינה),,,1,1,0,0,place,1,סאַנדאָוו ווישניאַ,person,wikidata;kima
Q1026920,Stebliv,,Q4100864,settlement,,,,,,1,1,0,0,place,1,סטעבלאָוו,person,wikidata
Q1026945,Tovste,,Q4100864,settlement,,,,,,1,1,0,0,place,1,טאוסט,person,wikidata
Q103217,Częstochowa,טשענסטאָכאָוו,"city with powiat rights in Poland, big city",settlement,427,Częstochowa (Poland),צ'נסטוחובה (פולין),50.809640,19.122170,23,10,13,0,place;settlements,1,טשענסטאָכאָוו,org;person,wikidata;kima
Q1040,Karlsruhe,,,settlement,,,,,,1,0,1,0,settlements,1,קאָרלסרוע,org,wikidata
Q104036,Ventspils,,"state city of Latvia, Hanseatic city, city under state jurisdiction in Latvia",settlement,13372,Ventspils (Latvia),וונטספילס (לטביה),,,1,1,0,0,place,1,ווינדאָו,person,wikidata;kima
Q104725,Płock,פלאצק,"city with powiat rights in Poland, city, big city, former national capital",settlement,413,Płock (Poland),פלוצק (פולין),52.550000,19.700000,10,7,3,0,place;settlements,1,פּלאָצק,org;person,wikidata;kima
Q104740,Radom,ראדעם,"city with powiat rights in Poland, city, big city",settlement,636,"Radom (Województwo Mazowieckie, Poland)","ראדום (מדינת מזובייצק, פולין)",51.416667,21.150000,11,6,5,0,place;settlements,1,ראַדאָם,org;person,wikidata;kima
Q1048117,NGC 2309,,"star cluster, open cluster",other,,,,,,1,1,0,1,place,1,וויטקאָוו,person,wikidata
Q1048138,Vitrimont,,commune of France,settlement,20695,Rava-Rusʹka (Ukraine),ראווה רוסקה (אוקראינה),,,3,3,0,2,place,2,ראַוואַ-רוסקאַ;ראָוואָ-רוסקאָ,person,wikidata;kima
Q1048172,Yarmolynetsi,,,other,,,,,,1,1,0,1,place,1,יאָרמעלינעץ,person,wikidata
Q1049050,Yenikeyevo,,hamlet,other,,,,,,2,2,0,2,place,1,יאַנאָווע,person,wikidata
Q1049168,Xeon Phi,,"computer architecture, model series",other,,,,,,1,1,0,1,place,1,ליביוונע,person,wikidata
Q1049177,,,"active galactic nucleus, spiral galaxy",other,,,,,,2,2,0,2,place,1,לויוויטש,person,wikidata
Q1049200,Ságat,,"periodical, newspaper",other,,,,,,2,2,0,2,place,1,מאָטעלע,person,wikidata
Q1049242,DiskImageMounter,,software,other,,,,,,2,2,0,2,place,2,אָפּאָליע;אָפּאָלע,person,wikidata
Q1049253,cel shading,,"animation technique, type of graphics",other,,,,,,1,1,0,1,place,1,פּאָדעמביץ,person,wikidata
Q1049260,Sádaba Castle,,castle,other,,,,,,1,1,0,1,place,1,פּשעראָסלע,person,wikidata
Q1049285,Kikyō Station,,"railway station, railway station above ground, contracted station, Q123094976",other,,,,,,2,2,0,2,place,2,ראָהאַטשאָוו;ראָהאָטשאָוו,person,wikidata
Q1049288,Wilson Airport,,"airport, commercial traffic aerodrome",other,,,,,,2,2,0,2,place,2,ראָגאָווא;ראָגאָוואַ,person,wikidata
Q1049332,NGC 2488,,"galaxy, astronomical radio source, astrophysical X-ray source, lenticular galaxy",other,,,,,,1,1,0,1,place,1,סטרזשיזשאָוו,person,wikidata
Q1050383,Olyka (Ukraine),,,settlement,1645,Olyka (Ukraine),אוליקה (אוקראינה),50.716666666667,25.816666666667,1,1,0,0,place,1,אליקא,person,wikidata;kima
Q105060,Sosnowiec,סאסנאווצע,"city with powiat rights in Poland, city, big city, urban municipality of Poland",settlement,62,"Sosnówka (Jelenia Góra, Poland)",סוסנובצה (פולין),50.300000,19.166667,7,3,4,0,place;settlements,1,סאָסנאָוויץ,org;person,wikidata;kima
Q105206,Bukovina,בוקאווינא,"region, military district, historical administrative division, Ukrainian historical regions, Historical regions of Romania",province,3056,Bukovina (Romania and Ukraine),בוקובינה (רומניה-אוקראינה),,,24,23,1,0,province;venues,2,בוקאַווינע;בוקאָווינע,org;person,wikidata;kima
Q1055,Hamburg,,,settlement,994,Hamburg (Germany),המבורג (גרמניה),53.55,10.0,5,0,5,0,settlements,3,האַמבורג;האָמבורג;האַמבורג,org,wikidata;kima
Q1055082,Yermotayevo,,hamlet,other,,,,,,1,1,0,1,place,1,לוזשנאַ,person,wikidata
Q106281,Tarnów,טארנע,city with powiat rights in Poland,settlement,765,Tarnów (Poland),טרנוב (פולין),50.012500,20.988333,9,5,4,0,place;settlements,3,טאַרנאָוו;טאָרנאָוו;טאָרנע,org;person,wikidata;kima
Q1063019,La Pernelle,,commune of France,settlement,,,,,,1,1,0,0,place,1,אַלמיץ,person,wikidata
Q106681,Włocławek,,,settlement,15730,Włocławek (Poland),ולוצלאווק (פולין),52.65,19.05,4,0,4,0,settlements,2,וולאַצלאַוועק;וולאָצלאַוועק,org,wikidata;kima
Q1077905,Aștileu,,commune of Romania,settlement,,,,,,1,1,0,1,place,1,אָסטיליע,person,wikidata
Q1085,Prague,פראג,"municipality with town privileges in the Czech Republic, district of the Czech Republic, electoral unit, capital of region, district town, enclave, region of the Czech Republic, municipality with authorized municipal office, big city, Czech municipality with expanded powers, administrative district of Czech municipality with expanded powers, administrative district of Czech municipality with authorized municipal office, tourist destination, municipality of the Czech Republic, national capital",neighborhood,638,Prague (Czech Republic),פראג (צ'כיה),50.087500,14.421389,5,3,2,2,place;settlements,3,פּראַגאָ;פּראַגע;פּראָג,org;person,wikidata;kima
Q1086702,20371 Ekladyous,,asteroid,other,,,,,,1,1,0,1,place,1,דובראָווע,person,wikidata
Q10958,Neunkirchen,,municipality without town privileges in Germany,settlement,,,,,,1,1,0,1,place,1,פּיאַטערגאָרי,person,wikidata
Q109917219,Rare-earth mineralization in late carbonatites of the Novopoltavsk Massif,,scholarly article,other,,,,,,1,1,0,1,place,1,נאָוואַפּאָלטאָווסק,person,wikidata
Q109992,Łowicz,,,settlement,13898,Łowicz (Poland),לוביץ' (פולין),52.1,19.933333333333,3,0,3,0,settlements,1,לויוויטש,org,wikidata;kima
Q1104739,Berestyn,,city in Ukraine,settlement,,,,,,1,1,0,0,place,1,קאָנסטאַנטינאָגראָד,person,wikidata
Q1116456,badminton at the 1990 Commonwealth Games,,badminton at the Commonwealth Games,other,,,,,,1,1,0,1,place,1,מיאָדל,person,wikidata
Q112707,House of Romanov,,"dynasty, royal family",other,,,,,,1,1,0,1,place,1,ראָמאַנאָוו,person,wikidata
Q1128219,Men's FIH Hockey World Cup,,recurring tournament,other,,,,,,1,1,0,1,place,1,בערשאָן,person,wikidata
Q11299,Manhattan,,,settlement,,,,,,1,0,1,0,settlements,1,מאָנהעטן,org,wikidata
Q1134849,Corps Franconia Hamburg,,German Student Corps,other,,,,,,1,1,0,1,place,1,באָלטאָ,person,wikidata
Q114591,geomagnetism,,branch of physics,other,,,,,,6,6,0,6,place,4,וולאַצלאַוועק;וולאַצלאָוועק;וולאָצלאַוועק;וולאצלאַוועק,person,wikidata
Q1150271,Edineț (Moldova),,,settlement,23788,Edineț (Moldova),אדינץ (מולדובה),,,1,1,0,0,place,1,יעדיניעץ,person,wikidata;kima
Q11555839,Horado,,dissolved municipality of Japan,settlement,,,,,,1,1,0,1,place,1,גאָרוד,person,wikidata
Q1166,Michigan,,,settlement,8828,Michigan,מישיגן,44.34,-85.58,1,0,1,0,venues,1,Michigan,org,wikidata;kima
Q11780346,Mielnica,,river,other,,,,,,1,1,0,1,place,1,מיעלניץ,person,wikidata
Q11874,Zvolen (Slovakia),,,settlement,11609,Zvolen (Slovakia),זבולן (סלובקיה),,,3,3,0,0,place,2,וואָלין;זוואָלין,person,wikidata;kima
Q118995,Muş,,"city, big city, district of Turkey, municipality",neighborhood,16753,Muş (Turkey),מוס (טורקיה),,,1,1,0,1,place,1,מוש,person,wikidata;kima
Q1218,Jerusalem,ירושלים,"city, holy city of Abrahamic religion, largest city, tourist destination, big city, Roman city, ancient city, disputed territory, national capital, corpus separatum, city council",settlement,691,Jerusalem (Israel),ירושלים (ישראל),31.776679,35.234156,17,6,11,2,place;settlements,1,ירושלים,org;person,wikidata;kima
Q1221977,Silesian Parliament,,"parliament, unicameral legislature",other,,,,,,1,1,0,1,place,1,דראָהייטשין,person,wikidata
Q123038,Maserati GranTurismo,,automobile model,other,,,,,,2,2,0,2,place,1,גראָכאָוו,person,wikidata
Q12407577,Vasloi,,,other,,,,,,2,2,0,2,place,2,וואָסלוי;וואסלוי,person,wikidata
Q12439,Detroit,דעטרויט,"city in the United States, county seat, border city, big city",settlement,903,Detroit (Mich.),דטרויט (מישיגן),42.331667,-83.047500,86,7,79,0,place;settlements;venues,3,Detroit;דעטראָיט;דעטראיט,org;person,wikidata;kima
Q1244558,Dorfkirche Neu Schadow,,aisleless church,other,,,,,,1,1,0,1,place,1,לובאָר,person,wikidata
Q124807223,Sagaidak,,rural area,other,,,,,,1,1,0,1,place,1,קאָלאָניע סאגיידאק,person,wikidata
Q1251,Cottian Alps,,alpine section,other,,,,,,1,1,0,1,place,1,אַדזוד,person,wikidata
Q125286,Poltava,,,,,,,,,1,0,1,0,settlements,1,פּאָלטאַווע,org,wikidata
Q125413,Hrubieszów County,,powiat,other,,,,,,1,1,0,1,place,1,הרובישעוו,person,wikidata
Q126099,Ostrołęka,,,other,,,,,,3,3,0,3,place,2,אָסטראָלענקאַ;אָסטראָלענקאָ,person,wikidata
Q1261285,Drummeholm,,islet,other,,,,,,1,1,0,1,place,1,אַדימאָוו,person,wikidata
Q1268711,Dykanka,,Q4100864;Q486972,settlement,,,,,,1,1,0,0,place,1,דיקאַווקע,person,wikidata
Q1271216,Poltava Governorate,,,settlement,,,,,,13,13,0,0,province,7,פּאָלטאַווער גוב.;פּאָלטאַווער געגנט;פּאָלטאָווער גוב.;פּאָלטאָווער גובערניע;פּאָלטאווער גוב.;פּאָלטאווער גובערניע;פּאלטאַווער גוב.,person,wikidata
Q1281172,Słomniki,,city,settlement,83617,Słomniki (Poland),סלומניקי (פולין),,,1,1,0,0,place,1,סלאָמניקי,person,wikidata;kima
Q128214910,Leivonmäki village,,Q61492541;Q18691318;Q378636,settlement,,,,,,1,1,0,0,place,1,לייבון,person,wikidata
Q128390,FC Oleksandriya,,association football club,other,,,,,,1,1,0,1,place,1,אַלעקסאַנדיאָ,person,wikidata
Q12892,Antwerp,,,settlement,643,Antwerp (Belgium),אנטורפן (בלגיה),51.2211111111111,4.39972222222222,9,0,9,0,settlements,3,אַנטווערפּן;אַנטווערפּען;אַנטווערפן,org,wikidata;kima
Q1297,Chicago,שיקאגא,"city of Illinois, global city, big city",settlement,282,Chicago (Ill.),שיקגו (אילינוי),41.881944,-87.627778,168,23,145,0,place;settlements;venues,9,שיקאַגא;שיקאַגאַ;שיקאַגאָ;שיקאַגע;שיקאַגער;שיקאָגאַ;שיקאָגאָ;שיקאָגער;שיקאגאָ,org;person,wikidata;kima
Q1309,Maastricht,,"municipality of the Netherlands, cadastral populated place in the Netherlands, municipality seat, border city, big city, Roman city, place with town rights and privileges",settlement,6899,Maastricht (Netherlands),מסטריכט (הולנד),,,1,1,0,1,place,1,מאָסט,person,wikidata;kima
Q132572,Tiraspol (Moldova),,,settlement,628,Tiraspol (Moldova),טירספול (מולדובה),,,3,3,0,0,place,3,טיראַספּאָל;טיראָספּאָל;טעראָספּאָל,person,wikidata;kima
Q132854,(1048) Feodosia,,asteroid,other,,,,,,1,1,0,1,place,1,פֿעאָדאָסיאָ,person,wikidata
Q1333965,Volhynian Governorate,,,settlement,,,,,,21,21,0,0,province,3,וואָלינער גוב.;וואָלינער גובערניע;וואָלינער געגנט,person,wikidata
Q1335,Montevideo,מאנטעווידעא,"administrative territorial entity, million city, national capital, largest city, primate city",settlement,7220,Montevideo (Uruguay),מונטווידאו (אורוגוואי),-34.905917,-56.191311,2,1,1,0,place;settlements,2,מאָנטעווידעאָ;מאָנטעוויידעאָ,org;person,wikidata;kima
Q1342,Pittsburgh,פיטסבורג,"city of Pennsylvania, county seat, big city, home rule municipality of Pennsylvania",settlement,7508,Pittsburgh (Pa.),פיטסברג (פנסילבניה),40.441667,-80.000000,2,2,0,0,place,1,פּיטסבורג,person,wikidata;kima
Q134279,"Luhansʹk (Luhansʹka oblastʹ, Ukraine)",,,settlement,13981,"Luhansʹk (Luhansʹka oblastʹ, Ukraine)",לוגנסק (אוקראינה),48.5717084,39.2973153,1,0,1,0,settlements,1,לוגאַנסק,org,wikidata;kima
Q1343217,Cheremosh River,טשערעמאש טייך,river,other,,,,,,1,1,0,1,place,1,טשערעמאַש,person,wikidata
Q1345,Philadelphia,פילאדעלפיע,"city of Pennsylvania, county seat, home rule municipality of Pennsylvania, consolidated city-county",settlement,408,Philadelphia (Pa.),פילדלפיה (פנסילבניה),39.952778,-75.163611,136,25,111,2,place;province;settlement;settlements;venues,14,פֿילאַדעלפֿיע;פֿילאַדעלפיע;פֿילאָדעלפֿיע;פילאַדעלפיע;פילאָדעלפיע;פילאדעלפיע;פֿילאַדעלפיאַ;פֿילאַדעלפיע;פֿילאָדעלפיע;פֿילאָדעלפֿיע;פֿילאָדעלפֿיער;פֿילאדעלפיע;פֿילאדעלפֿייע;פֿילאדעלפֿיע,org;person,wikidata;kima
Q134712,Šiauliai (Lithuania),,,settlement,298,Šiauliai (Lithuania),שול (ליטא),55.928055555556,23.316666666667,5,2,3,0,place;settlements,2,שאַוול;שאַוועל,org;person,wikidata;kima
Q1351046,Marijampolė (Lithuania),,,settlement,681,Marijampolė (Lithuania),מרימפול (ליטא),54.556666666667,23.354444444444,2,0,2,0,settlements,2,מאַריאַמפּאָל;מאַריאָמפּאָל,org,wikidata;kima
Q137863,Švenčionys,סווענציאַן,"city, human settlement",settlement,14451,Švenčionys (Lithuania),שוינצין (ליטא),55.133333,26.155556,1,1,0,0,place,1,אַלטסווענציאַן,person,wikidata;kima
Q138391,Paterson (N.J.),,,settlement,6811,Paterson (N.J.),פטרסון (ניו ג'רזי),40.915555555556,-74.163055555556,2,0,2,0,settlements,2,פּעטערסאַן;פּעטערסאָן,org,wikidata;kima
Q1384,New York,ניו יארק,U.S. state,province,9561,New York (State),ניו יורק (מדינה),,,1,1,0,0,province,1,נ. י.,person,wikidata;kima
Q139564,Atlantic City (N.J.),,,settlement,712,Atlantic City (N.J.),אטלנטיק סיטי (ניו ג'רזי),39.3625,-74.425,1,0,1,0,settlements,1,אַטלאַנטיק סיטי,org,wikidata;kima
Q1397,Ohio,,,settlement,,,,,,1,0,1,0,settlements,1,אָהאיאָ,org,wikidata
Q1400,Pennsylvania,פענסילוועניע,U.S. state,province,6280,Pennsylvania,פנסילבניה,,,1,1,0,0,province,1,פֿילאָדעלפיע,person,wikidata;kima
Q140147,Brest,בריסק,"city of oblast subordinance, border city, big city",settlement,576,Brest (Belarus),בריסק (בלארוס),52.084722,23.656944,32,23,9,5,place;settlements,9,בריסק;בריסק דליטע;בריסק ליטאָווסק;בריסק-דליטאָ;ברעסט ליטאָווסק;ברעסט ליטאָווסק (בריסק);ברעסט-ליטאַווסק;ברעסט-ליטאָווסק;ברעסטליטאָווסק,org;person,wikidata;kima
Q140671,Ostroh (Ukraine),,,settlement,633,Ostroh (Ukraine),אוסטרהא (אוקראינה),,,2,2,0,0,place,1,אָסטראָג,person,wikidata;kima
Q1408,New Jersey,ניו זשערסי,U.S. state,province,8821,New Jersey,ניו ג'רזי,,,5,4,1,0,province;settlements,3,ניו דזשוירזי;ניו-דזשוירזי;פאַרק ריטש,org;person,wikidata;kima
Q141796,Türi,,"city, alev",settlement,,,,,,1,1,0,1,place,1,טורגעל,person,wikidata
Q142,France,פראנקרייך,"sovereign state, colonial power, Mediterranean country, republic, country",country,6399,France,צרפת,,,68,3,65,0,countries;country;venues,4,פֿראַנקרייך;פראַנקרייך;פראנקרייך;פֿראַנקרייך,org;person,wikidata;kima
Q1435411,Vitebsk Governorate,,,settlement,,,,,,6,6,0,0,province,2,וויטעבסקער גוב;וויטעבסקער גוב.,person,wikidata
Q1437277,Kiev Governorate,,,settlement,,,,,,58,57,1,0,province;venues,5,"קיעוו, גוב.;קיעוו. גוב.;קיעווער גוב.;קיעווער גובערניע;קיעווער געגנט",org;person,wikidata
Q145972,Zamość,זאמאשטש,"city with powiat rights in Poland, city",settlement,962,Zamość (Poland),זמושץ' (פולין),50.720555555556,23.258611111111,8,8,0,0,place,6,זאַמאָשטש;זאַמושסץ;זאָמאַשטש;זאָמאָשטש;זאמאָשטש;מזרח-פּוילן,person,wikidata;kima
Q146456,Mukachevo,,,settlement,1638,Mukacheve (Ukraine),מונקטש (אוקראינה),48.441388888889,22.713611111111,3,0,3,0,settlements,2,מונקאַטש;מונקאָטש,org,wikidata;kima
Q146521,Włocławek,,,,,,,,,1,0,1,0,settlements,1,וולאַצלאָוועק,org,wikidata
Q146663,Monastyryska Raion,,former raion of Ukraine,other,,,,,,1,1,0,1,place,1,מאַנאַסטעזשיסק,person,wikidata
Q147739,Izmail,,,settlement,15491,Izmaïl (Ukraine),איזמאיל (אוקראינה),45.3581388888889,28.8455833333333,2,0,2,0,settlements,1,איזמאַאיל,org,wikidata;kima
Q147741,Hertsa,,city in Ukraine,settlement,6926,Hert︠s︡a (Ukraine),הרצה (אוקראינה),,,1,1,0,0,place,1,הערצא,person,wikidata;kima
Q148,People's Republic of China,כינע,"sovereign state, socialist state, secular state, constitutional republic, people's republic, dictatorship of the proletariat, state with limited recognition, communist state, country",country,7218,China,סין,,,3,1,2,0,countries;country,1,כינע,org;person,wikidata;kima
Q148015,Zarnow,,river,other,,,,,,1,1,0,1,place,1,זשאַרנישטש,person,wikidata
Q148473,Chortkiv (Ukraine),,,settlement,18410,Chortkiv (Ukraine),צ'ורטקוב (אוקראינה),,,4,4,0,0,place,2,טשאַרטקאָוו;טשאָרטקאָוו,person,wikidata;kima
Q1486,Buenos Aires,בוענאס איירעס,"city of Argentina, electoral unit, federal district, first-level administrative division, autonomous city, million city, administrative territorial entity, national capital, federal capital, primate city, largest city",settlement,510,Buenos Aires (Argentina),בואנוס איירס (ארגנטינה),-34.599722,-58.381944,84,17,67,0,countries;place;province;settlements,10,"ב""א;ב'א;ב'אַ;ב. א.;בוּענאָס-איירעס;בוענאָס אַיירעס;בוענאָס איירעס;בוענאָס-אַיירעס;בוענאָס-איירעס;בוענאָסאיירעס",org;person,wikidata;kima
Q148896,Rozhyshche,,city in Ukraine,settlement,12619,Roz︠h︡yshche (Ukraine),רוז'ישץ' (אוקראינה),,,1,1,0,0,place,1,ראָזשישטש,person,wikidata;kima
Q1489,Mexico City,מעקסיקא שטאט,"federative entity of Mexico, big city, city, metropolis, largest city, megacity, federal capital, primate city",settlement,7033,Mexico City (Mexico),מקסיקו סיטי (מקסיקו),19.353773,-99.135890,31,11,20,0,countries;place;settlements,5,מעקסיקאַ סיטי;מעקסיקאָ;מעקסיקאָ סיטי;מעקסיקע;מעקסיקע סיטי,org;person,wikidata;kima
