qid,label_en,label_yi,place_type,category,kima_id,kima_rom,kima_heb,lat,lon,n_attestations,n_person,n_org,n_flagged_mentions,fields,n_variants,variants,corpora,external_sources
Q234184,Chełm,כעלם,"city with powiat rights in Poland, city",settlement,11264,"Chełm (Lublin, Poland)","חלם (לובלין, פולין)",51.133333,23.483333,5,1,4,0,place;settlements,1,כעלם,org;person,wikidata;kima
Q2342620,Lipsko,,town,settlement,83618,"Lipsko (Województwo Mazowieckie, Poland)","ליפסקו (פרובינציה מזוביה, פולין)",,,1,1,0,0,place,1,ליפּסק,person,wikidata;kima
Q23438,Ashgabat,אשגאבאט,"administrative territorial entity of Turkmenistan, city, first-level administrative division, big city",settlement,642,Ashkhabad (Turkmenistan),אשחבד (טורקמניסטן),37.950000,58.383333,2,1,1,0,place;settlements,1,אַשכאַבאַד,org;person,wikidata;kima
Q2350607,Rumbula massacre,רומבולער הריגה,mass murder,other,,,,,,1,1,0,1,place,1,רומפֿולע,person,wikidata
Q23556,Atlanta,,,settlement,711,Atlanta (Ga.),אטלנטה (ג'ורג'יה),33.756944444444,-84.390277777778,2,0,2,0,settlements,1,אַטלאַנטאָ,org,wikidata;kima
Q2356396,Šeduva,שאַדעווע,city,settlement,22157,Šeduva (Lithuania),שדובה (ליטא),,,1,1,0,0,place,1,שאדאָווע,person,wikidata;kima
Q236083,Suwałki,,"city with powiat rights in Poland, city",settlement,30,Suwałki (Poland),סובלקי (פולין),54.100000,22.933333,6,3,3,0,place;settlements,4,סובאָלק;סווואַלק;סווואָלק;סיוואָלק,org;person,wikidata;kima
Q237512,Lubin,,urban municipality of Poland,settlement,79621,"Lubin (Województwo Dolnośląskie, Poland)","לובין (שלזיה תחתית, פולין)",,,2,2,0,0,place,1,לובין,person,wikidata;kima
Q237655,Baranavichy,,,settlement,11689,Baranavichy (Belarus),ברנוביץ' (בלארוס),53.116666666667,25.983333333333,2,0,2,0,settlements,1,באַראַנאָוויטש,org,wikidata;kima
Q23792,Palestine,,,settlement,,,,,,3,0,3,0,countries;venues,2,"א""י;פּאַלעסטינע",org,wikidata
Q23793,Land of Israel,,,,,,,,,2,0,2,0,countries;settlements,1,אַרץ-ישראל,org,wikidata
Q239,Brussels,בריסל,"big city, European City, municipality of Belgium, federal capital",settlement,575,Brussels (Belgium),בריסל (בלגיה),50.846667,4.351667,5,2,3,0,place;settlements,2,בריסל;בריסעל,org;person,wikidata;kima
