source_value	english_name	wikidata_qid	kima_id	kima_rom	kima_heb	match_status	entry_ids	contexts	is_new_variant	source
בראָסלאָוו	Bratslav	Q903241	18550	Brat︠s︡lav (Ukraine)	ברסלב (אוקראינה)	WIKIDATA	4-facs_600_tr_1755030245|3-facs_14_tr_1752653034	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
דראָהייטשין	Drahichyn	Q956471	18293	Drahichyn (Belarus)	דרוהיטשין (בלארוס)	WIKIDATA	4-facs_618_tr_1755029882	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
סמילע	Smila	Q219595	20917	Smila (Cherkasʹka oblastʹ, Ukraine)	סמילה (מחוז צ'רקסקה, אוקראינה)	WIKIDATA	4-facs_657_tr_1755030210|5-facs_535_tr_1739222167	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
שטשינקע	Szczuczyn	Q958747	17140	Shchuchyn (Belarus)	שצ'וצ'ין (בלארוס)	NAME_EXACT	4-facs_666_tr_1755030169	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
נאַראַווליע	Naroŭlia	Q955736	70733	Naroŭlia (Belarus)	נרוליה (בלארוס)	WIKIDATA	4-facs_668_tr_1755029972	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
רוזשאַני	Ruzhany	Q615132	20849	Ruzhany (Belarus)	רוז'ינוי (בלארוס)	WIKIDATA	4-facs_69_r	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
הרובישעוו	Hrubieszów	Q924103	969	Hrubieszów (Poland)	הרובישוב (פולין)	WIKIDATA	5-facs_103_tr_1733832686	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
סיביר			2419	Siberia (Russia)	סיביר (רוסיה)	NAME_EXACT	5-facs_198_tr_1736588952|5-facs_595_r	death|birth	no	Zylbercweig lexicon (Maaty reconciliation)
לידע	Lida	Q241475	130	Lida (Belarus)	לידה (בלארוס)	WIKIDATA	5-facs_343_tr_1739221019|1-facs_248_tr_1741260287	death|birth	yes	Zylbercweig lexicon (Maaty reconciliation)
אָסטראָג	Ostroh	Q140671	633	Ostroh (Ukraine)	אוסטרהא (אוקראינה)	WIKIDATA	5-facs_353_r_4|5-facs_188_tr_1736589047	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
באקו	Baku	Q9248	507	Baku (Azerbaijan)	באקו (אזרביג'ן)	WIKIDATA	5-facs_438_r_22	birth	no	Zylbercweig lexicon (Maaty reconciliation)
