UID	name	kima_id	method	orig_status	dist_km
AF-00011	הראת	10327	exact_geoverified	name_exact	0.0
AL-00011	אבילונה	17345	exact_geoverified	name_exact	1.9
AL-00011	אוילונה	17345	exact_geoverified	name_exact	1.9
AL-00012	אלישו	74515	coord_rearbitrated	fuzzy	0.7
AM-00001		8666	exact_geoverified	name_exact	0.3
AR-00000	ארגאנטינא	7805	exact_geoverified	name_exact	492.2
AR-00000	ארגנטינא	7805	exact_geoverified	name_exact	492.2
AR-00000	ארגנטינה	7805	exact_geoverified	name_exact	492.2
AR-00000	ארגענטינא	7805	exact_geoverified	name_exact	492.2
AR-00001	בואינוס איירעס	510	exact_geoverified	name_exact	0.4
AR-00001	בונעס איירעס	510	exact_geoverified	name_exact	0.4
AR-00001	בונעס אירעס	510	exact_geoverified	name_exact	0.4
AR-00001	בוענאס איירעס	510	exact_geoverified	name_exact	0.4
AR-00011	מאזעס-וויללע	15757	exact_geoverified	name_exact	1.3
AR-00011	מאזעסווילע	15757	exact_geoverified	name_exact	1.3
AR-00011	מאזעסוילע	15757	exact_geoverified	name_exact	1.3
AR-00011	קרית משה	15757	exact_geoverified	name_exact	1.3
AR-00012	פלאטא	9397	exact_geoverified	name_exact	34.7
AR-00013	קארדובא	8766	exact_geoverified	name_exact	0.0
AR-00014	קילמעס	12308	exact_geoverified	name_exact	0.0
AR-00015	רוזאריא	17410	coord_rearbitrated	fuzzy	0.0
AT-00000	אושטרייך	7645	exact_geoverified	name_exact	67.7
AT-00000	אושטריך	7645	exact_geoverified	name_exact	67.7
AT-00000	ארץ הדמים	7645	exact_geoverified	name_exact	67.7
AT-00000	מדינת בני חת	7645	exact_geoverified	name_exact	67.7
AT-00000	עסטרייך	7645	exact_geoverified	name_exact	67.7
AT-00001	ווידען	945	exact_geoverified	name_exact	0.1
AT-00001	ווין	945	exact_geoverified	name_exact	0.1
AT-00001	ווינא	945	exact_geoverified	name_exact	0.1
AT-00001	וויעדן	945	coord_rearbitrated	fuzzy	0.1
AT-00001	וויעדען	945	coord_rearbitrated	fuzzy	0.1
AT-00001	וויעהן	945	coord_rearbitrated	fuzzy	0.1
AT-00001	וויען	945	exact_geoverified	name_exact	0.1
AT-00001	וין	945	exact_geoverified	name_exact	0.1
AT-00001	וינה	945	exact_geoverified	name_exact	0.1
AT-00001	ויען	945	exact_geoverified	name_exact	0.1
AT-00001	עיר הדמים	945	coord_rearbitrated	fuzzy	0.1
AT-00011	באדן	7918	exact_geoverified	name_exact	0.7
