UID	HebName	EngClean	engine_pick_id	engine_pick_rom	pick_dist_km	verdict	nearest_id	nearest_rom	nearest_dist_km
SK-00025	פרייאשטאט	Hlohovec	18752	Freistadt (Austria)	243.3	CHECK	18752	Freistadt (Austria)	243.3
SK-00025	פריישטאט	Hlohovec	18752	Freistadt (Austria)	243.3	CHECK	18752	Freistadt (Austria)	243.3
SK-00032	מארטין	Martin	20407	Pannonhalma (Hungary)	189.2	CHECK	20407	Pannonhalma (Hungary)	189.2
SK-00078	שאמבאקרעט	Žabokreky nad Nitrou	26335	Žabokreky (Slovakia)	63.5	CHECK	26335	Žabokreky (Slovakia)	63.5
SK-00078	שאמבאקרעט	Žabokreky nad Nitrou	26335	Žabokreky (Slovakia)	63.5	CHECK	26335	Žabokreky (Slovakia)	63.5
UA-00464	ווישנאוויץ	Vishnevets	18722	Cyców (Poland)	240.6	CHECK	18722	Cyców (Poland)	240.6
UA-00539	יאנוב	Dolyna	769	Janów Lubelski (Poland)	288.9	CHECK	769	Janów Lubelski (Poland)	288.9
UA-00780	יאנוב	Ivano-Frankove	769	Janów Lubelski (Poland)	128.7	CHECK	769	Janów Lubelski (Poland)	128.7
US-00032	דזשוירזי סיטי	Jersey City	8821	New Jersey	88.7	CHECK	8821	New Jersey	88.7
US-90011	נ. י.	New York (state)	9561	New York (State)	71.6	CHECK	9561	New York (State)	71.6
US-90011	"נ""י"	New York (state)	9561	New York (State)	71.6	CHECK	9561	New York (State)	71.6
DE-00091	ורנק	Franconia	13007	Werneck (Germany)	11.1	KEEP	13007	Werneck (Germany)	11.1
DE-00160	גריסהאבר	Kriegshaber	6127	Augsburg (Germany)	3.8	KEEP	6127	Augsburg (Germany)	3.8
DE-01228	יעסניץ	Jeßnitz	24722	Jessnitz (Germany)	0.2	KEEP	24722	Jessnitz (Germany)	0.2
DE-01278	שטעפיך	Steppach b.Augsburg	23160	Steppach (Neusäss, Germany)	0.2	KEEP	23160	Steppach (Neusäss, Germany)	0.2
DE-90007	שוואבן	Swabia	15479	Bayerisch-Schwaben (Germany : Regierungsbezirk)	19.8	KEEP	15479	Bayerisch-Schwaben (Germany : Regierungsbezirk)	19.8
HU-00219	נייפעסט	Ujpest	513	Budapest (Hungary)	0.1	KEEP	513	Budapest (Hungary)	0.1
HU-00283	וויזלבורג	Mosonmagyaróvár	13519	Moson (Hungary)	1.2	KEEP	13519	Moson (Hungary)	1.2
HU-00687	ארלוי	Arló	8017	Eger (Hungary)	31.9	KEEP	8017	Eger (Hungary)	31.9
IL-00002	יפו	Tel Aviv-Yafo	629	Jaffa (Tel Aviv-Yafo, Israel)	4.6	KEEP	629	Jaffa (Tel Aviv-Yafo, Israel)	4.6
IT-00035	פיימונטי	Piedmont (region)	7001	Piedmont (Italy)	38.4	KEEP	7001	Piedmont (Italy)	38.4
PL-00391	צ'שין	Cieszyn	14332	Teschen (Duchy)	2.8	KEEP	14332	Teschen (Duchy)	2.8
TN-00002	ג'רבה	Djerba	2672	Jarbah Island (Tunisia)	4.4	KEEP	2672	Jarbah Island (Tunisia)	4.4
TN-00053	כ'ף	Le Kef	15869	Kāf (Tunisia : Province)	0.2	KEEP	15869	Kāf (Tunisia : Province)	0.2
UA-00003	אדעססא	Odessa	740	Odesa (Ukraine)	0.9	KEEP	740	Odesa (Ukraine)	0.9
UA-00003	אדעססע	Odessa	740	Odesa (Ukraine)	0.9	KEEP	740	Odesa (Ukraine)	0.9
UA-00003	אודיסה	Odessa	740	Odesa (Ukraine)	0.9	KEEP	740	Odesa (Ukraine)	0.9
UA-00003	אודיססא	Odessa	740	Odesa (Ukraine)	0.9	KEEP	740	Odesa (Ukraine)	0.9
UA-00003	אודסה	Odessa	740	Odesa (Ukraine)	0.9	KEEP	740	Odesa (Ukraine)	0.9
UA-00003	אודססא	Odessa	740	Odesa (Ukraine)	0.9	KEEP	740	Odesa (Ukraine)	0.9
UA-00037	בוסק	Busk	19168	Busʹk (Ukraine)	0.6	KEEP	19168	Busʹk (Ukraine)	0.6
UA-00063	הוסאקוב	Husakiv	26237	Hussaków (Ukraine)	0.0	KEEP	26237	Hussaków (Ukraine)	0.0
UA-00105	לוצק	Lutsk	127	Lut︠s︡ʹk (Ukraine)	0.1	KEEP	127	Lut︠s︡ʹk (Ukraine)	0.1
UA-00105	לוצקא	Lutsk	127	Lut︠s︡ʹk (Ukraine)	0.1	KEEP	127	Lut︠s︡ʹk (Ukraine)	0.1
UA-00220	יאגיילניצה	Yahilnytsya	23859	Jagielnica (Ukraine)	0.3	KEEP	23859	Jagielnica (Ukraine)	0.3
UA-00222	יאברוב	Yavoriv	22193	Jaworów (województwo dolnośląskie : Poland)	1.0	KEEP	22193	Jaworów (województwo dolnośląskie : Poland)	1.0
UA-00276	בערעזנא גדול	Velykyi Bereznyi	1633	Michalovce (Slovakia)	41.7	KEEP	1633	Michalovce (Slovakia)	41.7
UA-00848	אוזדיוטיץ	Ozyutichi	27131	Osjutytschi (Ukraine)	0.4	KEEP	27131	Osjutytschi (Ukraine)	0.4
US-00013	סט. לואיס	St. Louis	109	Saint Louis (Mo.)	0.1	KEEP	109	Saint Louis (Mo.)	0.1
UZ-00002	סאמארקאנד	Samarkand	635	Samarqand (Uzbekistan)	0.9	KEEP	635	Samarqand (Uzbekistan)	0.9
UZ-00002	סמרקנד	Samarkand	635	Samarqand (Uzbekistan)	0.9	KEEP	635	Samarqand (Uzbekistan)	0.9
BY-00029	האראדישטש	Haradzišča	20620	Horodok (Lut︠s︡ʹkyĭ raĭon, Ukraine)		NO_COORD	20620	Horodok (Lut︠s︡ʹkyĭ raĭon, Ukraine)	
DE-00016	בישאפסהיים	Bischofsheim (Maintal)?	23573	Bischoffsheim (France)		NO_COORD	23573	Bischoffsheim (France)	
IR-00023	כוזא כונן	Kuzeh Kanan	24745	Kuzakunan (Azerbaijan)		NO_COORD	24745	Kuzakunan (Azerbaijan)	
PL-00354	האראדישטש	Horodyszcze	20620	Horodok (Lut︠s︡ʹkyĭ raĭon, Ukraine)		NO_COORD	20620	Horodok (Lut︠s︡ʹkyĭ raĭon, Ukraine)	
RO-00095	סענזשארץ	Sângeorgiu de Pădure	18819	Sîngeorz-Băi (Romania)		NO_COORD	18819	Sîngeorz-Băi (Romania)	
RO-00466	פאשקאן	Paşcani	23554	Pasichna (Kiev, Ukraine)		NO_COORD	23554	Pasichna (Kiev, Ukraine)	
AT-00001	וויין	Vienna	12896	Wayne (N.J.)	6798.3	REJECT	12896	Wayne (N.J.)	6798.3
BY-00206	סולי	Soly	3619	Soli (Cyprus : Extinct city)	2214.7	REJECT	3619	Soli (Cyprus : Extinct city)	2214.7
CZ-00115	מארשין	Mořina	13281	Maarssen (Netherlands)	685.0	REJECT	13281	Maarssen (Netherlands)	685.0
CZ-00126	קאנישא	Kanice	17963	Kanjiža (Serbia)	434.4	REJECT	17963	Kanjiža (Serbia)	434.4
DE-00095	מרק	Grafschaft Mark	17568	Brandenburg (Germany)	334.4	REJECT	17568	Brandenburg (Germany)	334.4
DE-90006	גליל עליון	Upper Rhine (region)	21521	Galilee, Upper (Israel)	2860.9	REJECT	21521	Galilee, Upper (Israel)	2860.9
ES-00053	פינה	Pina de Ebro	18691	Piña de Campos (Spain)	333.7	REJECT	18691	Piña de Campos (Spain)	333.7
HU-00073	טאלטשווא	Tolcsva	782	Tulcea (Romania)	657.0	REJECT	782	Tulcea (Romania)	657.0
HU-00073	טאלשווא	Tolcsva	782	Tulcea (Romania)	657.0	REJECT	782	Tulcea (Romania)	657.0
HU-00234	יאקא	Nyírjákó	7948	Jaca (Spain)	1863.7	REJECT	7948	Jaca (Spain)	1863.7
HU-00322	אראס	Nagyoroszi	6977	Arras (France)	1211.4	REJECT	6977	Arras (France)	1211.4
HU-00340	סיל	Somogyszil	16075	Sale (England)	1635.8	REJECT	16075	Sale (England)	1635.8
HU-00494	סאביטש	Szabolcs	27101	Sobotište (Slovakia)	307.9	REJECT	27101	Sobotište (Slovakia)	307.9
