UID,EngName,Latitude,Longitude,HebName,blank5,Rishon,YS_id,IsWord,Notes,Sourcing,KaganID,JGenID,AltEng,USBGN,EngClean,_match_status,_match_method,_grade,_confidence,_sound_match,_flags,_kima_id,_kima_name_rom,_kima_name_heb,_distance_km,_candidates
HU-00467,"Szedres, Hungary",46.4833333333333,18.6833333333333,סעדרעש,,,,,,Kagan,5967,6485,Szedres [Hun],-866998,Szedres,no_match,,C_review,0.0,,,,,,,
HU-00469,"Szegvár, Hungary",46.5833333333333,20.2333333333333,,,,,,,JGen,,6487,Szegvár [Hun],-867024,Szegvár,no_match,,C_review,0.0,,,,,,,
HU-00471,"Szentgál, Hungary",47.1166666666666,17.7333333333333,,,,,,,JGen,,6489,Szentgál [Hun],-867221,Szentgál,fuzzy,fuzzy,C_review,1.0,,,,,,,86653
HU-00472,"Szentlőrinc, Hungary",46.0333333333333,17.9833333333333,סענטלירענץ,,,,,,Kagan,6020,6490,"Szentlőrinc [Hun], Selurinac [Croa], Szent-Lörincz",-867333,Szentlőrinc,no_match,,C_review,0.0,,,,,,,
HU-00472,"Szentlőrinc, Hungary",46.0333333333333,17.9833333333333,סענטלערינץ,,,,,,Kagan,6020,6490,"Szentlőrinc [Hun], Selurinac [Croa], Szent-Lörincz",-867333,Szentlőrinc,no_match,,C_review,0.0,,,,,,,
HU-00473,"Szob, Hungary",47.8166666666667,18.8666666666667,סאב,,,,,,Kagan,5475,6491,"Szob [Hun], Zopp an der Donau [Ger], Szobb",-867670,Szob,fuzzy,fuzzy,C_review,1.0,,,,,,,2013|8214
HU-00474,"Taktaharkány, Hungary",48.0833333333333,21.1333333333333,טאקטאהארקאני,,,,,,Kagan,3392,6492,"Taktaharkány [Hun], Harkány",-868042,Taktaharkány,no_match,,C_review,0.0,,,,,,,
HU-00475,"Tamási, Hungary",46.6333333333333,18.2833333333333,,,,,,,JGen,,6494,"Tamási [Hun], Tammasching [Ger]",-868066,Tamási,fuzzy,fuzzy,C_review,1.0,,,,,,,82796|9634|20136|23295|87524
HU-00476,"Tápióbicske, Hungary",47.3666666666666,19.6833333333333,,,,,,,JGen,,6497,Tápióbicske [Hun],-868090,Tápióbicske,no_match,,C_review,0.0,,,,,,,
HU-00477,"Tápiógyörgye, Hungary",47.3333333333333,19.95,טאפיאריערדי,,,,,,Kagan,3381,6498,"Tápiógyörgye [Hun], Tápiószentgyörgy",-868091,Tápiógyörgye,fuzzy,fuzzy,C_review,1.0,,,,,,,84455
HU-00478,"Tápiósüly, Hungary",47.45,19.55,,,,,,,JGen,,6499,Tápiósüly [Hun],-868099,Tápiósüly,no_match,,C_review,0.0,,,,,,,
HU-00479,"Pétervására, Hungary",48.0166666666667,20.1,פעטערוואשאר,,,,,,Kagan,6643,6513,"Pétervására [Hun], Pétervásár",-864387,Pétervására,no_match,,C_review,0.0,,,,,,,
HU-00480,"Porcsalma, Hungary",47.8833333333333,22.5666666666667,פארטשאלמא,,,,,,Kagan,6454,6601,"Porcsalma [Hun], Porcialma [Rom]",-864658,Porcsalma,no_match,,C_review,0.0,,,,,,,
HU-00480,"Porcsalma, Hungary",47.8833333333333,22.5666666666667,פורצ'למה,,,,,,JGen,6454,6601,"Porcsalma [Hun], Porcialma [Rom]",-864658,Porcsalma,no_match,,C_review,0.0,,,,,,,
HU-00481,"Tyukod, Hungary",47.85,22.55,טיאקאר,,,,,,Kagan,3499,6610,Tyukod [Hun],-869115,Tyukod,fuzzy,fuzzy,C_review,1.0,,,,,,,76408|2356
HU-00482,"Napkor, Hungary",47.9333333333333,21.8666666666667,נאפקאר,,,,,,Kagan,5217,6618,Napkor [Hun],-862731,Napkor,no_match,,C_review,0.0,,,,,,,
HU-00482,"Napkor, Hungary",47.9333333333333,21.8666666666667,נאפקור,,,,,,Kagan,5217,6618,Napkor [Hun],-862731,Napkor,no_match,,C_review,0.0,,,,,,,
HU-00482,"Napkor, Hungary",47.9333333333333,21.8666666666667,נאפקיר,,,,,,Kagan,5217,6618,Napkor [Hun],-862731,Napkor,no_match,,C_review,0.0,,,,,,,
HU-00482,"Napkor, Hungary",47.9333333333333,21.8666666666667,נאפקער,,,,,,Kagan,5217,6618,Napkor [Hun],-862731,Napkor,no_match,,C_review,0.0,,,,,,,
HU-00482,"Napkor, Hungary",47.9333333333333,21.8666666666667,קאפקיר,,,,,,Kagan,7314,6618,Napkor [Hun],-862731,Napkor,no_match,,C_review,0.0,,,,,,,
HU-00483,"Baracska, Hungary",47.2824737,18.7598901,באראטשקא,,,,,,Kagan,1039,,,,Baracska,no_match,,C_review,0.0,,,,,,,
