UID,EngName,Latitude,Longitude,HebName,blank5,Rishon,YS_id,IsWord,Notes,Sourcing,KaganID,JGenID,AltEng,USBGN,EngClean,_match_status,_match_method,_grade,_confidence,_sound_match,_flags,_kima_id,_kima_name_rom,_kima_name_heb,_distance_km,_candidates
AT-00001,Vienna,48.2081743,16.3738189,ווינא,,,,,,,2827,167,"Wien [Ger], Vienna [Eng], Vienne [Fr], Vindobona [Lat], Videň [Cz], Viedeň [Slov], Bécs [Hung], Beč [Serb], Viena [Rom], Wiedeń [Pol], Vena [Rus], Viden' [Ukr], Vin [Yid]",-1995499,Vienna,name_exact,name_exact,A_autolink,0.95,True,,945,Vienna (Austria),וינה (אוסטריה),0.1,945
AT-00001,Vienna,48.2081743,16.3738189,וויען,,,,,,,2827,167,"Wien [Ger], Vienna [Eng], Vienne [Fr], Vindobona [Lat], Videň [Cz], Viedeň [Slov], Bécs [Hung], Beč [Serb], Viena [Rom], Wiedeń [Pol], Vena [Rus], Viden' [Ukr], Vin [Yid]",-1995499,Vienna,name_exact,name_exact,A_autolink,0.95,True,,945,Vienna (Austria),וינה (אוסטריה),0.1,945
AT-00001,Vienna,48.2081743,16.3738189,וין,,,,,,Prenum 878,2827,167,"Wien [Ger], Vienna [Eng], Vienne [Fr], Vindobona [Lat], Videň [Cz], Viedeň [Slov], Bécs [Hung], Beč [Serb], Viena [Rom], Wiedeń [Pol], Vena [Rus], Viden' [Ukr], Vin [Yid]",-1995499,Vienna,name_exact,name_exact,A_autolink,0.95,True,,945,Vienna (Austria),וינה (אוסטריה),0.1,945
AT-00001,Vienna,48.2081743,16.3738189,וינה,,,,,,Dor4,2827,167,"Wien [Ger], Vienna [Eng], Vienne [Fr], Vindobona [Lat], Videň [Cz], Viedeň [Slov], Bécs [Hung], Beč [Serb], Viena [Rom], Wiedeń [Pol], Vena [Rus], Viden' [Ukr], Vin [Yid]",-1995499,Vienna,name_exact,name_exact,A_autolink,0.95,True,,945,Vienna (Austria),וינה (אוסטריה),0.1,945
AT-00001,Vienna,48.2081743,16.3738189,ויען,,,,Y,,SS,2827,167,"Wien [Ger], Vienna [Eng], Vienne [Fr], Vindobona [Lat], Videň [Cz], Viedeň [Slov], Bécs [Hung], Beč [Serb], Viena [Rom], Wiedeń [Pol], Vena [Rus], Viden' [Ukr], Vin [Yid]",-1995499,Vienna,name_exact,name_exact,A_autolink,0.95,True,,945,Vienna (Austria),וינה (אוסטריה),0.1,945
AT-00011,"Baden bei Wien, Austria",48.00214,16.23091,באדן ביי ווין,,,,,,Kagan,845,2506,"Baden [Ger], Baden bei Wien",-1974493,Baden bei Wien,name_exact,name_exact,A_autolink,0.95,True,,7918,Baden (Austria),בדן (אוסטריה),0.7,7918
AT-00011,"Baden bei Wien, Austria",48.00214,16.23091,באדען,,,,,,,845,2506,"Baden [Ger], Baden bei Wien",-1974493,Baden bei Wien,name_exact,name_exact,A_autolink,0.95,True,,7918,Baden (Austria),בדן (אוסטריה),0.7,7918
AT-00012,Deutschkreutz,47.6016309,16.6234423,ציילעם,,,,,,JGen,7005,2512,"Deutschkreutz [Ger], Sopronkeresztúr [Hun], Németkeresztúr [Hun, until 1899], Tseylem [Yid], Kerestur [Croa], Zelem",-1975556,Deutschkreutz,name_exact,name_exact,A_autolink,0.95,True,,18516,Deutschkreutz (Austria),דויטש קרויץ (אוסטריה),0.3,18516
AT-00012,Deutschkreutz,47.6016309,16.6234423,צילם,,,,,,NBY,7005,2512,"Deutschkreutz [Ger], Sopronkeresztúr [Hun], Németkeresztúr [Hun, until 1899], Tseylem [Yid], Kerestur [Croa], Zelem",-1975556,Deutschkreutz,name_exact,name_exact,A_autolink,0.95,True,,18516,Deutschkreutz (Austria),דויטש קרויץ (אוסטריה),0.3,18516
AT-00012,Deutschkreutz,47.6016309,16.6234423,צלים,,,,YES,,Kagan,7005,2512,"Deutschkreutz [Ger], Sopronkeresztúr [Hun], Németkeresztúr [Hun, until 1899], Tseylem [Yid], Kerestur [Croa], Zelem",-1975556,Deutschkreutz,name_exact,name_exact,A_autolink,0.95,True,,18516,Deutschkreutz (Austria),דויטש קרויץ (אוסטריה),0.3,18516
